2,87 Ford Thunderbird,road
Steering Wheel Angle,Yaw Rate
435.997009,2.794852
435.008270,2.768313
433.992065,2.779444
433.003296,2.771677
432.014557,2.774680
430.998322,2.814516
430.009583,2.799686
428.993378,2.802786
428.004639,2.803949
427.015869,2.803860
425.999664,2.802942
425.010895,2.801989
423.994690,2.797230
423.005920,2.792491
422.017181,2.786816
421.000977,2.780706
420.012207,2.760203
418.996002,2.755893
418.007233,2.750612
417.018494,2.746081
416.002289,2.740664
415.013519,2.736777
413.997314,2.671794
413.008545,2.712690
412.019775,2.707814
411.003571,2.691182
410.014801,2.677267
408.998596,2.668488
408.009827,2.660419
406.993622,2.651539
406.004883,2.636473
405.016113,2.630319
403.999908,2.620193
403.011139,2.611513
401.994934,2.612942
401.006165,2.603608
400.017426,2.599328
399.001190,2.596235
398.012421,2.591394
396.996216,2.578936
396.007446,2.585012
395.018738,2.575548
394.002472,2.576743
393.013733,2.569699
391.997498,2.558491
391.008759,2.552506
390.020020,2.542278
389.003754,2.529453
388.015015,2.521559
386.998810,2.519047
386.010040,2.508835
384.993805,2.498590
384.005035,2.489858
383.016296,2.484445
382.000092,2.480536
381.011322,2.473842
379.995087,2.468710
379.006317,2.469733
378.017578,2.465890
377.001373,2.456629
376.012604,2.446800
374.996338,2.435795
374.007629,2.424583
373.018890,2.417102
372.002625,2.411924
371.013855,2.409024
369.997650,2.402304
369.008911,2.401693
368.020142,2.396467
367.003906,2.389979
366.015137,2.384600
364.998932,2.391591
364.010193,2.377088
363.021423,2.351090
362.005157,2.355474
361.016418,2.356884
360.000214,2.352733
359.011444,2.333245
357.995178,2.336507
357.006439,2.330409
356.017670,2.333827
355.001465,2.323120
354.012695,2.313844
352.996490,2.305382
352.007721,2.295743
351.018951,2.287766
350.002716,2.283887
349.013947,2.280231
347.997711,2.274907
347.008942,2.271125
346.020203,2.266541
345.003998,2.258876
344.015228,2.249602
342.998962,2.240840
342.010223,2.231768
341.021454,2.223823
340.005219,2.219493
339.016449,2.215756
338.000214,2.210819
337.011475,2.207029
336.022736,2.201748
335.006500,2.193209
334.017700,2.184357
333.001465,2.176443
332.012726,2.166575
330.996490,2.160561
