2,ARCA Ford Mustang,road
Steering Wheel Angle,Yaw Rate
363.021423,2.882812
362.005157,2.875813
361.016418,2.875087
360.000214,2.851584
359.011444,2.786103
357.995178,2.786288
357.006439,2.784925
356.017670,2.782000
355.001465,2.779160
354.012695,2.776286
352.996490,2.772775
352.007721,2.769041
351.018951,2.764524
350.002716,2.757463
349.013947,2.750586
347.997711,2.747924
347.008942,2.811868
346.020203,2.801063
345.003998,2.791155
344.015228,2.781863
342.998962,2.769639
342.010223,2.757181
341.021454,2.743884
340.005219,2.728672
339.016449,2.713289
338.000214,2.712462
337.011475,2.692679
336.022736,2.681839
335.006500,2.670370
334.017700,2.666789
333.001465,2.663720
332.012726,2.661090
330.996490,2.657749
330.007721,2.653656
329.018951,2.645329
328.002747,2.636372
327.013977,2.628130
325.997711,2.618145
325.008972,2.603414
324.020203,2.595116
323.003998,2.586776
322.015228,2.582127
320.998962,2.572982
320.010193,2.565186
319.021454,2.556793
318.005219,2.548624
317.016479,2.539651
316.000183,2.531575
315.011414,2.523591
314.022675,2.515213
313.006470,2.507875
312.017700,2.498716
311.001404,2.491141
310.012665,2.482184
309.023926,2.474030
308.007690,2.465917
307.018921,2.458146
306.002686,2.449724
305.013916,2.440978
303.997681,2.432652
303.008911,2.424281
302.020142,2.416706
301.003906,2.409079
300.015137,2.400050
298.998901,2.391850
298.010132,2.384232
297.021332,2.375690
296.005127,2.366365
295.016357,2.359623
294.000153,2.350563
293.011322,2.342903
292.022583,2.334864
291.006378,2.326275
290.017578,2.318226
289.001343,2.309677
288.012573,2.301334
287.023834,2.293348
286.007568,2.284944
285.018768,2.277174
284.002563,2.268983
283.013824,2.259680
281.997528,2.252720
281.008789,2.244185
280.020020,2.235934
279.003784,2.228000
278.014984,2.219888
276.998779,2.212051
276.010010,2.202203
275.021179,2.196161
274.005005,2.186369
273.016235,2.179036
271.999969,2.170830
271.011169,2.162382
270.022430,2.154083
269.006195,2.145947
268.017395,2.138336
267.001190,2.129751
266.012421,2.121712
265.023651,2.113338
264.007385,2.105438
263.018616,2.097557
262.002350,2.088704
261.013611,2.081403
260.024841,2.072601
259.008575,2.065047
258.019806,2.056051
257.003571,2.048711
256.014801,2.038975
254.998566,2.032686
254.009781,2.022907
253.021011,2.016196
252.004791,2.007385
251.015961,2.000066
249.999741,1.990794
249.010956,1.983211
248.022217,1.975375
247.005966,1.966431
246.017166,1.960045
245.000916,1.949777
244.012177,1.943370
243.023422,1.934709
242.007141,1.925879
241.018341,1.919147
240.002121,1.910312
239.013351,1.902149
238.024597,1.893587
237.008316,1.887155
236.019547,1.877088
235.003296,1.870259
234.014542,1.861051
233.025772,1.854471
232.009491,1.845904
231.020752,1.837729
230.004471,1.829259
229.015686,1.821477
227.999451,1.813506
227.010681,1.805674
226.021896,1.797380
225.005646,1.789233
224.016876,1.782048
223.000626,1.773380
222.011841,1.764679
221.023071,1.757662
220.006836,1.748721
219.018051,1.740740
218.001816,1.732211
217.013016,1.725226
216.024261,1.716571
215.007996,1.708480
214.019226,1.701022
213.002960,1.692052
212.014175,1.684878
211.025421,1.676605
210.009140,1.668392
209.020386,1.660516
208.004135,1.652731
207.015366,1.642878
206.026566,1.637294
205.010300,1.627394
204.021530,1.620275
203.005295,1.611498
202.016510,1.604357
201.000275,1.594910
200.011475,1.588791
199.022705,1.579530
198.006454,1.572402
197.017670,1.563913
196.001419,1.555619
195.012619,1.547738
194.023849,1.539843
193.007599,1.531577
192.018814,1.524101
191.002563,1.515381
190.013794,1.508318
189.024994,1.500035
188.008728,1.492062
187.019974,1.483834
186.003708,1.475768
185.014938,1.467879
184.026154,1.459872
183.009888,1.451778
182.021133,1.443397
181.004852,1.435668
180.016098,1.427910
178.999817,1.419400
178.011047,1.411623
177.022247,1.403393
176.005981,1.394967
175.017227,1.388311
174.000961,1.379486
173.012192,1.371530
172.023392,1.364192
171.007111,1.355518
170.018356,1.347917
169.002075,1.339848
168.013321,1.331040
167.024506,1.323961
166.008270,1.314853
165.019485,1.307927
164.003220,1.298638
163.014450,1.291320
162.025650,1.283997
161.009415,1.275264
160.020615,1.267567
159.004333,1.259031
158.015564,1.251375
157.026764,1.244026
