2,Acura ARX-06,baseline
Steering Wheel Angle,Yaw Rate
270.022430,1.679515
269.006195,1.679652
268.017395,1.680051
267.001190,1.680538
266.012421,1.680932
265.023651,1.681399
264.007385,1.681840
263.018616,1.682237
262.002350,1.682485
261.013611,1.649698
260.024841,1.633651
259.008575,1.634932
258.019806,1.635344
257.003571,1.635603
256.014801,1.635986
254.998566,1.636298
254.009781,1.636599
253.021011,1.636845
252.004791,1.637076
251.015961,1.639752
249.999741,1.682390
249.010956,1.685600
248.022217,1.685695
247.005966,1.685719
246.017166,1.685774
245.000916,1.685753
244.012177,1.685760
243.023422,1.685795
242.007141,1.685880
241.018341,1.685850
240.002121,1.685966
239.013351,1.685952
238.024597,1.685979
237.008316,1.686010
236.019547,1.684868
235.003296,1.685401
234.014542,1.684022
233.025772,1.681994
232.009491,1.682030
231.020752,1.682021
230.004471,1.682056
229.015686,1.682045
227.999451,1.682400
227.010681,1.682856
226.021896,1.683258
225.005646,1.683655
224.016876,1.684054
223.000626,1.684412
222.011841,1.684804
221.023071,1.684642
220.006836,1.684717
219.018051,1.684695
218.001816,1.684675
217.013016,1.684237
216.024261,1.683831
215.007996,1.683594
214.019226,1.683635
213.002960,1.683616
212.014175,1.683675
211.025421,1.684064
210.009140,1.683972
209.020386,1.683880
208.004135,1.684001
207.015366,1.683865
206.026566,1.683772
205.010300,1.684001
204.021530,1.684050
203.005295,1.683911
202.016510,1.683815
201.000275,1.683967
200.011475,1.683946
199.022705,1.683774
198.006454,1.683971
197.017670,1.684019
196.001419,1.683968
195.012619,1.683725
194.023849,1.683977
193.007599,1.683814
192.018814,1.684085
191.002563,1.683994
190.013794,1.683970
189.024994,1.683763
188.008728,1.683796
187.019974,1.683812
186.003708,1.683930
185.014938,1.683846
184.026154,1.683699
183.009888,1.683783
182.021133,1.683967
181.004852,1.684019
180.016098,1.683977
178.999817,1.673564
178.011047,1.664283
177.022247,1.655025
176.005981,1.645045
175.017227,1.635810
174.000961,1.626011
173.012192,1.616602
172.023392,1.607244
171.007111,1.597443
170.018356,1.588082
169.002075,1.578406
168.013321,1.568986
167.024506,1.559628
166.008270,1.549903
165.019485,1.540525
164.003220,1.530800
163.014450,1.521631
162.025650,1.511990
161.009415,1.502414
160.020615,1.492990
159.004333,1.483313
158.015564,1.473966
157.026764,1.464603
156.010544,1.454928
155.021729,1.445660
154.005478,1.435879
153.016708,1.426532
152.000443,1.416977
151.011673,1.407602
150.022858,1.398240
149.006622,1.388614
148.017822,1.379310
147.001556,1.369559
146.012772,1.360285
145.023972,1.350937
144.007736,1.341369
143.018936,1.331938
142.002655,1.322462
141.013901,1.313022
140.025085,1.303713
139.008850,1.294039
138.020050,1.284804
137.003769,1.275222
136.014999,1.265892
135.026199,1.256530
134.009964,1.246907
133.021164,1.237684
132.004913,1.228038
131.016113,1.218745
130.027283,1.209475
129.011078,1.199892
128.022263,1.190539
127.006020,1.181007
126.017204,1.171715
125.000938,1.162064
124.012169,1.152821
123.023369,1.143462
122.007118,1.133971
121.018311,1.124667
120.002029,1.115093
119.013283,1.105854
118.024460,1.096535
117.008224,1.087017
116.019402,1.077683
115.003166,1.068121
114.014351,1.058925
113.025566,1.049594
112.009323,1.040083
