2,Acura NSX GT3 EVO 22,baseline
Steering Wheel Angle,Yaw Rate
223.000626,1.927930
222.011841,1.920063
221.023071,1.911881
220.006836,1.903828
219.018051,1.895786
218.001816,1.887630
217.013016,1.879585
216.024261,1.871637
215.007996,1.863167
214.019226,1.854872
213.002960,1.846522
212.014175,1.799628
211.025421,1.774704
210.009140,1.768484
209.020386,1.760611
208.004135,1.752545
207.015366,1.744650
206.026566,1.736755
205.010300,1.728580
204.021530,1.720696
203.005295,1.717300
202.016510,1.744897
201.000275,1.744081
200.011475,1.735564
199.022705,1.726715
198.006454,1.717861
197.017670,1.709050
196.001419,1.700061
195.012619,1.691259
194.023849,1.682566
193.007599,1.673621
192.018814,1.664893
191.002563,1.655868
190.013794,1.647133
189.024994,1.638275
188.008728,1.629413
187.019974,1.620649
186.003708,1.611705
185.014938,1.602892
184.026154,1.594004
183.009888,1.584813
182.021133,1.575754
181.004852,1.566416
180.016098,1.557303
178.999817,1.547976
178.011047,1.538876
177.022247,1.529794
176.005981,1.520507
175.017227,1.511940
174.000961,1.503178
173.012192,1.494605
172.023392,1.486083
171.007111,1.477731
170.018356,1.469534
169.002075,1.461178
168.013321,1.452908
167.024506,1.444607
166.008270,1.436030
165.019485,1.427251
164.003220,1.418496
163.014450,1.409697
162.025650,1.401066
161.009415,1.391784
160.020615,1.382769
159.004333,1.373587
158.015564,1.365188
157.026764,1.356399
156.010544,1.347977
155.021729,1.339388
154.005478,1.330308
153.016708,1.321828
152.000443,1.312765
151.011673,1.304190
150.022858,1.295515
149.006622,1.286781
148.017822,1.278120
147.001556,1.269195
146.012772,1.260587
145.023972,1.251958
144.007736,1.243151
143.018936,1.234478
142.002655,1.225683
141.013901,1.217034
140.025085,1.208423
139.008850,1.199742
138.020050,1.191025
137.003769,1.182097
136.014999,1.173591
135.026199,1.164949
134.009964,1.155982
133.021164,1.147438
132.004913,1.138632
131.016113,1.129972
130.027283,1.121416
129.011078,1.112603
128.022263,1.103964
127.006020,1.095144
126.017204,1.086509
125.000938,1.077638
124.012169,1.069064
123.023369,1.060429
122.007118,1.051592
121.018311,1.042933
120.002029,1.034073
119.013283,1.025645
118.024460,1.016995
117.008224,1.008160
116.019402,0.999524
115.003166,0.990659
114.014351,0.982036
