2,Aston Martin DBR9 GT1,baseline
Steering Wheel Angle,Yaw Rate
232.009491,1.449411
231.020752,1.440234
230.004471,1.432634
229.015686,1.427770
227.999451,1.423158
227.010681,1.418632
226.021896,1.413864
225.005646,1.408757
224.016876,1.403605
223.000626,1.397891
222.011841,1.391775
221.023071,1.385574
220.006836,1.379104
219.018051,1.372892
218.001816,1.366501
217.013016,1.360318
216.024261,1.354093
215.007996,1.347180
214.019226,1.340191
213.002960,1.332364
212.014175,1.324234
211.025421,1.318051
210.009140,1.311577
209.020386,1.305278
208.004135,1.300257
207.015366,1.295219
206.026566,1.288594
205.010300,1.282120
204.021530,1.275887
203.005295,1.268787
202.016510,1.262888
201.000275,1.256489
200.011475,1.250044
199.022705,1.243776
198.006454,1.237741
197.017670,1.231397
196.001419,1.224732
195.012619,1.218865
194.023849,1.212514
193.007599,1.205935
192.018814,1.199809
191.002563,1.192971
190.013794,1.187285
189.024994,1.180946
188.008728,1.174733
187.019974,1.168210
186.003708,1.161863
185.014938,1.154985
184.026154,1.149089
183.009888,1.142712
182.021133,1.136337
181.004852,1.130168
180.016098,1.123760
178.999817,1.117771
178.011047,1.110859
177.022247,1.104810
176.005981,1.098511
175.017227,1.092273
174.000961,1.085628
173.012192,1.079786
172.023392,1.073354
171.007111,1.066602
170.018356,1.060705
169.002075,1.053876
168.013321,1.048075
167.024506,1.041465
166.008270,1.035255
165.019485,1.029311
164.003220,1.022595
163.014450,1.016637
162.025650,1.010424
161.009415,1.004119
160.020615,0.997837
159.004333,0.991308
158.015564,0.985136
157.026764,0.978861
156.010544,0.972420
155.021729,0.966086
154.005478,0.959502
153.016708,0.953098
152.000443,0.946831
151.011673,0.940774
150.022858,0.934650
149.006622,0.928180
148.017822,0.922200
147.001556,0.915407
146.012772,0.909113
145.023972,0.903182
144.007736,0.896917
143.018936,0.890392
142.002655,0.883980
141.013901,0.877565
140.025085,0.871431
139.008850,0.865378
138.020050,0.859012
137.003769,0.852665
136.014999,0.846243
135.026199,0.840060
134.009964,0.833605
133.021164,0.827635
132.004913,0.820981
131.016113,0.814860
130.027283,0.808611
129.011078,0.802346
128.022263,0.796043
127.006020,0.789483
126.017204,0.783604
125.000938,0.777243
124.012169,0.770666
123.023369,0.764506
122.007118,0.757961
121.018311,0.751857
120.002029,0.745258
119.013283,0.739499
118.024460,0.733410
117.008224,0.726328
116.019402,0.720388
115.003166,0.714270
114.014351,0.708171
113.025566,0.701549
112.009323,0.695425
111.020508,0.688830
110.004265,0.682424
109.015457,0.676692
108.026642,0.670281
107.010399,0.663615
106.021584,0.657495
105.005371,0.651159
104.016556,0.645435
103.027771,0.638503
102.011497,0.632307
101.022690,0.626232
100.006439,0.619776
99.017632,0.613223
98.001389,0.606746
97.012573,0.600676
96.023758,0.594980
95.007515,0.588262
94.018700,0.581811
93.002457,0.575445
92.013649,0.569527
91.024887,0.563318
90.008591,0.556715
89.019775,0.550672
88.003563,0.544294
87.014717,0.538132
86.025963,0.531752
85.009674,0.525256
84.020859,0.519274
83.004631,0.512659
82.015800,0.506442
81.027039,0.500302
80.010742,0.493860
79.021935,0.487672
78.005684,0.481021
77.016876,0.474989
76.000633,0.468616
75.011818,0.462184
74.023056,0.455958
73.006760,0.449735
72.017944,0.443548
71.001701,0.436988
70.012894,0.430934
69.024109,0.424668
68.007835,0.418180
67.018997,0.412249
66.002754,0.405575
65.013939,0.399260
64.025177,0.393195
63.008881,0.386785
62.020069,0.380499
61.003826,0.374049
60.015011,0.368207
59.026226,0.361642
58.009926,0.355178
57.021172,0.349393
56.004875,0.342963
55.016060,0.336423
54.027275,0.330293
53.011005,0.323838
52.022217,0.317712
51.005924,0.311383
50.017109,0.305106
49.000866,0.298670
48.012054,0.292438
47.023270,0.286112
46.006969,0.279904
45.018211,0.273833
44.001915,0.267459
43.013073,0.261101
42.024315,0.254552
41.008018,0.248160
40.019230,0.242410
39.002964,0.236033
38.014122,0.229620
37.025364,0.223297
36.009068,0.217135
35.020279,0.210991
34.003983,0.204526
33.015167,0.197956
32.026382,0.192010
31.010088,0.185695
30.021326,0.179292
29.005032,0.172801
28.016247,0.166938
27.027433,0.160665
26.011137,0.154336
25.022348,0.148064
24.006052,0.141327
23.017294,0.135270
22.000998,0.129076
21.012157,0.122484
20.023371,0.116408
19.007101,0.110214
18.018314,0.103856
17.002018,0.097543
16.013233,0.091483
15.024419,0.085244
14.008123,0.078510
13.019336,0.072707
12.003040,0.066242
11.014254,0.060006
10.025441,0.053570
9.009144,0.047222
8.020358,0.041064
7.004062,0.035107
6.015275,0.030300
5.026462,0.025317
4.010166,0.020212
3.021353,0.015231
2.005083,0.010131
1.016323,0.005132
0.000000,0.001576
-0.988760,0.005005
-1.977626,0.009969
-2.993896,0.015098
-3.982709,0.020096
-4.998979,0.025173
-5.987792,0.030234
-6.976604,0.035342
-7.992875,0.042106
-8.981688,0.048752
-9.997957,0.055043
-10.986771,0.061094
-11.975583,0.067394
-12.991853,0.073795
-13.980665,0.079758
-14.996989,0.086359
-15.985749,0.092425
-16.974613,0.098974
-17.990831,0.105295
-18.979698,0.111510
-19.995966,0.117837
-20.984779,0.123624
-21.973593,0.130124
-22.989862,0.136693
-23.978676,0.142562
-24.994999,0.148989
-25.983759,0.155620
-27.000082,0.161749
-27.988842,0.167847
-28.977654,0.174037
-29.993923,0.180375
-30.982737,0.186844
-31.999060,0.193347
-32.987873,0.199084
-33.976685,0.205519
-34.992954,0.212193
