2,Aston Martin Vantage GT3 EVO,baseline
Steering Wheel Angle,Yaw Rate
289.001343,1.826725
288.012573,1.820610
287.023834,1.814485
286.007568,1.808709
285.018768,1.802992
284.002563,1.796947
283.013824,1.791211
281.997528,1.785249
281.008789,1.779338
280.020020,1.773535
279.003784,1.715004
278.014984,1.710098
276.998779,1.704454
276.010010,1.698989
275.021179,1.693559
274.005005,1.687976
273.016235,1.682510
271.999969,1.676846
271.011169,1.671191
270.022430,1.665500
269.006195,1.686760
268.017395,1.700701
267.001190,1.694648
266.012421,1.688390
265.023651,1.682056
264.007385,1.675679
263.018616,1.669378
262.002350,1.662795
261.013611,1.656645
260.024841,1.650457
259.008575,1.643934
258.019806,1.637567
257.003571,1.631181
256.014801,1.624911
254.998566,1.618514
254.009781,1.612122
253.021011,1.605901
252.004791,1.599506
251.015961,1.593063
249.999741,1.586169
249.010956,1.579263
248.022217,1.572358
247.005966,1.565181
246.017166,1.558143
245.000916,1.550882
244.012177,1.544032
243.023422,1.537702
242.007141,1.531147
241.018341,1.524832
240.002121,1.518780
239.013351,1.513102
238.024597,1.507406
237.008316,1.501490
236.019547,1.495521
235.003296,1.488925
234.014542,1.482607
233.025772,1.476293
232.009491,1.469561
231.020752,1.462509
230.004471,1.456209
229.015686,1.449848
227.999451,1.443606
227.010681,1.437034
226.021896,1.430802
225.005646,1.424333
224.016876,1.417870
223.000626,1.411600
222.011841,1.405198
221.023071,1.398786
220.006836,1.392514
219.018051,1.386219
218.001816,1.379591
217.013016,1.373225
216.024261,1.366962
215.007996,1.360491
214.019226,1.354079
213.002960,1.347675
212.014175,1.341504
211.025421,1.335032
210.009140,1.328614
209.020386,1.322287
208.004135,1.315744
207.015366,1.309719
206.026566,1.303389
205.010300,1.296646
204.021530,1.290276
203.005295,1.283976
202.016510,1.277622
201.000275,1.271100
200.011475,1.264997
199.022705,1.258453
198.006454,1.252068
197.017670,1.245831
196.001419,1.239317
195.012619,1.232943
194.023849,1.226725
193.007599,1.220104
192.018814,1.213827
191.002563,1.207506
190.013794,1.200999
189.024994,1.194772
188.008728,1.188417
187.019974,1.182102
186.003708,1.175601
185.014938,1.169276
184.026154,1.162964
183.009888,1.156513
182.021133,1.150287
181.004852,1.143739
180.016098,1.137435
178.999817,1.131020
178.011047,1.124719
177.022247,1.118436
176.005981,1.111863
175.017227,1.105624
174.000961,1.099195
173.012192,1.092933
172.023392,1.086558
171.007111,1.080111
170.018356,1.073875
169.002075,1.067465
168.013321,1.061279
167.024506,1.054828
166.008270,1.048433
165.019485,1.042240
164.003220,1.035547
163.014450,1.029323
162.025650,1.023026
161.009415,1.016688
160.020615,1.010246
159.004333,1.003852
158.015564,0.997532
157.026764,0.991118
156.010544,0.984792
155.021729,0.978574
154.005478,0.972025
153.016708,0.965752
152.000443,0.959370
151.011673,0.952991
150.022858,0.946634
149.006622,0.940284
148.017822,0.933911
147.001556,0.927541
146.012772,0.921232
145.023972,0.914951
144.007736,0.908594
143.018936,0.902204
142.002655,0.895893
141.013901,0.889497
140.025085,0.883175
139.008850,0.876824
138.020050,0.870602
137.003769,0.864100
136.014999,0.857822
135.026199,0.851422
134.009964,0.845079
133.021164,0.838729
132.004913,0.832203
131.016113,0.826054
130.027283,0.819768
129.011078,0.813302
128.022263,0.807071
127.006020,0.800506
126.017204,0.794315
125.000938,0.787771
124.012169,0.781611
123.023369,0.775300
122.007118,0.768934
121.018311,0.762498
120.002029,0.756029
119.013283,0.749855
118.024460,0.743722
117.008224,0.737221
116.019402,0.731000
115.003166,0.724332
114.014351,0.718057
113.025566,0.711796
112.009323,0.705503
111.020508,0.699161
110.004265,0.692689
109.015457,0.686394
108.026642,0.680120
107.010399,0.673659
106.021584,0.667354
105.005371,0.660920
104.016556,0.654698
103.027771,0.648422
102.011497,0.641900
101.022690,0.635651
100.006439,0.629197
99.017632,0.622929
98.001389,0.616417
97.012573,0.610245
96.023758,0.603895
95.007515,0.597453
94.018700,0.591301
93.002457,0.584842
92.013649,0.578483
91.024887,0.572166
90.008591,0.565705
89.019775,0.559513
88.003563,0.553098
87.014717,0.546796
86.025963,0.540508
85.009674,0.534057
84.020859,0.527856
83.004631,0.521482
82.015800,0.515106
81.027039,0.508819
80.010742,0.502342
79.021935,0.496219
78.005684,0.489786
77.016876,0.483440
76.000633,0.476888
75.011818,0.470851
74.023056,0.464342
73.006760,0.457953
72.017944,0.451783
71.001701,0.445227
70.012894,0.439027
69.024109,0.432841
68.007835,0.426316
67.018997,0.419973
66.002754,0.413648
65.013939,0.407264
64.025177,0.401199
63.008881,0.394506
62.020069,0.388383
61.003826,0.381988
60.015011,0.375687
59.026226,0.369273
58.009926,0.362955
57.021172,0.356744
56.004875,0.350158
55.016060,0.343963
54.027275,0.337689
53.011005,0.331189
52.022217,0.325019
51.005924,0.318478
50.017109,0.312276
49.000866,0.305926
48.012054,0.299533
47.023270,0.293323
46.006969,0.286885
45.018211,0.280587
44.001915,0.274206
43.013073,0.267847
42.024315,0.261631
41.008018,0.255227
40.019230,0.248854
39.002964,0.242574
38.014122,0.236074
37.025364,0.230108
36.009068,0.223437
35.020279,0.217205
34.003983,0.210831
33.015167,0.204546
32.026382,0.198264
31.010088,0.191826
30.021326,0.185613
29.005032,0.179176
28.016247,0.172778
27.027433,0.166662
26.011137,0.160075
25.022348,0.153893
24.006052,0.147462
23.017294,0.141065
22.000998,0.134784
21.012157,0.128405
20.023371,0.122247
19.007101,0.115652
18.018314,0.109417
17.002018,0.103099
16.013233,0.096816
15.024419,0.090408
14.008123,0.084092
13.019336,0.077764
12.003040,0.071340
11.014254,0.065188
10.025441,0.058792
9.009144,0.052491
8.020358,0.046151
7.004062,0.039869
6.015275,0.033374
5.026462,0.027135
4.010166,0.021189
3.021353,0.015892
2.005083,0.010477
1.016323,0.005265
0.000000,0.001201
-0.988760,0.005481
-1.977626,0.010661
-2.993896,0.016071
-3.982709,0.021367
-4.998979,0.027019
-5.987792,0.033232
-6.976604,0.039595
-7.992875,0.045938
-8.981688,0.052322
-9.997957,0.058643
-10.986771,0.064984
-11.975583,0.071295
-12.991853,0.077487
-13.980665,0.083987
-14.996989,0.090332
-15.985749,0.096588
-16.974613,0.102821
-17.990831,0.109396
-18.979698,0.115528
-19.995966,0.122101
-20.984779,0.128206
-21.973593,0.134673
-22.989862,0.140957
-23.978676,0.147148
