2,Aston Martin Vantage GT4,baseline
Steering Wheel Angle,Yaw Rate
273.016235,1.540324
271.999969,1.534341
271.011169,1.528907
270.022430,1.523591
269.006195,1.518107
268.017395,1.513484
267.001190,1.508650
266.012421,1.503731
265.023651,1.498654
264.007385,1.493428
263.018616,1.488403
262.002350,1.483199
261.013611,1.478143
260.024841,1.473036
259.008575,1.467713
258.019806,1.462097
257.003571,1.456160
256.014801,1.443848
254.998566,1.444697
254.009781,1.438344
253.021011,1.434067
252.004791,1.426973
251.015961,1.426700
249.999741,1.408116
249.010956,1.406736
248.022217,1.404608
247.005966,1.398089
246.017166,1.390034
245.000916,1.382627
244.012177,1.377010
243.023422,1.371935
242.007141,1.367501
241.018341,1.362432
240.002121,1.357028
239.013351,1.351698
238.024597,1.345998
237.008316,1.340028
236.019547,1.334198
235.003296,1.327815
234.014542,1.322217
233.025772,1.317205
232.009491,1.310714
231.020752,1.304103
230.004471,1.299619
229.015686,1.294937
227.999451,1.288090
227.010681,1.281106
226.021896,1.276662
225.005646,1.272027
224.016876,1.265621
223.000626,1.258251
222.011841,1.253277
221.023071,1.249145
220.006836,1.243123
219.018051,1.235924
218.001816,1.230060
217.013016,1.226067
216.024261,1.220498
215.007996,1.213306
214.019226,1.207137
213.002960,1.202936
212.014175,1.197708
211.025421,1.190744
210.009140,1.184279
209.020386,1.180064
208.004135,1.174883
207.015366,1.167982
206.026566,1.161356
205.010300,1.156866
204.021530,1.152238
203.005295,1.145509
202.016510,1.138556
201.000275,1.133568
200.011475,1.129327
199.022705,1.123034
198.006454,1.116000
197.017670,1.110384
196.001419,1.105976
195.012619,1.100659
194.023849,1.093655
193.007599,1.087263
192.018814,1.083140
191.002563,1.077811
190.013794,1.071128
189.024994,1.064480
188.008728,1.059876
187.019974,1.055213
186.003708,1.048638
185.014938,1.041649
184.026154,1.036669
183.009888,1.032326
182.021133,1.026176
181.004852,1.018959
180.016098,1.013492
178.999817,1.009228
178.011047,1.003431
177.022247,0.996334
176.005981,0.990582
175.017227,0.986406
174.000961,0.980736
173.012192,0.973691
172.023392,0.967748
171.007111,0.963405
170.018356,0.958122
169.002075,0.950950
168.013321,0.944694
167.024506,0.940645
166.008270,0.935323
165.019485,0.928393
164.003220,0.921730
163.014450,0.917378
162.025650,0.912806
161.009415,0.906037
160.020615,0.899050
159.004333,0.894135
158.015564,0.889696
157.026764,0.883572
156.010544,0.876386
155.021729,0.871231
154.005478,0.866790
153.016708,0.860751
152.000443,0.853519
151.011673,0.848325
150.022858,0.843948
149.006622,0.838008
148.017822,0.831051
147.001556,0.825155
146.012772,0.820907
145.023972,0.815631
144.007736,0.808503
143.018936,0.802316
142.002655,0.797842
141.013901,0.792760
140.025085,0.785887
139.008850,0.779475
138.020050,0.774986
137.003769,0.770015
136.014999,0.763445
135.026199,0.756614
134.009964,0.751762
133.021164,0.747327
132.004913,0.740779
131.016113,0.733854
130.027283,0.728914
129.011078,0.724439
128.022263,0.718355
127.006020,0.711252
126.017204,0.705719
125.000938,0.701403
124.012169,0.695677
123.023369,0.688790
122.007118,0.682800
121.018311,0.678587
120.002029,0.672817
119.013283,0.666016
118.024460,0.660062
117.008224,0.655563
116.019402,0.650455
115.003166,0.643594
114.014351,0.636992
113.025566,0.632430
112.009323,0.627667
111.020508,0.621455
110.004265,0.614299
109.015457,0.608960
108.026642,0.604743
107.010399,0.599005
106.021584,0.592114
105.005371,0.585706
104.016556,0.581310
103.027771,0.576611
102.011497,0.569982
101.022690,0.563597
100.006439,0.557634
99.017632,0.552483
98.001389,0.547340
97.012573,0.542319
96.023758,0.536213
95.007515,0.529061
94.018700,0.523273
93.002457,0.518819
92.013649,0.513841
