2,Audi 90 Quattro GTO,baseline
Steering Wheel Angle,Yaw Rate
217.013016,1.439323
216.024261,1.432106
215.007996,1.425189
214.019226,1.418671
213.002960,1.412792
212.014175,1.407103
211.025421,1.401430
210.009140,1.395525
209.020386,1.389710
208.004135,1.383590
207.015366,1.377134
206.026566,1.370564
205.010300,1.363657
204.021530,1.357024
203.005295,1.349513
202.016510,1.341929
201.000275,1.334210
200.011475,1.327693
199.022705,1.321106
198.006454,1.314707
197.017670,1.308422
196.001419,1.301113
195.012619,1.294841
194.023849,1.288281
193.007599,1.281505
192.018814,1.274829
191.002563,1.267995
190.013794,1.261302
189.024994,1.254696
188.008728,1.247689
187.019974,1.241169
186.003708,1.234291
185.014938,1.227706
184.026154,1.221004
183.009888,1.214168
182.021133,1.207344
181.004852,1.200681
180.016098,1.193891
178.999817,1.187207
178.011047,1.180415
177.022247,1.173997
176.005981,1.167178
175.017227,1.160481
174.000961,1.153540
173.012192,1.147020
172.023392,1.140367
171.007111,1.133551
170.018356,1.126870
169.002075,1.120114
168.013321,1.113376
167.024506,1.106774
166.008270,1.100027
165.019485,1.093243
164.003220,1.086351
163.014450,1.079818
162.025650,1.073215
161.009415,1.066389
160.020615,1.059708
159.004333,1.052868
158.015564,1.046305
157.026764,1.039570
156.010544,1.032904
155.021729,1.026227
154.005478,1.019415
153.016708,1.012688
152.000443,1.006000
151.011673,0.999298
150.022858,0.992625
149.006622,0.985829
148.017822,0.979168
147.001556,0.972394
146.012772,0.965695
145.023972,0.959199
144.007736,0.952100
143.018936,0.945600
142.002655,0.938734
141.013901,0.932165
140.025085,0.925406
139.008850,0.918658
138.020050,0.912052
137.003769,0.905150
136.014999,0.898590
135.026199,0.892062
134.009964,0.884940
133.021164,0.878530
132.004913,0.871704
131.016113,0.865001
130.027283,0.858257
129.011078,0.851650
128.022263,0.844773
127.006020,0.838108
126.017204,0.831557
125.000938,0.824480
124.012169,0.817931
123.023369,0.811520
122.007118,0.804662
121.018311,0.797843
120.002029,0.791029
119.013283,0.784398
118.024460,0.777787
117.008224,0.771053
116.019402,0.764496
115.003166,0.757623
114.014351,0.750910
113.025566,0.743905
112.009323,0.737316
111.020508,0.730857
110.004265,0.723906
109.015457,0.717402
108.026642,0.710557
107.010399,0.703786
106.021584,0.697237
105.005371,0.690177
104.016556,0.683766
103.027771,0.677093
102.011497,0.670282
101.022690,0.663695
100.006439,0.656741
99.017632,0.650208
98.001389,0.643276
97.012573,0.636694
96.023758,0.630025
95.007515,0.623143
94.018700,0.616589
93.002457,0.609584
92.013649,0.602942
91.024887,0.596195
90.008591,0.589513
89.019775,0.582985
88.003563,0.576118
87.014717,0.569486
86.025963,0.562831
85.009674,0.555922
84.020859,0.549451
83.004631,0.542364
82.015800,0.535970
81.027039,0.529145
80.010742,0.522265
79.021935,0.515721
78.005684,0.508641
77.016876,0.502391
76.000633,0.495283
75.011818,0.488540
74.023056,0.482099
73.006760,0.475323
72.017944,0.468648
71.001701,0.461672
70.012894,0.455198
69.024109,0.448637
68.007835,0.441568
67.018997,0.435201
66.002754,0.427937
65.013939,0.421473
64.025177,0.414788
63.008881,0.408175
62.020069,0.401295
61.003826,0.394514
60.015011,0.387990
59.026226,0.381324
58.009926,0.374439
57.021172,0.367593
56.004875,0.360865
55.016060,0.354314
54.027275,0.347571
53.011005,0.340706
52.022217,0.334313
51.005924,0.327441
50.017109,0.320771
49.000866,0.313924
48.012054,0.307404
47.023270,0.300791
46.006969,0.293861
45.018211,0.287002
44.001915,0.280154
43.013073,0.273797
42.024315,0.267207
41.008018,0.260242
40.019230,0.253491
39.002964,0.246865
38.014122,0.240170
37.025364,0.233215
36.009068,0.226451
35.020279,0.220194
34.003983,0.213310
33.015167,0.206504
32.026382,0.199917
31.010088,0.193091
30.021326,0.186499
29.005032,0.179571
28.016247,0.173076
27.027433,0.166424
26.011137,0.159522
25.022348,0.152948
24.006052,0.146056
23.017294,0.139517
22.000998,0.132412
21.012157,0.125810
20.023371,0.119486
19.007101,0.112462
18.018314,0.105862
17.002018,0.098945
16.013233,0.092488
15.024419,0.085838
14.008123,0.078628
13.019336,0.072060
12.003040,0.065522
11.014254,0.058968
10.025441,0.052023
9.009144,0.045114
8.020358,0.038648
7.004062,0.031825
