2,Audi R18 2016,baseline
Steering Wheel Angle,Yaw Rate
322.015228,1.948203
320.998962,1.942510
320.010193,1.937610
319.021454,1.932520
318.005219,1.927189
317.016479,1.861601
316.000183,1.854602
315.011414,1.848698
314.022675,1.847320
313.006470,1.849173
312.017700,1.843541
311.001404,1.838131
310.012665,1.832799
309.023926,1.827217
308.007690,1.821368
307.018921,1.815483
306.002686,1.809617
305.013916,1.803791
303.997681,1.789813
303.008911,1.780554
302.020142,1.774988
301.003906,1.769025
300.015137,1.763198
298.998901,1.757404
298.010132,1.751526
297.021332,1.745900
296.005127,1.740216
295.016357,1.734420
294.000153,1.734061
293.011322,1.767646
292.022583,1.771395
291.006378,1.764239
290.017578,1.758375
289.001343,1.752032
288.012573,1.745950
287.023834,1.739891
286.007568,1.733504
285.018768,1.727472
284.002563,1.721080
283.013824,1.714999
281.997528,1.708788
281.008789,1.702651
280.020020,1.696616
279.003784,1.690340
278.014984,1.684207
276.998779,1.677903
276.010010,1.671834
275.021179,1.665755
274.005005,1.659470
273.016235,1.653359
271.999969,1.646989
271.011169,1.640489
270.022430,1.633777
269.006195,1.626729
268.017395,1.620447
267.001190,1.614080
266.012421,1.608005
265.023651,1.602263
264.007385,1.596494
263.018616,1.590495
262.002350,1.584293
261.013611,1.577698
260.024841,1.571914
259.008575,1.565328
258.019806,1.559434
257.003571,1.552876
256.014801,1.547112
254.998566,1.540536
254.009781,1.534695
253.021011,1.528448
252.004791,1.522355
251.015961,1.516024
249.999741,1.509796
249.010956,1.504016
248.022217,1.497679
247.005966,1.491411
246.017166,1.485335
245.000916,1.479206
244.012177,1.472955
243.023422,1.466848
242.007141,1.460657
241.018341,1.454721
240.002121,1.448379
239.013351,1.442351
238.024597,1.436403
237.008316,1.429889
236.019547,1.423842
235.003296,1.417766
234.014542,1.411453
233.025772,1.405470
232.009491,1.399254
231.020752,1.393302
230.004471,1.386950
229.015686,1.380937
227.999451,1.374671
227.010681,1.368530
226.021896,1.362615
225.005646,1.356288
224.016876,1.350331
223.000626,1.343985
222.011841,1.337816
221.023071,1.331820
220.006836,1.325659
219.018051,1.319524
218.001816,1.313367
217.013016,1.307396
216.024261,1.301237
215.007996,1.294957
214.019226,1.289024
213.002960,1.282652
212.014175,1.276697
211.025421,1.270740
210.009140,1.264418
209.020386,1.258298
