2,Audi R8 LMS,baseline
Steering Wheel Angle,Yaw Rate
257.003571,1.520306
256.014801,1.515131
254.998566,1.509502
254.009781,1.503983
253.021011,1.498807
252.004791,1.493283
251.015961,1.488020
249.999741,1.482329
249.010956,1.476853
248.022217,1.471331
247.005966,1.465566
246.017166,1.459949
245.000916,1.454137
244.012177,1.448525
243.023422,1.442707
242.007141,1.436810
241.018341,1.431027
240.002121,1.425053
239.013351,1.419201
238.024597,1.413206
237.008316,1.406758
236.019547,1.400564
235.003296,1.394276
234.014542,1.388086
233.025772,1.381705
232.009491,1.375167
231.020752,1.368795
230.004471,1.362402
229.015686,1.356112
227.999451,1.349967
227.010681,1.344066
226.021896,1.338146
225.005646,1.332055
224.016876,1.326355
223.000626,1.320604
222.011841,1.314574
221.023071,1.308611
220.006836,1.302447
219.018051,1.296329
218.001816,1.290098
217.013016,1.284138
216.024261,1.278289
215.007996,1.272443
214.019226,1.266624
213.002960,1.260592
212.014175,1.254520
211.025421,1.248579
210.009140,1.242411
209.020386,1.236464
208.004135,1.230371
207.015366,1.224435
206.026566,1.218565
205.010300,1.212395
204.021530,1.206530
203.005295,1.200415
202.016510,1.194336
201.000275,1.188336
200.011475,1.182317
199.022705,1.176215
198.006454,1.170253
197.017670,1.164222
196.001419,1.157980
195.012619,1.152194
194.023849,1.146106
193.007599,1.140207
192.018814,1.134426
191.002563,1.128355
190.013794,1.122382
189.024994,1.116395
188.008728,1.110273
187.019974,1.104421
186.003708,1.098198
185.014938,1.092341
184.026154,1.086300
183.009888,1.080175
182.021133,1.074321
181.004852,1.068270
180.016098,1.062321
178.999817,1.056191
178.011047,1.050255
177.022247,1.044408
176.005981,1.038285
175.017227,1.032393
174.000961,1.026309
173.012192,1.020303
172.023392,1.014394
171.007111,1.008259
170.018356,1.002258
169.002075,0.996141
168.013321,0.990207
167.024506,0.984174
166.008270,0.978092
165.019485,0.972370
164.003220,0.966521
163.014450,0.960636
162.025650,0.954802
161.009415,0.948626
160.020615,0.942627
159.004333,0.936610
158.015564,0.930751
157.026764,0.924639
156.010544,0.918756
155.021729,0.912704
154.005478,0.906483
153.016708,0.900621
152.000443,0.894642
151.011673,0.888816
150.022858,0.882967
149.006622,0.876866
148.017822,0.870905
147.001556,0.864803
146.012772,0.858879
145.023972,0.852861
144.007736,0.846705
143.018936,0.840695
142.002655,0.834542
141.013901,0.828645
140.025085,0.822897
139.008850,0.817008
138.020050,0.811159
137.003769,0.805099
136.014999,0.799209
135.026199,0.793241
134.009964,0.787176
133.021164,0.781268
132.004913,0.775038
131.016113,0.769203
130.027283,0.763187
129.011078,0.757055
128.022263,0.750977
127.006020,0.744916
126.017204,0.739143
125.000938,0.733259
124.012169,0.727437
123.023369,0.721608
122.007118,0.715548
121.018311,0.709557
120.002029,0.703477
119.013283,0.697532
118.024460,0.691580
117.008224,0.685444
116.019402,0.679405
115.003166,0.673215
114.014351,0.667326
113.025566,0.661498
112.009323,0.655506
111.020508,0.649876
110.004265,0.643819
109.015457,0.637863
108.026642,0.631930
107.010399,0.625781
106.021584,0.619718
105.005371,0.613539
104.016556,0.607587
103.027771,0.601849
102.011497,0.595918
101.022690,0.590184
100.006439,0.584102
99.017632,0.578159
98.001389,0.572094
97.012573,0.565983
96.023758,0.559941
95.007515,0.553884
94.018700,0.547915
93.002457,0.542044
92.013649,0.536309
91.024887,0.530489
90.008591,0.524453
89.019775,0.518485
88.003563,0.512295
87.014717,0.506302
86.025963,0.500241
85.009674,0.494163
84.020859,0.488383
83.004631,0.482483
82.015800,0.476727
81.027039,0.470780
80.010742,0.464677
79.021935,0.458726
78.005684,0.452602
77.016876,0.446555
76.000633,0.440442
75.011818,0.434577
74.023056,0.428751
73.006760,0.422830
72.017944,0.417030
71.001701,0.411027
70.012894,0.405110
69.024109,0.399158
68.007835,0.392959
67.018997,0.386953
66.002754,0.380834
65.013939,0.374916
64.025177,0.369060
63.008881,0.363099
62.020069,0.357316
61.003826,0.351363
60.015011,0.345503
59.026226,0.339619
58.009926,0.333449
57.021172,0.327462
56.004875,0.321277
55.016060,0.315335
54.027275,0.309460
53.011005,0.303405
52.022217,0.297683
51.005924,0.291747
50.017109,0.285932
49.000866,0.279834
48.012054,0.273905
47.023270,0.267833
46.006969,0.261754
45.018211,0.255773
44.001915,0.249669
43.013073,0.243786
42.024315,0.238082
41.008018,0.232086
40.019230,0.226301
39.002964,0.220207
38.014122,0.214285
37.025364,0.208248
36.009068,0.202223
35.020279,0.196219
34.003983,0.190067
33.015167,0.184311
32.026382,0.178580
31.010088,0.172602
30.021326,0.166697
29.005032,0.160576
28.016247,0.154662
27.027433,0.148702
26.011137,0.142515
25.022348,0.136526
24.006052,0.130514
23.017294,0.124742
22.000998,0.118774
21.012157,0.112993
20.023371,0.107123
19.007101,0.100929
18.018314,0.095430
17.002018,0.090147
16.013233,0.084868
15.024419,0.079689
14.008123,0.074330
13.019336,0.069022
12.003040,0.063682
11.014254,0.058449
10.025441,0.053250
9.009144,0.047827
8.020358,0.042562
7.004062,0.037184
6.015275,0.031912
5.026462,0.026714
4.010166,0.021371
3.021353,0.016091
2.005083,0.010752
1.016323,0.005510
0.000000,0.001528
-0.988760,0.005102
-1.977626,0.010411
-2.993896,0.015755
-3.982709,0.020986
-4.998979,0.026384
-5.987792,0.031614
-6.976604,0.036843
-7.992875,0.042199
-8.981688,0.047415
-9.997957,0.052824
-10.986771,0.058013
-11.975583,0.063237
-12.991853,0.068664
-13.980665,0.073875
-14.996989,0.079225
-15.985749,0.084544
-16.974613,0.089776
-17.990831,0.095105
-18.979698,0.100796
-19.995966,0.106933
-20.984779,0.112758
-21.973593,0.118656
-22.989862,0.124586
-23.978676,0.130412
-24.994999,0.136414
-25.983759,0.142380
-27.000082,0.148594
-27.988842,0.154513
-28.977654,0.160500
-29.993923,0.166429
-30.982737,0.172273
-31.999060,0.178312
-32.987873,0.184090
-33.976685,0.189927
-34.992954,0.196058
-35.981770,0.201949
-36.998093,0.208109
-37.986855,0.214056
-38.975719,0.220027
-39.991932,0.226163
-40.980801,0.231995
-41.997017,0.238036
-42.985882,0.243806
-43.974697,0.249577
-44.990967,0.255665
-45.979778,0.261668
-46.996048,0.267753
-47.984913,0.273728
-48.973728,0.279708
-49.989998,0.285765
-50.978813,0.291613
-51.995083,0.297472
-52.983894,0.303247
-54.000217,0.309369
-54.989029,0.315231
-55.977844,0.321209
-56.994110,0.327348
-57.982929,0.333351
-58.999199,0.339518
-59.988010,0.345378
-60.976871,0.351166
-61.993145,0.357082
-62.981956,0.362887
-63.998226,0.368967
-64.987038,0.374793
-65.975906,0.380760
-66.992180,0.386908
-67.980995,0.392923
-68.997253,0.399085
-69.986069,0.405049
-70.974884,0.410841
-71.991211,0.416729
-72.980019,0.422509
-73.996292,0.428615
-74.985161,0.434423
-75.973915,0.440398
-76.990234,0.446467
-77.979050,0.452476
-78.995323,0.458681
-79.984192,0.464594
-81.000404,0.470681
-81.989273,0.476469
-82.978142,0.482254
-83.994354,0.488240
-84.983215,0.494098
-85.999489,0.500159
-86.988304,0.506109
-87.977112,0.511967
-88.993439,0.518095
-89.982254,0.524074
-90.998520,0.530230
-91.987381,0.536231
-92.976151,0.542232
-93.992470,0.548208
-94.981339,0.554013
-95.997551,0.559997
-96.986420,0.565854
-97.975182,0.571578
-98.991501,0.577738
-99.980316,0.583684
-100.996635,0.589631
-101.985451,0.595559
-103.001717,0.601849
-103.990585,0.607774
-104.979347,0.613841
-105.995674,0.620020
-106.984535,0.625879
-108.000801,0.631727
-108.989616,0.637495
-109.978432,0.643341
-110.994759,0.649461
-111.983620,0.655256
-112.999840,0.661352
-113.988701,0.667281
-114.977516,0.673372
-115.993790,0.679781
-116.982597,0.685546
-117.998917,0.691696
-118.987793,0.697411
-119.976540,0.703132
-120.992874,0.709099
-121.981682,0.714913
-122.998009,0.721127
-123.986816,0.726934
-124.975624,0.732946
-125.991959,0.739173
-126.980713,0.745276
-127.997040,0.751329
-128.985855,0.757128
-130.002182,0.763213
-130.991043,0.768934
-131.979797,0.774727
-132.996124,0.780828
-133.984924,0.786600
-135.001266,0.792755
-135.990128,0.798700
-136.978897,0.804710
-137.995209,0.810760
-138.984009,0.816596
-140.000351,0.822734
-140.989212,0.828565
-141.977966,0.834525
-142.994293,0.840631
-143.983093,0.846584
-144.999435,0.852742
-145.988190,0.858804
-146.977051,0.864702
-147.993378,0.870574
-148.982193,0.876280
-149.998520,0.882278
-150.987274,0.888249
-151.976135,0.894111
-152.992462,0.900188
-153.981277,0.906209
-154.997604,0.912182
-155.986404,0.918241
-157.002731,0.924377
-157.991592,0.930328
-158.980362,0.936363
-159.996674,0.942412
-160.985504,0.948435
-162.001816,0.954528
-162.990631,0.960283
-163.979446,0.965984
-164.995819,0.971977
-165.984589,0.977925
-167.000900,0.983981
-167.989716,0.989959
-168.978577,0.995911
-169.994904,1.001986
-170.983719,1.007892
-172.000046,1.013950
-172.988800,1.019900
-173.977661,1.025845
-174.993927,1.031861
-175.982803,1.037932
-176.999130,1.043979
-177.987946,1.049762
-178.976807,1.055699
-179.993011,1.061832
-180.981888,1.067692
-181.998260,1.073770
-182.987030,1.079699
-184.003342,1.085820
-184.992157,1.091683
-185.981033,1.097697
-186.997345,1.103735
-187.986160,1.109653
-189.002487,1.115752
-189.991287,1.121697
