2,Audi R8 LMS EVO II GT3,baseline
Steering Wheel Angle,Yaw Rate
280.020020,1.741172
279.003784,1.735594
278.014984,1.726734
276.998779,1.724474
276.010010,1.721413
275.021179,1.716419
274.005005,1.709927
273.016235,1.703825
271.999969,1.698288
271.011169,1.692905
270.022430,1.687397
269.006195,1.681646
268.017395,1.676201
267.001190,1.670385
266.012421,1.664801
265.023651,1.659016
264.007385,1.653213
263.018616,1.647449
262.002350,1.641457
261.013611,1.635666
260.024841,1.629804
259.008575,1.623768
258.019806,1.617758
257.003571,1.611637
256.014801,1.605598
254.998566,1.599241
254.009781,1.592985
253.021011,1.586758
252.004791,1.580081
251.015961,1.573524
249.999741,1.566031
249.010956,1.558154
248.022217,1.552937
247.005966,1.547631
246.017166,1.540517
245.000916,1.532096
244.012177,1.528020
243.023422,1.522037
242.007141,1.515710
241.018341,1.509189
240.002121,1.502313
239.013351,1.495485
238.024597,1.488585
237.008316,1.481507
236.019547,1.474470
235.003296,1.467262
234.014542,1.460281
233.025772,1.453271
232.009491,1.446047
231.020752,1.439044
230.004471,1.431923
229.015686,1.425146
227.999451,1.418986
227.010681,1.412730
226.021896,1.407083
225.005646,1.398790
224.016876,1.395416
223.000626,1.389223
222.011841,1.383656
221.023071,1.378111
220.006836,1.372270
219.018051,1.366669
218.001816,1.360670
217.013016,1.354806
216.024261,1.349022
215.007996,1.343211
214.019226,1.337184
213.002960,1.330192
212.014175,1.322729
211.025421,1.317661
210.009140,1.314414
209.020386,1.306753
208.004135,1.299599
207.015366,1.293152
206.026566,1.286696
205.010300,1.279847
204.021530,1.273112
203.005295,1.266090
202.016510,1.259197
201.000275,1.252057
200.011475,1.245135
199.022705,1.238220
198.006454,1.230994
197.017670,1.224778
196.001419,1.218329
195.012619,1.212064
194.023849,1.206135
193.007599,1.196373
192.018814,1.193990
191.002563,1.188074
190.013794,1.182716
189.024994,1.177105
188.008728,1.171193
187.019974,1.165336
186.003708,1.158885
185.014938,1.151767
184.026154,1.146335
183.009888,1.140357
182.021133,1.134083
181.004852,1.128943
180.016098,1.120506
178.999817,1.113197
178.011047,1.107733
177.022247,1.101321
176.005981,1.096779
175.017227,1.090781
174.000961,1.084112
173.012192,1.077682
172.023392,1.071076
171.007111,1.064161
170.018356,1.057365
169.002075,1.050239
168.013321,1.043510
167.024506,1.036602
166.008270,1.030081
165.019485,1.023846
164.003220,1.017439
163.014450,1.011297
162.025650,1.005869
161.009415,0.998948
160.020615,0.993875
159.004333,0.987545
158.015564,0.981405
157.026764,0.976139
156.010544,0.969461
155.021729,0.963650
154.005478,0.956631
153.016708,0.950178
152.000443,0.944408
151.011673,0.937666
150.022858,0.931359
149.006622,0.926414
148.017822,0.919211
147.001556,0.913058
146.012772,0.907849
145.023972,0.899605
144.007736,0.895943
143.018936,0.886520
142.002655,0.882389
141.013901,0.877676
140.025085,0.869376
139.008850,0.859567
138.020050,0.856838
137.003769,0.852467
136.014999,0.844896
135.026199,0.838525
134.009964,0.831994
133.021164,0.825413
132.004913,0.818571
131.016113,0.811837
130.027283,0.804991
129.011078,0.798080
128.022263,0.791839
127.006020,0.785499
126.017204,0.779254
125.000938,0.770188
124.012169,0.766959
123.023369,0.758290
122.007118,0.755125
121.018311,0.749365
120.002029,0.743090
119.013283,0.737276
118.024460,0.730899
117.008224,0.723831
116.019402,0.716999
115.003166,0.710830
114.014351,0.704355
113.025566,0.699207
112.009323,0.692720
111.020508,0.684842
110.004265,0.680108
109.015457,0.673723
108.026642,0.665634
107.010399,0.659709
106.021584,0.654596
105.005371,0.649403
104.016556,0.641934
103.027771,0.635286
102.011497,0.629993
101.022690,0.624088
100.006439,0.617246
99.017632,0.610130
98.001389,0.605704
97.012573,0.598638
96.023758,0.592670
95.007515,0.586847
94.018700,0.580113
93.002457,0.573232
92.013649,0.568350
91.024887,0.561454
90.008591,0.554180
89.019775,0.547930
88.003563,0.543811
87.014717,0.535165
86.025963,0.529553
85.009674,0.523543
84.020859,0.517507
83.004631,0.510608
82.015800,0.504971
81.027039,0.498424
80.010742,0.492055
79.021935,0.487574
78.005684,0.478715
77.016876,0.472998
76.000633,0.468087
75.011818,0.461642
74.023056,0.454795
73.006760,0.448025
72.017944,0.441380
71.001701,0.434952
70.012894,0.428830
69.024109,0.423099
68.007835,0.416792
67.018997,0.410194
66.002754,0.403897
65.013939,0.398391
64.025177,0.392049
63.008881,0.385274
62.020069,0.379224
61.003826,0.373280
60.015011,0.366982
59.026226,0.360503
58.009926,0.353832
57.021172,0.347888
56.004875,0.340885
55.016060,0.335178
54.027275,0.329279
53.011005,0.322595
52.022217,0.316456
51.005924,0.310032
50.017109,0.304036
49.000866,0.297334
48.012054,0.291423
47.023270,0.285767
46.006969,0.278896
45.018211,0.273111
44.001915,0.266388
43.013073,0.259887
42.024315,0.254154
41.008018,0.247479
40.019230,0.241228
39.002964,0.234932
38.014122,0.228999
37.025364,0.223145
36.009068,0.216324
35.020279,0.209902
34.003983,0.204062
33.015167,0.198029
32.026382,0.191374
31.010088,0.184783
30.021326,0.179131
29.005032,0.172674
28.016247,0.166107
27.027433,0.160214
26.011137,0.153878
25.022348,0.147879
24.006052,0.141035
23.017294,0.134782
22.000998,0.128234
21.012157,0.122724
20.023371,0.116672
19.007101,0.109902
18.018314,0.103816
17.002018,0.097008
16.013233,0.090783
15.024419,0.084831
14.008123,0.078343
13.019336,0.072465
12.003040,0.066336
11.014254,0.059840
10.025441,0.053606
9.009144,0.047697
8.020358,0.042456
7.004062,0.037153
6.015275,0.031867
5.026462,0.026587
4.010166,0.021247
3.021353,0.016132
2.005083,0.010687
1.016323,0.005464
0.000000,0.001145
-0.988760,0.005144
-1.977626,0.010364
-2.993896,0.015698
-3.982709,0.020920
-4.998979,0.026253
-5.987792,0.031495
-6.976604,0.036796
-7.992875,0.042060
-8.981688,0.047298
-9.997957,0.054059
-10.986771,0.059186
-11.975583,0.065525
-12.991853,0.071973
-13.980665,0.078042
-14.996989,0.083983
-15.985749,0.090540
-16.974613,0.096982
-17.990831,0.103131
-18.979698,0.109178
-19.995966,0.115723
-20.984779,0.122024
-21.973593,0.127976
-22.989862,0.134656
-23.978676,0.140359
-24.994999,0.147224
-25.983759,0.153214
-27.000082,0.159760
-27.988842,0.165961
-28.977654,0.171908
-29.993923,0.178101
-30.982737,0.184369
-31.999060,0.190570
-32.987873,0.196800
-33.976685,0.203641
-34.992954,0.209991
-35.981770,0.215833
-36.998093,0.221719
-37.986855,0.228031
-38.975719,0.234452
-39.991932,0.240652
-40.980801,0.246991
-41.997017,0.253940
-42.985882,0.259685
-43.974697,0.265612
-44.990967,0.271783
-45.979778,0.278109
-46.996048,0.284803
-47.984913,0.290832
-48.973728,0.297383
-49.989998,0.303305
-50.978813,0.309777
-51.995083,0.315817
-52.983894,0.322009
-54.000217,0.328392
-54.989029,0.335152
-55.977844,0.340948
-56.994110,0.347859
-57.982929,0.353545
-58.999199,0.360368
-59.988010,0.366439
-60.976871,0.372541
-61.993145,0.378488
-62.981956,0.384630
-63.998226,0.391581
-64.987038,0.397881
-65.975906,0.403556
-66.992180,0.410056
-67.980995,0.416639
-68.997253,0.422869
-69.986069,0.428835
-70.974884,0.435460
-71.991211,0.441213
-72.980019,0.447603
-73.996292,0.453729
-74.985161,0.460380
-75.973915,0.466390
-76.990234,0.472707
-77.979050,0.478636
-78.995323,0.485412
-79.984192,0.491588
-81.000404,0.497815
-81.989273,0.503775
-82.978142,0.510261
-83.994354,0.517117
-84.983215,0.523274
-85.999489,0.529263
-86.988304,0.535339
-87.977112,0.541653
-88.993439,0.548254
-89.982254,0.553819
-90.998520,0.561051
-91.987381,0.566825
-92.976151,0.572974
-93.992470,0.579269
-94.981339,0.585491
-95.997551,0.592046
-96.986420,0.598384
-97.975182,0.603625
-98.991501,0.611112
-99.980316,0.616927
-100.996635,0.623729
-101.985451,0.629268
-103.001717,0.635831
-103.990585,0.641923
-104.979347,0.648259
-105.995674,0.654446
-106.984535,0.660897
-108.000801,0.667206
-108.989616,0.673409
-109.978432,0.679725
-110.994759,0.686440
-111.983620,0.693419
-112.999840,0.698582
-113.988701,0.704794
-114.977516,0.711295
-115.993790,0.718590
-116.982597,0.721976
-117.998917,0.731028
-118.987793,0.736732
-119.976540,0.744060
-120.992874,0.748879
-121.981682,0.753401
-122.998009,0.762128
-123.986816,0.768137
-124.975624,0.774914
-125.991959,0.780316
-126.980713,0.784680
-127.997040,0.791958
-128.985855,0.800008
-130.002182,0.805524
-130.991043,0.813034
-131.979797,0.817721
-132.996124,0.823199
-133.984924,0.829287
-135.001266,0.838220
-135.990128,0.843600
-136.978897,0.849142
-137.995209,0.853844
-138.984009,0.860340
-140.000351,0.865989
-140.989212,0.874631
-141.977966,0.880844
-142.994293,0.886393
-143.983093,0.894368
-144.999435,0.900124
-145.988190,0.906840
-146.977051,0.912946
-147.993378,0.917638
-148.982193,0.926270
-149.998520,0.933452
-150.987274,0.936640
-151.976135,0.945130
-152.992462,0.949194
-153.981277,0.954884
-154.997604,0.963439
-155.986404,0.966756
-157.002731,0.975972
-157.991592,0.979802
-158.980362,0.984938
-159.996674,0.996770
-160.985504,1.002297
-162.001816,1.006005
-162.990631,1.012920
-163.979446,1.019385
-164.995819,1.024995
-165.984589,1.030477
-167.000900,1.038281
-167.989716,1.043201
-168.978577,1.051848
-169.994904,1.057509
-170.983719,1.062088
-172.000046,1.070407
-172.988800,1.075601
-173.977661,1.080918
-174.993927,1.087195
-175.982803,1.094479
-176.999130,1.102882
-177.987946,1.106756
-178.976807,1.116426
-179.993011,1.121765
-180.981888,1.127984
-181.998260,1.134277
-182.987030,1.140203
-184.003342,1.146183
-184.992157,1.151907
-185.981033,1.157552
-186.997345,1.163322
-187.986160,1.168928
-189.002487,1.174673
-189.991287,1.180439
-190.980164,1.186826
-191.996368,1.193253
-192.985306,1.199521
-194.001617,1.206260
-194.990387,1.211065
-195.979248,1.218991
-196.995514,1.226442
-197.984390,1.233482
-199.000702,1.240455
-199.989532,1.247102
-200.978394,1.253260
-201.994644,1.260008
-202.983521,1.265149
-203.999786,1.272221
-204.988647,1.280626
-206.004990,1.286410
-206.993790,1.292204
-207.982666,1.297990
-208.998932,1.303848
-209.987793,1.309594
-211.004120,1.315351
-211.992920,1.320961
-212.981796,1.326566
-213.998062,1.332302
-214.986923,1.338133
-216.003265,1.344664
-216.992065,1.350955
-217.980942,1.357242
-218.997208,1.362172
-219.986069,1.370814
-221.002350,1.375478
-221.991211,1.384156
-222.980072,1.391552
-223.996338,1.398468
-224.985199,1.405278
-226.001480,1.411641
-226.990341,1.417547
-227.979218,1.422792
-228.995483,1.428857
-229.984344,1.437620
-231.000626,1.444160
-231.989487,1.449896
-233.005737,1.455749
-233.994614,1.461364
-234.983490,1.467007
-235.999741,1.472748
-236.988617,1.478328
-238.004898,1.484129
-238.993744,1.490072
-239.982620,1.496431
-240.998901,1.502897
-241.987823,1.504584
-243.004013,1.515528
-243.992950,1.522879
-244.981827,1.528659
-245.998077,1.535970
-246.986954,1.543550
-248.003220,1.550604
-248.992081,1.556970
-249.980896,1.562179
-250.997223,1.571243
-251.986099,1.575713
-253.002350,1.586232
-253.991226,1.589983
-254.980042,1.595507
-255.996399,1.601323
-256.985291,1.606955
-258.001556,1.612733
-258.990417,1.618313
-260.006683,1.624095
-260.995544,1.629748
-261.984344,1.635875
-263.000671,1.642403
-263.989624,1.648588
-265.005829,1.651731
-265.994751,1.660085
-266.983490,1.668003
-267.999878,1.675951
-268.988739,1.682622
-270.005005,1.689262
-270.993896,1.695863
-271.982666,1.703363
-272.999054,1.710400
-273.987946,1.717534
-275.004181,1.724815
-275.993073,1.728882
-276.981873,1.734478
-277.998230,1.740296
-278.987000,1.745934
-280.003387,1.751669
