2,Audi RS 3 LMS TCR,baseline
Steering Wheel Angle,Yaw Rate
318.005219,2.048873
317.016479,2.040905
316.000183,2.035964
315.011414,2.030728
314.022675,2.025477
313.006470,2.020143
312.017700,2.015194
311.001404,2.010170
310.012665,2.005453
309.023926,2.000591
308.007690,1.994874
307.018921,1.988006
306.002686,1.981771
305.013916,1.975893
303.997681,1.969636
303.008911,1.961317
302.020142,1.953295
301.003906,1.944826
300.015137,1.938588
298.998901,1.931953
298.010132,1.925355
297.021332,1.920106
296.005127,1.912799
295.016357,1.904817
294.000153,1.900688
293.011322,1.894244
292.022583,1.885226
291.006378,1.879367
290.017578,1.875190
289.001343,1.867171
288.012573,1.858512
287.023834,1.853657
286.007568,1.849096
285.018768,1.840363
284.002563,1.832019
283.013824,1.827899
281.997528,1.822723
281.008789,1.813412
280.020020,1.805804
279.003784,1.802112
278.014984,1.796482
276.998779,1.786829
276.010010,1.779501
275.021179,1.776149
274.005005,1.769699
273.016235,1.760150
271.999969,1.753670
271.011169,1.750291
270.022430,1.742840
269.006195,1.733329
268.017395,1.728552
267.001190,1.724352
266.012421,1.715660
265.023651,1.707149
264.007385,1.703253
263.018616,1.697990
262.002350,1.688438
261.013611,1.681225
260.024841,1.677980
259.008575,1.671460
258.019806,1.661839
257.003571,1.655190
256.014801,1.652290
254.998566,1.644726
254.009781,1.635292
253.021011,1.630139
252.004791,1.626255
251.015961,1.618397
249.999741,1.608881
249.010956,1.604288
248.022217,1.600392
247.005966,1.591542
246.017166,1.582925
245.000916,1.578945
244.012177,1.574101
243.023422,1.564638
242.007141,1.556812
241.018341,1.553858
240.002121,1.547527
239.013351,1.537641
238.024597,1.531391
237.008316,1.528225
236.019547,1.520815
235.003296,1.510950
234.014542,1.506013
233.025772,1.502750
232.009491,1.493953
231.020752,1.484697
230.004471,1.480657
229.015686,1.476513
227.999451,1.467089
227.010681,1.458407
226.021896,1.455414
225.005646,1.450293
224.016876,1.440428
223.000626,1.432626
222.011841,1.429785
221.023071,1.424150
220.006836,1.413849
219.018051,1.407169
218.001816,1.404237
217.013016,1.397007
216.024261,1.387353
215.007996,1.381961
214.019226,1.378738
213.002960,1.370138
212.014175,1.360870
211.025421,1.357203
210.009140,1.352597
209.020386,1.343356
208.004135,1.334830
207.015366,1.331771
206.026566,1.326480
205.010300,1.316363
204.021530,1.309057
203.005295,1.306134
202.016510,1.300327
201.000275,1.289811
200.011475,1.283221
199.022705,1.280836
198.006454,1.273890
197.017670,1.263635
196.001419,1.257303
195.012619,1.254838
194.023849,1.247799
193.007599,1.237230
192.018814,1.232109
191.002563,1.229072
190.013794,1.220817
189.024994,1.211284
188.008728,1.206864
187.019974,1.203410
186.003708,1.194372
185.014938,1.184857
184.026154,1.181010
183.009888,1.177331
182.021133,1.167867
181.004852,1.158621
180.016098,1.155779
178.999817,1.151095
178.011047,1.141498
177.022247,1.132954
176.005981,1.129728
175.017227,1.125393
174.000961,1.115367
173.012192,1.107215
172.023392,1.104042
171.007111,1.098865
170.018356,1.088934
169.002075,1.081253
168.013321,1.078790
167.024506,1.072981
166.008270,1.062180
165.019485,1.055993
164.003220,1.053446
163.014450,1.046083
162.025650,1.035838
161.009415,1.030906
160.020615,1.028283
159.004333,1.019043
158.015564,1.009451
157.026764,1.006189
156.010544,1.002168
155.021729,0.992197
154.005478,0.983303
153.016708,0.980911
152.000443,0.975737
151.011673,0.965488
150.022858,0.957793
149.006622,0.955428
148.017822,0.949326
147.001556,0.938457
146.012772,0.932936
145.023972,0.930358
144.007736,0.922348
143.018936,0.911937
142.002655,0.907537
141.013901,0.904804
140.025085,0.895604
139.008850,0.885630
138.020050,0.882511
137.003769,0.878541
136.014999,0.868484
135.026199,0.859674
134.009964,0.856978
133.021164,0.852798
132.004913,0.842090
131.016113,0.833982
130.027283,0.831610
129.011078,0.826347
128.022263,0.816020
127.006020,0.808023
126.017204,0.806082
125.000938,0.799614
124.012169,0.789339
123.023369,0.783077
122.007118,0.780637
121.018311,0.773328
120.002029,0.762693
119.013283,0.757210
118.024460,0.754979
117.008224,0.746941
116.019402,0.736391
115.003166,0.731352
114.014351,0.729414
113.025566,0.720401
112.009323,0.709768
111.020508,0.706600
110.004265,0.703202
109.015457,0.693081
108.026642,0.684117
107.010399,0.681408
106.021584,0.677095
105.005371,0.666217
104.016556,0.658293
103.027771,0.656987
102.011497,0.650485
101.022690,0.638697
100.006439,0.633533
99.017632,0.631649
98.001389,0.622574
97.012573,0.612181
96.023758,0.609605
95.007515,0.605559
94.018700,0.595222
93.002457,0.586472
92.013649,0.584626
91.024887,0.579496
90.008591,0.567749
89.019775,0.561579
88.003563,0.560030
87.014717,0.551461
86.025963,0.540814
85.009674,0.538233
84.020859,0.534289
83.004631,0.521992
82.015800,0.516049
81.027039,0.514838
80.010742,0.505823
79.021935,0.495421
78.005684,0.493237
77.016876,0.488461
76.000633,0.476770
75.011818,0.470461
74.023056,0.468894
73.006760,0.460347
72.017944,0.449584
71.001701,0.447268
70.012894,0.443304
69.024109,0.431243
68.007835,0.425534
67.018997,0.423994
66.002754,0.413981
65.013939,0.405042
64.025177,0.404432
63.008881,0.395576
62.020069,0.385153
61.003826,0.384177
60.015011,0.376442
59.026226,0.364914
58.009926,0.363811
57.021172,0.358004
56.004875,0.346066
55.016060,0.342878
54.027275,0.339537
53.011005,0.327070
52.022217,0.323145
51.005924,0.319989
50.017109,0.306764
49.000866,0.303331
48.012054,0.300569
47.023270,0.287924
46.006969,0.283269
45.018211,0.280953
44.001915,0.269548
43.013073,0.262253
42.024315,0.261266
41.008018,0.252012
40.019230,0.242277
39.002964,0.241647
38.014122,0.232565
37.025364,0.222362
36.009068,0.221809
35.020279,0.210846
34.003983,0.204265
33.015167,0.203082
32.026382,0.189776
31.010088,0.186573
30.021326,0.183871
29.005032,0.169516
28.016247,0.168512
27.027433,0.161636
26.011137,0.150635
25.022348,0.150224
24.006052,0.139982
23.017294,0.132776
22.000998,0.131559
21.012157,0.117589
20.023371,0.116182
19.007101,0.111777
18.018314,0.098870
17.002018,0.098492
16.013233,0.085945
15.024419,0.082528
14.008123,0.079784
13.019336,0.067923
12.003040,0.066223
11.014254,0.056053
10.025441,0.051626
9.009144,0.045658
8.020358,0.040737
7.004062,0.035545
6.015275,0.030530
5.026462,0.025519
4.010166,0.020292
3.021353,0.015308
2.005083,0.010141
1.016323,0.005139
0.000000,0.001758
-0.988760,0.005133
-1.977626,0.010242
-2.993896,0.015371
-3.982709,0.020478
-4.998979,0.025634
-5.987792,0.030635
-6.976604,0.035781
-7.992875,0.040891
-8.981688,0.046086
-9.997957,0.053279
-10.986771,0.056548
-11.975583,0.065553
-12.991853,0.074286
-13.980665,0.079608
-14.996989,0.078074
