2,BMW M Hybrid V8,baseline
Steering Wheel Angle,Yaw Rate
270.022430,1.931379
269.006195,1.923903
268.017395,1.916997
267.001190,1.910045
266.012421,1.903114
265.023651,1.896200
264.007385,1.878221
263.018616,1.824164
262.002350,1.819866
261.013611,1.825070
260.024841,1.817026
259.008575,1.810288
258.019806,1.803701
257.003571,1.796995
256.014801,1.790434
254.998566,1.783660
254.009781,1.777090
253.021011,1.770430
252.004791,1.763605
251.015961,1.756905
249.999741,1.749918
249.010956,1.743044
248.022217,1.736192
247.005966,1.729108
246.017166,1.722262
245.000916,1.715161
244.012177,1.708293
243.023422,1.701413
242.007141,1.694361
241.018341,1.687486
240.002121,1.680396
239.013351,1.673593
238.024597,1.666670
237.008316,1.659597
236.019547,1.652718
235.003296,1.645697
234.014542,1.638833
233.025772,1.631938
232.009491,1.624890
231.020752,1.618026
230.004471,1.610943
229.015686,1.597441
227.999451,1.587842
227.010681,1.580462
226.021896,1.573614
225.005646,1.566604
224.016876,1.559787
223.000626,1.552764
222.011841,1.546001
221.023071,1.539154
220.006836,1.532110
219.018051,1.525370
218.001816,1.518368
217.013016,1.516902
216.024261,1.526939
215.007996,1.532876
214.019226,1.526778
213.002960,1.519382
212.014175,1.512189
211.025421,1.505018
210.009140,1.497585
209.020386,1.490448
208.004135,1.483182
207.015366,1.475920
206.026566,1.468732
205.010300,1.461426
204.021530,1.454197
203.005295,1.446901
202.016510,1.439730
201.000275,1.432316
200.011475,1.425204
199.022705,1.418089
198.006454,1.410688
197.017670,1.403621
196.001419,1.396238
195.012619,1.389088
194.023849,1.381938
193.007599,1.374635
192.018814,1.367407
191.002563,1.360108
190.013794,1.353060
189.024994,1.345871
188.008728,1.338616
187.019974,1.331460
186.003708,1.324032
185.014938,1.316960
184.026154,1.309943
183.009888,1.302618
182.021133,1.295495
181.004852,1.288136
180.016098,1.281049
178.999817,1.273663
178.011047,1.266707
177.022247,1.259395
176.005981,1.251816
175.017227,1.244551
174.000961,1.236963
173.012192,1.229448
172.023392,1.222381
171.007111,1.215067
170.018356,1.207981
169.002075,1.200819
168.013321,1.194019
167.024506,1.187057
166.008270,1.179715
165.019485,1.172653
164.003220,1.165334
163.014450,1.157990
162.025650,1.150859
161.009415,1.143607
160.020615,1.136413
159.004333,1.129164
158.015564,1.122026
157.026764,1.115063
156.010544,1.107676
155.021729,1.100547
154.005478,1.093348
153.016708,1.086163
152.000443,1.078915
151.011673,1.071906
150.022858,1.064817
149.006622,1.057432
148.017822,1.050338
147.001556,1.043184
146.012772,1.036028
145.023972,1.028950
144.007736,1.021634
