2,BMW M2 CS Racing,baseline
Steering Wheel Angle,Yaw Rate
192.018814,1.214347
191.002563,1.206784
190.013794,1.201148
189.024994,1.195469
188.008728,1.194851
187.019974,1.190658
186.003708,1.187564
185.014938,1.184680
184.026154,1.180837
183.009888,1.173729
182.021133,1.167309
181.004852,1.168164
180.016098,1.153455
178.999817,1.147976
178.011047,1.141651
177.022247,1.130123
176.005981,1.144705
175.017227,1.112131
174.000961,1.124192
173.012192,1.087287
172.023392,1.108595
171.007111,1.085051
170.018356,1.089067
169.002075,1.082880
168.013321,1.070442
167.024506,1.069199
166.008270,1.063545
165.019485,1.057353
164.003220,1.033632
163.014450,1.066289
162.025650,1.040433
161.009415,1.008577
160.020615,1.021840
159.004333,1.017652
158.015564,1.010010
157.026764,1.015315
156.010544,1.000250
155.021729,0.992030
154.005478,0.993961
153.016708,0.980274
152.000443,0.987375
151.011673,0.967537
150.022858,0.952122
149.006622,0.969262
148.017822,0.949288
147.001556,0.941467
146.012772,0.929221
145.023972,0.926595
144.007736,0.921467
143.018936,0.908167
142.002655,0.907174
141.013901,0.858091
140.025085,0.892471
139.008850,0.888402
138.020050,0.859488
137.003769,0.872893
136.014999,0.869355
135.026199,0.863619
134.009964,0.857229
133.021164,0.850851
132.004913,0.807753
131.016113,0.849591
130.027283,0.832888
129.011078,0.824820
128.022263,0.829251
127.006020,0.812812
126.017204,0.784000
125.000938,0.798530
124.012169,0.777990
123.023369,0.803678
122.007118,0.781839
121.018311,0.773929
120.002029,0.745078
119.013283,0.757789
118.024460,0.753560
117.008224,0.748862
116.019402,0.740812
115.003166,0.711677
114.014351,0.723741
113.025566,0.721096
112.009323,0.687325
111.020508,0.706879
110.004265,0.701845
109.015457,0.696038
108.026642,0.689075
107.010399,0.642122
106.021584,0.676118
105.005371,0.669748
104.016556,0.663796
103.027771,0.638363
102.011497,0.648085
101.022690,0.626561
100.006439,0.644506
99.017632,0.621690
98.001389,0.643077
97.012573,0.621056
96.023758,0.613034
95.007515,0.597398
94.018700,0.597286
93.002457,0.592765
92.013649,0.568145
91.024887,0.581424
90.008591,0.573875
89.019775,0.561321
88.003563,0.559093
87.014717,0.520453
86.025963,0.544372
85.009674,0.540772
84.020859,0.535186
83.004631,0.529421
82.015800,0.521564
81.027039,0.516103
80.010742,0.509638
79.021935,0.503298
78.005684,0.496663
77.016876,0.497885
76.000633,0.483833
75.011818,0.477657
74.023056,0.468330
73.006760,0.474572
72.017944,0.459497
71.001701,0.431290
70.012894,0.441890
69.024109,0.400273
68.007835,0.431451
67.018997,0.425625
66.002754,0.412479
65.013939,0.426213
64.025177,0.408479
63.008881,0.400826
62.020069,0.394164
61.003826,0.387533
60.015011,0.378291
59.026226,0.386853
58.009926,0.369463
57.021172,0.362308
56.004875,0.355136
55.016060,0.357049
54.027275,0.343571
53.011005,0.323125
52.022217,0.334702
51.005924,0.308190
50.017109,0.335483
49.000866,0.312794
48.012054,0.304659
47.023270,0.301819
46.006969,0.290890
45.018211,0.256226
44.001915,0.277697
43.013073,0.251692
42.024315,0.278450
41.008018,0.260775
40.019230,0.253256
39.002964,0.223839
38.014122,0.239418
37.025364,0.232992
36.009068,0.238896
35.020279,0.222148
34.003983,0.218776
33.015167,0.207224
32.026382,0.201598
31.010088,0.170122
30.021326,0.189138
29.005032,0.178225
28.016247,0.192631
27.027433,0.171600
26.011137,0.154530
25.022348,0.154358
24.006052,0.149779
23.017294,0.137430
22.000998,0.135341
21.012157,0.130716
20.023371,0.124642
19.007101,0.119913
18.018314,0.112076
17.002018,0.101108
16.013233,0.109366
15.024419,0.091577
14.008123,0.094813
13.019336,0.080239
12.003040,0.062392
11.014254,0.073845
10.025441,0.061432
9.009144,0.047967
8.020358,0.046586
7.004062,0.036149
6.015275,0.035721
5.026462,0.028625
4.010166,0.020553
3.021353,0.016551
2.005083,0.010369
1.016323,0.005536
0.000000,0.001905
-0.988760,0.004978
-1.977626,0.009942
-2.993896,0.015885
-3.982709,0.022542
-4.998979,0.029144
-5.987792,0.035544
-6.976604,0.041876
-7.992875,0.040666
-8.981688,0.055362
-9.997957,0.061307
-10.986771,0.067516
-11.975583,0.063271
-12.991853,0.078883
-13.980665,0.084159
-14.996989,0.102873
-15.985749,0.100563
-16.974613,0.107537
-17.990831,0.111824
-18.979698,0.118788
-19.995966,0.108278
-20.984779,0.128792
-21.973593,0.137479
-22.989862,0.144495
-23.978676,0.150869
-24.994999,0.143619
-25.983759,0.161929
-27.000082,0.161971
-27.988842,0.192012
-28.977654,0.184773
-29.993923,0.189899
-30.982737,0.174211
-31.999060,0.200000
-32.987873,0.186515
-33.976685,0.229270
-34.992954,0.223412
-35.981770,0.212778
-36.998093,0.231764
-37.986855,0.212999
-38.975719,0.249666
-39.991932,0.237406
-40.980801,0.259656
-41.997017,0.266241
-42.985882,0.272706
-43.974697,0.286861
-44.990967,0.285458
-45.979778,0.263715
-46.996048,0.296583
-47.984913,0.284634
-48.973728,0.323005
-49.989998,0.318728
-50.978813,0.329447
-51.995083,0.331117
-52.983894,0.288077
-54.000217,0.342759
-54.989029,0.349146
-55.977844,0.362127
-56.994110,0.362981
-57.982929,0.352120
-58.999199,0.373192
-59.988010,0.381811
-60.976871,0.387685
-61.993145,0.385231
-62.981956,0.400178
-63.998226,0.407464
-64.987038,0.413976
-65.975906,0.412860
-66.992180,0.425443
-67.980995,0.392334
-68.997253,0.435277
-69.986069,0.444998
-70.974884,0.450861
-71.991211,0.470179
-72.980019,0.466518
-73.996292,0.452716
-74.985161,0.473945
-75.973915,0.479067
-76.990234,0.502053
-77.979050,0.498327
-78.995323,0.502613
-79.984192,0.508798
-81.000404,0.519088
-81.989273,0.522998
-82.978142,0.529622
-83.994354,0.536161
-84.983215,0.542482
-85.999489,0.542090
-86.988304,0.553971
-87.977112,0.522641
-88.993439,0.575371
-89.982254,0.575416
-90.998520,0.577782
-91.987381,0.599712
-92.976151,0.595278
-93.992470,0.575361
-94.981339,0.602808
-95.997551,0.595329
-96.986420,0.630686
-97.975182,0.627408
-98.991501,0.612993
-99.980316,0.651263
-100.996635,0.646908
-101.985451,0.637188
-103.001717,0.656147
-103.990585,0.664181
-104.979347,0.659505
-105.995674,0.675016
-106.984535,0.649960
-108.000801,0.695684
-108.989616,0.697405
-109.978432,0.703305
-110.994759,0.703594
-111.983620,0.714367
-112.999840,0.722407
-113.988701,0.729105
-114.977516,0.735435
-115.993790,0.703674
-116.982597,0.749919
-117.998917,0.754832
-118.987793,0.753351
-119.976540,0.777647
-120.992874,0.775492
-121.981682,0.759652
-122.998009,0.784852
-123.986816,0.762328
-124.975624,0.809254
-125.991959,0.807611
-126.980713,0.811858
-127.997040,0.829243
-128.985855,0.826513
-130.002182,0.832500
-130.991043,0.838687
-131.979797,0.841281
-132.996124,0.864520
-133.984924,0.859124
-135.001266,0.864851
-135.990128,0.873866
-136.978897,0.876924
-137.995209,0.883851
-138.984009,0.890206
-140.000351,0.896739
-140.989212,0.864872
-141.977966,0.924224
-142.994293,0.917931
-143.983093,0.904820
-144.999435,0.940328
-145.988190,0.936907
-146.977051,0.921381
-147.993378,0.944780
-148.982193,0.948102
-149.998520,0.975448
-150.987274,0.969218
-151.976135,0.964285
-152.992462,0.994838
-153.981277,0.988468
-154.997604,0.981002
-155.986404,0.997626
-157.002731,1.006051
-157.991592,1.012805
-158.980362,1.002378
-159.996674,1.025208
-160.985504,1.031938
-162.001816,1.031302
-162.990631,1.057428
-163.979446,1.052656
-164.995819,1.057746
-165.984589,1.063740
-167.000900,1.071084
-167.989716,1.066077
-168.978577,1.082132
-169.994904,1.088352
-170.983719,1.099969
-172.000046,1.102368
-172.988800,1.109670
-173.977661,1.115620
-174.993927,1.111756
-175.982803,1.128436
-176.999130,1.121191
-177.987946,1.143270
-178.976807,1.137991
-179.993011,1.154940
-180.981888,1.155618
-181.998260,1.166405
-182.987030,1.170598
-184.003342,1.175676
-184.992157,1.186374
-185.981033,1.185642
-186.997345,1.202013
-187.986160,1.197639
-189.002487,1.215808
-189.991287,1.209372
-190.980164,1.228090
-191.996368,1.222728
