2,BMW M4 GT3 EVO,baseline
Steering Wheel Angle,Yaw Rate
196.001419,1.364371
195.012619,1.357805
194.023849,1.350953
193.007599,1.344388
192.018814,1.338081
191.002563,1.331534
190.013794,1.325069
189.024994,1.318636
188.008728,1.312026
187.019974,1.305588
186.003708,1.298767
185.014938,1.292394
184.026154,1.285794
183.009888,1.278905
182.021133,1.272268
181.004852,1.265248
180.016098,1.258388
178.999817,1.251165
178.011047,1.244216
177.022247,1.237228
176.005981,1.230115
175.017227,1.223147
174.000961,1.215915
173.012192,1.208944
172.023392,1.201957
171.007111,1.194756
170.018356,1.187809
169.002075,1.180654
168.013321,1.173676
167.024506,1.166742
166.008270,1.159587
165.019485,1.152621
164.003220,1.145394
163.014450,1.138467
162.025650,1.131490
161.009415,1.124166
160.020615,1.116912
159.004333,1.109285
158.015564,1.101884
157.026764,1.094373
156.010544,1.086775
155.021729,1.079852
154.005478,1.072716
153.016708,1.065784
152.000443,1.059052
151.011673,1.052684
150.022858,1.046079
149.006622,1.038896
148.017822,1.031956
147.001556,1.024816
146.012772,1.017395
145.023972,1.010453
144.007736,1.003488
143.018936,0.996295
142.002655,0.989279
141.013901,0.982302
140.025085,0.975272
139.008850,0.968133
138.020050,0.961084
137.003769,0.954063
136.014999,0.947128
135.026199,0.940158
134.009964,0.932967
133.021164,0.926041
132.004913,0.918998
131.016113,0.912059
130.027283,0.905055
129.011078,0.897943
128.022263,0.890940
127.006020,0.883909
126.017204,0.876895
125.000938,0.869811
124.012169,0.862806
123.023369,0.855935
122.007118,0.848759
121.018311,0.841845
120.002029,0.834733
119.013283,0.827843
118.024460,0.820853
117.008224,0.813781
116.019402,0.806783
115.003166,0.799692
114.014351,0.792697
113.025566,0.785781
112.009323,0.778644
111.020508,0.771789
110.004265,0.764560
109.015457,0.757675
108.026642,0.750772
107.010399,0.743698
106.021584,0.736895
105.005371,0.729653
104.016556,0.722683
103.027771,0.715733
102.011497,0.708619
101.022690,0.701690
100.006439,0.694766
99.017632,0.687657
98.001389,0.680591
97.012573,0.673644
96.023758,0.666769
95.007515,0.659549
94.018700,0.652630
93.002457,0.645536
92.013649,0.638617
91.024887,0.631763
90.008591,0.624606
89.019775,0.617671
88.003563,0.610669
87.014717,0.603612
86.025963,0.596719
85.009674,0.589617
84.020859,0.582678
83.004631,0.575549
82.015800,0.568681
81.027039,0.561800
80.010742,0.554689
79.021935,0.547754
78.005684,0.540720
77.016876,0.533848
76.000633,0.526609
75.011818,0.519738
74.023056,0.512853
73.006760,0.505676
72.017944,0.498733
71.001701,0.491782
70.012894,0.484711
69.024109,0.477860
68.007835,0.470753
67.018997,0.463868
66.002754,0.456800
65.013939,0.449890
64.025177,0.442981
63.008881,0.435970
62.020069,0.428926
61.003826,0.421770
60.015011,0.414972
59.026226,0.408003
58.009926,0.400995
57.021172,0.394017
56.004875,0.386915
55.016060,0.380045
54.027275,0.373135
53.011005,0.365949
52.022217,0.359052
51.005924,0.352032
50.017109,0.345060
49.000866,0.338038
48.012054,0.331115
47.023270,0.324272
46.006969,0.317020
45.018211,0.310161
44.001915,0.303086
43.013073,0.296197
42.024315,0.289375
41.008018,0.282149
40.019230,0.275204
39.002964,0.268316
38.014122,0.261344
37.025364,0.254358
36.009068,0.247227
35.020279,0.240364
34.003983,0.233306
33.015167,0.226355
32.026382,0.219465
31.010088,0.212389
30.021326,0.205433
29.005032,0.198464
28.016247,0.191573
27.027433,0.184503
26.011137,0.177529
25.022348,0.170575
24.006052,0.163516
23.017294,0.156499
22.000998,0.149495
21.012157,0.142647
20.023371,0.135707
19.007101,0.128595
18.018314,0.121662
17.002018,0.114696
16.013233,0.107661
15.024419,0.100792
14.008123,0.093657
13.019336,0.086819
12.003040,0.079661
11.014254,0.072762
10.025441,0.066003
9.009144,0.058715
8.020358,0.051951
7.004062,0.044826
6.015275,0.038001
5.026462,0.030936
4.010166,0.024024
3.021353,0.018013
2.005083,0.011997
1.016323,0.006088
0.000000,0.001497
-0.988760,0.005877
-1.977626,0.011783
-2.993896,0.017893
-3.982709,0.023788
-4.998979,0.030548
-5.987792,0.037598
-6.976604,0.044347
