2,BMW M4 GT4,baseline
Steering Wheel Angle,Yaw Rate
273.016235,1.481332
271.999969,1.476019
271.011169,1.470999
270.022430,1.465345
269.006195,1.461051
268.017395,1.456156
267.001190,1.450945
266.012421,1.446220
265.023651,1.441918
264.007385,1.437471
263.018616,1.433109
262.002350,1.428269
261.013611,1.423661
260.024841,1.419191
259.008575,1.414602
258.019806,1.410069
257.003571,1.404019
256.014801,1.377833
254.998566,1.393943
254.009781,1.373899
253.021011,1.385569
252.004791,1.366608
251.015961,1.370669
249.999741,1.363555
249.010956,1.345959
248.022217,1.349395
247.005966,1.350306
246.017166,1.340185
245.000916,1.329570
244.012177,1.322469
243.023422,1.317819
242.007141,1.313448
241.018341,1.308381
240.002121,1.302503
239.013351,1.297928
238.024597,1.292873
237.008316,1.287958
236.019547,1.283604
235.003296,1.279190
234.014542,1.274703
233.025772,1.270125
232.009491,1.264938
231.020752,1.259411
230.004471,1.253683
229.015686,1.248044
227.999451,1.240568
227.010681,1.234559
226.021896,1.228881
225.005646,1.222733
224.016876,1.217567
223.000626,1.211447
222.011841,1.205576
221.023071,1.201436
220.006836,1.196756
219.018051,1.192251
218.001816,1.185733
217.013016,1.178337
216.024261,1.171816
215.007996,1.168745
214.019226,1.165729
213.002960,1.158733
212.014175,1.150406
211.025421,1.144294
210.009140,1.141380
209.020386,1.138432
208.004135,1.131117
207.015366,1.122013
206.026566,1.116710
205.010300,1.115060
204.021530,1.111219
203.005295,1.102547
202.016510,1.093818
201.000275,1.089986
200.011475,1.088354
199.022705,1.083435
198.006454,1.074088
197.017670,1.066489
196.001419,1.063557
195.012619,1.061419
194.023849,1.055059
193.007599,1.045679
192.018814,1.039476
191.002563,1.037121
190.013794,1.034070
189.024994,1.026763
188.008728,1.017701
187.019974,1.012661
186.003708,1.010564
185.014938,1.006447
184.026154,0.998330
183.009888,0.989853
182.021133,0.985940
181.004852,0.984009
180.016098,0.978768
178.999817,0.969725
178.011047,0.962370
177.022247,0.959616
176.005981,0.957046
175.017227,0.950365
174.000961,0.941273
173.012192,0.935397
172.023392,0.933485
171.007111,0.929904
170.018356,0.922122
169.002075,0.913223
168.013321,0.908583
167.024506,0.906812
166.008270,0.902051
165.019485,0.893667
164.003220,0.885591
163.014450,0.882458
162.025650,0.880216
161.009415,0.874029
160.020615,0.864971
159.004333,0.858531
158.015564,0.856111
157.026764,0.853064
156.010544,0.845889
155.021729,0.837190
154.005478,0.831549
153.016708,0.829410
152.000443,0.825467
151.011673,0.817699
150.022858,0.809370
149.006622,0.804985
148.017822,0.802848
147.001556,0.797880
146.012772,0.789410
145.023972,0.781737
144.007736,0.778325
143.018936,0.776072
142.002655,0.770120
141.013901,0.761314
140.025085,0.754514
139.008850,0.751690
138.020050,0.748992
137.003769,0.742003
136.014999,0.733205
135.026199,0.727661
134.009964,0.725409
133.021164,0.721571
132.004913,0.713639
131.016113,0.705328
130.027283,0.701274
129.011078,0.698952
128.022263,0.693822
127.006020,0.685155
126.017204,0.678033
125.000938,0.675027
124.012169,0.672201
123.023369,0.665583
122.007118,0.656650
121.018311,0.650940
120.002029,0.648674
119.013283,0.644979
118.024460,0.637260
117.008224,0.628879
116.019402,0.624577
115.003166,0.622232
114.014351,0.617221
113.025566,0.608744
112.009323,0.601600
111.020508,0.598588
110.004265,0.595637
109.015457,0.588954
108.026642,0.580257
107.010399,0.574826
106.021584,0.572636
105.005371,0.568198
104.016556,0.560306
103.027771,0.552562
102.011497,0.548591
101.022690,0.546050
100.006439,0.540260
99.017632,0.531819
98.001389,0.525382
97.012573,0.522740
96.023758,0.519194
95.007515,0.511848
94.018700,0.503608
93.002457,0.498808
92.013649,0.496534
91.024887,0.491644
90.008591,0.483182
89.019775,0.476061
88.003563,0.472638
87.014717,0.469958
86.025963,0.463600
85.009674,0.454840
84.020859,0.449125
83.004631,0.446626
82.015800,0.442757
81.027039,0.435091
80.010742,0.427050
79.021935,0.423282
78.005684,0.420543
77.016876,0.414569
76.000633,0.406052
75.011818,0.400105
74.023056,0.397620
73.006760,0.393587
72.017944,0.385791
71.001701,0.377729
70.012894,0.374395
69.024109,0.371641
68.007835,0.365313
67.018997,0.356647
66.002754,0.351309
65.013939,0.349098
64.025177,0.344162
63.008881,0.335523
62.020069,0.328871
61.003826,0.326380
60.015011,0.322617
59.026226,0.314435
58.009926,0.306748
57.021172,0.304217
56.004875,0.300717
55.016060,0.293469
54.027275,0.285201
53.011005,0.281872
52.022217,0.278861
51.005924,0.271793
50.017109,0.263207
49.000866,0.260187
48.012054,0.257201
47.023270,0.249627
46.006969,0.241361
45.018211,0.239479
44.001915,0.235186
43.013073,0.225070
42.024315,0.221550
41.008018,0.218838
40.019230,0.209519
39.002964,0.204986
38.014122,0.202613
37.025364,0.193488
36.009068,0.188728
35.020279,0.186297
34.003983,0.175331
33.015167,0.173496
32.026382,0.169646
31.010088,0.160212
30.021326,0.158418
29.005032,0.147313
28.016247,0.146263
27.027433,0.135942
26.011137,0.134907
25.022348,0.126067
24.006052,0.123847
23.017294,0.114224
22.000998,0.112946
21.012157,0.106568
20.023371,0.105287
19.007101,0.097688
18.018314,0.087995
17.002018,0.085539
16.013233,0.080891
15.024419,0.069512
14.008123,0.069117
13.019336,0.064684
12.003040,0.054781
11.014254,0.053951
10.025441,0.045466
9.009144,0.042661
8.020358,0.038623
7.004062,0.031816
6.015275,0.027114
5.026462,0.022922
4.010166,0.017932
3.021353,0.013135
2.005083,0.009109
1.016323,0.004542
0.000000,0.002990
-0.988760,0.003886
-1.977626,0.008993
-2.993896,0.013358
-3.982709,0.018015
-4.998979,0.021755
-5.987792,0.026291
-6.976604,0.032019
-7.992875,0.038024
-8.981688,0.043909
-9.997957,0.044379
-10.986771,0.050631
-11.975583,0.059732
-12.991853,0.067277
-13.980665,0.071193
-14.996989,0.066795
-15.985749,0.076960
-16.974613,0.088446
-17.990831,0.096824
-18.979698,0.094595
-19.995966,0.090300
-20.984779,0.105663
