2,BMW M8 GTE,baseline
Steering Wheel Angle,Yaw Rate
212.014175,1.406502
211.025421,1.399719
210.009140,1.393037
209.020386,1.387242
208.004135,1.381331
207.015366,1.375481
206.026566,1.369680
205.010300,1.368728
204.021530,1.357417
203.005295,1.351769
202.016510,1.345643
201.000275,1.339416
200.011475,1.333317
199.022705,1.327224
198.006454,1.320843
197.017670,1.314630
196.001419,1.308126
195.012619,1.301637
194.023849,1.294686
193.007599,1.287918
192.018814,1.279811
191.002563,1.273395
190.013794,1.267696
189.024994,1.261116
188.008728,1.254283
187.019974,1.247636
186.003708,1.240811
185.014938,1.234154
184.026154,1.227450
183.009888,1.220591
182.021133,1.213951
181.004852,1.207099
180.016098,1.200393
178.999817,1.193614
178.011047,1.186734
177.022247,1.179703
176.005981,1.172309
175.017227,1.164979
174.000961,1.157450
173.012192,1.149995
172.023392,1.142547
171.007111,1.135728
170.018356,1.129081
169.002075,1.122206
168.013321,1.115582
167.024506,1.109941
166.008270,1.103739
165.019485,1.097709
164.003220,1.091207
163.014450,1.084498
162.025650,1.077886
161.009415,1.071003
160.020615,1.063693
159.004333,1.056499
158.015564,1.050015
157.026764,1.043707
156.010544,1.036765
155.021729,1.030229
154.005478,1.023380
153.016708,1.016807
152.000443,1.009853
151.011673,1.003144
150.022858,0.996558
149.006622,0.989600
148.017822,0.983082
147.001556,0.976281
146.012772,0.969567
145.023972,0.962992
144.007736,0.956193
143.018936,0.949382
142.002655,0.942501
141.013901,0.936011
140.025085,0.929218
139.008850,0.922657
138.020050,0.915743
137.003769,0.909029
136.014999,0.902490
135.026199,0.895960
134.009964,0.889004
133.021164,0.882346
132.004913,0.875676
131.016113,0.868897
130.027283,0.862235
129.011078,0.855520
128.022263,0.848899
127.006020,0.842032
126.017204,0.835479
125.000938,0.828659
124.012169,0.821891
123.023369,0.815294
122.007118,0.808563
121.018311,0.801962
120.002029,0.794972
119.013283,0.788302
118.024460,0.781717
117.008224,0.775030
116.019402,0.768373
115.003166,0.761348
114.014351,0.754604
113.025566,0.748097
112.009323,0.741522
111.020508,0.734822
110.004265,0.728156
109.015457,0.721151
108.026642,0.714597
107.010399,0.707883
106.021584,0.701479
105.005371,0.694481
104.016556,0.687778
103.027771,0.681177
102.011497,0.674526
101.022690,0.667955
100.006439,0.661206
99.017632,0.654364
98.001389,0.647519
97.012573,0.640896
96.023758,0.634489
95.007515,0.627471
94.018700,0.620793
93.002457,0.614172
92.013649,0.607673
91.024887,0.600907
90.008591,0.594150
89.019775,0.587450
88.003563,0.580562
87.014717,0.574015
86.025963,0.567491
85.009674,0.560573
84.020859,0.554078
83.004631,0.547256
82.015800,0.540703
81.027039,0.533862
80.010742,0.527181
79.021935,0.520642
78.005684,0.513662
77.016876,0.507096
76.000633,0.500323
75.011818,0.493758
74.023056,0.487148
73.006760,0.480221
72.017944,0.473758
71.001701,0.466873
70.012894,0.460236
69.024109,0.453764
68.007835,0.446749
67.018997,0.440347
66.002754,0.433624
65.013939,0.426679
64.025177,0.420011
63.008881,0.413357
62.020069,0.406619
61.003826,0.399790
60.015011,0.393176
59.026226,0.386581
58.009926,0.379922
57.021172,0.373378
56.004875,0.366354
55.016060,0.359784
54.027275,0.353347
53.011005,0.346291
52.022217,0.339846
51.005924,0.333042
50.017109,0.326551
49.000866,0.319704
48.012054,0.313006
47.023270,0.306292
46.006969,0.299519
45.018211,0.292906
44.001915,0.286195
43.013073,0.279690
42.024315,0.272892
41.008018,0.266053
40.019230,0.259594
39.002964,0.252761
38.014122,0.246166
37.025364,0.239427
36.009068,0.232805
35.020279,0.226135
34.003983,0.219374
33.015167,0.212605
32.026382,0.206099
31.010088,0.199313
30.021326,0.192618
29.005032,0.185834
28.016247,0.179132
27.027433,0.172487
26.011137,0.165795
25.022348,0.159170
24.006052,0.152306
23.017294,0.145742
22.000998,0.138797
21.012157,0.132373
20.023371,0.125838
19.007101,0.118802
18.018314,0.112104
17.002018,0.105493
16.013233,0.098857
15.024419,0.092301
14.008123,0.085339
13.019336,0.078720
12.003040,0.072021
11.014254,0.065543
10.025441,0.058877
9.009144,0.051899
8.020358,0.045351
7.004062,0.038574
6.015275,0.032332
5.026462,0.027114
4.010166,0.021698
3.021353,0.016372
2.005083,0.010914
1.016323,0.005675
0.000000,0.001853
-0.988760,0.005109
-1.977626,0.010421
-2.993896,0.015867
-3.982709,0.021170
-4.998979,0.026586
-5.987792,0.031927
-6.976604,0.038840
-7.992875,0.045596
-8.981688,0.052183
-9.997957,0.059128
-10.986771,0.065775
-11.975583,0.072286
-12.991853,0.079191
-13.980665,0.085926
-14.996989,0.092637
-15.985749,0.099112
-16.974613,0.105847
-17.990831,0.112589
-18.979698,0.119238
-19.995966,0.125894
-20.984779,0.132644
-21.973593,0.139363
-22.989862,0.145989
-23.978676,0.152759
-24.994999,0.159388
-25.983759,0.166235
-27.000082,0.172766
-27.988842,0.179314
-28.977654,0.185939
-29.993923,0.192981
-30.982737,0.199709
-31.999060,0.206329
-32.987873,0.213111
-33.976685,0.219659
-34.992954,0.226500
-35.981770,0.232908
-36.998093,0.239916
-37.986855,0.246353
-38.975719,0.253108
-39.991932,0.259760
-40.980801,0.266373
-41.997017,0.273383
-42.985882,0.279889
-43.974697,0.286648
-44.990967,0.293439
-45.979778,0.299822
-46.996048,0.306730
-47.984913,0.313468
-48.973728,0.319989
-49.989998,0.326680
-50.978813,0.333468
-51.995083,0.340067
-52.983894,0.346642
-54.000217,0.353584
-54.989029,0.360230
-55.977844,0.366851
-56.994110,0.373544
-57.982929,0.380188
-58.999199,0.387085
-59.988010,0.393770
-60.976871,0.400232
-61.993145,0.407228
-62.981956,0.413686
-63.998226,0.420681
-64.987038,0.427051
-65.975906,0.433702
-66.992180,0.440475
-67.980995,0.447108
-68.997253,0.454027
-69.986069,0.460538
-70.974884,0.467330
-71.991211,0.474097
-72.980019,0.480544
-73.996292,0.487423
-74.985161,0.493971
-75.973915,0.500692
-76.990234,0.507569
-77.979050,0.514046
-78.995323,0.521118
-79.984192,0.527596
-81.000404,0.534298
-81.989273,0.540941
-82.978142,0.547506
-83.994354,0.554321
-84.983215,0.561025
-85.999489,0.567892
-86.988304,0.574437
-87.977112,0.580945
-88.993439,0.587925
-89.982254,0.594668
-90.998520,0.601484
-91.987381,0.607871
-92.976151,0.614542
-93.992470,0.621452
-94.981339,0.627883
-95.997551,0.634707
-96.986420,0.641423
-97.975182,0.647990
-98.991501,0.654857
-99.980316,0.661526
-100.996635,0.668419
-101.985451,0.675023
-103.001717,0.681677
-103.990585,0.688304
-104.979347,0.694862
-105.995674,0.701787
-106.984535,0.708320
-108.000801,0.715039
-108.989616,0.721777
-109.978432,0.728348
-110.994759,0.735118
-111.983620,0.741847
-112.999840,0.748673
-113.988701,0.755327
-114.977516,0.761859
-115.993790,0.768630
-116.982597,0.775343
-117.998917,0.782252
-118.987793,0.788907
-119.976540,0.795429
-120.992874,0.802239
-121.981682,0.808736
-122.998009,0.815821
-123.986816,0.822387
-124.975624,0.828902
-125.991959,0.835750
-126.980713,0.842225
-127.997040,0.849335
-128.985855,0.856009
-130.002182,0.862532
-130.991043,0.869441
-131.979797,0.876036
-132.996124,0.882707
-133.984924,0.889463
-135.001266,0.896331
-135.990128,0.902715
-136.978897,0.909298
-137.995209,0.916204
-138.984009,0.922975
-140.000351,0.929647
-140.989212,0.936479
-141.977966,0.943148
-142.994293,0.949979
-143.983093,0.956420
-144.999435,0.963416
-145.988190,0.970146
-146.977051,0.976757
-147.993378,0.983354
-148.982193,0.990072
-149.998520,0.996807
-150.987274,1.003435
-151.976135,1.010079
-152.992462,1.016893
-153.981277,1.023634
-154.997604,1.030557
-155.986404,1.037018
-157.002731,1.043945
-157.991592,1.050570
-158.980362,1.057047
-159.996674,1.063992
-160.985504,1.070638
-162.001816,1.077462
-162.990631,1.084054
-163.979446,1.090661
-164.995819,1.097534
-165.984589,1.104104
-167.000900,1.111257
-167.989716,1.117689
-168.978577,1.124380
-169.994904,1.131227
-170.983719,1.137950
-172.000046,1.144688
-172.988800,1.151379
-173.977661,1.157988
-174.993927,1.164789
-175.982803,1.171476
-176.999130,1.178316
-177.987946,1.185132
-178.976807,1.191696
-179.993011,1.198423
-180.981888,1.205194
-181.998260,1.212001
-182.987030,1.218673
-184.003342,1.225490
-184.992157,1.232158
-185.981033,1.238860
-186.997345,1.245753
-187.986160,1.252386
-189.002487,1.259234
-189.991287,1.265933
-190.980164,1.272634
-191.996368,1.279481
-192.985306,1.285960
-194.001617,1.292839
-194.990387,1.299556
-195.979248,1.306307
-196.995514,1.313031
-197.984390,1.319788
-199.000702,1.326754
-199.989532,1.333478
-200.978394,1.339964
-201.994644,1.346884
-202.983521,1.353578
-203.999786,1.360449
-204.988647,1.366996
-206.004990,1.373953
-206.993790,1.380540
-207.982666,1.387271
-208.998932,1.394087
-209.987793,1.400929
-211.004120,1.407662
-211.992920,1.414542
