2,BMW Z4 GT3,baseline
Steering Wheel Angle,Yaw Rate
270.022430,1.542765
269.006195,1.535668
268.017395,1.529545
267.001190,1.523931
266.012421,1.519724
265.023651,1.515026
264.007385,1.510187
263.018616,1.505557
262.002350,1.500639
261.013611,1.495781
260.024841,1.490960
259.008575,1.485954
258.019806,1.480981
257.003571,1.475729
256.014801,1.470497
254.998566,1.464950
254.009781,1.459267
253.021011,1.453579
252.004791,1.447693
251.015961,1.442007
249.999741,1.436191
249.010956,1.430491
248.022217,1.424808
247.005966,1.418996
246.017166,1.413325
245.000916,1.407478
244.012177,1.401847
243.023422,1.396190
242.007141,1.390416
241.018341,1.384687
240.002121,1.378782
239.013351,1.372822
238.024597,1.366474
237.008316,1.359751
236.019547,1.353065
235.003296,1.346126
234.014542,1.339161
233.025772,1.333155
232.009491,1.327281
231.020752,1.321492
230.004471,1.315565
229.015686,1.310968
227.999451,1.305986
227.010681,1.301170
226.021896,1.295761
225.005646,1.289917
224.016876,1.284187
223.000626,1.278318
222.011841,1.271623
221.023071,1.265769
220.006836,1.259894
219.018051,1.254467
218.001816,1.248256
217.013016,1.242677
216.024261,1.236943
215.007996,1.231104
214.019226,1.225405
213.002960,1.219369
212.014175,1.213735
211.025421,1.208052
210.009140,1.202204
209.020386,1.196473
208.004135,1.190565
207.015366,1.184883
206.026566,1.178902
205.010300,1.173137
204.021530,1.167588
203.005295,1.161510
202.016510,1.155902
201.000275,1.149906
200.011475,1.144278
199.022705,1.138674
198.006454,1.132823
197.017670,1.127325
196.001419,1.121186
195.012619,1.115304
194.023849,1.109589
193.007599,1.103717
192.018814,1.097977
191.002563,1.092373
190.013794,1.086758
189.024994,1.080833
188.008728,1.074881
187.019974,1.069164
186.003708,1.063292
185.014938,1.057491
184.026154,1.051643
183.009888,1.045874
182.021133,1.040302
181.004852,1.034448
180.016098,1.028870
178.999817,1.022807
178.011047,1.017042
177.022247,1.011403
176.005981,1.005602
175.017227,0.999888
174.000961,0.993969
173.012192,0.988079
172.023392,0.982309
171.007111,0.976510
170.018356,0.970948
169.002075,0.965145
168.013321,0.959365
167.024506,0.953515
166.008270,0.947712
165.019485,0.942136
164.003220,0.936020
163.014450,0.930334
162.025650,0.924631
161.009415,0.918703
160.020615,0.912996
159.004333,0.907318
158.015564,0.901390
157.026764,0.895525
156.010544,0.889635
155.021729,0.883973
154.005478,0.878357
153.016708,0.872686
152.000443,0.866724
151.011673,0.860852
150.022858,0.854974
149.006622,0.849351
148.017822,0.843664
147.001556,0.837695
146.012772,0.831982
145.023972,0.826294
144.007736,0.820288
143.018936,0.814482
142.002655,0.808690
141.013901,0.803026
140.025085,0.797218
139.008850,0.791401
138.020050,0.785684
137.003769,0.779683
136.014999,0.774090
135.026199,0.768576
134.009964,0.762387
133.021164,0.756669
