2,Cadillac CTS-V Racecar,baseline
Steering Wheel Angle,Yaw Rate
504.463531,2.697263
504.200287,2.437607
503.950562,2.697439
503.705231,2.563447
503.517914,2.576045
502.706909,2.575295
501.277161,2.568171
499.876068,2.563762
498.572815,2.559681
497.273987,2.553878
496.017883,2.548141
494.776367,2.607646
493.500854,2.624393
492.258698,2.625715
490.968231,2.635300
489.704376,2.626775
488.358490,2.614667
487.013000,2.604058
485.643463,2.598257
484.202454,2.583760
482.818512,2.581446
481.427673,2.574753
480.084747,2.567548
478.741058,2.558855
477.356049,2.551728
476.008362,2.545826
474.628998,2.535407
473.287720,2.530828
471.945343,2.520850
470.571259,2.512759
469.232544,2.504985
467.863281,2.499068
466.524689,2.489955
465.195648,2.483448
463.827087,2.475206
462.496735,2.467617
461.132812,2.461226
459.808258,2.455359
458.484070,2.445659
457.119934,2.438175
455.807098,2.432014
454.447601,2.424066
453.129974,2.414958
451.777863,2.410147
450.465546,2.401509
449.150360,2.393691
447.801971,2.385177
446.494049,2.380650
445.152161,2.372601
443.840210,2.363001
442.539948,2.358175
441.198456,2.349330
439.896301,2.342531
438.562103,2.335402
437.259857,2.327887
435.966431,2.319853
434.632172,2.314462
433.342133,2.305120
432.009094,2.298699
430.722809,2.292278
429.430786,2.283361
428.107849,2.276397
426.821960,2.270696
425.502197,2.263318
424.218323,2.253849
422.899567,2.247565
421.622467,2.241895
420.343323,2.234423
419.030243,2.226055
417.753601,2.218337
416.444672,2.213313
415.174347,2.206514
413.901581,2.197796
412.596039,2.189893
411.326965,2.183287
410.027496,2.178051
408.762970,2.170451
407.497162,2.162189
406.200348,2.155040
404.940277,2.150037
403.647064,2.141553
402.387207,2.133431
401.130432,2.127023
399.842407,2.121757
398.589081,2.114304
397.301178,2.105388
396.049896,2.099011
394.802307,2.093918
393.521027,2.086274
392.272705,2.077909
390.993225,2.070843
389.749268,2.064237
388.474701,2.059011
387.233887,2.051589
385.993652,2.043345
384.720459,2.036508
383.486572,2.031609
382.216614,2.023869
380.982086,2.015782
379.749603,2.009074
378.484863,2.002743
377.255676,1.997419
375.994476,1.989252
374.765228,1.981509
373.543030,1.976980
372.282776,1.968553
371.059387,1.962360
369.806213,1.955717
368.584137,1.948875
367.367706,1.941449
366.115692,1.936558
364.902161,1.928240
363.650269,1.921695
362.440460,1.916370
361.225586,1.907829
359.983368,1.902721
358.772980,1.895037
357.531097,1.888464
356.326019,1.882207
355.084839,1.875201
353.882935,1.868271
352.679077,1.863132
351.446045,1.854676
350.243530,1.849004
349.014221,1.842768
347.813446,1.834583
346.620087,1.830316
345.389923,1.821404
344.195892,1.816121
342.971954,1.809396
341.779205,1.802742
340.590912,1.795959
339.367645,1.790428
338.181732,1.782453
336.960968,1.777174
335.779022,1.770499
334.592194,1.762640
333.379333,1.758261
332.196533,1.749852
330.983612,1.744050
329.805725,1.738192
328.627563,1.731615
327.418823,1.723822
326.242859,1.719239
325.037872,1.711056
323.863159,1.705347
322.661621,1.699529
321.488922,1.691211
320.321045,1.686995
319.120605,1.679094
317.953644,1.673246
316.756714,1.666963
315.590912,1.660377
314.428406,1.653746
313.233826,1.648605
312.074554,1.640761
310.880615,1.634727
309.723846,1.629086
308.564911,1.621621
307.377502,1.616278
306.222076,1.609599
305.035400,1.602974
303.884064,1.597118
302.731293,1.590930
301.549713,1.583773
300.399323,1.578934
299.220490,1.571308
298.071625,1.565051
296.895782,1.559868
295.748657,1.551750
294.605591,1.547543
293.431335,1.540208
292.289459,1.534109
291.118225,1.528049
289.977539,1.521827
288.839996,1.514902
287.670715,1.510064
286.535400,1.502319
285.367432,1.496990
284.235199,1.490973
283.100342,1.483520
281.938049,1.479026
280.807220,1.471743
279.645233,1.465729
278.517151,1.460030
277.389404,1.454350
276.231567,1.446976
275.105286,1.440601
273.949799,1.435277
272.826782,1.429738
271.703979,1.423067
270.551331,1.415972
269.431152,1.410773
268.280121,1.404417
267.161957,1.398531
266.013062,1.392600
264.897247,1.385666
263.781158,1.381094
262.636719,1.373783
261.522095,1.367952
260.380096,1.362602
259.267303,1.355130
258.157867,1.350892
257.017303,1.343400
255.908264,1.337871
254.770493,1.332164
253.663757,1.326425
252.558411,1.319509
251.422333,1.313021
250.318802,1.307645
249.185699,1.301930
248.083771,1.295760
246.983154,1.289636
245.852203,1.284348
244.753754,1.277199
243.624634,1.272457
242.528305,1.265867
241.431000,1.259664
240.306046,1.254500
239.211517,1.248395
238.087540,1.241720
236.994934,1.235528
235.872818,1.230818
234.782471,1.224782
233.692184,1.218108
232.572983,1.212147
231.484772,1.207162
230.367737,1.200975
229.281189,1.194413
228.195587,1.188273
227.080734,1.182472
225.997086,1.177217
224.884476,1.171678
223.802399,1.165528
222.721100,1.159007
221.610565,1.152972
220.531326,1.148067
219.422882,1.142318
218.345093,1.135837
217.267944,1.129600
216.161819,1.124080
215.086823,1.119086
213.982544,1.112899
212.908829,1.106266
211.835815,1.100619
210.734055,1.095371
209.663162,1.090108
208.562943,1.083452
207.493134,1.077117
206.394684,1.071631
205.326813,1.066807
204.259796,1.060723
203.163422,1.053972
202.097717,1.048362
201.003357,1.043216
199.939392,1.037876
198.875931,1.031414
197.783813,1.025611
196.722061,1.020121
195.631317,1.014110
194.571335,1.008214
193.511536,1.003432
192.423691,0.996514
191.365143,0.991367
190.278946,0.985927
189.221848,0.979055
188.166275,0.974802
187.081726,0.968085
186.027115,0.962646
184.944366,0.956963
183.891174,0.951416
182.809860,0.944916
181.758148,0.940553
180.707504,0.934535
179.627975,0.928212
178.578476,0.922362
177.500443,0.916775
176.452438,0.911752
175.405075,0.906373
174.329208,0.899768
173.283081,0.893995
172.208588,0.888364
171.163910,0.883464
170.119965,0.877989
169.047440,0.871441
168.004623,0.865765
166.933456,0.860579
165.892197,0.855498
164.851349,0.849402
163.782211,0.843364
162.742523,0.837593
161.674789,0.832468
160.636581,0.827106
159.598846,0.821455
158.533035,0.814849
157.496445,0.810665
156.432053,0.803862
155.396622,0.798854
154.333374,0.793654
153.299408,0.787772
152.265869,0.781662
151.204376,0.775777
150.172043,0.770772
149.111801,0.765591
148.080765,0.760037
147.050201,0.754004
145.991638,0.747892
144.962204,0.742658
143.904831,0.737659
142.876648,0.732373
141.848969,0.726421
140.793243,0.720220
139.766602,0.715104
138.712067,0.709976
137.686615,0.704391
136.661621,0.698368
135.608673,0.692532
134.584732,0.687648
133.532959,0.682503
132.510086,0.676625
131.487701,0.670693
130.437485,0.664874
129.416092,0.659806
128.366943,0.654997
127.346626,0.649438
126.298431,0.643230
125.279121,0.637452
124.260178,0.632565
123.213631,0.627397
122.195694,0.621788
121.150040,0.615925
120.133102,0.610031
119.116608,0.604961
118.072395,0.599968
117.056854,0.594547
116.013596,0.588201
114.998894,0.582609
