2,Cadillac V-Series.R,baseline
Steering Wheel Angle,Yaw Rate
270.022430,1.926517
269.006195,1.919072
268.017395,1.912449
267.001190,1.905434
266.012421,1.898568
265.023651,1.831320
264.007385,1.828143
263.018616,1.832518
262.002350,1.825520
261.013611,1.819009
260.024841,1.812743
259.008575,1.806225
258.019806,1.799898
257.003571,1.802611
256.014801,1.808768
254.998566,1.801659
254.009781,1.795004
253.021011,1.788409
252.004791,1.781486
251.015961,1.774780
249.999741,1.767263
249.010956,1.741738
248.022217,1.733072
247.005966,1.725982
246.017166,1.719106
245.000916,1.711937
244.012177,1.705052
243.023422,1.698076
242.007141,1.691035
241.018341,1.684147
240.002121,1.677040
239.013351,1.670154
238.024597,1.663223
237.008316,1.656178
236.019547,1.649306
235.003296,1.642236
234.014542,1.635352
233.025772,1.628457
232.009491,1.621402
231.020752,1.614512
230.004471,1.607481
229.015686,1.600641
227.999451,1.593556
227.010681,1.586703
226.021896,1.579828
225.005646,1.572790
224.016876,1.565928
223.000626,1.558911
222.011841,1.552058
221.023071,1.545108
220.006836,1.538132
219.018051,1.531289
218.001816,1.524301
217.013016,1.517329
216.024261,1.510525
215.007996,1.503471
214.019226,1.496668
213.002960,1.489600
212.014175,1.482871
211.025421,1.475928
210.009140,1.468921
209.020386,1.462053
208.004135,1.455048
207.015366,1.448155
206.026566,1.441351
205.010300,1.434318
204.021530,1.427532
203.005295,1.420459
202.016510,1.413626
201.000275,1.406535
200.011475,1.399790
199.022705,1.392933
198.006454,1.385883
197.017670,1.378994
196.001419,1.372046
195.012619,1.365131
194.023849,1.358335
193.007599,1.351307
192.018814,1.344520
191.002563,1.337458
190.013794,1.330598
189.024994,1.323768
188.008728,1.316720
187.019974,1.309939
186.003708,1.302878
185.014938,1.296030
184.026154,1.289218
183.009888,1.282181
182.021133,1.275334
181.004852,1.268279
180.016098,1.261482
178.999817,1.254437
178.011047,1.247611
177.022247,1.240759
176.005981,1.233741
175.017227,1.226917
174.000961,1.219866
173.012192,1.213030
172.023392,1.206160
171.007111,1.199198
170.018356,1.192345
169.002075,1.185263
168.013321,1.178449
167.024506,1.171695
166.008270,1.164583
165.019485,1.157714
164.003220,1.150757
163.014450,1.143856
162.025650,1.137109
161.009415,1.130050
160.020615,1.123170
159.004333,1.116185
158.015564,1.109340
157.026764,1.102519
156.010544,1.095446
155.021729,1.088648
154.005478,1.081576
153.016708,1.074676
152.000443,1.067530
151.011673,1.060588
150.022858,1.052885
149.006622,1.045318
148.017822,1.038073
147.001556,1.030834
146.012772,1.023833
145.023972,1.016801
144.007736,1.009680
143.018936,1.002662
142.002655,0.995476
141.013901,0.988523
140.025085,0.981550
139.008850,0.974351
138.020050,0.967362
137.003769,0.960212
136.014999,0.953201
135.026199,0.946206
134.009964,0.939023
133.021164,0.933330
132.004913,0.926167
131.016113,0.921196
130.027283,0.916609
129.011078,0.912628
128.022263,0.907573
127.006020,0.900377
126.017204,0.893298
125.000938,0.886063
124.012169,0.878995
123.023369,0.871928
122.007118,0.864669
121.018311,0.857625
120.002029,0.850354
119.013283,0.843335
118.024460,0.836286
117.008224,0.829012
116.019402,0.821958
115.003166,0.814724
114.014351,0.807662
113.025566,0.800659
112.009323,0.793411
111.020508,0.786349
110.004265,0.779105
109.015457,0.772069
108.026642,0.765003
107.010399,0.757765
106.021584,0.750720
105.005371,0.743490
104.016556,0.736444
103.027771,0.729385
102.011497,0.722165
101.022690,0.715105
100.006439,0.707874
99.017632,0.700829
98.001389,0.693617
97.012573,0.686577
96.023758,0.679515
95.007515,0.672249
94.018700,0.665224
93.002457,0.657960
92.013649,0.650984
91.024887,0.643946
90.008591,0.636714
89.019775,0.629660
88.003563,0.622476
87.014717,0.615392
86.025963,0.608355
85.009674,0.601125
84.020859,0.594085
83.004631,0.586897
82.015800,0.579831
81.027039,0.572764
80.010742,0.565519
79.021935,0.558530
78.005684,0.551239
77.016876,0.544237
76.000633,0.536989
75.011818,0.530038
74.023056,0.522930
73.006760,0.515733
72.017944,0.508751
71.001701,0.501447
70.012894,0.494426
69.024109,0.487414
68.007835,0.480191
67.018997,0.473134
66.002754,0.465898
65.013939,0.458864
64.025177,0.451848
63.008881,0.444618
62.020069,0.437555
61.003826,0.430350
60.015011,0.423321
59.026226,0.416268
58.009926,0.409091
57.021172,0.402041
56.004875,0.394784
55.016060,0.387845
54.027275,0.380771
53.011005,0.373599
52.022217,0.366555
51.005924,0.359327
50.017109,0.352317
49.000866,0.345190
48.012054,0.338048
47.023270,0.331069
46.006969,0.323845
45.018211,0.316779
44.001915,0.309936
43.013073,0.302595
42.024315,0.295562
41.008018,0.288349
40.019230,0.281345
39.002964,0.274137
38.014122,0.267131
37.025364,0.260139
36.009068,0.252893
35.020279,0.245883
34.003983,0.238673
33.015167,0.231696
32.026382,0.224659
31.010088,0.217446
30.021326,0.210485
29.005032,0.203233
28.016247,0.196252
27.027433,0.189251
26.011137,0.182061
25.022348,0.175048
24.006052,0.167850
23.017294,0.160850
22.000998,0.153628
21.012157,0.146639
20.023371,0.139594
19.007101,0.132421
18.018314,0.125411
17.002018,0.118211
16.013233,0.111215
15.024419,0.104226
14.008123,0.097011
13.019336,0.090032
12.003040,0.082807
11.014254,0.075803
