2,Chevrolet Camaro Class B,centripetal
Steering Wheel Angle,Yaw Rate
430.009583,2.874755
428.993378,2.867806
428.004639,2.870889
427.015869,2.776650
425.999664,2.801716
425.010895,2.799188
423.994690,2.798104
423.005920,2.800048
422.017181,2.821054
421.000977,2.817545
420.012207,2.790289
418.996002,2.788658
418.007233,2.785052
417.018494,2.779204
416.002289,2.773147
415.013519,2.767629
413.997314,2.780110
413.008545,2.818897
412.019775,2.815991
411.003571,2.810286
410.014801,2.803732
408.998596,2.795798
408.009827,2.785557
406.993622,2.773042
406.004883,2.741592
405.016113,2.733536
403.999908,2.725177
403.011139,2.718001
401.994934,2.712509
401.006165,2.714149
400.017426,2.713903
399.001190,2.712664
398.012421,2.705663
396.996216,2.698622
396.007446,2.691924
395.018738,2.677485
394.002472,2.669715
393.013733,2.667794
391.997498,2.660924
391.008759,2.649621
390.020020,2.645653
389.003754,2.639094
388.015015,2.630030
386.998810,2.625947
386.010040,2.617265
384.993805,2.611156
384.005035,2.605099
383.016296,2.597533
382.000092,2.590670
381.011322,2.584206
379.995087,2.576231
379.006317,2.569652
378.017578,2.563383
377.001373,2.555614
376.012604,2.549530
374.996338,2.542271
374.007629,2.535405
373.018890,2.528684
372.002625,2.520543
371.013855,2.515561
369.997650,2.507703
369.008911,2.500740
368.020142,2.494341
367.003906,2.487113
366.015137,2.480407
364.998932,2.473303
364.010193,2.466403
363.021423,2.458487
362.005157,2.453009
361.016418,2.445507
360.000214,2.439569
359.011444,2.430981
357.995178,2.425855
357.006439,2.416826
356.017670,2.412030
355.001465,2.403643
354.012695,2.398355
352.996490,2.390373
352.007721,2.384953
351.018951,2.375341
350.002716,2.371119
349.013947,2.363075
347.997711,2.357217
347.008942,2.348421
346.020203,2.344628
345.003998,2.335210
344.015228,2.329274
342.998962,2.322019
342.010223,2.315005
341.021454,2.309427
340.005219,2.302128
339.016449,2.295256
338.000214,2.288287
337.011475,2.281910
336.022736,2.275312
335.006500,2.267995
334.017700,2.261069
333.001465,2.253717
332.012726,2.247470
330.996490,2.240561
330.007721,2.233013
329.018951,2.227537
328.002747,2.220101
327.013977,2.214132
325.997711,2.206334
325.008972,2.200017
324.020203,2.192696
323.003998,2.186691
322.015228,2.178689
320.998962,2.172814
320.010193,2.166348
319.021454,2.159453
318.005219,2.152040
317.016479,2.144430
316.000183,2.139602
315.011414,2.132259
314.022675,2.125453
313.006470,2.117321
312.017700,2.112732
311.001404,2.104397
310.012665,2.098166
309.023926,2.089855
308.007690,2.085313
307.018921,2.077173
306.002686,2.071864
305.013916,2.064717
303.997681,2.057340
303.008911,2.050541
302.020142,2.044077
301.003906,2.036020
300.015137,2.031167
298.998901,2.022518
298.010132,2.016944
297.021332,2.009350
296.005127,2.003864
295.016357,1.995254
294.000153,1.990488
293.011322,1.982394
292.022583,1.976794
291.006378,1.969400
290.017578,1.962764
289.001343,1.956086
288.012573,1.949063
287.023834,1.943324
286.007568,1.935969
285.018768,1.929598
284.002563,1.922238
283.013824,1.915375
281.997528,1.908586
281.008789,1.901157
280.020020,1.895666
279.003784,1.886843
278.014984,1.882106
276.998779,1.875170
276.010010,1.867738
275.021179,1.862816
274.005005,1.854023
273.016235,1.849464
271.999969,1.842035
271.011169,1.835482
270.022430,1.828265
269.006195,1.822046
268.017395,1.815041
267.001190,1.807770
266.012421,1.800703
265.023651,1.795121
264.007385,1.788190
263.018616,1.781506
262.002350,1.774140
261.013611,1.768016
260.024841,1.761129
259.008575,1.753787
258.019806,1.747418
257.003571,1.740024
256.014801,1.735316
254.998566,1.726599
254.009781,1.721894
253.021011,1.713131
252.004791,1.707725
251.015961,1.701696
249.999741,1.693831
