2,Chevrolet Camaro ZL1 Class A,cota_gp
Steering Wheel Angle,Yaw Rate
363.021423,2.835017
362.005157,2.825932
361.016418,2.827036
360.000214,2.789083
359.011444,2.733290
357.995178,2.732883
357.006439,2.732828
356.017670,2.731051
355.001465,2.729313
354.012695,2.727669
352.996490,2.725242
352.007721,2.722511
351.018951,2.716752
350.002716,2.710661
349.013947,2.712462
347.997711,2.786335
347.008942,2.773258
346.020203,2.763830
345.003998,2.752338
344.015228,2.739480
342.998962,2.724519
342.010223,2.708862
341.021454,2.692664
340.005219,2.676085
339.016449,2.669067
338.000214,2.660037
337.011475,2.651791
336.022736,2.647689
335.006500,2.646736
334.017700,2.645608
333.001465,2.638629
332.012726,2.630089
330.996490,2.621616
330.007721,2.607591
329.018951,2.599149
328.002747,2.594969
327.013977,2.585069
325.997711,2.578182
325.008972,2.569011
324.020203,2.562250
323.003998,2.553050
322.015228,2.546108
320.998962,2.536323
320.010193,2.529547
319.021454,2.521879
318.005219,2.513067
317.016479,2.504967
316.000183,2.495939
315.011414,2.488293
314.022675,2.480811
313.006470,2.473192
312.017700,2.464154
311.001404,2.455741
310.012665,2.448108
309.023926,2.439457
308.007690,2.432498
307.018921,2.422925
306.002686,2.415832
305.013916,2.406518
303.997681,2.399269
303.008911,2.390868
302.020142,2.383961
301.003906,2.374898
300.015137,2.367464
298.998901,2.358407
298.010132,2.351471
297.021332,2.342232
296.005127,2.335296
295.016357,2.326630
294.000153,2.318409
293.011322,2.311073
292.022583,2.300731
291.006378,2.294359
290.017578,2.286201
289.001343,2.278787
288.012573,2.270813
287.023834,2.262609
286.007568,2.254450
285.018768,2.246469
284.002563,2.237262
283.013824,2.230115
281.997528,2.221848
281.008789,2.214545
280.020020,2.206405
279.003784,2.196737
278.014984,2.190484
276.998779,2.181715
276.010010,2.173786
275.021179,2.165740
274.005005,2.157542
273.016235,2.150233
271.999969,2.141897
271.011169,2.133226
270.022430,2.126072
269.006195,2.117888
268.017395,2.109571
267.001190,2.102247
266.012421,2.093587
265.023651,2.085412
264.007385,2.078263
263.018616,2.069540
262.002350,2.061439
261.013611,2.053187
260.024841,2.045864
259.008575,2.036993
258.019806,2.029846
257.003571,2.021666
256.014801,2.013700
254.998566,2.004995
254.009781,1.997569
253.021011,1.988993
252.004791,1.982062
251.015961,1.973944
249.999741,1.965062
249.010956,1.957341
248.022217,1.949808
247.005966,1.941506
246.017166,1.933282
245.000916,1.926004
244.012177,1.917550
243.023422,1.909467
242.007141,1.900521
241.018341,1.894473
240.002121,1.885355
239.013351,1.878466
238.024597,1.869277
237.008316,1.862006
236.019547,1.853657
235.003296,1.845672
234.014542,1.837385
233.025772,1.830534
232.009491,1.821696
231.020752,1.814039
230.004471,1.805669
229.015686,1.797926
227.999451,1.789519
227.010681,1.782269
226.021896,1.773794
225.005646,1.766156
224.016876,1.757682
223.000626,1.750138
222.011841,1.742750
221.023071,1.734175
220.006836,1.726627
219.018051,1.717488
218.001816,1.711476
217.013016,1.702807
216.024261,1.695165
215.007996,1.686664
214.019226,1.678678
213.002960,1.670507
212.014175,1.662955
211.025421,1.655374
210.009140,1.647261
209.020386,1.638732
208.004135,1.631295
207.015366,1.622778
206.026566,1.615656
205.010300,1.606326
204.021530,1.600531
203.005295,1.590995
202.016510,1.583591
201.000275,1.575438
200.011475,1.567674
199.022705,1.559264
198.006454,1.551925
197.017670,1.543595
196.001419,1.535450
195.012619,1.528814
194.023849,1.520496
193.007599,1.512489
192.018814,1.503547
191.002563,1.496665
190.013794,1.488642
189.024994,1.481321
188.008728,1.472431
187.019974,1.464595
186.003708,1.456919
185.014938,1.448968
184.026154,1.441403
