2,Chevrolet Corvette C6R GT1,baseline
Steering Wheel Angle,Yaw Rate
232.009491,1.484919
231.020752,1.474610
230.004471,1.468556
229.015686,1.462710
227.999451,1.459096
227.010681,1.454876
226.021896,1.450441
225.005646,1.444813
224.016876,1.438622
223.000626,1.432102
222.011841,1.425745
221.023071,1.419402
220.006836,1.412845
219.018051,1.406560
218.001816,1.400017
217.013016,1.393975
216.024261,1.387931
215.007996,1.381446
214.019226,1.373844
213.002960,1.365715
212.014175,1.359226
211.025421,1.352529
210.009140,1.346817
209.020386,1.341295
208.004135,1.333807
207.015366,1.328162
206.026566,1.321074
205.010300,1.315459
204.021530,1.307657
203.005295,1.302578
202.016510,1.295429
201.000275,1.288987
200.011475,1.283042
199.022705,1.276481
198.006454,1.269869
197.017670,1.262832
196.001419,1.256422
195.012619,1.250147
194.023849,1.244156
193.007599,1.237473
192.018814,1.230700
191.002563,1.224876
190.013794,1.217985
189.024994,1.211348
188.008728,1.204467
187.019974,1.198859
186.003708,1.192297
185.014938,1.185541
184.026154,1.179982
183.009888,1.172892
182.021133,1.166723
181.004852,1.160469
180.016098,1.153700
178.999817,1.146615
178.011047,1.140199
177.022247,1.134215
176.005981,1.127533
175.017227,1.121286
174.000961,1.115129
173.012192,1.108048
172.023392,1.102237
171.007111,1.095790
170.018356,1.088941
169.002075,1.082567
168.013321,1.075744
167.024506,1.069855
166.008270,1.063162
165.019485,1.057088
164.003220,1.049989
163.014450,1.043173
162.025650,1.037182
161.009415,1.030925
160.020615,1.024670
159.004333,1.018178
158.015564,1.011668
157.026764,1.005407
156.010544,0.998924
155.021729,0.992596
154.005478,0.985583
153.016708,0.979687
152.000443,0.972800
151.011673,0.966105
150.022858,0.959636
149.006622,0.953355
148.017822,0.947446
147.001556,0.940970
146.012772,0.934283
145.023972,0.927260
144.007736,0.920967
143.018936,0.914728
142.002655,0.908697
141.013901,0.902074
140.025085,0.895915
139.008850,0.889027
138.020050,0.882318
137.003769,0.876238
136.014999,0.870198
135.026199,0.863387
134.009964,0.856670
133.021164,0.850228
132.004913,0.843909
131.016113,0.837369
130.027283,0.831331
129.011078,0.824161
128.022263,0.818141
127.006020,0.811805
126.017204,0.805434
125.000938,0.798692
124.012169,0.792619
123.023369,0.786004
122.007118,0.779245
121.018311,0.772728
120.002029,0.766341
119.013283,0.760141
118.024460,0.753863
117.008224,0.747009
116.019402,0.741142
115.003166,0.733807
114.014351,0.728127
113.025566,0.721070
112.009323,0.714840
111.020508,0.708642
110.004265,0.702377
109.015457,0.695476
108.026642,0.689318
107.010399,0.682750
106.021584,0.676274
105.005371,0.669424
104.016556,0.663652
103.027771,0.657229
102.011497,0.650531
101.022690,0.643903
100.006439,0.637534
99.017632,0.631373
98.001389,0.624240
97.012573,0.617969
96.023758,0.612084
95.007515,0.605245
94.018700,0.598897
93.002457,0.592344
92.013649,0.585576
91.024887,0.579546
90.008591,0.572741
89.019775,0.566410
88.003563,0.559932
87.014717,0.553926
86.025963,0.547419
85.009674,0.540769
84.020859,0.534613
83.004631,0.527613
82.015800,0.521082
81.027039,0.514780
80.010742,0.508609
79.021935,0.502198
78.005684,0.495369
77.016876,0.488819
76.000633,0.482459
75.011818,0.476344
74.023056,0.469834
73.006760,0.463297
72.017944,0.456971
71.001701,0.450647
70.012894,0.444015
69.024109,0.437602
68.007835,0.431102
67.018997,0.424496
66.002754,0.417775
65.013939,0.411628
64.025177,0.405323
63.008881,0.398463
62.020069,0.392358
61.003826,0.385834
60.015011,0.379397
59.026226,0.372793
58.009926,0.366750
57.021172,0.359880
56.004875,0.353296
55.016060,0.347018
54.027275,0.340888
53.011005,0.334027
52.022217,0.327469
51.005924,0.321138
50.017109,0.314936
49.000866,0.308611
48.012054,0.301633
47.023270,0.295828
46.006969,0.288858
45.018211,0.282731
44.001915,0.276158
43.013073,0.269317
42.024315,0.263239
41.008018,0.256924
40.019230,0.250629
39.002964,0.243885
38.014122,0.237313
37.025364,0.231337
36.009068,0.224766
35.020279,0.218192
34.003983,0.211327
33.015167,0.204991
32.026382,0.198765
31.010088,0.192509
30.021326,0.185963
29.005032,0.179302
28.016247,0.173326
27.027433,0.166801
26.011137,0.160154
25.022348,0.153643
24.006052,0.147229
23.017294,0.140579
22.000998,0.134205
21.012157,0.128103
20.023371,0.121621
19.007101,0.114855
18.018314,0.108254
17.002018,0.101688
16.013233,0.095491
15.024419,0.089181
14.008123,0.082897
13.019336,0.076441
12.003040,0.069698
11.014254,0.063181
10.025441,0.056973
9.009144,0.050553
8.020358,0.044166
7.004062,0.037366
6.015275,0.031035
5.026462,0.025948
4.010166,0.020803
3.021353,0.015734
2.005083,0.010546
1.016323,0.005568
0.000000,0.001477
-0.988760,0.004774
-1.977626,0.009761
-2.993896,0.014989
-3.982709,0.020084
-4.998979,0.025273
-5.987792,0.031835
-6.976604,0.038550
-7.992875,0.045160
-8.981688,0.051422
-9.997957,0.057691
-10.986771,0.064287
-11.975583,0.070859
-12.991853,0.077412
-13.980665,0.083824
-14.996989,0.090265
-15.985749,0.096617
-16.974613,0.103213
-17.990831,0.109262
-18.979698,0.115747
-19.995966,0.122455
-20.984779,0.128993
-21.973593,0.135099
-22.989862,0.141754
-23.978676,0.148111
-24.994999,0.154512
-25.983759,0.160998
-27.000082,0.167383
-27.988842,0.173985
-28.977654,0.180281
-29.993923,0.186977
-30.982737,0.193470
-31.999060,0.200007
-32.987873,0.206089
-33.976685,0.212251
-34.992954,0.219004
-35.981770,0.225629
-36.998093,0.232082
-37.986855,0.238235
-38.975719,0.244512
-39.991932,0.251265
-40.980801,0.257501
-41.997017,0.264056
-42.985882,0.270654
-43.974697,0.277129
-44.990967,0.283842
-45.979778,0.289765
-46.996048,0.296429
-47.984913,0.302942
-48.973728,0.309618
-49.989998,0.315995
-50.978813,0.322364
-51.995083,0.328520
-52.983894,0.334914
-54.000217,0.342030
-54.989029,0.348029
-55.977844,0.354381
-56.994110,0.360680
-57.982929,0.367126
-58.999199,0.374104
-59.988010,0.380360
-60.976871,0.386639
-61.993145,0.393393
-62.981956,0.399826
-63.998226,0.406377
-64.987038,0.412450
-65.975906,0.418560
-66.992180,0.425731
-67.980995,0.432159
-68.997253,0.438530
-69.986069,0.445064
-70.974884,0.451291
-71.991211,0.457595
-72.980019,0.464503
-73.996292,0.470806
-74.985161,0.476799
-75.973915,0.483713
-76.990234,0.490229
-77.979050,0.496720
-78.995323,0.502745
-79.984192,0.509344
-81.000404,0.516343
-81.989273,0.522419
-82.978142,0.528492
-83.994354,0.535520
-84.983215,0.541381
-85.999489,0.547928
-86.988304,0.554477
-87.977112,0.561174
-88.993439,0.567750
-89.982254,0.574225
-90.998520,0.580412
-91.987381,0.587011
-92.976151,0.593111
-93.992470,0.600254
-94.981339,0.606367
-95.997551,0.612447
-96.986420,0.618874
-97.975182,0.625518
-98.991501,0.632297
-99.980316,0.638547
-100.996635,0.644989
-101.985451,0.651443
-103.001717,0.658278
-103.990585,0.664351
-104.979347,0.670649
-105.995674,0.677498
-106.984535,0.683301
-108.000801,0.690379
-108.989616,0.696853
-109.978432,0.702955
-110.994759,0.709179
-111.983620,0.715579
-112.999840,0.722520
-113.988701,0.729175
-114.977516,0.735524
-115.993790,0.741850
-116.982597,0.747786
-117.998917,0.754480
-118.987793,0.760898
-119.976540,0.767115
-120.992874,0.774020
-121.981682,0.780522
-122.998009,0.786640
-123.986816,0.792999
-124.975624,0.799472
-125.991959,0.806483
-126.980713,0.812497
-127.997040,0.819497
-128.985855,0.825453
-130.002182,0.831921
-130.991043,0.838787
-131.979797,0.844964
-132.996124,0.851170
-133.984924,0.857629
-135.001266,0.864154
-135.990128,0.870558
-136.978897,0.876855
-137.995209,0.883470
-138.984009,0.889913
-140.000351,0.896764
-140.989212,0.902748
-141.977966,0.909198
-142.994293,0.915942
-143.983093,0.922386
-144.999435,0.928857
-145.988190,0.935120
-146.977051,0.941545
-147.993378,0.948584
-148.982193,0.954288
-149.998520,0.960963
-150.987274,0.968069
-151.976135,0.973920
-152.992462,0.980459
-153.981277,0.986974
-154.997604,0.993316
-155.986404,0.999963
-157.002731,1.006302
-157.991592,1.012338
-158.980362,1.019073
-159.996674,1.025822
-160.985504,1.031669
-162.001816,1.039174
-162.990631,1.044480
-163.979446,1.051805
-164.995819,1.057503
-165.984589,1.064253
-167.000900,1.070799
-167.989716,1.076853
-168.978577,1.083641
-169.994904,1.090623
-170.983719,1.096635
-172.000046,1.102842
-172.988800,1.109466
-173.977661,1.116250
-174.993927,1.122333
-175.982803,1.128605
-176.999130,1.135798
-177.987946,1.142399
-178.976807,1.148320
-179.993011,1.154432
-180.981888,1.161272
-181.998260,1.167153
-182.987030,1.174115
-184.003342,1.180839
-184.992157,1.187217
-185.981033,1.193492
-186.997345,1.199550
-187.986160,1.206474
-189.002487,1.213317
-189.991287,1.219211
-190.980164,1.225621
-191.996368,1.232166
-192.985306,1.238504
-194.001617,1.245074
-194.990387,1.251395
-195.979248,1.257581
-196.995514,1.264308
-197.984390,1.270746
-199.000702,1.277363
-199.989532,1.283574
-200.978394,1.289727
-201.994644,1.296752
-202.983521,1.304015
-203.999786,1.310313
-204.988647,1.316128
-206.004990,1.323002
-206.993790,1.328530
-207.982666,1.335487
-208.998932,1.342838
-209.987793,1.348882
-211.004120,1.355065
-211.992920,1.361149
-212.981796,1.367894
-213.998062,1.374622
-214.986923,1.380535
-216.003265,1.387572
-216.992065,1.394079
-217.980942,1.400085
-218.997208,1.407182
-219.986069,1.412534
-221.002350,1.420732
-221.991211,1.425828
-222.980072,1.432847
-223.996338,1.439144
-224.985199,1.445646
-226.001480,1.452069
-226.990341,1.457922
-227.979218,1.465035
-228.995483,1.471333
-229.984344,1.478042
-231.000626,1.484471
-231.989487,1.490821
