2,Chevrolet Corvette C8.R,baseline
Steering Wheel Angle,Yaw Rate
311.519440,1.551167
310.320923,1.551209
309.089142,1.551396
307.890625,1.552678
306.692078,1.553815
305.460297,1.554636
304.261749,1.555657
303.029968,1.556539
301.831451,1.557370
300.632935,1.558172
299.401123,1.558753
298.202606,1.559301
296.970795,1.559692
295.772308,1.559669
294.573792,1.559714
293.341980,1.559822
292.143433,1.559875
290.911621,1.559959
289.713135,1.560021
288.514648,1.560074
287.282806,1.560181
286.084290,1.560215
284.852448,1.560317
283.653931,1.560200
282.455475,1.559777
281.223633,1.559124
280.025116,1.558231
278.793274,1.557297
277.594757,1.556228
276.362946,1.556028
275.164429,1.555912
273.965912,1.555934
272.734100,1.555941
271.535583,1.556991
270.303772,1.557847
269.105225,1.558510
267.906738,1.558503
266.674927,1.558571
265.476410,1.558479
264.244598,1.557569
263.046051,1.557644
261.847565,1.557800
260.615723,1.557752
259.417236,1.557688
258.185364,1.558011
256.986877,1.557586
255.788361,1.549849
254.556519,1.542151
253.358017,1.534652
252.126205,1.526987
250.927673,1.519978
249.729156,1.512357
248.497299,1.504774
247.298813,1.497670
246.067001,1.490323
244.868469,1.482462
243.636658,1.475386
242.438126,1.467820
241.239594,1.460236
240.007812,1.452927
238.809280,1.445701
237.577469,1.437737
236.378906,1.430621
235.180389,1.423143
233.948578,1.415519
232.750046,1.408452
231.518234,1.401038
230.319733,1.393355
229.121201,1.385925
227.889343,1.378647
226.690857,1.371138
225.459015,1.363580
224.260513,1.356279
223.061981,1.348747
221.830154,1.341564
220.631638,1.334303
219.399796,1.326447
218.201309,1.319342
216.969467,1.311659
215.770935,1.304220
214.572403,1.297267
213.340561,1.289302
212.142075,1.282259
210.910233,1.274505
209.711731,1.267314
208.513168,1.259852
207.281326,1.252261
206.082840,1.245211
204.850998,1.237552
203.652481,1.230151
202.453934,1.222870
201.222122,1.215539
200.023590,1.208035
198.791748,1.200658
197.593246,1.193365
196.394730,1.185750
