2,Chevrolet Corvette Z06 GT3.R,baseline
Steering Wheel Angle,Yaw Rate
249.999741,1.856474
249.010956,1.849912
248.022217,1.843515
247.005966,1.836855
246.017166,1.830190
245.000916,1.823462
244.012177,1.816687
243.023422,1.802325
242.007141,1.744533
241.018341,1.740245
240.002121,1.747501
239.013351,1.742391
238.024597,1.736164
237.008316,1.729265
236.019547,1.722484
235.003296,1.715449
234.014542,1.708446
233.025772,1.701328
232.009491,1.694036
231.020752,1.686896
230.004471,1.679567
229.015686,1.672470
227.999451,1.665113
227.010681,1.658025
226.021896,1.650933
225.005646,1.643540
224.016876,1.636417
223.000626,1.629140
222.011841,1.622067
221.023071,1.614995
220.006836,1.607592
219.018051,1.600478
218.001816,1.593151
217.013016,1.586051
216.024261,1.578969
215.007996,1.571622
214.019226,1.564531
213.002960,1.557225
212.014175,1.550145
211.025421,1.543026
210.009140,1.535697
209.020386,1.528589
208.004135,1.521293
207.015366,1.514167
206.026566,1.507069
205.010300,1.499762
204.021530,1.492652
203.005295,1.485370
202.016510,1.478270
201.000275,1.470980
200.011475,1.463859
199.022705,1.456792
198.006454,1.449451
197.017670,1.442386
196.001419,1.435133
195.012619,1.427932
194.023849,1.420833
193.007599,1.413599
192.018814,1.406497
191.002563,1.399208
190.013794,1.392280
189.024994,1.385292
188.008728,1.378062
187.019974,1.371094
186.003708,1.363165
185.014938,1.355733
184.026154,1.348448
183.009888,1.340937
182.021133,1.333613
181.004852,1.327167
180.016098,1.326678
178.999817,1.323313
178.011047,1.316081
177.022247,1.308778
176.005981,1.301208
175.017227,1.293902
174.000961,1.286350
173.012192,1.279020
172.023392,1.271658
171.007111,1.264090
170.018356,1.256801
169.002075,1.249233
168.013321,1.241875
167.024506,1.234545
166.008270,1.226963
165.019485,1.219672
164.003220,1.212066
163.014450,1.204747
162.025650,1.197347
161.009415,1.189832
160.020615,1.182490
159.004333,1.174889
158.015564,1.167518
157.026764,1.160191
156.010544,1.152614
155.021729,1.145255
154.005478,1.137677
153.016708,1.130343
152.000443,1.122758
151.011673,1.115377
150.022858,1.108039
149.006622,1.100454
148.017822,1.093107
147.001556,1.085657
146.012772,1.078164
145.023972,1.070815
144.007736,1.063236
143.018936,1.055889
142.002655,1.048283
141.013901,1.040896
140.025085,1.033536
139.008850,1.025974
138.020050,1.018598
137.003769,1.011023
136.014999,1.003651
135.026199,0.996242
134.009964,0.988703
133.021164,0.981288
132.004913,0.973737
131.016113,0.966344
130.027283,0.958973
129.011078,0.951377
128.022263,0.944009
127.006020,0.936420
126.017204,0.929030
125.000938,0.921443
124.012169,0.914106
123.023369,0.906709
122.007118,0.899090
121.018311,0.891728
120.002029,0.884149
119.013283,0.876754
118.024460,0.869368
117.008224,0.861773
116.019402,0.854364
115.003166,0.846817
114.014351,0.839417
113.025566,0.832044
112.009323,0.824502
111.020508,0.817032
110.004265,0.809451
109.015457,0.802106
108.026642,0.794724
107.010399,0.787145
106.021584,0.779793
105.005371,0.772151
104.016556,0.764784
103.027771,0.757385
102.011497,0.749800
101.022690,0.742422
100.006439,0.734833
99.017632,0.727475
98.001389,0.719850
97.012573,0.712460
96.023758,0.705101
95.007515,0.697537
94.018700,0.690141
93.002457,0.682541
92.013649,0.675150
91.024887,0.667769
90.008591,0.660210
89.019775,0.652852
88.003563,0.645245
87.014717,0.637878
86.025963,0.630478
85.009674,0.622910
84.020859,0.615501
83.004631,0.607953
82.015800,0.600564
81.027039,0.593188
80.010742,0.585613
79.021935,0.578227
78.005684,0.570662
77.016876,0.563285
76.000633,0.555667
75.011818,0.548313
74.023056,0.540948
73.006760,0.533360
72.017944,0.525993
71.001701,0.518384
70.012894,0.511021
69.024109,0.503634
68.007835,0.496033
67.018997,0.488652
66.002754,0.481093
65.013939,0.473711
64.025177,0.466334
63.008881,0.458762
62.020069,0.451395
61.003826,0.443809
60.015011,0.436434
59.026226,0.429063
58.009926,0.421477
57.021172,0.414082
56.004875,0.406510
55.016060,0.399102
54.027275,0.391729
53.011005,0.384155
52.022217,0.376772
51.005924,0.369142
50.017109,0.361806
49.000866,0.354208
48.012054,0.346788
47.023270,0.339410
46.006969,0.331813
45.018211,0.324457
44.001915,0.316820
43.013073,0.309407
42.024315,0.302089
41.008018,0.294453
40.019230,0.287069
39.002964,0.279501
38.014122,0.272111
37.025364,0.264699
36.009068,0.257090
35.020279,0.249704
34.003983,0.242131
33.015167,0.234756
32.026382,0.227341
31.010088,0.219745
30.021326,0.212354
29.005032,0.204771
28.016247,0.197352
27.027433,0.190027
26.011137,0.182361
25.022348,0.175055
24.006052,0.167456
23.017294,0.160019
22.000998,0.152449
21.012157,0.145081
20.023371,0.137656
19.007101,0.130081
18.018314,0.122699
17.002018,0.115064
16.013233,0.107723
15.024419,0.100328
14.008123,0.092724
13.019336,0.085359
12.003040,0.077743
11.014254,0.070364
10.025441,0.062959
9.009144,0.056321
8.020358,0.050147
7.004062,0.043754
6.015275,0.037607
5.026462,0.031411
4.010166,0.025085
3.021353,0.018898
2.005083,0.012547
1.016323,0.006330
0.000000,0.000988
-0.988760,0.006163
-1.977626,0.012339
-2.993896,0.018782
-3.982709,0.024926
-4.998979,0.031237
-5.987792,0.037423
-6.976604,0.043643
-7.992875,0.049957
-8.981688,0.056157
-9.997957,0.062976
-10.986771,0.070399
-11.975583,0.077786
-12.991853,0.085367
-13.980665,0.092785
-14.996989,0.100338
-15.985749,0.107743
-16.974613,0.115128
-17.990831,0.122744
-18.979698,0.130135
-19.995966,0.137719
-20.984779,0.145104
-21.973593,0.152505
-22.989862,0.160097
-23.978676,0.167508
-24.994999,0.175094
-25.983759,0.182476
-27.000082,0.190085
-27.988842,0.197466
-28.977654,0.204890
-29.993923,0.212488
-30.982737,0.219841
-31.999060,0.227461
-32.987873,0.234847
-33.976685,0.242262
-34.992954,0.249838
-35.981770,0.257219
-36.998093,0.264811
-37.986855,0.272212
-38.975719,0.279623
-39.991932,0.287180
-40.980801,0.294600
-41.997017,0.302214
-42.985882,0.309558
-43.974697,0.317018
-44.990967,0.324535
-45.979778,0.331997
-46.996048,0.339581
-47.984913,0.346955
-48.973728,0.354364
-49.989998,0.361957
-50.978813,0.369353
-51.995083,0.376954
-52.983894,0.384373
-54.000217,0.391934
-54.989029,0.399294
-55.977844,0.406719
-56.994110,0.414286
-57.982929,0.421693
-58.999199,0.429269
-59.988010,0.436648
-60.976871,0.444036
-61.993145,0.451639
-62.981956,0.459015
-63.998226,0.466611
-64.987038,0.474053
-65.975906,0.481390
-66.992180,0.489031
-67.980995,0.496353
-68.997253,0.503932
-69.986069,0.511333
-70.974884,0.518764
-71.991211,0.526379
-72.980019,0.533749
-73.996292,0.541316
-74.985161,0.548683
-75.973915,0.556093
-76.990234,0.563760
-77.979050,0.571065
-78.995323,0.578683
-79.984192,0.586065
-81.000404,0.593675
-81.989273,0.601043
-82.978142,0.608447
-83.994354,0.616022
-84.983215,0.623406
-85.999489,0.630980
-86.988304,0.638357
-87.977112,0.645796
-88.993439,0.653387
-89.982254,0.660760
-90.998520,0.668338
-91.987381,0.675725
-92.976151,0.683163
-93.992470,0.690732
-94.981339,0.698123
-95.997551,0.705702
-96.986420,0.713100
-97.975182,0.720483
-98.991501,0.728130
-99.980316,0.735484
-100.996635,0.743060
-101.985451,0.750462
-103.001717,0.758074
-103.990585,0.765436
-104.979347,0.772764
-105.995674,0.780411
-106.984535,0.787797
-108.000801,0.795382
-108.989616,0.802791
-109.978432,0.810178
-110.994759,0.817714
-111.983620,0.825158
-112.999840,0.832761
-113.988701,0.840166
-114.977516,0.847514
-115.993790,0.855069
-116.982597,0.862489
-117.998917,0.870137
-118.987793,0.877453
-119.976540,0.884925
-120.992874,0.892483
-121.981682,0.899813
-122.998009,0.907450
-123.986816,0.914870
-124.975624,0.922234
-125.991959,0.929783
-126.980713,0.937195
-127.997040,0.944753
-128.985855,0.952146
-130.002182,0.959680
-130.991043,0.967154
-131.979797,0.974567
-132.996124,0.982126
-133.984924,0.989509
-135.001266,0.997104
-135.990128,1.004507
-136.978897,1.011873
-137.995209,1.019487
-138.984009,1.026860
-140.000351,1.034464
-140.989212,1.041850
-141.977966,1.049270
-142.994293,1.056821
-143.983093,1.064189
-144.999435,1.071846
-145.988190,1.079222
-146.977051,1.086629
-147.993378,1.094255
-148.982193,1.101615
-149.998520,1.109167
-150.987274,1.116596
