2,Chevrolet National Impala,limerock
Steering Wheel Angle,Yaw Rate
361.016418,2.991768
360.000214,2.983230
359.011444,2.985577
357.995178,2.980888
357.006439,2.865709
356.017670,2.881624
355.001465,2.880331
354.012695,2.879309
352.996490,2.878282
352.007721,2.876711
351.018951,2.873471
350.002716,2.866711
349.013947,2.909259
347.997711,2.943897
347.008942,2.939568
346.020203,2.931081
345.003998,2.916075
344.015228,2.900645
342.998962,2.883576
342.010223,2.866221
341.021454,2.851385
340.005219,2.843448
339.016449,2.834630
338.000214,2.825649
337.011475,2.825638
336.022736,2.823977
335.006500,2.816335
334.017700,2.807524
333.001465,2.798025
332.012726,2.784448
330.996490,2.779298
330.007721,2.770741
329.018951,2.763301
328.002747,2.754136
327.013977,2.745553
325.997711,2.735492
325.008972,2.728616
324.020203,2.720291
323.003998,2.712125
322.015228,2.703508
320.998962,2.694513
320.010193,2.685198
319.021454,2.678535
318.005219,2.669506
317.016479,2.660952
316.000183,2.652242
315.011414,2.643704
314.022675,2.635290
313.006470,2.627105
312.017700,2.617833
311.001404,2.609837
310.012665,2.600835
309.023926,2.592717
308.007690,2.582721
307.018921,2.575252
306.002686,2.565830
305.013916,2.559008
303.997681,2.549652
303.008911,2.541787
302.020142,2.533168
301.003906,2.523744
300.015137,2.515980
298.998901,2.506997
298.010132,2.499108
297.021332,2.490181
296.005127,2.481977
295.016357,2.472816
294.000153,2.464710
293.011322,2.454570
292.022583,2.448261
291.006378,2.438824
290.017578,2.431229
289.001343,2.421863
288.012573,2.414445
287.023834,2.405810
286.007568,2.397421
285.018768,2.389234
284.002563,2.379865
283.013824,2.372276
281.997528,2.362378
281.008789,2.354560
280.020020,2.345642
279.003784,2.338600
278.014984,2.329906
276.998779,2.321130
276.010010,2.311894
275.021179,2.304743
274.005005,2.293507
273.016235,2.287474
271.999969,2.276611
271.011169,2.270339
270.022430,2.261958
269.006195,2.251997
268.017395,2.245114
267.001190,2.235861
266.012421,2.228500
265.023651,2.219136
264.007385,2.211639
263.018616,2.202005
262.002350,2.194304
261.013611,2.185668
260.024841,2.178076
259.008575,2.167580
258.019806,2.161306
257.003571,2.152041
256.014801,2.144155
254.998566,2.134809
254.009781,2.127109
253.021011,2.116103
252.004791,2.110676
251.015961,2.101958
249.999741,2.093078
249.010956,2.084160
248.022217,2.076467
247.005966,2.067110
246.017166,2.060107
245.000916,2.050309
244.012177,2.042911
243.023422,2.033163
242.007141,2.026068
241.018341,2.015799
240.002121,2.009280
239.013351,2.000273
238.024597,1.992208
237.008316,1.982590
236.019547,1.975349
235.003296,1.966236
234.014542,1.957915
233.025772,1.949002
232.009491,1.942570
231.020752,1.932893
230.004471,1.925723
229.015686,1.915170
227.999451,1.908169
227.010681,1.898402
226.021896,1.892347
225.005646,1.882048
224.016876,1.874684
223.000626,1.865024
222.011841,1.858410
221.023071,1.847715
220.006836,1.841503
219.018051,1.831816
218.001816,1.824944
217.013016,1.815262
216.024261,1.808037
215.007996,1.798214
214.019226,1.791070
213.002960,1.780879
212.014175,1.774978
211.025421,1.764863
210.009140,1.758392
209.020386,1.749265
208.004135,1.739817
207.015366,1.732039
206.026566,1.724221
205.010300,1.714485
204.021530,1.707041
203.005295,1.698503
202.016510,1.690972
201.000275,1.681123
200.011475,1.673980
199.022705,1.664743
198.006454,1.657145
197.017670,1.647170
196.001419,1.641217
195.012619,1.631997
194.023849,1.622858
193.007599,1.615782
192.018814,1.606172
191.002563,1.598317
190.013794,1.590745
189.024994,1.582684
188.008728,1.573375
187.019974,1.565882
186.003708,1.555412
185.014938,1.547897
184.026154,1.541675
183.009888,1.531294
182.021133,1.524293
181.004852,1.515591
180.016098,1.507626
178.999817,1.498282
178.011047,1.490924
177.022247,1.481697
176.005981,1.473386
175.017227,1.465014
174.000961,1.457403
173.012192,1.448336
172.023392,1.440814
171.007111,1.431078
170.018356,1.424655
169.002075,1.415832
168.013321,1.405029
167.024506,1.399437
166.008270,1.390853
165.019485,1.381148
164.003220,1.374322
163.014450,1.365847
162.025650,1.357093
161.009415,1.349136
160.020615,1.340630
159.004333,1.332257
158.015564,1.323065
157.026764,1.316443
156.010544,1.307918
155.021729,1.299054
154.005478,1.290599
