2,Corvette C7 Daytona Prototype,baseline
Steering Wheel Angle,Yaw Rate
263.018616,2.146312
262.002350,2.132187
261.013611,2.124427
260.024841,2.119515
259.008575,2.113811
258.019806,2.108132
257.003571,2.101943
256.014801,2.095769
254.998566,2.088304
254.009781,2.080020
253.021011,2.071991
252.004791,2.063639
251.015961,2.054044
249.999741,2.043353
249.010956,2.032552
248.022217,2.024858
247.005966,2.016412
246.017166,2.009977
245.000916,2.001828
244.012177,1.992833
243.023422,1.985202
242.007141,1.976243
241.018341,1.967813
240.002121,1.959305
239.013351,1.950899
238.024597,1.943128
237.008316,1.934587
236.019547,1.926554
235.003296,1.918330
234.014542,1.910000
233.025772,1.901451
232.009491,1.893283
231.020752,1.884847
230.004471,1.876445
229.015686,1.868549
227.999451,1.860318
227.010681,1.852053
226.021896,1.844117
225.005646,1.835450
224.016876,1.827055
223.000626,1.819171
222.011841,1.810603
221.023071,1.802845
220.006836,1.793933
219.018051,1.785945
218.001816,1.777835
217.013016,1.769712
216.024261,1.761525
215.007996,1.752707
214.019226,1.744580
213.002960,1.736817
212.014175,1.728874
211.025421,1.720044
210.009140,1.711485
209.020386,1.703461
208.004135,1.694996
207.015366,1.687114
206.026566,1.678664
205.010300,1.670820
204.021530,1.662458
203.005295,1.654249
202.016510,1.645772
201.000275,1.637587
200.011475,1.629155
199.022705,1.620976
198.006454,1.612528
197.017670,1.604562
196.001419,1.596704
195.012619,1.588938
194.023849,1.580069
193.007599,1.571732
192.018814,1.563525
191.002563,1.555300
190.013794,1.547087
189.024994,1.539562
188.008728,1.531159
187.019974,1.522914
186.003708,1.514725
185.014938,1.506052
184.026154,1.498414
183.009888,1.489563
182.021133,1.481406
181.004852,1.472938
180.016098,1.464566
178.999817,1.456502
178.011047,1.448031
177.022247,1.440115
176.005981,1.432205
175.017227,1.424260
174.000961,1.415748
173.012192,1.407651
172.023392,1.398899
171.007111,1.390671
170.018356,1.383346
169.002075,1.374832
168.013321,1.366479
167.024506,1.357862
166.008270,1.349638
165.019485,1.342125
164.003220,1.333802
163.014450,1.325515
162.025650,1.317023
161.009415,1.309044
160.020615,1.300516
159.004333,1.292421
158.015564,1.284750
157.026764,1.276127
156.010544,1.267826
155.021729,1.259992
154.005478,1.251381
153.016708,1.243148
152.000443,1.234812
151.011673,1.226881
150.022858,1.218973
149.006622,1.210241
148.017822,1.202434
147.001556,1.193780
146.012772,1.185681
145.023972,1.178051
144.007736,1.169782
143.018936,1.161465
142.002655,1.153073
141.013901,1.145058
140.025085,1.137068
139.008850,1.128788
138.020050,1.120799
137.003769,1.112563
136.014999,1.104572
135.026199,1.096435
134.009964,1.087960
133.021164,1.079509
132.004913,1.071121
131.016113,1.063093
130.027283,1.055266
129.011078,1.046751
128.022263,1.038830
127.006020,1.030425
126.017204,1.022444
125.000938,1.014274
124.012169,1.006172
123.023369,0.998075
122.007118,0.990070
121.018311,0.981941
120.002029,0.973350
119.013283,0.965040
118.024460,0.957115
117.008224,0.948481
116.019402,0.940650
115.003166,0.932749
114.014351,0.924512
113.025566,0.916159
112.009323,0.907945
111.020508,0.900010
110.004265,0.891847
109.015457,0.883600
108.026642,0.875603
107.010399,0.867218
106.021584,0.859283
105.005371,0.850997
104.016556,0.842784
103.027771,0.834429
102.011497,0.826031
101.022690,0.818307
100.006439,0.809995
99.017632,0.801752
98.001389,0.793455
97.012573,0.785345
96.023758,0.777531
95.007515,0.768841
94.018700,0.761107
93.002457,0.752597
92.013649,0.744574
91.024887,0.736485
90.008591,0.728556
89.019775,0.720252
88.003563,0.711932
87.014717,0.703702
86.025963,0.695928
85.009674,0.687330
84.020859,0.679147
83.004631,0.671305
82.015800,0.663104
81.027039,0.655234
80.010742,0.646425
79.021935,0.638301
78.005684,0.630269
77.016876,0.621961
76.000633,0.613681
75.011818,0.605560
74.023056,0.597592
73.006760,0.589366
72.017944,0.581174
71.001701,0.572780
70.012894,0.564813
69.024109,0.557047
68.007835,0.548481
67.018997,0.540259
66.002754,0.531914
65.013939,0.524117
64.025177,0.516101
63.008881,0.507683
62.020069,0.499517
61.003826,0.491310
60.015011,0.483496
59.026226,0.475461
58.009926,0.466987
57.021172,0.458769
56.004875,0.450389
55.016060,0.442311
54.027275,0.434244
53.011005,0.425963
52.022217,0.418261
51.005924,0.409828
50.017109,0.401710
49.000866,0.393184
48.012054,0.385350
47.023270,0.377068
46.006969,0.369173
45.018211,0.361149
44.001915,0.352593
43.013073,0.344558
42.024315,0.336473
41.008018,0.328002
40.019230,0.320071
39.002964,0.311801
38.014122,0.303571
37.025364,0.295590
36.009068,0.287345
35.020279,0.279358
34.003983,0.270949
33.015167,0.262979
32.026382,0.255045
31.010088,0.246772
30.021326,0.238554
29.005032,0.230169
28.016247,0.221968
27.027433,0.214241
26.011137,0.206034
25.022348,0.198125
