2,Dallara DW-12,baseline
Steering Wheel Angle,Yaw Rate
270.022430,1.968308
269.006195,1.961439
268.017395,1.955105
267.001190,1.948478
266.012421,1.941843
265.023651,1.935246
264.007385,1.915892
263.018616,1.865737
262.002350,1.860880
261.013611,1.854770
260.024841,1.848215
259.008575,1.841351
258.019806,1.834784
257.003571,1.828032
256.014801,1.821382
254.998566,1.814559
254.009781,1.822692
253.021011,1.850359
252.004791,1.841597
251.015961,1.834202
249.999741,1.826408
249.010956,1.818852
248.022217,1.811198
247.005966,1.803458
246.017166,1.795497
245.000916,1.787169
244.012177,1.779203
243.023422,1.771094
242.007141,1.762967
241.018341,1.755003
240.002121,1.746912
239.013351,1.739699
238.024597,1.732393
237.008316,1.724939
236.019547,1.717722
235.003296,1.710877
234.014542,1.703813
233.025772,1.696985
232.009491,1.689263
231.020752,1.681903
230.004471,1.674205
229.015686,1.666484
227.999451,1.658683
227.010681,1.651315
226.021896,1.643894
225.005646,1.636306
224.016876,1.628927
223.000626,1.621451
222.011841,1.613996
221.023071,1.606569
220.006836,1.599085
219.018051,1.591620
218.001816,1.584085
217.013016,1.576607
216.024261,1.569214
215.007996,1.561630
214.019226,1.554139
213.002960,1.545204
212.014175,1.537865
211.025421,1.530608
210.009140,1.523034
209.020386,1.515597
208.004135,1.508126
207.015366,1.501006
206.026566,1.493634
205.010300,1.485994
204.021530,1.478739
203.005295,1.471260
202.016510,1.463949
201.000275,1.456414
200.011475,1.449101
199.022705,1.441929
198.006454,1.434351
197.017670,1.427101
196.001419,1.419580
195.012619,1.412167
194.023849,1.405062
193.007599,1.397532
192.018814,1.390228
191.002563,1.382674
190.013794,1.375427
189.024994,1.368153
188.008728,1.360635
187.019974,1.353415
186.003708,1.345879
185.014938,1.338624
184.026154,1.331312
183.009888,1.323852
182.021133,1.316539
181.004852,1.309262
180.016098,1.301777
178.999817,1.294593
178.011047,1.287087
177.022247,1.279972
176.005981,1.272503
175.017227,1.265195
174.000961,1.257762
173.012192,1.250497
172.023392,1.243300
171.007111,1.235762
170.018356,1.228525
169.002075,1.221183
168.013321,1.213788
167.024506,1.206651
166.008270,1.199166
165.019485,1.191884
164.003220,1.184520
163.014450,1.177221
162.025650,1.170002
161.009415,1.162578
160.020615,1.155506
159.004333,1.147813
158.015564,1.140757
157.026764,1.133485
156.010544,1.125995
155.021729,1.118782
154.005478,1.111348
153.016708,1.104041
152.000443,1.096668
151.011673,1.089404
150.022858,1.082266
149.006622,1.074822
148.017822,1.067610
147.001556,1.060272
146.012772,1.052855
145.023972,1.045654
144.007736,1.038427
143.018936,1.031198
142.002655,1.023555
141.013901,1.016615
140.025085,1.009089
139.008850,1.001873
138.020050,0.994736
137.003769,0.987024
136.014999,0.979815
135.026199,0.972726
134.009964,0.965285
133.021164,0.958078
132.004913,0.950692
131.016113,0.943708
130.027283,0.936176
129.011078,0.928830
128.022263,0.921700
127.006020,0.914215
126.017204,0.907050
125.000938,0.899832
124.012169,0.892337
123.023369,0.885205
122.007118,0.877876
121.018311,0.870524
120.002029,0.863195
119.013283,0.856058
118.024460,0.848856
117.008224,0.841454
116.019402,0.834432
115.003166,0.826752
114.014351,0.819802
113.025566,0.812647
112.009323,0.804976
111.020508,0.797831
110.004265,0.790530
109.015457,0.783373
108.026642,0.776242
107.010399,0.768838
106.021584,0.761618
105.005371,0.754191
104.016556,0.747001
103.027771,0.739829
102.011497,0.732507
101.022690,0.725454
100.006439,0.717795
99.017632,0.710839
98.001389,0.703261
97.012573,0.696115
96.023758,0.688930
95.007515,0.681591
94.018700,0.674453
93.002457,0.667087
92.013649,0.659780
91.024887,0.652761
90.008591,0.645243
89.019775,0.638292
88.003563,0.630911
87.014717,0.623591
86.025963,0.616543
85.009674,0.608997
84.020859,0.601953
83.004631,0.594639
82.015800,0.587467
81.027039,0.580212
80.010742,0.572841
79.021935,0.565768
78.005684,0.558342
77.016876,0.551137
76.000633,0.543814
75.011818,0.536455
74.023056,0.529419
73.006760,0.521999
72.017944,0.514901
71.001701,0.507630
70.012894,0.500246
69.024109,0.493180
68.007835,0.485946
67.018997,0.478814
66.002754,0.471278
65.013939,0.464215
64.025177,0.457094
63.008881,0.449600
62.020069,0.442510
61.003826,0.435103
60.015011,0.427954
59.026226,0.420703
58.009926,0.413516
57.021172,0.406246
56.004875,0.398789
55.016060,0.391904
54.027275,0.384623
53.011005,0.377208
52.022217,0.370181
51.005924,0.362709
50.017109,0.355606
49.000866,0.348281
48.012054,0.341017
47.023270,0.334124
46.006969,0.326464
45.018211,0.319393
44.001915,0.312106
43.013073,0.304810
42.024315,0.297845
41.008018,0.290258
40.019230,0.283311
39.002964,0.275890
38.014122,0.268764
37.025364,0.261527
36.009068,0.254154
35.020279,0.247063
34.003983,0.239573
33.015167,0.232575
32.026382,0.225442
31.010088,0.217985
30.021326,0.210798
29.005032,0.203514
28.016247,0.196380
27.027433,0.189095
26.011137,0.181758
25.022348,0.174745
24.006052,0.167347
23.017294,0.160232
22.000998,0.152731
21.012157,0.145845
20.023371,0.138416
19.007101,0.131096
18.018314,0.124029
17.002018,0.116607
16.013233,0.109550
15.024419,0.102306
14.008123,0.094958
13.019336,0.087903
12.003040,0.080414
11.014254,0.073262
10.025441,0.066117
9.009144,0.058866
8.020358,0.051745
7.004062,0.044251
6.015275,0.037256
5.026462,0.030221
4.010166,0.023964
3.021353,0.017944
2.005083,0.011705
1.016323,0.005708
0.000000,0.001683
-0.988760,0.006427
-1.977626,0.012597
-2.993896,0.018717
-3.982709,0.024831
-4.998979,0.031028
-5.987792,0.037527
-6.976604,0.044648
-7.992875,0.052013
-8.981688,0.058995
-9.997957,0.066534
-10.986771,0.073658
-11.975583,0.080707
-12.991853,0.088129
-13.980665,0.095156
-14.996989,0.102639
-15.985749,0.109771
-16.974613,0.116923
-17.990831,0.124263
-18.979698,0.131457
-19.995966,0.138658
-20.984779,0.145992
-21.973593,0.152991
-22.989862,0.160322
-23.978676,0.167684
-24.994999,0.174772
