2,Dallara F312 F3,baseline
Steering Wheel Angle,Yaw Rate
204.021530,1.504416
203.005295,1.496047
202.016510,1.490073
201.000275,1.483609
200.011475,1.477089
199.022705,1.470419
198.006454,1.463351
197.017670,1.456206
196.001419,1.448582
195.012619,1.441269
194.023849,1.433771
193.007599,1.425928
192.018814,1.418677
191.002563,1.410974
190.013794,1.403483
189.024994,1.396117
188.008728,1.388456
187.019974,1.381085
186.003708,1.373307
185.014938,1.365502
184.026154,1.357472
183.009888,1.349399
182.021133,1.341955
181.004852,1.334272
180.016098,1.327397
178.999817,1.320292
178.011047,1.312792
177.022247,1.305092
176.005981,1.297750
175.017227,1.290108
174.000961,1.282539
173.012192,1.275124
172.023392,1.267527
171.007111,1.260367
170.018356,1.252893
169.002075,1.245289
168.013321,1.237712
167.024506,1.230252
166.008270,1.222759
165.019485,1.215204
164.003220,1.207662
163.014450,1.200445
162.025650,1.192829
161.009415,1.185382
160.020615,1.178120
159.004333,1.170835
158.015564,1.163324
157.026764,1.155795
156.010544,1.147939
155.021729,1.140728
154.005478,1.133322
153.016708,1.125690
152.000443,1.118192
151.011673,1.110819
150.022858,1.103509
149.006622,1.096021
148.017822,1.088631
147.001556,1.081097
146.012772,1.073399
145.023972,1.066260
144.007736,1.058383
143.018936,1.051533
142.002655,1.043406
141.013901,1.036222
140.025085,1.028973
139.008850,1.021240
138.020050,1.013919
137.003769,1.006450
136.014999,0.999206
135.026199,0.991906
134.009964,0.984167
133.021164,0.976933
132.004913,0.969434
131.016113,0.961889
130.027283,0.954858
129.011078,0.946807
128.022263,0.939909
127.006020,0.931928
126.017204,0.924832
125.000938,0.917180
124.012169,0.909936
123.023369,0.902555
122.007118,0.895002
121.018311,0.887616
120.002029,0.879897
119.013283,0.872827
118.024460,0.865428
117.008224,0.857742
116.019402,0.850562
115.003166,0.843099
114.014351,0.835712
113.025566,0.828401
112.009323,0.820826
111.020508,0.813348
110.004265,0.805879
109.015457,0.798457
108.026642,0.791208
107.010399,0.783592
106.021584,0.776256
105.005371,0.768998
104.016556,0.761245
103.027771,0.754188
102.011497,0.746666
101.022690,0.739160
100.006439,0.731673
99.017632,0.724223
98.001389,0.716826
97.012573,0.709811
96.023758,0.702060
95.007515,0.694760
94.018700,0.687351
93.002457,0.679938
92.013649,0.672473
91.024887,0.665202
90.008591,0.657647
89.019775,0.650260
88.003563,0.642504
87.014717,0.635111
86.025963,0.628047
85.009674,0.620513
84.020859,0.613344
83.004631,0.605648
82.015800,0.598380
81.027039,0.591104
80.010742,0.583507
79.021935,0.576224
78.005684,0.568656
77.016876,0.561188
76.000633,0.553757
75.011818,0.546333
74.023056,0.539111
73.006760,0.531634
72.017944,0.524184
71.001701,0.516748
70.012894,0.509491
69.024109,0.501997
68.007835,0.494448
67.018997,0.487356
66.002754,0.479556
65.013939,0.472335
64.025177,0.465072
63.008881,0.457646
62.020069,0.450223
61.003826,0.442661
60.015011,0.435306
59.026226,0.428012
58.009926,0.420482
57.021172,0.413327
56.004875,0.405670
55.016060,0.398336
54.027275,0.391082
53.011005,0.383440
52.022217,0.376156
51.005924,0.368751
50.017109,0.361400
49.000866,0.353946
48.012054,0.346671
47.023270,0.339316
46.006969,0.331749
45.018211,0.324482
44.001915,0.316999
43.013073,0.309530
42.024315,0.302394
41.008018,0.294931
40.019230,0.287444
39.002964,0.280029
38.014122,0.272493
37.025364,0.265121
36.009068,0.257791
35.020279,0.250578
