2,Dallara IL15 Indy NXT,bathurst
Steering Wheel Angle,Yaw Rate
289.001343,1.942555
288.012573,1.935400
287.023834,1.928422
286.007568,1.922650
285.018768,1.916401
284.002563,1.910093
283.013824,1.903790
281.997528,1.897322
281.008789,1.891001
280.020020,1.884641
279.003784,1.878089
278.014984,1.871838
276.998779,1.865176
276.010010,1.858790
275.021179,1.852339
274.005005,1.845755
273.016235,1.839263
271.999969,1.832424
271.011169,1.825640
270.022430,1.818683
269.006195,1.811609
268.017395,1.804640
267.001190,1.797562
266.012421,1.790669
265.023651,1.783642
264.007385,1.776427
263.018616,1.768703
262.002350,1.761029
261.013611,1.748903
260.024841,1.739729
259.008575,1.732786
258.019806,1.725671
257.003571,1.718581
256.014801,1.712058
254.998566,1.705870
254.009781,1.699761
253.021011,1.693560
252.004791,1.687111
251.015961,1.681040
249.999741,1.674516
249.010956,1.668394
248.022217,1.661379
247.005966,1.654297
246.017166,1.647470
245.000916,1.640214
244.012177,1.632517
243.023422,1.624741
242.007141,1.616737
241.018341,1.609662
240.002121,1.602532
239.013351,1.595618
238.024597,1.589151
237.008316,1.582618
236.019547,1.575898
235.003296,1.568616
234.014542,1.561500
233.025772,1.554402
232.009491,1.547519
231.020752,1.540554
230.004471,1.533472
229.015686,1.526640
227.999451,1.519549
227.010681,1.512723
226.021896,1.505834
225.005646,1.498723
224.016876,1.491963
223.000626,1.484918
222.011841,1.478075
221.023071,1.471319
220.006836,1.464272
219.018051,1.457446
218.001816,1.450431
217.013016,1.443688
216.024261,1.436622
215.007996,1.429742
214.019226,1.423002
213.002960,1.416179
212.014175,1.409007
211.025421,1.402291
210.009140,1.395235
209.020386,1.388339
208.004135,1.381486
207.015366,1.374643
206.026566,1.367791
205.010300,1.360989
204.021530,1.354228
203.005295,1.347044
202.016510,1.340243
201.000275,1.333362
200.011475,1.326742
199.022705,1.319763
198.006454,1.312958
197.017670,1.306155
196.001419,1.299269
195.012619,1.292446
194.023849,1.285670
193.007599,1.278703
192.018814,1.271971
191.002563,1.265119
190.013794,1.258263
189.024994,1.251523
188.008728,1.244673
187.019974,1.237935
186.003708,1.231113
185.014938,1.224376
184.026154,1.217695
183.009888,1.210585
182.021133,1.203966
181.004852,1.197021
180.016098,1.190234
178.999817,1.183465
178.011047,1.176661
177.022247,1.169912
176.005981,1.163110
175.017227,1.156392
174.000961,1.149500
173.012192,1.142957
172.023392,1.136344
171.007111,1.129200
170.018356,1.122638
169.002075,1.115794
168.013321,1.108982
167.024506,1.102323
166.008270,1.095460
165.019485,1.088756
164.003220,1.081850
163.014450,1.075420
162.025650,1.068656
161.009415,1.061693
160.020615,1.055140
159.004333,1.048179
