2,Dallara IR-05,baseline
Steering Wheel Angle,Yaw Rate
259.008575,1.872499
258.019806,1.829504
257.003571,1.834427
256.014801,1.869861
254.998566,1.861316
254.009781,1.854880
253.021011,1.848348
252.004791,1.841204
251.015961,1.834264
249.999741,1.828710
249.010956,1.819211
248.022217,1.812741
247.005966,1.805197
246.017166,1.797697
245.000916,1.790089
244.012177,1.782822
243.023422,1.775314
242.007141,1.767550
241.018341,1.760119
240.002121,1.752373
239.013351,1.737805
238.024597,1.730158
237.008316,1.722703
236.019547,1.760201
235.003296,1.731580
234.014542,1.697684
233.025772,1.677450
232.009491,1.683209
231.020752,1.691681
230.004471,1.745532
229.015686,1.708233
227.999451,1.697410
227.010681,1.690017
226.021896,1.681000
225.005646,1.672216
224.016876,1.664070
223.000626,1.656016
222.011841,1.648986
221.023071,1.641991
220.006836,1.634377
219.018051,1.626801
218.001816,1.618833
217.013016,1.611096
216.024261,1.602758
215.007996,1.594802
214.019226,1.587445
213.002960,1.579391
212.014175,1.571666
211.025421,1.564049
210.009140,1.556096
209.020386,1.548260
208.004135,1.540325
207.015366,1.532593
206.026566,1.524926
205.010300,1.517095
204.021530,1.509548
203.005295,1.501604
202.016510,1.494255
201.000275,1.486363
200.011475,1.478665
199.022705,1.470947
198.006454,1.462649
197.017670,1.454963
196.001419,1.447305
195.012619,1.439617
194.023849,1.432014
193.007599,1.424187
192.018814,1.416413
191.002563,1.408608
190.013794,1.401120
189.024994,1.393324
188.008728,1.385327
187.019974,1.377942
186.003708,1.370188
185.014938,1.362475
184.026154,1.354766
183.009888,1.346867
182.021133,1.339290
181.004852,1.331596
180.016098,1.323898
178.999817,1.316181
178.011047,1.308676
177.022247,1.300799
176.005981,1.293004
175.017227,1.285442
174.000961,1.277505
173.012192,1.270086
172.023392,1.262555
171.007111,1.254785
170.018356,1.247101
169.002075,1.239393
168.013321,1.231647
167.024506,1.224000
166.008270,1.216132
165.019485,1.208759
164.003220,1.200908
163.014450,1.193171
162.025650,1.185705
161.009415,1.177986
160.020615,1.170323
159.004333,1.162427
158.015564,1.155061
157.026764,1.147408
156.010544,1.139643
155.021729,1.131969
154.005478,1.124179
153.016708,1.116731
152.000443,1.108979
151.011673,1.101327
150.022858,1.093905
149.006622,1.086038
148.017822,1.078451
147.001556,1.070646
146.012772,1.063134
145.023972,1.055580
144.007736,1.047744
143.018936,1.040297
142.002655,1.032490
141.013901,1.024916
140.025085,1.017516
139.008850,1.009685
138.020050,1.002197
137.003769,0.994221
136.014999,0.986736
135.026199,0.979220
134.009964,0.971609
133.021164,0.964157
132.004913,0.956218
131.016113,0.948459
130.027283,0.941147
129.011078,0.933447
128.022263,0.925938
127.006020,0.918137
126.017204,0.910561
125.000938,0.902639
124.012169,0.895247
123.023369,0.888029
122.007118,0.880207
121.018311,0.872819
120.002029,0.864999
119.013283,0.857533
118.024460,0.850111
117.008224,0.842124
116.019402,0.834665
115.003166,0.827179
114.014351,0.819642
113.025566,0.812058
112.009323,0.804220
111.020508,0.796697
110.004265,0.788890
109.015457,0.781505
108.026642,0.773774
107.010399,0.766349
106.021584,0.758799
105.005371,0.751210
104.016556,0.743512
103.027771,0.736204
102.011497,0.728585
101.022690,0.721038
100.006439,0.713265
99.017632,0.705879
98.001389,0.698226
97.012573,0.690750
96.023758,0.683176
95.007515,0.675453
94.018700,0.668013
93.002457,0.660282
92.013649,0.652969
91.024887,0.645445
90.008591,0.637729
89.019775,0.630187
88.003563,0.622451
87.521004,0.618999
86.025963,0.607873
85.009674,0.599903
84.020859,0.592278
83.004631,0.584709
82.015800,0.577210
81.027039,0.569782
80.010742,0.562003
79.021935,0.554650
78.005684,0.546841
77.016876,0.539417
76.000633,0.531762
75.011818,0.524324
74.023056,0.516800
73.006760,0.509201
72.017944,0.501818
71.001701,0.494072
70.012894,0.486575
69.024109,0.479089
68.007835,0.471430
67.018997,0.464021
66.002754,0.456272
65.013939,0.448724
64.025177,0.441233
63.008881,0.433743
62.020069,0.426135
61.003826,0.418576
60.015011,0.411082
59.026226,0.403616
58.009926,0.395905
57.021172,0.388472
56.004875,0.380842
55.016060,0.373347
54.027275,0.366069
53.011005,0.358400
52.022217,0.350707
51.005924,0.343318
50.017109,0.335637
49.000866,0.328075
48.012054,0.320509
47.023270,0.313187
46.006969,0.305420
45.018211,0.298070
44.001915,0.290387
43.013073,0.283091
42.024315,0.275637
41.008018,0.267854
40.019230,0.260505
39.002964,0.252595
38.014122,0.245245
37.025364,0.237946
36.009068,0.230309
35.020279,0.222823
34.003983,0.215282
33.015167,0.207448
32.026382,0.200219
31.010088,0.192458
30.021326,0.185179
29.005032,0.177533
28.016247,0.169906
27.027433,0.162562
26.011137,0.154735
25.022348,0.147420
24.006052,0.139744
23.017294,0.132472
22.000998,0.124765
21.012157,0.117365
20.023371,0.110149
19.007101,0.102089
18.018314,0.094863
17.002018,0.086975
16.013233,0.079630
15.024419,0.072339
14.008123,0.064614
13.019336,0.057168
12.003040,0.049435
11.014254,0.042034
10.025441,0.034471
9.009144,0.026920
8.020358,0.019616
7.004062,0.011760
6.015275,0.004308
5.026462,0.003173
4.010166,0.010151
3.021353,0.016582
2.005083,0.024440
1.016323,0.032089
0.000000,0.039640
-0.988760,0.047188
-1.977626,0.054554
-2.993896,0.062281
-3.982709,0.069534
-4.998979,0.077492
-5.987792,0.084733
-6.976604,0.092277
-7.992875,0.099835
-8.981688,0.107379
-9.997957,0.114952
-10.986771,0.122220
-11.975583,0.129992
-12.991853,0.137457
-13.980665,0.144974
-14.996989,0.152596
-15.985749,0.159978
-16.974613,0.167580
-17.990831,0.175078
-18.979698,0.182447
-19.995966,0.190236
-20.984779,0.197559
-21.973593,0.204981
-22.989862,0.212634
-23.978676,0.220185
-24.994999,0.227786
-25.983759,0.235212
-27.000082,0.242919
-27.988842,0.250492
-28.977654,0.257680
-29.993923,0.265383
-30.982737,0.273074
-31.999060,0.280643
-32.987873,0.288018
-33.976685,0.295373
-34.992954,0.303243
-35.981770,0.310555
-36.998093,0.318400
-37.986855,0.325568
-38.975719,0.333231
-39.991932,0.340710
-40.980801,0.348241
-41.997017,0.355856
-42.985882,0.363196
-43.974697,0.370580
-44.990967,0.378379
-45.979778,0.385844
-46.996048,0.393552
-47.984913,0.400959
-48.973728,0.408254
-49.989998,0.416082
-50.978813,0.423398
-51.995083,0.431218
-52.983894,0.438578
-54.000217,0.446369
-54.989029,0.453721
-55.977844,0.461248
-56.994110,0.468768
-57.982929,0.476470
-58.999199,0.484021
-59.988010,0.491411
-60.976871,0.499060
-61.993145,0.506535
-62.981956,0.514062
-63.998226,0.521666
-64.987038,0.529065
-65.975906,0.536640
-66.992180,0.544373
-67.980995,0.551674
-68.997253,0.559247
-69.986069,0.566668
-70.974884,0.574445
-71.991211,0.581957
-72.980019,0.589559
-73.996292,0.597145
-74.985161,0.604490
-75.973915,0.611923
-76.990234,0.619801
-77.979050,0.627362
-78.995323,0.635090
-79.984192,0.642497
-81.000404,0.650075
-81.989273,0.657526
-82.978142,0.664973
-83.994354,0.672864
-84.983215,0.680143
-85.999489,0.687920
-86.988304,0.695306
-87.977112,0.702782
-88.993439,0.710241
-89.982254,0.717939
-90.998520,0.725762
-91.987381,0.733034
-92.976151,0.740565
-93.992470,0.748383
-94.981339,0.755894
-95.997551,0.763590
-96.986420,0.771026
-97.975182,0.778404
-98.991501,0.786016
-99.980316,0.793575
-100.996635,0.801331
-101.985451,0.808715
-103.001717,0.816387
-103.990585,0.823902
-104.979347,0.831470
-105.995674,0.839144
-106.984535,0.846762
-108.000801,0.854369
-108.989616,0.861807
-109.978432,0.869421
-110.994759,0.877236
-111.983620,0.884775
-112.999840,0.892433
-113.988701,0.899966
-114.977516,0.907522
-115.993790,0.915282
-116.982597,0.922638
-117.998917,0.930434
-118.987793,0.937933
-119.976540,0.945473
-120.992874,0.953245
-121.981682,0.960594
-122.998009,0.968359
-123.986816,0.975517
-124.975624,0.983271
-125.991959,0.991219
-126.980713,0.998743
-127.997040,1.007124
-128.985855,1.013928
-130.002182,1.021680
-130.991043,1.029158
-131.979797,1.036636
-132.996124,1.044290
-133.984924,1.052022
-135.001266,1.059749
-135.990128,1.067118
-136.978897,1.074753
-137.995209,1.082415
-138.984009,1.089979
-140.000351,1.097943
-140.989212,1.105507
-141.977966,1.112965
-142.994293,1.120700
-143.983093,1.128179
-144.999435,1.135867
-145.988190,1.143257
-146.977051,1.150868
-147.993378,1.158790
-148.982193,1.166229
-149.998520,1.174160
-150.987274,1.181822
-151.976135,1.189231
-152.992462,1.197098
-153.981277,1.204433
-154.997604,1.212324
-155.986404,1.219742
-157.002731,1.227581
-157.991592,1.235193
-158.980362,1.242893
-159.996674,1.250661
-160.985504,1.258112
-162.001816,1.265977
-162.990631,1.273395
-163.979446,1.280985
-164.995819,1.288949
-165.984589,1.296550
-167.000900,1.304268
-167.989716,1.312037
-168.978577,1.319403
-169.994904,1.327161
-170.983719,1.334833
-172.000046,1.342787
-172.988800,1.350211
-173.977661,1.357738
-174.993927,1.365847
-175.982803,1.373484
-176.999130,1.381033
-177.987946,1.388710
-178.976807,1.396257
-179.993011,1.403936
-180.981888,1.411858
-181.998260,1.419515
-182.987030,1.427284
-184.003342,1.434965
-184.992157,1.442562
-185.981033,1.450226
-186.997345,1.458230
-187.986160,1.465719
-189.002487,1.473717
-189.991287,1.481199
-190.980164,1.488881
-191.996368,1.496820
-192.985306,1.504219
-194.001617,1.512147
-194.990387,1.519877
-195.979248,1.527329
-196.995514,1.535521
-197.984390,1.542945
-199.000702,1.550948
-199.989532,1.558299
-200.978394,1.566238
-201.994644,1.574132
-202.983521,1.581473
-203.999786,1.589442
-204.988647,1.597004
-206.004990,1.604896
-206.993790,1.612547
-207.982666,1.620575
-208.998932,1.628239
-209.987793,1.635899
-211.004120,1.643591
-211.992920,1.650582
-212.981796,1.657168
-213.998062,1.665839
-214.986923,1.672441
-216.003265,1.678608
-216.992065,1.707263
-217.980942,1.707937
-218.997208,1.699441
-219.986069,1.626732
-221.002350,1.654604
-221.991211,1.707399
-222.980072,1.728613
-223.996338,1.734951
-224.985199,1.743523
-226.001480,1.729852
-226.990341,1.784992
-227.979218,1.744124
-228.995483,1.753354
-229.984344,1.717739
-231.000626,1.739473
-231.989487,1.804902
-233.005737,1.735972
-233.994614,1.760510
-234.983490,1.826239
-235.999741,1.751539
-236.988617,1.750826
-238.004898,1.775429
-238.993744,1.793690
-239.982620,1.801819
-240.998901,1.796076
-241.987823,1.795212
-243.004013,1.790405
-243.992950,1.811527
-244.981827,1.818134
-245.998077,1.842015
-246.986954,1.860354
-248.003220,1.835701
-248.992081,1.851263
-249.980896,1.861080
-250.997223,1.868563
-251.986099,1.876740
-253.002350,1.871231
-253.991226,1.891114
-254.980042,1.881697
-255.996399,1.894349
-256.985291,1.893110
-258.001556,1.889888
-258.990417,1.881504
