2,Dallara IR18,baseline
Steering Wheel Angle,Yaw Rate
270.022430,1.945569
269.006195,1.939372
268.017395,1.938684
267.001190,1.936297
266.012421,1.933199
265.023651,1.929507
264.007385,1.925009
263.018616,1.919705
262.002350,1.912468
261.013611,1.905155
260.024841,1.897798
259.008575,1.890370
258.019806,1.881560
257.003571,1.871055
256.014801,1.859773
254.998566,1.850088
254.009781,1.843586
253.021011,1.836272
252.004791,1.832124
251.015961,1.825806
249.999741,1.818199
249.010956,1.809918
248.022217,1.801465
247.005966,1.794237
246.017166,1.786663
245.000916,1.779103
244.012177,1.772275
243.023422,1.764315
242.007141,1.757095
241.018341,1.750308
240.002121,1.743311
239.013351,1.735420
238.024597,1.727894
237.008316,1.721270
236.019547,1.713638
235.003296,1.706235
234.014542,1.698835
233.025772,1.691461
232.009491,1.683540
231.020752,1.677919
230.004471,1.669899
229.015686,1.661987
227.999451,1.654510
227.010681,1.647038
226.021896,1.639594
225.005646,1.632030
224.016876,1.625471
223.000626,1.617676
222.011841,1.610842
221.023071,1.603049
220.006836,1.595599
219.018051,1.588108
218.001816,1.581066
217.013016,1.574747
216.024261,1.566097
215.007996,1.558931
214.019226,1.552885
213.002960,1.544479
212.014175,1.536911
211.025421,1.529559
210.009140,1.522358
209.020386,1.515015
208.004135,1.507532
207.015366,1.500120
206.026566,1.493166
205.010300,1.485820
204.021530,1.478554
203.005295,1.471141
202.016510,1.463708
201.000275,1.457107
200.011475,1.449474
199.022705,1.441810
198.006454,1.434674
197.017670,1.426989
196.001419,1.419625
195.012619,1.412333
194.023849,1.405114
193.007599,1.398617
192.018814,1.391105
191.002563,1.383509
190.013794,1.375974
189.024994,1.369004
188.008728,1.361169
187.019974,1.354006
186.003708,1.347311
185.014938,1.339769
184.026154,1.332183
183.009888,1.324577
182.021133,1.317500
181.004852,1.310264
180.016098,1.303197
178.999817,1.295686
178.011047,1.288335
177.022247,1.281200
176.005981,1.273712
175.017227,1.266460
174.000961,1.259092
173.012192,1.251842
172.023392,1.244289
171.007111,1.237295
170.018356,1.229953
169.002075,1.222662
168.013321,1.215522
167.024506,1.208264
166.008270,1.200791
165.019485,1.193795
164.003220,1.186750
163.014450,1.178674
162.025650,1.172537
161.009415,1.164690
160.020615,1.157137
159.004333,1.150213
158.015564,1.143091
157.026764,1.135103
156.010544,1.127771
155.021729,1.120828
154.005478,1.113214
153.016708,1.106335
152.000443,1.099392
151.011673,1.091242
150.022858,1.084452
149.006622,1.077574
148.017822,1.069658
147.001556,1.062223
146.012772,1.055783
145.023972,1.048612
144.007736,1.040513
143.018936,1.033429
142.002655,1.026972
141.013901,1.019000
140.025085,1.011795
139.008850,1.004225
138.020050,0.996767
137.003769,0.989450
136.014999,0.982302
135.026199,0.975072
134.009964,0.967761
133.021164,0.960814
132.004913,0.954364
131.016113,0.945769
130.027283,0.938904
129.011078,0.932708
128.022263,0.924262
127.006020,0.917883
126.017204,0.909821
125.000938,0.902392
124.012169,0.895180
123.023369,0.888156
122.007118,0.881075
121.018311,0.874225
120.002029,0.866818
119.013283,0.859043
118.024460,0.851612
117.008224,0.844588
116.019402,0.837262
115.003166,0.829981
114.014351,0.823578
113.025566,0.815420
112.009323,0.808016
111.020508,0.800896
110.004265,0.794573
109.015457,0.786418
108.026642,0.779496
107.010399,0.772052
106.021584,0.765539
105.005371,0.757964
104.016556,0.750131
103.027771,0.742873
102.011497,0.735648
101.022690,0.729211
100.006439,0.721194
99.017632,0.714614
98.001389,0.706722
97.012573,0.699284
96.023758,0.692851
95.007515,0.685565
94.018700,0.677974
93.002457,0.671081
92.013649,0.663348
91.024887,0.656211
90.008591,0.648790
89.019775,0.641555
88.003563,0.634575
87.014717,0.627100
86.025963,0.619811
85.009674,0.613379
84.020859,0.605164
83.004631,0.598336
82.015800,0.591352
81.027039,0.583668
80.010742,0.576142
79.021935,0.569592
78.005684,0.562149
