2,Dallara P217 LMP2,baseline
Steering Wheel Angle,Yaw Rate
271.999969,2.234622
271.011169,2.240649
270.022430,2.247322
269.006195,2.240143
268.017395,2.233423
267.001190,2.244143
266.012421,2.236926
265.023651,2.231944
264.007385,2.226374
263.018616,2.221141
262.002350,2.215814
261.013611,2.210824
260.024841,2.205932
259.008575,2.198326
258.019806,2.190710
257.003571,2.182614
256.014801,2.174198
254.998566,2.165332
254.009781,2.156710
253.021011,2.148019
252.004791,2.139100
251.015961,2.114107
249.999741,2.104987
249.010956,2.096592
248.022217,2.088275
247.005966,2.135060
246.017166,2.122535
245.000916,2.113150
244.012177,2.109231
243.023422,2.104685
242.007141,2.100860
241.018341,2.090245
240.002121,2.080755
239.013351,2.070474
238.024597,2.051199
237.008316,2.042100
236.019547,2.033925
235.003296,2.025114
234.014542,2.018807
233.025772,2.011776
232.009491,2.004563
231.020752,1.997348
230.004471,1.989360
229.015686,1.980121
227.999451,1.971068
227.010681,1.962212
226.021896,1.952634
225.005646,1.941792
224.016876,1.932766
223.000626,1.923885
222.011841,1.916382
221.023071,1.906529
220.006836,1.897554
219.018051,1.888720
218.001816,1.880006
217.013016,1.871356
216.024261,1.862604
215.007996,1.853227
214.019226,1.844951
213.002960,1.835654
212.014175,1.827343
211.025421,1.818449
210.009140,1.809397
209.020386,1.800897
208.004135,1.791944
207.015366,1.783263
206.026566,1.774439
205.010300,1.765558
204.021530,1.756763
203.005295,1.748114
202.016510,1.739432
201.000275,1.730168
200.011475,1.721727
199.022705,1.712986
198.006454,1.703754
197.017670,1.695635
196.001419,1.686413
195.012619,1.677549
194.023849,1.669107
193.007599,1.659992
192.018814,1.651508
191.002563,1.642681
190.013794,1.634087
189.024994,1.625279
188.008728,1.616613
187.019974,1.607817
186.003708,1.598816
185.014938,1.589994
184.026154,1.581655
183.009888,1.572730
182.021133,1.563763
181.004852,1.555250
180.016098,1.546577
178.999817,1.537535
178.011047,1.528783
177.022247,1.520125
176.005981,1.511414
175.017227,1.502840
174.000961,1.493828
173.012192,1.485419
172.023392,1.476396
171.007111,1.467755
170.018356,1.459043
169.002075,1.450220
168.013321,1.441657
167.024506,1.433265
166.008270,1.423874
165.019485,1.415432
164.003220,1.406625
163.014450,1.397940
162.025650,1.389498
161.009415,1.380400
160.020615,1.371823
159.004333,1.363209
158.015564,1.354654
157.026764,1.345870
156.010544,1.336928
155.021729,1.328436
154.005478,1.319454
153.016708,1.311027
152.000443,1.302324
151.011673,1.293769
150.022858,1.285535
149.006622,1.276202
148.017822,1.267615
147.001556,1.258981
146.012772,1.250221
145.023972,1.241541
144.007736,1.232852
143.018936,1.223960
142.002655,1.215385
141.013901,1.207205
140.025085,1.198459
139.008850,1.189446
138.020050,1.180938
137.003769,1.172201
136.014999,1.163925
135.026199,1.154663
134.009964,1.146054
133.021164,1.137425
132.004913,1.128541
131.016113,1.120094
130.027283,1.111847
129.011078,1.102622
128.022263,1.094261
127.006020,1.085523
126.017204,1.076747
125.000938,1.068142
124.012169,1.059570
123.023369,1.050881
122.007118,1.042150
121.018311,1.033677
120.002029,1.024827
119.013283,1.016312
118.024460,1.007835
117.008224,0.998844
116.019402,0.990438
115.003166,0.981682
114.014351,0.973202
113.025566,0.964744
112.009323,0.955658
111.020508,0.947343
110.004265,0.938758
109.015457,0.930071
108.026642,0.921431
107.010399,0.912863
106.021584,0.904112
105.005371,0.895469
104.016556,0.887039
103.027771,0.878386
102.011497,0.869567
101.022690,0.861056
100.006439,0.852208
99.017632,0.843892
98.001389,0.835050
97.012573,0.826695
96.023758,0.817888
95.007515,0.809077
94.018700,0.800804
93.002457,0.792033
92.013649,0.783522
91.024887,0.775071
90.008591,0.766228
89.019775,0.757749
88.003563,0.749064
87.014717,0.740663
86.025963,0.732416
85.009674,0.722967
84.020859,0.714639
83.004631,0.706005
82.015800,0.697375
81.027039,0.689139
80.010742,0.680261
79.021935,0.671702
78.005684,0.663331
77.016876,0.654726
76.000633,0.645872
75.011818,0.637102
74.023056,0.628775
73.006760,0.619882
72.017944,0.611544
71.001701,0.603138
70.012894,0.594295
69.024109,0.585720
68.007835,0.577132
67.018997,0.568826
66.002754,0.560305
65.013939,0.551270
64.025177,0.542638
63.008881,0.534572
62.020069,0.525442
61.003826,0.516846
60.015011,0.508482
59.026226,0.500128
58.009926,0.491291
57.021172,0.482898
56.004875,0.474045
55.016060,0.465423
54.027275,0.457374
53.011005,0.448472
52.022217,0.439706
51.005924,0.430978
50.017109,0.422591
49.000866,0.414142
48.012054,0.405571
47.023270,0.396809
46.006969,0.388073
45.018211,0.379748
44.001915,0.371188
43.013073,0.362325
42.024315,0.354166
41.008018,0.345213
40.019230,0.336822
39.002964,0.328408
38.014122,0.319505
37.025364,0.311376
36.009068,0.302791
35.020279,0.294270
34.003983,0.285213
33.015167,0.276925
32.026382,0.268510
31.010088,0.259848
30.021326,0.251076
29.005032,0.242526
28.016247,0.233941
27.027433,0.225770
26.011137,0.216489
25.022348,0.208503
24.006052,0.199609
23.017294,0.191131
22.000998,0.182649
21.012157,0.174296
20.023371,0.165375
19.007101,0.157061
18.018314,0.148059
17.002018,0.139819
16.013233,0.131333
15.024419,0.122533
14.008123,0.114027
13.019336,0.105709
12.003040,0.096708
11.014254,0.088460
10.025441,0.080131
9.009144,0.070931
8.020358,0.062903
7.004062,0.053969
6.015275,0.045670
5.026462,0.038000
4.010166,0.030241
3.021353,0.022664
2.005083,0.014695
1.016323,0.007113
0.000000,0.002584
-0.988760,0.008313
-1.977626,0.015899
-2.993896,0.023823
-3.982709,0.031343
-4.998979,0.039167
-5.987792,0.046820
-6.976604,0.054462
-7.992875,0.063197
-8.981688,0.071888
-9.997957,0.080626
-10.986771,0.088823
-11.975583,0.097564
-12.991853,0.106342
-13.980665,0.114584
-14.996989,0.123315
-15.985749,0.132013
-16.974613,0.140229
-17.990831,0.148759
-18.979698,0.157763
-19.995966,0.166066
-20.984779,0.174542
-21.973593,0.183154
-22.989862,0.191915
-23.978676,0.200401
-24.994999,0.209127
-25.983759,0.217591
-27.000082,0.226275
-27.988842,0.234524
-28.977654,0.243416
-29.993923,0.251922
-30.982737,0.260142
-31.999060,0.269302
-32.987873,0.277561
-33.976685,0.285974
-34.992954,0.294746
-35.981770,0.303045
-36.998093,0.311876
-37.986855,0.320530
-38.975719,0.328669
-39.991932,0.337889
-40.980801,0.345830
-41.997017,0.354780
-42.985882,0.363567
-43.974697,0.371999
-44.990967,0.380600
-45.979778,0.388946
-46.996048,0.397703
-47.984913,0.406224
-48.973728,0.414984
-49.989998,0.423590
-50.978813,0.431704
-51.995083,0.440873
-52.983894,0.449320
-54.000217,0.457621
-54.989029,0.466563
-55.977844,0.474753
-56.994110,0.483332
-57.982929,0.492241
-58.999199,0.500633
-59.988010,0.509466
-60.976871,0.517768
-61.993145,0.526939
-62.981956,0.534842
-63.998226,0.544114
-64.987038,0.552223
-65.975906,0.560929
-66.992180,0.569458
-67.980995,0.577860
-68.997253,0.586966
-69.986069,0.594941
-70.974884,0.604085
-71.991211,0.612329
-72.980019,0.621120
-73.996292,0.629481
-74.985161,0.638195
-75.973915,0.646621
-76.990234,0.655310
-77.979050,0.664196
-78.995323,0.672571
-79.984192,0.681122
-81.000404,0.689735
-81.989273,0.698640
-82.978142,0.706726
-83.994354,0.716049
-84.983215,0.724300
-85.999489,0.732619
-86.988304,0.741728
-87.977112,0.749926
-88.993439,0.758826
-89.982254,0.767377
-90.998520,0.776055
-91.987381,0.784843
-92.976151,0.792965
-93.992470,0.801915
-94.981339,0.810484
-95.997551,0.819369
-96.986420,0.827729
-97.975182,0.836041
-98.991501,0.845071
-99.980316,0.853587
-100.996635,0.862389
-101.985451,0.870782
-103.001717,0.879629
-103.990585,0.888089
-104.979347,0.896778
-105.995674,0.905513
-106.984535,0.913765
-108.000801,0.923008
-108.989616,0.931398
-109.978432,0.939647
-110.994759,0.948259
-111.983620,0.957357
-112.999840,0.965757
-113.988701,0.974415
-114.977516,0.983045
-115.993790,0.991767
-116.982597,1.000186
-117.998917,1.009137
-118.987793,1.017710
-119.976540,1.026175
-120.992874,1.035040
-121.981682,1.043058
-122.998009,1.052430
-123.986816,1.061022
-124.975624,1.069528
-125.991959,1.078387
-126.980713,1.086759
-127.997040,1.095755
-128.985855,1.104151
-130.002182,1.112971
-130.991043,1.121715
-131.979797,1.130344
-132.996124,1.138695
-133.984924,1.147572
-135.001266,1.156224
-135.990128,1.165044
-136.978897,1.173571
-137.995209,1.182417
-138.984009,1.190859
-140.000351,1.199756
-140.989212,1.208382
-141.977966,1.216897
-142.994293,1.225741
-143.983093,1.234402
-144.999435,1.243137
-145.988190,1.251733
-146.977051,1.260365
-147.993378,1.269409
-148.982193,1.277711
-149.998520,1.286684
-150.987274,1.295126
-151.976135,1.303911
-152.992462,1.312653
-153.981277,1.321123
-154.997604,1.330376
-155.986404,1.338797
-157.002731,1.347591
-157.991592,1.356261
-158.980362,1.364825
-159.996674,1.373806
-160.985504,1.382478
-162.001816,1.391110
-162.990631,1.399805
-163.979446,1.408397
-164.995819,1.417299
-165.984589,1.425868
-167.000900,1.434571
-167.989716,1.443439
-168.978577,1.452126
-169.994904,1.460891
-170.983719,1.469688
-172.000046,1.478298
-172.988800,1.486933
-173.977661,1.495406
-174.993927,1.504557
-175.982803,1.513218
-176.999130,1.521950
-177.987946,1.530659
-178.976807,1.539089
-179.993011,1.547826
-180.981888,1.556857
-181.998260,1.565598
-182.987030,1.574336
-184.003342,1.583376
-184.992157,1.591788
-185.981033,1.600344
-186.997345,1.609455
-187.986160,1.618095
-189.002487,1.626977
-189.991287,1.635548
-190.980164,1.644244
-191.996368,1.653026
-192.985306,1.661706
-194.001617,1.670894
-194.990387,1.679511
-195.979248,1.687945
-196.995514,1.697075
-197.984390,1.705681
-199.000702,1.714690
-199.989532,1.723281
-200.978394,1.731968
-201.994644,1.740541
-202.983521,1.749739
-203.999786,1.758554
-204.988647,1.766967
-206.004990,1.776066
-206.993790,1.784938
-207.982666,1.793615
-208.998932,1.802441
-209.987793,1.811082
-211.004120,1.820350
-211.992920,1.828852
-212.981796,1.837572
-213.998062,1.846290
-214.986923,1.855190
-216.003265,1.864245
-216.992065,1.872949
-217.980942,1.881017
-218.997208,1.890574
-219.986069,1.899238
-221.002350,1.908086
-221.991211,1.916612
-222.980072,1.925463
-223.996338,1.934577
-224.985199,1.943236
-226.001480,1.952332
-226.990341,1.960784
-227.979218,1.969764
-228.995483,1.978715
-229.984344,1.987018
-231.000626,1.996669
-231.989487,2.004975
-233.005737,2.014043
-233.994614,2.022818
-234.983490,2.031579
-235.999741,2.040776
-236.988617,2.048924
-238.004898,2.058590
-238.993744,2.066869
-239.982620,2.075945
-240.998901,2.084764
-241.987823,2.093629
-243.004013,2.102590
-243.992950,2.111307
-244.981827,2.120021
-245.998077,2.129217
-246.986954,2.136086
-248.003220,2.071080
-248.992081,2.075640
-249.980896,2.047165
-250.997223,2.116621
-251.986099,2.100749
-253.002350,2.073823
-253.991226,2.098382
-254.980042,2.199003
-255.996399,2.135175
-256.985291,2.208138
-258.001556,2.193686
-258.990417,2.203011
-260.006683,2.213210
-260.995544,2.220474
-261.984344,2.230216
-263.000671,2.235660
-263.989624,2.244646
-265.005829,2.253369
-265.994751,2.260615
-266.983490,2.268533
-267.999878,2.275818
-268.988739,2.284021
-270.005005,2.291566
-270.993896,2.298723
-271.982666,2.306743
