2,Dirt 358 Modified,baseline
Steering Wheel Angle,Yaw Rate
120.002029,2.631086
119.013283,2.559365
118.024460,2.496262
117.008224,2.466656
116.019402,2.465130
115.003166,2.482567
114.014351,2.516133
113.025566,2.567307
112.009323,2.638315
111.020508,2.730606
110.004265,2.818389
109.015457,2.869652
108.026642,2.903728
107.010399,2.930979
106.021584,2.942616
105.005371,2.948752
104.016556,2.948140
103.027771,2.944845
102.011497,2.926934
101.022690,2.906952
100.006439,2.870140
99.017632,2.828273
98.001389,2.774820
97.012573,2.738727
96.023758,2.707728
95.007515,2.678560
94.018700,2.650817
93.002457,2.623642
92.013649,2.597544
91.024887,2.572568
90.008591,2.544510
89.019775,2.521393
88.003563,2.497036
87.014717,2.471410
86.025963,2.448373
85.009674,2.424718
84.020859,2.402263
83.004631,2.379024
82.015800,2.356270
81.027039,2.334183
80.010742,2.311519
79.021935,2.290732
78.005684,2.269175
77.016876,2.248250
76.000633,2.227788
75.011818,2.208129
74.023056,2.189341
73.006760,2.172060
72.017944,2.161107
71.001701,2.155452
70.012894,2.176620
69.024109,2.170234
68.007835,2.149121
67.018997,2.128925
66.002754,2.106911
65.013939,1.905687
64.025177,1.984676
63.008881,2.131684
62.020069,1.994475
61.003826,1.851584
60.015011,1.686165
59.026226,2.010243
58.009926,2.007431
57.021172,1.962657
56.004875,1.918411
55.016060,1.868782
54.027275,1.815715
53.011005,1.756640
52.022217,1.694112
51.005924,1.632399
50.017109,1.351421
49.000866,1.412973
48.012054,1.359952
47.023270,1.400350
46.006969,1.395408
45.018211,1.398230
44.001915,1.392873
43.013073,1.383368
42.024315,1.376931
41.008018,1.363672
40.019230,1.341214
39.002964,1.312535
38.014122,1.297558
37.025364,1.277430
36.009068,1.253858
35.020279,1.228423
34.003983,1.200505
33.015167,1.171018
32.026382,1.139084
31.010088,1.104631
30.021326,1.068155
29.005032,1.028735
28.016247,0.987099
27.027433,0.942970
26.011137,0.896078
25.022348,0.846944
24.006052,0.846330
23.017294,0.800093
22.000998,0.756343
21.012157,0.715052
20.023371,0.675574
19.007101,0.637910
18.018314,0.602895
17.002018,0.569704
16.013233,0.538440
15.024419,0.512322
14.008123,0.477991
13.019336,0.449728
12.003040,0.420035
11.014254,0.391911
10.025441,0.364138
9.009144,0.336511
8.020358,0.309663
7.004062,0.282845
6.015275,0.262678
5.026462,0.253824
4.010166,0.239176
3.021353,0.225594
2.005083,0.210096
1.016323,0.194852
0.000000,0.179258
-0.988760,0.164119
-1.977626,0.148943
-2.993896,0.133410
-3.982709,0.118341
-4.998979,0.102837
-5.987792,0.087531
-6.976604,0.072306
-7.992875,0.056540
-8.981688,0.041327
-9.997957,0.025301
-10.986771,0.009543
-11.975583,0.007636
-12.991853,0.021314
-13.980665,0.035482
-14.996989,0.049213
-15.985749,0.061692
-16.974613,0.073621
-17.990831,0.052887
-18.979698,0.101118
-19.995966,0.083731
-20.984779,0.107736
-21.973593,0.125296
-22.989862,0.142869
-23.978676,0.167983
-24.994999,0.197210
-25.983759,0.224714
-27.000082,0.251247
-27.988842,0.276823
-28.977654,0.305368
-29.993923,0.331396
-30.982737,0.357716
-31.999060,0.384283
-32.987873,0.410678
-33.976685,0.437533
-34.992954,0.464700
-35.981770,0.492200
-36.998093,0.519596
-37.986855,0.546943
-38.975719,0.573743
-39.991932,0.601807
-40.980801,0.629885
-41.997017,0.657319
-42.985882,0.684604
-43.974697,0.711013
-44.990967,0.739279
-45.979778,0.766589
-46.996048,0.794158
-47.984913,0.822128
-48.973728,0.849550
-49.989998,0.877599
-50.978813,0.905045
-51.995083,0.932881
-52.983894,0.960683
-54.000217,0.988974
-54.989029,1.015692
-55.977844,1.043869
-56.994110,1.071694
-57.982929,1.098849
-58.999199,1.126692
-59.988010,0.975297
-60.976871,0.870858
-61.993145,0.897737
-62.981956,0.931061
-63.998226,0.956661
-64.987038,0.985048
-65.975906,1.013093
-66.992180,1.042719
-67.980995,1.071688
-68.997253,1.101144
-69.986069,1.129506
-70.974884,1.158457
-71.991211,1.188138
-72.980019,1.217318
-73.996292,1.246789
-74.985161,1.275545
-75.973915,1.304600
-76.990234,1.334404
-77.979050,1.364780
-78.995323,1.393044
-79.984192,1.422629
-81.000404,1.452086
-81.989273,1.481608
-82.978142,1.510847
-83.994354,1.540444
-84.983215,1.569365
-85.999489,1.599849
-86.988304,1.628327
-87.977112,1.657469
-88.993439,1.687083
-89.982254,1.716697
-90.998520,1.745840
-91.987381,1.775075
-92.976151,1.803892
-93.992470,1.833719
-94.981339,1.862337
-95.997551,1.891620
-96.986420,1.920462
-97.975182,1.948870
-98.991501,1.978804
-99.980316,2.007201
-100.996635,2.036220
-101.985451,2.064307
-103.001717,2.094737
-103.990585,2.121767
-104.979347,2.150954
-105.995674,2.178818
-106.984535,2.207449
-108.000801,2.236065
-108.989616,2.263686
-109.978432,2.291191
-110.994759,2.319338
-111.983620,2.347240
-112.999840,2.374830
-113.988701,2.402081
-114.977516,2.429049
-115.993790,2.456396
-116.982597,2.482947
-117.998917,2.510088
-118.987793,2.536760
-119.976540,2.562722
