2,Dirt Midget,baseline
Steering Wheel Angle,Yaw Rate
132.004913,1.791476
131.016113,1.737857
130.027283,1.587346
129.011078,1.421988
128.022263,1.385944
127.006020,1.313291
126.017204,1.269772
125.000938,1.426546
124.012169,2.030638
123.023369,2.920049
122.007118,3.722870
121.018311,4.353240
120.002029,4.794515
119.013283,5.165234
118.024460,5.403463
117.008224,5.467382
116.019402,5.477398
115.003166,5.648287
114.014351,5.620687
113.025566,5.612983
112.009323,5.663937
111.020508,5.687080
110.004265,5.674992
109.015457,5.654798
108.026642,5.620263
107.010399,5.575300
106.021584,5.513362
105.005371,5.433495
104.016556,5.349693
103.027771,5.250665
102.011497,5.136426
101.022690,5.036883
100.006439,4.915475
99.017632,4.793430
98.001389,4.739742
97.012573,4.753267
96.023758,4.691768
95.007515,4.632141
94.018700,4.566493
93.002457,4.558583
92.013649,4.566160
91.024887,4.538007
90.008591,4.488764
89.019775,4.419502
88.003563,4.329312
87.014717,4.227190
86.025963,4.125582
85.009674,4.029015
84.020859,3.937181
83.004631,3.840843
82.015800,3.793736
81.027039,3.736641
80.010742,3.671845
79.021935,3.599371
78.005684,3.494105
77.016876,3.446541
76.000633,3.493138
75.011818,3.343743
74.023056,3.304214
73.006760,3.284486
72.017944,3.231126
71.001701,3.172547
70.012894,3.110226
69.024109,3.043707
68.007835,2.965966
67.018997,2.878531
66.002754,2.817518
65.013939,2.756430
64.025177,2.696220
63.008881,2.630648
62.020069,2.562328
61.003826,2.496372
60.015011,2.503261
59.026226,2.438080
58.009926,2.374305
57.021172,2.318482
56.004875,2.261997
55.016060,2.207711
54.027275,2.145525
53.011005,2.087780
52.022217,2.032368
51.005924,1.995825
50.017109,1.971670
49.000866,1.926058
48.012054,1.863092
47.023270,1.809965
46.006969,1.756764
45.018211,1.709974
44.001915,1.659808
43.013073,1.613362
42.024315,1.572746
41.008018,1.529169
40.019230,1.489315
39.002964,1.446168
38.014122,1.338707
37.025364,1.348798
36.009068,1.265449
35.020279,1.241824
34.003983,1.197251
33.015167,1.156940
32.026382,1.121322
31.010088,1.083200
30.021326,1.046461
29.005032,1.007386
28.016247,0.969406
27.027433,0.931401
26.011137,0.893981
25.022348,0.858100
24.006052,0.821680
23.017294,0.786789
22.000998,0.749062
21.012157,0.711398
20.023371,0.675696
19.007101,0.638987
18.018314,0.605179
17.002018,0.567559
16.013233,0.532863
15.024419,0.497404
14.008123,0.463146
13.019336,0.428324
12.003040,0.392849
11.014254,0.359031
10.025441,0.188541
9.009144,0.116562
8.020358,0.261994
7.004062,0.077708
6.015275,0.024851
5.026462,0.026170
4.010166,0.081786
3.021353,0.120059
2.005083,0.177031
1.016323,0.221302
0.000000,0.258776
-0.988760,0.309515
-1.977626,0.353600
-2.993896,0.395942
-3.982709,0.441084
-4.998979,0.490165
-5.987792,0.538382
-6.976604,0.618050
-7.992875,0.615844
-8.981688,0.674586
-9.997957,0.726083
-10.986771,0.770793
-11.975583,0.893368
-12.991853,0.859594
-13.980665,0.941379
-14.996989,0.959005
-15.985749,1.013723
-16.974613,1.108301
-17.990831,0.839962
-18.979698,0.801097
-19.995966,0.762688
-20.984779,0.811980
-21.973593,0.857316
-22.989862,0.897907
-23.978676,0.937477
-24.994999,0.995551
-25.983759,1.048177
-27.000082,1.098780
-27.988842,1.159054
-28.977654,1.212930
-29.993923,1.253064
-30.982737,1.361936
-31.999060,1.222580
-32.987873,1.209108
-33.976685,1.431132
-34.992954,1.484932
-35.981770,1.533672
-36.998093,1.587429
-37.986855,1.642798
-38.975719,1.683957
-39.991932,1.742029
-40.980801,1.796122
-41.997017,1.640698
-42.985882,1.905178
-43.974697,1.940098
-44.990967,2.006355
-45.979778,1.909147
-46.996048,1.955521
-47.984913,2.023530
-48.973728,2.070091
-49.989998,2.116117
-50.978813,2.155883
-51.995083,2.198048
-52.983894,2.239057
-54.000217,2.279360
-54.989029,2.457022
-55.977844,2.547890
-56.994110,2.436119
-57.982929,2.502907
-58.999199,2.562465
-59.988010,2.613366
-60.976871,2.666079
-61.993145,2.725038
-62.981956,2.778288
-63.998226,2.820776
-64.987038,2.855909
-65.975906,2.891539
-66.992180,2.933543
-67.980995,2.971521
-68.997253,3.147689
-69.986069,3.169132
-70.974884,3.234561
-71.991211,3.319263
-72.980019,3.407280
-73.996292,3.417798
-74.985161,3.298744
-75.973915,3.365667
-76.990234,3.503489
-77.979050,3.601169
-78.995323,3.645315
-79.984192,3.624425
-81.000404,3.536485
-81.989273,3.572958
-82.978142,3.784408
-83.994354,3.992766
-84.983215,4.042675
-85.999489,4.108578
-86.988304,4.254961
-87.977112,4.336105
-88.993439,4.299589
-89.982254,4.057693
-90.998520,4.110885
-91.987381,4.234787
-92.976151,4.447342
-93.992470,4.599953
-94.981339,4.684566
-95.997551,4.623525
-96.986420,4.334458
-97.975182,4.478982
-98.991501,4.675574
-99.980316,4.824218
-100.996635,4.929171
-101.985451,5.034362
-103.001717,5.134402
-103.990585,5.323979
-104.979347,5.586492
-105.995674,5.981242
-106.984535,6.339124
-108.000801,6.859517
-108.989616,7.307141
-109.978432,7.587105
-110.994759,7.755265
-111.983620,7.151943
-112.999840,7.916424
-113.988701,7.404674
-114.977516,6.835567
-115.993790,5.831863
-116.982597,5.625220
-117.998917,5.703272
-118.987793,5.519449
-119.976540,5.611312
-120.992874,5.729703
-121.981682,5.934169
-122.998009,6.230986
-123.986816,6.888171
-124.975624,7.822085
-125.991959,8.822504
-126.980713,10.395741
-127.997040,9.326627
