2,Dirt Mini Stock,baseline
Steering Wheel Angle,Yaw Rate
391.008759,3.091365
390.020020,3.091241
389.003754,3.092142
388.015015,3.032462
386.998810,3.039321
386.010040,3.035647
384.993805,3.029475
384.005035,3.021715
383.016296,3.011935
382.000092,2.999390
381.011322,2.983735
379.995087,2.967098
379.006317,2.950403
378.017578,2.978378
377.001373,2.950713
376.012604,2.927186
374.996338,2.910647
374.007629,2.896493
373.018890,2.884674
372.002625,2.879313
371.013855,2.879473
369.997650,2.878895
369.008911,2.873201
368.020142,2.865224
367.003906,2.848013
366.015137,2.832417
364.998932,2.821380
364.010193,2.817998
363.021423,2.810029
362.005157,2.795371
361.016418,2.784677
360.000214,2.780217
359.011444,2.767598
357.995178,2.754127
357.006439,2.746347
356.017670,2.741092
355.001465,2.728629
354.012695,2.716334
352.996490,2.707295
352.007721,2.701680
351.018951,2.690220
350.002716,2.678592
349.013947,2.669566
347.997711,2.662808
347.008942,2.653167
346.020203,2.642894
345.003998,2.632725
344.015228,2.625250
342.998962,2.616947
342.010223,2.608071
341.021454,2.597507
340.005219,2.589006
339.016449,2.582747
338.000214,2.574910
337.011475,2.563688
336.022736,2.554707
335.006500,2.550087
334.017700,2.543335
333.001465,2.531230
332.012726,2.521476
330.996490,2.518575
330.007721,2.512698
329.018951,2.499728
328.002747,2.490492
327.013977,2.490364
325.997711,2.480932
325.008972,2.466532
324.020203,2.465396
323.003998,2.462329
322.015228,2.448795
320.998962,2.437802
320.010193,2.441017
319.021454,2.433375
318.005219,2.417142
317.016479,2.414485
316.000183,2.413836
315.011414,2.401159
314.022675,2.389093
313.006470,2.393270
312.017700,2.382532
311.001404,2.369059
310.012665,2.372895
309.023926,2.358575
308.007690,2.347665
307.018921,2.350961
306.002686,2.336569
305.013916,2.328238
303.997681,2.328214
303.008911,2.313263
302.020142,2.308248
301.003906,2.304763
300.015137,2.290897
298.998901,2.286144
298.010132,2.278863
297.021332,2.269255
296.005127,2.264859
295.016357,2.251156
294.000153,2.250536
293.011322,2.235879
292.022583,2.232699
291.006378,2.222764
290.017578,2.214461
289.001343,2.209385
288.012573,2.195735
287.023834,2.192619
286.007568,2.180237
285.018768,2.176440
284.002563,2.163437
283.013824,2.160224
281.997528,2.147829
281.008789,2.140621
280.020020,2.134159
279.003784,2.126197
278.014984,2.115351
276.998779,2.106873
276.010010,2.101956
275.021179,2.090512
274.005005,2.084732
273.016235,2.075471
271.999969,2.067341
271.011169,2.058955
270.022430,2.049504
269.006195,2.043032
268.017395,2.032304
267.001190,2.025141
266.012421,2.017267
265.023651,2.008662
264.007385,2.000527
263.018616,1.992828
262.002350,1.981213
261.013611,1.976681
260.024841,1.966285
259.008575,1.955800
258.019806,1.951376
257.003571,1.939156
256.014801,1.933064
254.998566,1.924857
254.009781,1.915945
253.021011,1.908754
252.004791,1.898840
251.015961,1.889415
249.999741,1.883866
249.010956,1.873135
248.022217,1.866926
247.005966,1.855845
246.017166,1.850210
245.000916,1.840778
244.012177,1.832137
243.023422,1.823323
242.007141,1.814739
241.018341,1.806806
240.002121,1.797395
239.013351,1.789045
238.024597,1.779551
237.008316,1.768900
236.019547,1.761575
235.003296,1.752438
234.014542,1.743394
233.025772,1.736215
232.009491,1.725260
231.020752,1.717892
230.004471,1.709287
229.015686,1.698840
227.999451,1.691427
227.010681,1.678041
226.021896,1.673397
225.005646,1.657913
224.016876,1.653374
223.000626,1.644221
222.011841,1.630060
221.023071,1.626042
220.006836,1.612669
219.018051,1.604169
218.001816,1.595784
217.013016,1.587569
216.024261,1.579493
215.007996,1.570553
214.019226,1.562475
213.002960,1.553961
212.014175,1.546438
211.025421,1.539009
210.009140,1.528312
209.020386,1.523021
208.004135,1.515845
207.015366,1.503435
206.026566,1.502719
205.010300,1.489038
204.021530,1.487661
203.005295,1.473675
202.016510,1.472196
201.000275,1.458797
200.011475,1.453151
199.022705,1.447104
198.006454,1.438371
197.017670,1.431386
196.001419,1.422745
195.012619,1.414466
194.023849,1.406627
193.007599,1.397928
192.018814,1.389827
191.002563,1.381441
190.013794,1.373826
189.024994,1.365630
188.008728,1.356814
187.019974,1.349548
186.003708,1.340862
185.014938,1.332891
184.026154,1.324687
183.009888,1.316007
182.021133,1.308678
181.004852,1.299904
180.016098,1.292261
178.999817,1.284771
178.011047,1.276388
177.022247,1.268458
176.005981,1.260633
175.017227,1.250980
174.000961,1.244701
173.012192,1.234459
172.023392,1.225158
171.007111,1.219984
170.018356,1.209661
169.002075,1.203275
168.013321,1.193843
167.024506,1.187838
166.008270,1.180750
165.019485,1.172995
164.003220,1.161164
163.014450,1.156523
162.025650,1.147091
161.009415,1.137553
160.020615,1.132815
159.004333,1.122171
158.015564,1.116381
157.026764,1.109704
156.010544,1.101277
155.021729,1.093669
154.005478,1.085340
153.016708,1.075084
152.000443,1.069696
151.011673,1.059815
150.022858,1.054572
149.006622,1.044686
148.017822,1.037188
147.001556,1.029748
146.012772,1.022464
145.023972,1.015931
144.007736,1.007131
143.018936,0.999267
142.002655,0.992119
141.013901,0.984051
140.025085,0.975764
139.008850,0.968726
138.020050,0.961112
137.003769,0.952749
136.014999,0.946416
135.026199,0.937105
134.009964,0.928292
133.021164,0.923314
132.004913,0.913594
131.016113,0.908153
130.027283,0.899425
129.011078,0.891136
128.022263,0.883841
