2,Dirt UMP Modified,baseline
Steering Wheel Angle,Yaw Rate
241.018341,4.325914
240.002121,3.999892
239.013351,3.701231
238.024597,3.450879
237.008316,3.249735
236.019547,3.095424
235.003296,2.985725
234.014542,2.917974
233.025772,2.889761
232.009491,2.899928
231.020752,2.944310
230.004471,3.010731
229.015686,3.089817
227.999451,3.176405
227.010681,3.264811
226.021896,3.352171
225.005646,3.437975
224.016876,3.523450
223.000626,3.611005
222.011841,3.700936
221.023071,3.791931
220.006836,3.883001
219.018051,3.976985
218.001816,4.070371
217.013016,4.151187
216.024261,4.262361
215.007996,4.336799
214.019226,4.429065
213.002960,4.519978
212.014175,4.610776
211.025421,4.697757
210.009140,4.781639
209.020386,4.859261
208.004135,4.925784
207.015366,4.987228
206.026566,5.038557
205.010300,5.080212
204.021530,5.114536
203.005295,5.137801
202.016510,5.142936
201.000275,5.138255
200.011475,5.101985
199.022705,5.107499
198.006454,5.089066
197.017670,5.076236
196.001419,5.052827
195.012619,5.061628
194.023849,5.059942
193.007599,5.025228
192.018814,4.963601
191.002563,4.910526
190.013794,4.886472
189.024994,4.865177
188.008728,4.842740
187.019974,4.833941
186.003708,4.815288
185.014938,4.790743
184.026154,4.767444
183.009888,4.729128
182.021133,4.707564
181.004852,4.757877
180.016098,4.738237
178.999817,4.722920
178.011047,4.694803
177.022247,4.670932
176.005981,4.645657
175.017227,4.621132
174.000961,4.595882
173.012192,4.573101
172.023392,4.548666
171.007111,4.523442
170.018356,4.500400
169.002075,4.475711
168.013321,4.452406
167.024506,4.427718
166.008270,4.404089
165.019485,4.379949
164.003220,4.355644
163.014450,4.332089
162.025650,4.308394
161.009415,4.283513
160.020615,4.261122
159.004333,4.235203
158.015564,4.212504
157.026764,4.188965
156.010544,4.164313
155.021729,4.140202
154.005478,4.116922
153.016708,4.092750
152.000443,4.069036
151.011673,4.045459
150.022858,4.022154
149.006622,3.997491
148.017822,3.975169
147.001556,3.951605
146.012772,3.926025
145.023972,3.904604
144.007736,3.879078
143.018936,3.856373
142.002655,3.832148
141.013901,3.808476
140.025085,3.784993
139.008850,3.760799
138.020050,3.736112
137.003769,3.713054
136.014999,3.687533
135.026199,3.665773
134.009964,3.626747
133.021164,3.600608
