2,FIA F4,baseline
Steering Wheel Angle,Yaw Rate
192.018814,1.877519
191.002563,1.878671
190.013794,1.850425
189.024994,1.841627
188.008728,1.838748
187.019974,1.828321
186.003708,1.821391
185.014938,1.811404
184.026154,1.801699
183.009888,1.791172
182.021133,1.781225
181.004852,1.771101
180.016098,1.762174
178.999817,1.762319
178.011047,1.737605
177.022247,1.722847
176.005981,1.719381
175.017227,1.711629
174.000961,1.700518
173.012192,1.690455
172.023392,1.679698
171.007111,1.670915
170.018356,1.659523
169.002075,1.650596
168.013321,1.643151
167.024506,1.630492
166.008270,1.620756
165.019485,1.612914
164.003220,1.599896
163.014450,1.593438
162.025650,1.582876
161.009415,1.570662
160.020615,1.562756
159.004333,1.554479
158.015564,1.542118
157.026764,1.532038
156.010544,1.524856
155.021729,1.513873
154.005478,1.501759
153.016708,1.495724
152.000443,1.483487
151.011673,1.472666
150.022858,1.465538
149.006622,1.455395
148.017822,1.442873
147.001556,1.434311
146.012772,1.426921
145.023972,1.415429
144.007736,1.403472
143.018936,1.396871
142.002655,1.386311
141.013901,1.374583
140.025085,1.367220
139.008850,1.357080
138.020050,1.344781
137.003769,1.338666
136.014999,1.325344
135.026199,1.318837
134.009964,1.306636
133.021164,1.297485
132.004913,1.288290
131.016113,1.276132
130.027283,1.269480
129.011078,1.258763
128.022263,1.246939
127.006020,1.239232
126.017204,1.230650
125.000938,1.218699
124.012169,1.207895
123.023369,1.201050
122.007118,1.190269
121.018311,1.178428
120.002029,1.171206
119.013283,1.160979
118.024460,1.149331
117.008224,1.141590
116.019402,1.130829
115.003166,1.120948
114.014351,1.112047
113.025566,1.100647
112.009323,1.093128
111.020508,1.080901
110.004265,1.073460
109.015457,1.061926
108.026642,1.053133
107.010399,1.043552
106.021584,1.032341
105.005371,1.024703
104.016556,1.012193
103.027771,1.005431
102.011497,0.993001
101.022690,0.984935
100.006439,0.974445
99.017632,0.964448
98.001389,0.955461
97.012573,0.944452
96.023758,0.936470
95.007515,0.926428
94.018700,0.914445
93.002457,0.906400
92.013649,0.897835
91.024887,0.885606
90.008591,0.876223
89.019775,0.868577
88.003563,0.856092
87.014717,0.846926
86.025963,0.839230
85.009674,0.827571
84.020859,0.817124
83.004631,0.809407
82.015800,0.799378
81.027039,0.787464
80.010742,0.780523
79.021935,0.767893
78.005684,0.760814
77.016876,0.749210
76.000633,0.740224
75.011818,0.730132
74.023056,0.720346
73.006760,0.711463
72.017944,0.699931
71.001701,0.691055
70.012894,0.682954
69.024109,0.670481
68.007835,0.663092
67.018997,0.652193
66.002754,0.641358
65.013939,0.633874
64.025177,0.623377
63.008881,0.611665
62.020069,0.604647
61.003826,0.594458
60.015011,0.583298
59.026226,0.573683
58.009926,0.565975
57.021172,0.555015
56.004875,0.543976
55.016060,0.535489
54.027275,0.526771
53.011005,0.514550
52.022217,0.507304
51.005924,0.494703
50.017109,0.488009
49.000866,0.475469
48.012054,0.467748
47.023270,0.456962
46.006969,0.447005
45.018211,0.438952
44.001915,0.426739
43.013073,0.419732
42.024315,0.406900
41.008018,0.400184
40.019230,0.388078
39.002964,0.379967
38.014122,0.368868
37.025364,0.359725
36.009068,0.350674
35.020279,0.339307
34.003983,0.330901
33.015167,0.320678
32.026382,0.310964
31.010088,0.302181
30.021326,0.290465
29.005032,0.283035
28.016247,0.270809
27.027433,0.263726
26.011137,0.251648
25.022348,0.243483
24.006052,0.233352
23.017294,0.222815
22.000998,0.214667
21.012157,0.202730
20.023371,0.195686
19.007101,0.182880
18.018314,0.175841
17.002018,0.164418
16.013233,0.155414
15.024419,0.145764
14.008123,0.135356
13.019336,0.126695
12.003040,0.115435
11.014254,0.107094
10.025441,0.096185
9.009144,0.087484
8.020358,0.077597
7.004062,0.067032
6.015275,0.059198
5.026462,0.046972
4.010166,0.039707
3.021353,0.027700
2.005083,0.019216
1.016323,0.009782
0.000000,0.002199
-0.988760,0.009267
-1.977626,0.017732
