2,Ferrari 296 Challenge,baseline
Steering Wheel Angle,Yaw Rate
263.018616,2.209102
262.002350,2.200473
261.013611,2.192441
260.024841,2.185292
259.008575,2.177964
258.019806,2.170856
257.003571,2.164869
256.014801,2.157238
254.998566,2.150041
254.009781,2.142781
253.021011,2.135419
252.004791,2.127667
251.015961,2.120143
249.999741,2.112157
249.010956,2.104491
248.022217,2.096466
247.005966,2.087051
246.017166,2.078045
245.000916,2.068931
244.012177,2.060078
243.023422,2.051240
242.007141,2.040972
241.018341,2.031735
240.002121,2.022163
239.013351,2.012412
238.024597,2.004357
237.008316,1.995749
236.019547,1.987699
235.003296,1.980556
234.014542,1.972702
233.025772,1.964144
232.009491,1.955274
231.020752,1.946809
230.004471,1.937795
229.015686,1.929940
227.999451,1.920492
227.010681,1.912714
226.021896,1.904623
225.005646,1.895144
224.016876,1.886806
223.000626,1.878600
222.011841,1.870416
221.023071,1.861968
220.006836,1.853541
219.018051,1.845316
218.001816,1.836439
217.013016,1.828011
216.024261,1.819466
215.007996,1.810936
214.019226,1.802523
213.002960,1.793960
212.014175,1.785601
211.025421,1.777173
210.009140,1.768484
209.020386,1.760197
208.004135,1.751613
207.015366,1.743225
206.026566,1.734899
205.010300,1.726029
204.021530,1.717494
203.005295,1.709082
202.016510,1.700999
201.000275,1.692264
200.011475,1.683764
199.022705,1.675413
198.006454,1.666758
197.017670,1.658015
196.001419,1.649454
195.012619,1.640992
194.023849,1.632468
193.007599,1.623989
192.018814,1.615914
191.002563,1.607404
190.013794,1.599037
189.024994,1.590226
188.008728,1.581099
187.019974,1.572985
186.003708,1.564467
185.014938,1.556521
184.026154,1.548234
183.009888,1.539768
182.021133,1.531269
181.004852,1.522716
180.016098,1.514305
178.999817,1.505488
178.011047,1.496868
177.022247,1.488219
176.005981,1.479580
175.017227,1.471966
174.000961,1.463638
173.012192,1.455116
172.023392,1.446588
171.007111,1.438601
170.018356,1.429904
169.002075,1.421117
168.013321,1.412194
167.024506,1.404762
166.008270,1.396087
165.019485,1.387654
164.003220,1.378949
163.014450,1.370351
162.025650,1.361732
161.009415,1.353544
160.020615,1.345249
159.004333,1.336568
158.015564,1.328132
157.026764,1.319595
156.010544,1.310774
155.021729,1.302361
154.005478,1.294018
153.016708,1.286343
152.000443,1.277668
151.011673,1.268998
150.022858,1.260242
149.006622,1.252466
148.017822,1.244060
147.001556,1.235009
146.012772,1.226454
145.023972,1.218105
144.007736,1.209864
143.018936,1.201526
142.002655,1.192977
141.013901,1.184667
140.025085,1.175998
139.008850,1.168155
138.020050,1.159799
137.003769,1.150574
136.014999,1.142760
135.026199,1.134381
134.009964,1.125575
133.021164,1.117092
132.004913,1.109298
131.016113,1.101081
130.027283,1.092534
129.011078,1.083761
128.022263,1.075307
127.006020,1.066495
126.017204,1.058017
125.000938,1.049480
124.012169,1.041859
123.023369,1.033728
122.007118,1.025081
121.018311,1.016587
120.002029,1.008038
119.013283,0.999530
118.024460,0.991056
117.008224,0.982510
116.019402,0.973926
115.003166,0.965239
114.014351,0.957271
113.025566,0.949288
112.009323,0.940942
111.020508,0.932421
110.004265,0.923412
109.015457,0.914825
108.026642,0.907050
107.010399,0.898888
106.021584,0.890415
105.005371,0.881428
104.016556,0.873005
103.027771,0.864445
102.011497,0.856476
101.022690,0.848545
100.006439,0.839763
99.017632,0.831258
98.001389,0.822583
97.012573,0.813988
96.023758,0.805504
95.007515,0.797157
94.018700,0.789590
93.002457,0.780825
92.013649,0.772452
91.024887,0.764162
90.008591,0.755603
89.019775,0.746901
88.003563,0.738826
87.014717,0.730045
86.025963,0.721893
85.009674,0.713815
84.020859,0.705274
83.004631,0.696309
82.015800,0.688084
81.027039,0.679342
80.010742,0.671279
79.021935,0.663199
78.005684,0.654774
77.016876,0.646103
76.000633,0.637517
75.011818,0.628786
74.023056,0.620779
73.006760,0.612718
72.017944,0.604436
71.001701,0.595442
70.012894,0.586796
69.024109,0.578527
68.007835,0.570404
67.018997,0.562448
66.002754,0.553630
65.013939,0.545182
64.025177,0.536835
63.008881,0.528705
62.020069,0.520236
61.003826,0.511529
60.015011,0.502947
59.026226,0.495119
58.009926,0.486742
57.021172,0.478359
56.004875,0.469450
55.016060,0.460939
54.027275,0.452416
53.011005,0.443977
52.022217,0.436296
51.005924,0.427770
50.017109,0.419025
49.000866,0.410869
48.012054,0.402622
47.023270,0.393909
46.006969,0.385068
45.018211,0.376951
44.001915,0.369030
43.013073,0.360582
42.024315,0.352000
41.008018,0.343061
40.019230,0.334812
39.002964,0.326806
38.014122,0.318707
37.025364,0.310278
36.009068,0.301029
35.020279,0.292887
34.003983,0.284594
33.015167,0.276593
32.026382,0.268385
31.010088,0.259385
30.021326,0.250672
29.005032,0.242225
28.016247,0.234280
27.027433,0.226173
26.011137,0.217649
25.022348,0.208830
24.006052,0.200100
23.017294,0.192067
22.000998,0.184041
21.012157,0.175770
20.023371,0.167195
19.007101,0.158256
18.018314,0.149944
17.002018,0.141787
16.013233,0.133785
15.024419,0.125452
14.008123,0.116384
13.019336,0.108040
12.003040,0.099532
11.014254,0.091687
10.025441,0.082773
9.009144,0.074322
8.020358,0.066277
7.004062,0.058153
6.015275,0.049621
5.026462,0.040792
4.010166,0.032311
3.021353,0.024289
2.005083,0.016004
1.016323,0.007938
0.000000,0.002911
-0.988760,0.007432
-1.977626,0.015811
-2.993896,0.024585
-3.982709,0.033284
-4.998979,0.041909
-5.987792,0.049679
-6.976604,0.058018
-7.992875,0.066576
-8.981688,0.075474
-9.997957,0.084031
-10.986771,0.091960
-11.975583,0.099848
-12.991853,0.108588
-13.980665,0.117393
-14.996989,0.125960
-15.985749,0.133797
-16.974613,0.141808
-17.990831,0.150572
-18.979698,0.159221
-19.995966,0.167960
-20.984779,0.176268
-21.973593,0.184286
-22.989862,0.192414
-23.978676,0.200857
-24.994999,0.209652
-25.983759,0.218348
-27.000082,0.226900
-27.988842,0.235027
-28.977654,0.242956
-29.993923,0.251152
-30.982737,0.259652
-31.999060,0.268530
-32.987873,0.277256
-33.976685,0.285592
-34.992954,0.294057
-35.981770,0.301891
-36.998093,0.310193
-37.986855,0.318581
-38.975719,0.327461
-39.991932,0.335951
-40.980801,0.344439
-41.997017,0.352413
-42.985882,0.360456
-43.974697,0.369000
-44.990967,0.377948
-45.979778,0.386268
-46.996048,0.394467
-47.984913,0.402373
-48.973728,0.410863
-49.989998,0.419641
-50.978813,0.428192
-51.995083,0.436899
-52.983894,0.445330
-54.000217,0.453803
-54.989029,0.461328
-55.977844,0.469621
-56.994110,0.478424
-57.982929,0.487176
-58.999199,0.494981
-59.988010,0.503570
-60.976871,0.512152
-61.993145,0.521114
-62.981956,0.529299
-63.998226,0.537884
-64.987038,0.545684
-65.975906,0.553769
-66.992180,0.562475
-67.980995,0.571030
-68.997253,0.579910
-69.986069,0.588015
-70.974884,0.596006
-71.991211,0.604146
-72.980019,0.613243
-73.996292,0.621117
-74.985161,0.629606
-75.973915,0.638133
-76.990234,0.647082
-77.979050,0.655493
-78.995323,0.663854
-79.984192,0.671738
-81.000404,0.679914
-81.989273,0.688514
-82.978142,0.697036
-83.994354,0.705954
-84.983215,0.714351
-85.999489,0.722844
-86.988304,0.730531
-87.977112,0.739223
-88.993439,0.747737
-89.982254,0.755711
-90.998520,0.764196
-91.987381,0.772731
-92.976151,0.781500
-93.992470,0.790078
-94.981339,0.798652
-95.997551,0.806842
-96.986420,0.814691
-97.975182,0.823068
-98.991501,0.832403
-99.980316,0.840327
-100.996635,0.848350
-101.985451,0.856966
-103.001717,0.865605
-103.990585,0.873995
-104.979347,0.882473
-105.995674,0.891186
-106.984535,0.899679
-108.000801,0.908117
-108.989616,0.916057
-109.978432,0.923945
-110.994759,0.932711
-111.983620,0.941284
-112.999840,0.950069
-113.988701,0.958568
-114.977516,0.966940
-115.993790,0.975482
-116.982597,0.983093
-117.998917,0.991537
-118.987793,0.999915
-119.976540,1.008863
-120.992874,1.017398
-121.981682,1.025481
-122.998009,1.033603
-123.986816,1.041884
-124.975624,1.050507
-125.991959,1.059272
-126.980713,1.067878
-127.997040,1.076511
-128.985855,1.084642
-130.002182,1.093382
-130.991043,1.101611
-131.979797,1.110121
-132.996124,1.118816
-133.984924,1.126633
-135.001266,1.134729
-135.990128,1.143202
-136.978897,1.152148
-137.995209,1.159997
-138.984009,1.168428
-140.000351,1.177214
-140.989212,1.185428
-141.977966,1.193515
-142.994293,1.202356
-143.983093,1.211105
-144.999435,1.219802
-145.988190,1.228240
-146.977051,1.236742
-147.993378,1.244994
-148.982193,1.252699
-149.998520,1.261199
-150.987274,1.269756
-151.976135,1.278236
-152.992462,1.286824
-153.981277,1.294890
-154.997604,1.303299
-155.986404,1.311839
-157.002731,1.320648
-157.991592,1.329226
-158.980362,1.337668
-159.996674,1.346486
-160.985504,1.354043
-162.001816,1.362610
-162.990631,1.371426
-163.979446,1.379599
-164.995819,1.388076
-165.984589,1.396576
-167.000900,1.405261
-167.989716,1.413489
-168.978577,1.421655
-169.994904,1.430257
-170.983719,1.438534
-172.000046,1.447145
-172.988800,1.455926
-173.977661,1.464395
-174.993927,1.473176
-175.982803,1.480631
-176.999130,1.489233
-177.987946,1.497641
-178.976807,1.506403
-179.993011,1.514987
-180.981888,1.523457
-181.998260,1.532483
-182.987030,1.539936
-184.003342,1.548522
-184.992157,1.557176
-185.981033,1.565555
-186.997345,1.574042
-187.986160,1.582507
-189.002487,1.591021
-189.991287,1.599282
-190.980164,1.607834
-191.996368,1.616312
-192.985306,1.624476
-194.001617,1.633322
-194.990387,1.641629
-195.979248,1.649887
-196.995514,1.658709
-197.984390,1.666985
-199.000702,1.675683
-199.989532,1.684138
-200.978394,1.692345
-201.994644,1.700989
-202.983521,1.709273
-203.999786,1.717882
-204.988647,1.726202
-206.004990,1.735055
-206.993790,1.743273
-207.982666,1.751623
-208.998932,1.760080
-209.987793,1.768663
-211.004120,1.777242
-211.992920,1.785624
-212.981796,1.793967
-213.998062,1.802457
-214.986923,1.810962
-216.003265,1.819560
-216.992065,1.827880
-217.980942,1.836161
-218.997208,1.844606
-219.986069,1.853002
-221.002350,1.861830
-221.991211,1.870248
-222.980072,1.878654
-223.996338,1.887277
-224.985199,1.895631
-226.001480,1.904243
-226.990341,1.912643
-227.979218,1.922226
-228.995483,1.929717
-229.984344,1.937863
-231.000626,1.946484
-231.989487,1.954819
-233.005737,1.963431
-233.994614,1.972003
-234.983490,1.981218
-235.999741,1.988794
-236.988617,1.998112
-238.004898,2.006058
-238.993744,2.014367
-239.982620,2.023642
-240.998901,2.032068
-241.987823,2.039979
-243.004013,2.049164
-243.992950,2.057558
-244.981827,2.065080
-245.998077,2.075194
-246.986954,2.083259
-248.003220,2.091028
-248.992081,2.100173
-249.980896,2.108638
-250.997223,2.116461
-251.986099,2.126084
-253.002350,2.134145
-253.991226,2.141841
-254.980042,2.151028
-255.996399,2.160264
-256.985291,2.167212
-258.001556,2.177131
-258.990417,2.185062
-260.006683,2.192993
-260.995544,2.202467
-261.984344,2.210729
-263.000671,2.218432
