2,Ferrari 296 GT3,baseline
Steering Wheel Angle,Yaw Rate
225.005646,1.497379
224.016876,1.491096
223.000626,1.484454
222.011841,1.478518
221.023071,1.472511
220.006836,1.466338
219.018051,1.460189
218.001816,1.453850
217.013016,1.447708
216.024261,1.441476
215.007996,1.435046
214.019226,1.428703
213.002960,1.422214
212.014175,1.415757
211.025421,1.409331
210.009140,1.402573
209.020386,1.395888
208.004135,1.388973
207.015366,1.382262
206.026566,1.375509
205.010300,1.368656
204.021530,1.361984
203.005295,1.355078
202.016510,1.348373
201.000275,1.341490
200.011475,1.334746
199.022705,1.328059
198.006454,1.321192
197.017670,1.314410
196.001419,1.307539
195.012619,1.300725
194.023849,1.293798
193.007599,1.286544
192.018814,1.279378
191.002563,1.272059
190.013794,1.264969
189.024994,1.258293
188.008728,1.251451
187.019974,1.244873
186.003708,1.238022
185.014938,1.232028
184.026154,1.225711
183.009888,1.219312
182.021133,1.212687
181.004852,1.205839
180.016098,1.199063
178.999817,1.192268
178.011047,1.185058
177.022247,1.178521
176.005981,1.171905
175.017227,1.165123
174.000961,1.158303
173.012192,1.151478
172.023392,1.144848
171.007111,1.138061
170.018356,1.131334
169.002075,1.124519
168.013321,1.117937
167.024506,1.111229
166.008270,1.104482
165.019485,1.097700
164.003220,1.090877
163.014450,1.084360
162.025650,1.077571
161.009415,1.070784
160.020615,1.064183
159.004333,1.057334
158.015564,1.050675
157.026764,1.043987
156.010544,1.037183
155.021729,1.030597
154.005478,1.023776
153.016708,1.017073
152.000443,1.010381
151.011673,1.003628
150.022858,0.996998
149.006622,0.990139
148.017822,0.983447
147.001556,0.976686
146.012772,0.970054
145.023972,0.963376
144.007736,0.956489
143.018936,0.949991
142.002655,0.943058
141.013901,0.936437
140.025085,0.929765
139.008850,0.922927
138.020050,0.916335
137.003769,0.909548
136.014999,0.902984
135.026199,0.896233
134.009964,0.889352
133.021164,0.882715
132.004913,0.875990
131.016113,0.869284
130.027283,0.862702
129.011078,0.855875
128.022263,0.849211
127.006020,0.842353
126.017204,0.835910
125.000938,0.828923
124.012169,0.822217
123.023369,0.815639
122.007118,0.808831
121.018311,0.802168
120.002029,0.795363
119.013283,0.788788
118.024460,0.782186
117.008224,0.775360
116.019402,0.768827
115.003166,0.762028
114.014351,0.755291
113.025566,0.748591
112.009323,0.741769
111.020508,0.735174
110.004265,0.728346
109.015457,0.721699
108.026642,0.715084
107.010399,0.708178
106.021584,0.701643
105.005371,0.694825
104.016556,0.688215
103.027771,0.681641
102.011497,0.674797
101.022690,0.668138
100.006439,0.661241
99.017632,0.654644
98.001389,0.647836
97.012573,0.641209
96.023758,0.634663
95.007515,0.627791
94.018700,0.621105
93.002457,0.614328
92.013649,0.607727
91.024887,0.601101
90.008591,0.594292
89.019775,0.587587
88.003563,0.580869
87.014717,0.574227
86.025963,0.567612
85.009674,0.560691
84.020859,0.554113
83.004631,0.547311
82.015800,0.540673
81.027039,0.534059
80.010742,0.527242
79.021935,0.520570
78.005684,0.513712
77.016876,0.507074
76.000633,0.500344
75.011818,0.493709
74.023056,0.487127
73.006760,0.480289
72.017944,0.473680
71.001701,0.466890
70.012894,0.460297
69.024109,0.453598
68.007835,0.446886
67.018997,0.440144
66.002754,0.433255
65.013939,0.426699
64.025177,0.420013
63.008881,0.413266
62.020069,0.406644
61.003826,0.399821
60.015011,0.393239
59.026226,0.386681
58.009926,0.379778
57.021172,0.373008
56.004875,0.366324
55.016060,0.359638
54.027275,0.353191
53.011005,0.346225
52.022217,0.339691
51.005924,0.332940
50.017109,0.326232
49.000866,0.319321
48.012054,0.312710
47.023270,0.306206
46.006969,0.299269
45.018211,0.292794
44.001915,0.285955
43.013073,0.279236
42.024315,0.272669
41.008018,0.265813
40.019230,0.259189
39.002964,0.252429
38.014122,0.245725
37.025364,0.239172
36.009068,0.232323
35.020279,0.225755
34.003983,0.218932
33.015167,0.212282
32.026382,0.205729
31.010088,0.198913
30.021326,0.192228
29.005032,0.185339
28.016247,0.178794
27.027433,0.172216
26.011137,0.165332
25.022348,0.158768
24.006052,0.151994
23.017294,0.145269
22.000998,0.138472
21.012157,0.131928
20.023371,0.125121
19.007101,0.118505
18.018314,0.111746
17.002018,0.104983
16.013233,0.098415
15.024419,0.091724
14.008123,0.084946
13.019336,0.078362
12.003040,0.071444
11.014254,0.065026
10.025441,0.058227
9.009144,0.051383
8.020358,0.045178
7.004062,0.039504
6.015275,0.033844
5.026462,0.028201
4.010166,0.022434
3.021353,0.016867
2.005083,0.011144
1.016323,0.005616
0.000000,0.001436
-0.988760,0.005767
-1.977626,0.011340
-2.993896,0.017065
-3.982709,0.022603
-4.998979,0.028477
-5.987792,0.033943
-6.976604,0.039633
-7.992875,0.045312
-8.981688,0.051317
-9.997957,0.058023
-10.986771,0.064758
-11.975583,0.071305
-12.991853,0.078195
-13.980665,0.084694
-14.996989,0.091581
-15.985749,0.098179
-16.974613,0.104869
-17.990831,0.111677
-18.979698,0.118189
-19.995966,0.125145
-20.984779,0.131724
-21.973593,0.138196
-22.989862,0.145133
-23.978676,0.151844
-24.994999,0.158674
-25.983759,0.165163
-27.000082,0.172056
-27.988842,0.178599
-28.977654,0.185241
-29.993923,0.192039
-30.982737,0.198776
-31.999060,0.205537
-32.987873,0.212230
-33.976685,0.218616
-34.992954,0.225532
-35.981770,0.232124
-36.998093,0.238937
-37.986855,0.245669
-38.975719,0.252207
-39.991932,0.259135
-40.980801,0.265701
-41.997017,0.272495
-42.985882,0.279068
-43.974697,0.285791
-44.990967,0.292486
-45.979778,0.299228
-46.996048,0.305958
-47.984913,0.312529
-48.973728,0.319354
-49.989998,0.326063
-50.978813,0.332577
-51.995083,0.339507
-52.983894,0.346185
-54.000217,0.352933
-54.989029,0.359581
-55.977844,0.366079
-56.994110,0.373066
-57.982929,0.379656
-58.999199,0.386405
-59.988010,0.393084
-60.976871,0.399675
-61.993145,0.406390
-62.981956,0.413150
-63.998226,0.420002
-64.987038,0.426568
-65.975906,0.433197
-66.992180,0.439992
-67.980995,0.446650
-68.997253,0.453459
-69.986069,0.460030
-70.974884,0.466731
-71.991211,0.473507
-72.980019,0.480121
-73.996292,0.486905
-74.985161,0.493605
-75.973915,0.500183
-76.990234,0.507038
-77.979050,0.513670
-78.995323,0.520457
-79.984192,0.527063
-81.000404,0.533932
-81.989273,0.540571
-82.978142,0.547122
-83.994354,0.554079
-84.983215,0.560637
-85.999489,0.567418
-86.988304,0.574123
-87.977112,0.580671
-88.993439,0.587534
-89.982254,0.594180
-90.998520,0.600944
-91.987381,0.607647
-92.976151,0.614243
-93.992470,0.621048
-94.981339,0.627661
-95.997551,0.634504
-96.986420,0.641095
-97.975182,0.647761
-98.991501,0.654502
-99.980316,0.661217
-100.996635,0.668024
-101.985451,0.674641
-103.001717,0.681444
-103.990585,0.688052
-104.979347,0.694616
-105.995674,0.701486
-106.984535,0.708085
-108.000801,0.714988
-108.989616,0.721600
-109.978432,0.728095
-110.994759,0.734978
-111.983620,0.741726
-112.999840,0.748408
-113.988701,0.755151
-114.977516,0.761766
-115.993790,0.768500
-116.982597,0.775263
-117.998917,0.781964
-118.987793,0.788636
-119.976540,0.795370
-120.992874,0.802107
-121.981682,0.808808
-122.998009,0.815563
-123.986816,0.822181
-124.975624,0.828834
-125.991959,0.835656
-126.980713,0.842344
-127.997040,0.849147
-128.985855,0.855756
-130.002182,0.862533
-130.991043,0.869321
-131.979797,0.875771
-132.996124,0.882609
-133.984924,0.889310
-135.001266,0.896093
-135.990128,0.902742
-136.978897,0.909386
-137.995209,0.916248
-138.984009,0.922712
-140.000351,0.929654
-140.989212,0.936430
-141.977966,0.942893
-142.994293,0.949731
-143.983093,0.956350
-144.999435,0.963146
-145.988190,0.969918
-146.977051,0.976513
-147.993378,0.983306
-148.982193,0.989961
-149.998520,0.996876
-150.987274,1.003480
-151.976135,1.010104
-152.992462,1.016882
-153.981277,1.023571
-154.997604,1.030325
-155.986404,1.037052
-157.002731,1.043920
-157.991592,1.050433
-158.980362,1.057068
-159.996674,1.064006
-160.985504,1.070633
-162.001816,1.077563
-162.990631,1.084076
-163.979446,1.090778
-164.995819,1.097639
-165.984589,1.104298
-167.000900,1.111120
-167.989716,1.117723
-168.978577,1.124394
-169.994904,1.131226
-170.983719,1.137929
-172.000046,1.144644
-172.988800,1.151343
-173.977661,1.158016
-174.993927,1.164784
-175.982803,1.171509
-176.999130,1.178416
-177.987946,1.185028
-178.976807,1.191705
-179.993011,1.198485
-180.981888,1.205291
-181.998260,1.212009
-182.987030,1.218725
-184.003342,1.225430
-184.992157,1.232206
-185.981033,1.238638
-186.997345,1.245689
-187.986160,1.252310
-189.002487,1.259222
-189.991287,1.265720
-190.980164,1.272521
-191.996368,1.279327
-192.985306,1.285811
-194.001617,1.292851
-194.990387,1.299484
-195.979248,1.306128
-196.995514,1.312965
-197.984390,1.319658
-199.000702,1.326498
-199.989532,1.333200
-200.978394,1.339884
-201.994644,1.346477
-202.983521,1.353352
-203.999786,1.360177
-204.988647,1.366811
-206.004990,1.373727
-206.993790,1.380442
-207.982666,1.386892
-208.998932,1.393914
-209.987793,1.400442
-211.004120,1.407451
-211.992920,1.414066
-212.981796,1.420779
-213.998062,1.427713
-214.986923,1.434175
-216.003265,1.441041
-216.992065,1.447782
-217.980942,1.454570
-218.997208,1.461383
-219.986069,1.467886
-221.002350,1.474850
-221.991211,1.481321
-222.980072,1.488216
-223.996338,1.494906
-224.985199,1.501697
