2,Ferrari 488 GT3 Evo 2020,baseline
Steering Wheel Angle,Yaw Rate
236.019547,1.529666
235.003296,1.522845
234.014542,1.516386
233.025772,1.509968
232.009491,1.503890
231.020752,1.497846
230.004471,1.491596
229.015686,1.485568
227.999451,1.479341
227.010681,1.473200
226.021896,1.467025
225.005646,1.460805
224.016876,1.454612
223.000626,1.448281
222.011841,1.442102
221.023071,1.435877
220.006836,1.429470
219.018051,1.423176
218.001816,1.416514
217.013016,1.410036
216.024261,1.403582
215.007996,1.396932
214.019226,1.390453
213.002960,1.383800
212.014175,1.377323
211.025421,1.370862
210.009140,1.364193
209.020386,1.357802
208.004135,1.351113
207.015366,1.344680
206.026566,1.338199
205.010300,1.331501
204.021530,1.325037
203.005295,1.318464
202.016510,1.311982
201.000275,1.305329
200.011475,1.298763
199.022705,1.292015
198.006454,1.285093
197.017670,1.278317
196.001419,1.271098
195.012619,1.264145
194.023849,1.257120
193.007599,1.250345
192.018814,1.243852
191.002563,1.237108
190.013794,1.230664
189.024994,1.224497
188.008728,1.218195
187.019974,1.212201
186.003708,1.205851
185.014938,1.199370
184.026154,1.192883
183.009888,1.186175
182.021133,1.179450
181.004852,1.172392
180.016098,1.165991
178.999817,1.159458
178.011047,1.152945
177.022247,1.146505
176.005981,1.139824
175.017227,1.133321
174.000961,1.126671
173.012192,1.120154
172.023392,1.113685
171.007111,1.107045
170.018356,1.100498
169.002075,1.093950
168.013321,1.087380
167.024506,1.080989
166.008270,1.074319
165.019485,1.067789
164.003220,1.061068
163.014450,1.054533
162.025650,1.048082
161.009415,1.041451
160.020615,1.035051
159.004333,1.028411
158.015564,1.021855
157.026764,1.015437
156.010544,1.008728
155.021729,1.002273
154.005478,0.995537
153.016708,0.989127
152.000443,0.982521
151.011673,0.975879
150.022858,0.969369
149.006622,0.962810
148.017822,0.956338
147.001556,0.949671
146.012772,0.943247
145.023972,0.936670
144.007736,0.930076
143.018936,0.923513
142.002655,0.916818
141.013901,0.910418
140.025085,0.903958
139.008850,0.897323
138.020050,0.890803
137.003769,0.884104
136.014999,0.877750
135.026199,0.871171
134.009964,0.864453
133.021164,0.857994
132.004913,0.851418
131.016113,0.844924
130.027283,0.838410
129.011078,0.831763
128.022263,0.825346
127.006020,0.818686
126.017204,0.812186
125.000938,0.805557
124.012169,0.799045
123.023369,0.792595
122.007118,0.785951
121.018311,0.779452
120.002029,0.772789
119.013283,0.766356
118.024460,0.759872
117.008224,0.753213
116.019402,0.746878
115.003166,0.740142
114.014351,0.733581
113.025566,0.727064
112.009323,0.720537
111.020508,0.713976
110.004265,0.707371
109.015457,0.700802
108.026642,0.694376
107.010399,0.687774
106.021584,0.681301
105.005371,0.674674
104.016556,0.668203
103.027771,0.661677
102.011497,0.655064
101.022690,0.648491
100.006439,0.641887
99.017632,0.635514
98.001389,0.628840
97.012573,0.622376
96.023758,0.615905
95.007515,0.609275
94.018700,0.602905
93.002457,0.596126
92.013649,0.589653
91.024887,0.583156
90.008591,0.576627
89.019775,0.570195
88.003563,0.563494
87.014717,0.557004
86.025963,0.550623
85.009674,0.543888
84.020859,0.537478
83.004631,0.530801
82.015800,0.524440
81.027039,0.517903
80.010742,0.511271
79.021935,0.504862
78.005684,0.498232
