2,Ferrari 488 GTE,baseline
Steering Wheel Angle,Yaw Rate
257.003571,1.551074
256.014801,1.544757
254.998566,1.538682
254.009781,1.534013
253.021011,1.529251
252.004791,1.524410
251.015961,1.519515
249.999741,1.514481
249.010956,1.509501
248.022217,1.504445
247.005966,1.499163
246.017166,1.493952
245.000916,1.488266
244.012177,1.482568
243.023422,1.476519
242.007141,1.470314
241.018341,1.464297
240.002121,1.458104
239.013351,1.452077
238.024597,1.445982
237.008316,1.439763
236.019547,1.433726
235.003296,1.427497
234.014542,1.421437
233.025772,1.415429
232.009491,1.409186
231.020752,1.403223
230.004471,1.396813
229.015686,1.390169
227.999451,1.383163
227.010681,1.376127
226.021896,1.368956
225.005646,1.361502
224.016876,1.355619
223.000626,1.349431
222.011841,1.343396
221.023071,1.338256
220.006836,1.332930
219.018051,1.327972
218.001816,1.321783
217.013016,1.315640
216.024261,1.309610
215.007996,1.302544
214.019226,1.296538
213.002960,1.290704
212.014175,1.284450
211.025421,1.278699
210.009140,1.272235
209.020386,1.266125
208.004135,1.259993
207.015366,1.253881
206.026566,1.247740
205.010300,1.241347
204.021530,1.235444
203.005295,1.229435
202.016510,1.223378
201.000275,1.217122
200.011475,1.211204
199.022705,1.205262
198.006454,1.199057
197.017670,1.192877
196.001419,1.186485
195.012619,1.180552
194.023849,1.174630
193.007599,1.168179
192.018814,1.162074
191.002563,1.155965
190.013794,1.150069
189.024994,1.144158
188.008728,1.137907
187.019974,1.131740
186.003708,1.125623
185.014938,1.119583
184.026154,1.113525
183.009888,1.107424
182.021133,1.101369
181.004852,1.095236
180.016098,1.089142
178.999817,1.082921
178.011047,1.076741
177.022247,1.070674
176.005981,1.064383
175.017227,1.058237
174.000961,1.052221
173.012192,1.046449
172.023392,1.040216
171.007111,1.034113
170.018356,1.028107
169.002075,1.021745
168.013321,1.015594
167.024506,1.009564
166.008270,1.003470
165.019485,0.997483
164.003220,0.991319
163.014450,0.985270
162.025650,0.979180
161.009415,0.972975
160.020615,0.967096
159.004333,0.960926
158.015564,0.954837
157.026764,0.948812
156.010544,0.942549
155.021729,0.936491
154.005478,0.930300
153.016708,0.924365
152.000443,0.918424
151.011673,0.912438
150.022858,0.906307
149.006622,0.900114
148.017822,0.894015
147.001556,0.887792
146.012772,0.881807
145.023972,0.875943
144.007736,0.869683
143.018936,0.863607
142.002655,0.857275
141.013901,0.851247
140.025085,0.845177
139.008850,0.839091
138.020050,0.833157
137.003769,0.827022
136.014999,0.820743
135.026199,0.814659
134.009964,0.808518
133.021164,0.802684
132.004913,0.796480
131.016113,0.790351
130.027283,0.784439
129.011078,0.778161
128.022263,0.772283
127.006020,0.766052
126.017204,0.759945
125.000938,0.753673
124.012169,0.747686
123.023369,0.741910
122.007118,0.735484
121.018311,0.729400
120.002029,0.723232
119.013283,0.717154
118.024460,0.711262
117.008224,0.704938
116.019402,0.698973
115.003166,0.692838
114.014351,0.686933
113.025566,0.680703
112.009323,0.674498
111.020508,0.668467
110.004265,0.662297
109.015457,0.656387
108.026642,0.650147
107.010399,0.643929
106.021584,0.637956
105.005371,0.631746
104.016556,0.625735
103.027771,0.619655
102.011497,0.613510
101.022690,0.607473
100.006439,0.601255
99.017632,0.595346
98.001389,0.589055
97.012573,0.582977
96.023758,0.576911
95.007515,0.570682
94.018700,0.564732
93.002457,0.558705
92.013649,0.552507
91.024887,0.546681
90.008591,0.540394
89.019775,0.534282
88.003563,0.528186
87.014717,0.522221
86.025963,0.515989
85.009674,0.509796
84.020859,0.503699
83.004631,0.497554
82.015800,0.491630
81.027039,0.485603
80.010742,0.479328
79.021935,0.473362
78.005684,0.466936
77.016876,0.461018
76.000633,0.454893
75.011818,0.448840
74.023056,0.442810
73.006760,0.436548
72.017944,0.430393
71.001701,0.424258
70.012894,0.418453
69.024109,0.412350
68.007835,0.406096
67.018997,0.399958
66.002754,0.393883
65.013939,0.387761
64.025177,0.381798
63.008881,0.375626
62.020069,0.369718
61.003826,0.363432
60.015011,0.357353
59.026226,0.351277
58.009926,0.345057
57.021172,0.339281
56.004875,0.332985
55.016060,0.326799
54.027275,0.320863
53.011005,0.314596
52.022217,0.308534
51.005924,0.302548
50.017109,0.296543
49.000866,0.290370
48.012054,0.284325
47.023270,0.278180
46.006969,0.272014
45.018211,0.265926
44.001915,0.259696
43.013073,0.253679
42.024315,0.247736
41.008018,0.241608
40.019230,0.235606
39.002964,0.229280
38.014122,0.223279
37.025364,0.217207
36.009068,0.211141
35.020279,0.205067
34.003983,0.198821
33.015167,0.192735
32.026382,0.186909
31.010088,0.180611
30.021326,0.174586
29.005032,0.168533
28.016247,0.162390
27.027433,0.156424
26.011137,0.150185
25.022348,0.144214
24.006052,0.137874
23.017294,0.131853
22.000998,0.125587
21.012157,0.119690
20.023371,0.113672
19.007101,0.107585
18.018314,0.101413
17.002018,0.095312
16.013233,0.089302
15.024419,0.083236
14.008123,0.077147
13.019336,0.071057
12.003040,0.064877
11.014254,0.058774
10.025441,0.052675
9.009144,0.046658
8.020358,0.040572
7.004062,0.034261
6.015275,0.028789
5.026462,0.024049
4.010166,0.019255
3.021353,0.014507
2.005083,0.009639
1.016323,0.004959
0.000000,0.001630
-0.988760,0.004628
-1.977626,0.009285
-2.993896,0.014142
-3.982709,0.018942
-4.998979,0.023764
-5.987792,0.028442
-6.976604,0.035038
-7.992875,0.041223
-8.981688,0.047381
-9.997957,0.053589
-10.986771,0.059590
-11.975583,0.065576
-12.991853,0.071869
-13.980665,0.077752
-14.996989,0.083958
-15.985749,0.090163
-16.974613,0.096267
-17.990831,0.102353
-18.979698,0.108196
-19.995966,0.114438
-20.984779,0.120448
-21.973593,0.126650
-22.989862,0.132831
-23.978676,0.138747
-24.994999,0.144836
-25.983759,0.150902
-27.000082,0.157170
-27.988842,0.163089
-28.977654,0.169234
-29.993923,0.175216
-30.982737,0.181436
-31.999060,0.187604
-32.987873,0.193626
-33.976685,0.199621
-34.992954,0.205916
-35.981770,0.211753
-36.998093,0.217996
-37.986855,0.224122
-38.975719,0.230096
-39.991932,0.236274
-40.980801,0.242377
-41.997017,0.248655
-42.985882,0.254603
-43.974697,0.260732
-44.990967,0.266726
-45.979778,0.272820
-46.996048,0.279072
-47.984913,0.284953
-48.973728,0.290971
-49.989998,0.297266
-50.978813,0.303193
-51.995083,0.309508
-52.983894,0.315560
-54.000217,0.321750
-54.989029,0.327646
-55.977844,0.333637
-56.994110,0.339917
-57.982929,0.346173
-58.999199,0.352073
-59.988010,0.358224
-60.976871,0.364104
-61.993145,0.370460
-62.981956,0.376514
-63.998226,0.382709
-64.987038,0.388545
-65.975906,0.394733
-66.992180,0.400726
-67.980995,0.406873
-68.997253,0.412948
-69.986069,0.418982
-70.974884,0.425226
-71.991211,0.431392
-72.980019,0.437447
-73.996292,0.443536
-74.985161,0.449706
-75.973915,0.455592
-76.990234,0.461922
-77.979050,0.467946
-78.995323,0.473995
-79.984192,0.480082
-81.000404,0.486207
-81.989273,0.492426
-82.978142,0.498174
-83.994354,0.504533
-84.983215,0.510574
-85.999489,0.516736
-86.988304,0.522844
-87.977112,0.528745
-88.993439,0.535058
-89.982254,0.541125
-90.998520,0.547380
-91.987381,0.553336
-92.976151,0.559368
-93.992470,0.565557
-94.981339,0.571688
-95.997551,0.577871
-96.986420,0.583886
-97.975182,0.589801
-98.991501,0.596066
-99.980316,0.602288
-100.996635,0.608314
-101.985451,0.614081
-103.001717,0.620537
-103.990585,0.626591
