2,Ferrari 499P,baseline
Steering Wheel Angle,Yaw Rate
270.022430,1.989783
269.006195,1.982330
268.017395,1.975404
267.001190,1.968661
266.012421,1.962006
265.023651,1.955303
264.007385,1.948420
263.018616,1.941693
262.002350,1.894085
261.013611,1.865957
260.024841,1.861734
259.008575,1.854960
258.019806,1.848658
257.003571,1.852092
256.014801,1.844915
254.998566,1.838243
254.009781,1.831765
253.021011,1.825219
252.004791,1.818409
251.015961,1.811707
249.999741,1.804594
249.010956,1.789683
248.022217,1.780885
247.005966,1.773645
246.017166,1.766583
245.000916,1.759440
244.012177,1.752396
243.023422,1.745366
242.007141,1.738267
241.018341,1.740330
240.002121,1.773719
239.013351,1.766935
238.024597,1.759529
237.008316,1.751945
236.019547,1.744503
235.003296,1.736874
234.014542,1.729481
233.025772,1.722074
232.009491,1.714483
231.020752,1.707092
230.004471,1.699496
229.015686,1.692138
227.999451,1.684544
227.010681,1.677197
226.021896,1.669856
225.005646,1.662128
224.016876,1.654466
223.000626,1.646439
222.011841,1.638398
221.023071,1.630237
220.006836,1.621985
219.018051,1.613721
218.001816,1.605264
217.013016,1.596896
216.024261,1.588999
215.007996,1.581443
214.019226,1.573920
213.002960,1.566200
212.014175,1.559651
211.025421,1.552988
210.009140,1.545985
209.020386,1.539271
208.004135,1.532246
207.015366,1.525417
206.026566,1.518561
205.010300,1.511023
204.021530,1.503638
203.005295,1.496017
202.016510,1.488546
201.000275,1.480391
200.011475,1.472342
199.022705,1.464298
198.006454,1.456494
197.017670,1.449167
196.001419,1.441538
195.012619,1.434766
194.023849,1.427724
193.007599,1.420182
192.018814,1.412793
191.002563,1.404853
190.013794,1.397547
189.024994,1.390228
188.008728,1.382533
187.019974,1.375221
186.003708,1.367622
185.014938,1.360202
184.026154,1.352960
183.009888,1.345354
182.021133,1.338098
181.004852,1.330269
180.016098,1.322970
178.999817,1.315570
178.011047,1.308188
177.022247,1.300908
176.005981,1.293186
175.017227,1.285856
174.000961,1.278335
173.012192,1.270929
172.023392,1.263640
171.007111,1.256068
170.018356,1.248924
169.002075,1.241195
168.013321,1.233928
167.024506,1.226508
166.008270,1.219006
165.019485,1.211726
164.003220,1.203991
163.014450,1.196672
162.025650,1.189365
161.009415,1.181912
160.020615,1.174559
159.004333,1.167050
158.015564,1.159721
157.026764,1.152492
156.010544,1.144735
155.021729,1.137541
154.005478,1.129907
153.016708,1.122688
152.000443,1.115139
151.011673,1.107868
150.022858,1.100565
149.006622,1.093047
148.017822,1.085651
147.001556,1.078272
146.012772,1.070805
145.023972,1.063514
144.007736,1.056063
143.018936,1.048871
142.002655,1.041269
141.013901,1.033867
140.025085,1.026553
139.008850,1.019085
138.020050,1.011780
137.003769,1.004255
136.014999,0.997138
135.026199,0.989564
134.009964,0.982178
133.021164,0.974840
132.004913,0.967307
131.016113,0.960158
130.027283,0.952714
129.011078,0.945217
128.022263,0.938069
127.006020,0.930447
126.017204,0.923187
125.000938,0.915679
124.012169,0.908424
123.023369,0.901081
122.007118,0.893713
121.018311,0.886286
120.002029,0.878764
119.013283,0.871610
118.024460,0.864160
117.008224,0.856760
116.019402,0.849415
115.003166,0.841966
114.014351,0.834737
113.025566,0.827423
112.009323,0.819930
111.020508,0.812702
110.004265,0.805264
109.015457,0.797911
108.026642,0.790644
107.010399,0.783289
106.021584,0.775830
105.005371,0.768391
104.016556,0.761100
103.027771,0.753870
102.011497,0.746498
101.022690,0.739029
100.006439,0.731612
99.017632,0.724422
98.001389,0.716866
97.012573,0.709626
