2,Ford F150,limerock_2019_gp
Steering Wheel Angle,Yaw Rate
363.021423,2.840329
362.005157,2.826926
361.016418,2.832099
360.000214,2.831547
359.011444,2.733901
357.995178,2.756690
357.006439,2.756174
356.017670,2.755497
355.001465,2.753127
354.012695,2.749531
352.996490,2.781506
352.007721,2.801911
351.018951,2.797599
350.002716,2.790193
349.013947,2.781120
347.997711,2.768367
347.008942,2.753592
346.020203,2.736499
345.003998,2.721819
344.015228,2.709307
342.998962,2.701595
342.010223,2.692668
341.021454,2.690971
340.005219,2.689617
339.016449,2.685688
338.000214,2.677810
337.011475,2.669075
336.022736,2.653911
335.006500,2.647039
334.017700,2.641832
333.001465,2.633626
332.012726,2.625471
330.996490,2.616909
330.007721,2.608032
329.018951,2.601279
328.002747,2.590595
327.013977,2.584409
325.997711,2.575836
325.008972,2.567846
324.020203,2.559811
323.003998,2.551541
322.015228,2.543369
320.998962,2.534573
320.010193,2.527527
319.021454,2.518909
318.005219,2.511203
317.016479,2.503032
316.000183,2.494333
315.011414,2.486904
314.022675,2.478440
313.006470,2.470254
312.017700,2.462372
311.001404,2.453836
310.012665,2.445235
309.023926,2.437919
308.007690,2.429517
307.018921,2.421950
306.002686,2.414032
305.013916,2.405117
303.997681,2.397312
303.008911,2.389127
302.020142,2.380951
301.003906,2.371965
300.015137,2.364380
298.998901,2.355350
298.010132,2.349024
297.021332,2.340172
296.005127,2.331863
295.016357,2.324546
294.000153,2.316020
293.011322,2.307598
292.022583,2.300172
291.006378,2.291898
290.017578,2.283651
289.001343,2.275516
288.012573,2.267754
287.023834,2.259761
286.007568,2.250638
285.018768,2.243261
284.002563,2.235415
283.013824,2.227787
281.997528,2.219113
281.008789,2.210726
280.020020,2.203063
279.003784,2.194230
278.014984,2.186699
276.998779,2.178124
276.010010,2.170618
275.021179,2.163181
274.005005,2.155342
273.016235,2.146904
271.999969,2.138333
271.011169,2.130215
270.022430,2.122523
269.006195,2.113923
268.017395,2.106482
267.001190,2.098552
266.012421,2.090034
265.023651,2.082886
264.007385,2.073669
263.018616,2.066272
262.002350,2.058336
261.013611,2.049988
260.024841,2.041600
259.008575,2.033854
258.019806,2.025936
257.003571,2.018377
256.014801,2.009947
254.998566,2.002613
254.009781,1.994179
253.021011,1.986728
252.004791,1.977193
251.015961,1.970230
249.999741,1.962286
249.010956,1.953702
248.022217,1.946336
247.005966,1.937394
246.017166,1.930022
245.000916,1.922101
244.012177,1.913483
243.023422,1.906706
242.007141,1.897243
241.018341,1.890539
240.002121,1.881893
239.013351,1.874420
238.024597,1.865781
237.008316,1.859020
236.019547,1.849855
235.003296,1.842218
234.014542,1.834365
233.025772,1.826661
232.009491,1.818515
231.020752,1.810110
230.004471,1.803057
229.015686,1.794629
227.999451,1.786622
227.010681,1.778545
226.021896,1.770445
225.005646,1.762673
224.016876,1.755369
223.000626,1.747225
222.011841,1.738512
221.023071,1.731857
220.006836,1.722547
219.018051,1.715477
218.001816,1.706509
217.013016,1.700489
216.024261,1.691733
215.007996,1.683730
214.019226,1.675329
213.002960,1.668118
212.014175,1.659799
211.025421,1.652345
210.009140,1.644124
209.020386,1.636407
208.004135,1.627918
207.015366,1.620327
206.026566,1.611726
205.010300,1.604333
204.021530,1.596022
203.005295,1.588832
202.016510,1.580742
201.000275,1.572502
200.011475,1.563659
199.022705,1.557844
198.006454,1.549005
197.017670,1.540839
196.001419,1.533226
195.012619,1.524614
194.023849,1.517432
193.007599,1.509167
192.018814,1.501201
191.002563,1.493511
190.013794,1.485909
189.024994,1.477805
188.008728,1.469527
187.019974,1.461744
186.003708,1.453483
185.014938,1.446456
184.026154,1.438198
183.009888,1.430293
182.021133,1.422536
181.004852,1.414801
180.016098,1.406824
178.999817,1.397860
178.011047,1.391766
177.022247,1.382095
176.005981,1.375639
175.017227,1.367150
174.000961,1.359143
173.012192,1.351024
172.023392,1.343403
171.007111,1.334222
170.018356,1.328509
169.002075,1.318996
168.013321,1.312366
167.024506,1.304279
166.008270,1.296138
165.019485,1.288668
164.003220,1.279931
163.014450,1.272905
162.025650,1.265081
161.009415,1.256781
160.020615,1.248090
159.004333,1.242070
158.015564,1.232479
157.026764,1.224188
156.010544,1.217295
155.021729,1.211193
154.005478,1.202059
153.016708,1.193851
152.000443,1.186838
151.011673,1.177537
150.022858,1.170713
