2,Ford Falcon FG01 V8,baseline
Steering Wheel Angle,Yaw Rate
209.020386,1.662301
208.004135,1.655033
207.015366,1.648031
206.026566,1.637730
205.010300,1.627896
204.021530,1.616497
203.005295,1.604348
202.016510,1.594641
201.000275,1.583721
200.011475,1.574478
199.022705,1.565327
198.006454,1.558579
197.017670,1.550470
196.001419,1.541648
195.012619,1.531414
194.023849,1.523269
193.007599,1.514052
192.018814,1.504916
191.002563,1.495752
190.013794,1.486949
189.024994,1.477998
188.008728,1.468768
187.019974,1.460018
186.003708,1.450753
185.014938,1.441854
184.026154,1.433057
183.009888,1.423847
182.021133,1.414970
181.004852,1.405884
180.016098,1.396851
178.999817,1.387882
178.011047,1.379022
177.022247,1.370003
176.005981,1.360975
175.017227,1.352163
174.000961,1.343058
173.012192,1.334367
172.023392,1.325481
171.007111,1.316260
170.018356,1.307510
169.002075,1.298513
168.013321,1.289904
167.024506,1.280983
166.008270,1.271951
165.019485,1.263239
164.003220,1.254118
163.014450,1.245639
162.025650,1.236960
161.009415,1.228141
160.020615,1.219070
159.004333,1.210238
158.015564,1.201456
157.026764,1.192726
156.010544,1.183712
155.021729,1.175339
154.005478,1.166114
153.016708,1.157403
152.000443,1.148433
151.011673,1.139230
150.022858,1.130688
149.006622,1.121919
148.017822,1.113264
147.001556,1.104349
146.012772,1.096078
145.023972,1.087597
144.007736,1.078825
143.018936,1.070150
142.002655,1.060883
141.013901,1.052442
140.025085,1.043994
139.008850,1.035182
138.020050,1.026684
137.003769,1.017794
136.014999,1.009582
135.026199,1.001332
134.009964,0.992619
133.021164,0.984245
132.004913,0.974982
131.016113,0.966180
130.027283,0.957918
129.011078,0.949435
128.022263,0.940965
127.006020,0.932407
126.017204,0.924192
125.000938,0.915512
124.012169,0.907251
123.023369,0.899032
122.007118,0.890735
121.018311,0.882940
120.002029,0.873924
119.013283,0.866197
118.024460,0.857665
117.008224,0.849215
116.019402,0.841106
115.003166,0.832852
114.014351,0.824880
113.025566,0.816830
112.009323,0.808579
111.020508,0.800133
110.004265,0.791989
109.015457,0.784032
108.026642,0.776009
107.010399,0.767712
106.021584,0.759839
105.005371,0.751464
104.016556,0.743462
103.027771,0.736449
102.011497,0.729052
101.022690,0.722011
100.006439,0.714808
99.017632,0.707621
98.001389,0.700320
97.012573,0.693101
96.023758,0.686047
95.007515,0.678717
94.018700,0.671617
93.002457,0.664319
92.013649,0.657107
91.024887,0.650083
90.008591,0.642714
89.019775,0.635584
88.003563,0.628196
87.014717,0.621208
86.025963,0.614114
85.009674,0.606756
84.020859,0.599580
83.004631,0.592176
82.015800,0.585037
81.027039,0.577883
80.010742,0.570702
79.021935,0.563679
78.005684,0.556268
77.016876,0.549185
76.000633,0.541873
75.011818,0.534750
74.023056,0.527657
73.006760,0.520250
72.017944,0.513091
71.001701,0.505760
70.012894,0.498694
69.024109,0.491631
68.007835,0.484255
67.018997,0.477123
66.002754,0.469827
65.013939,0.462690
64.025177,0.455642
63.008881,0.448279
62.020069,0.441202
61.003826,0.433802
60.015011,0.426693
59.026226,0.419595
58.009926,0.412307
57.021172,0.405202
56.004875,0.397885
55.016060,0.390785
54.027275,0.383729
53.011005,0.376442
