2,Ford Fiesta RS WRC,baseline
Steering Wheel Angle,Yaw Rate
217.013016,1.352024
216.024261,1.349727
215.007996,1.335395
214.019226,1.320199
213.002960,1.311279
212.014175,1.303150
211.025421,1.293001
210.009140,1.283292
209.020386,1.276385
208.004135,1.269455
207.015366,1.265566
206.026566,1.264639
205.010300,1.262533
204.021530,1.255332
203.005295,1.240572
202.016510,1.229075
201.000275,1.222865
200.011475,1.220958
199.022705,1.218881
198.006454,1.206578
197.017670,1.197474
196.001419,1.189165
195.012619,1.186739
194.023849,1.180715
193.007599,1.169547
192.018814,1.160992
191.002563,1.160188
190.013794,1.152935
189.024994,1.138582
188.008728,1.135506
187.019974,1.133452
186.003708,1.120179
185.014938,1.112467
184.026154,1.112828
183.009888,1.098394
182.021133,1.092761
181.004852,1.088983
180.016098,1.076216
178.999817,1.073154
178.011047,1.064603
177.022247,1.057346
176.005981,1.052223
175.017227,1.042114
174.000961,1.037291
173.012192,1.029802
172.023392,1.022593
171.007111,1.013938
170.018356,1.009385
169.002075,0.999046
168.013321,0.994310
167.024506,0.989295
166.008270,0.977370
165.019485,0.974219
164.003220,0.963380
163.014450,0.959216
162.025650,0.949944
161.009415,0.944692
160.020615,0.936890
159.004333,0.929478
158.015564,0.921547
157.026764,0.916483
156.010544,0.907709
155.021729,0.899968
154.005478,0.894951
153.016708,0.889786
152.000443,0.877153
151.011673,0.871953
150.022858,0.866644
149.006622,0.855984
148.017822,0.850571
147.001556,0.845765
146.012772,0.836008
145.023972,0.827504
144.007736,0.823265
143.018936,0.813919
142.002655,0.805369
141.013901,0.802150
140.025085,0.795828
139.008850,0.786686
138.020050,0.778469
137.003769,0.770087
136.014999,0.764746
135.026199,0.757070
134.009964,0.749340
133.021164,0.741841
132.004913,0.734183
131.016113,0.727357
130.027283,0.720422
129.011078,0.714359
128.022263,0.707932
127.006020,0.700253
126.017204,0.692621
125.000938,0.686319
124.012169,0.680386
123.023369,0.674277
122.007118,0.667688
121.018311,0.663493
120.002029,0.657970
119.013283,0.652372
118.024460,0.646199
117.008224,0.639144
116.019402,0.630330
115.003166,0.622909
114.014351,0.616700
113.025566,0.609601
112.009323,0.603970
111.020508,0.597198
110.004265,0.591183
109.015457,0.584696
108.026642,0.578636
107.010399,0.572851
106.021584,0.566744
105.005371,0.562079
104.016556,0.554321
103.027771,0.546993
102.011497,0.539860
101.022690,0.533251
100.006439,0.527042
99.017632,0.520833
98.001389,0.514381
97.012573,0.508265
96.023758,0.502143
95.007515,0.496588
94.018700,0.492693
93.002457,0.483848
92.013649,0.476321
91.024887,0.470426
90.008591,0.464169
89.019775,0.459660
88.003563,0.451212
87.014717,0.447278
86.025963,0.439069
85.009674,0.432270
84.020859,0.426482
83.004631,0.418820
82.015800,0.413288
81.027039,0.407554
80.010742,0.400037
79.021935,0.394387
78.005684,0.387339
77.016876,0.381450
76.000633,0.375086
75.011818,0.368621
74.023056,0.362150
73.006760,0.355829
72.017944,0.349782
71.001701,0.343284
70.012894,0.336884
69.024109,0.330629
68.007835,0.324299
67.018997,0.317999
66.002754,0.311609
65.013939,0.305398
64.025177,0.299192
63.008881,0.292722
62.020069,0.286637
61.003826,0.280205
60.015011,0.274029
59.026226,0.267793
58.009926,0.261310
57.021172,0.255260
56.004875,0.248818
55.016060,0.242754
54.027275,0.236454
53.011005,0.230070
52.022217,0.223942
51.005924,0.217533
50.017109,0.211380
49.000866,0.205108
48.012054,0.198913
47.023270,0.192733
46.006969,0.186323
45.018211,0.180193
44.001915,0.173806
43.013073,0.167662
42.024315,0.161594
41.008018,0.155289
40.019230,0.149207
39.002964,0.142792
38.014122,0.136819
37.025364,0.130618
36.009068,0.124325
35.020279,0.118131
34.003983,0.112330
33.015167,0.105826
32.026382,0.099767
31.010088,0.093449
30.021326,0.087493
29.005032,0.081129
28.016247,0.075045
27.027433,0.069020
26.011137,0.062897
25.022348,0.057294
24.006052,0.052528
23.017294,0.049826
22.000998,0.046999
21.012157,0.044385
20.023371,0.041686
19.007101,0.038836
18.018314,0.036113
