2,Ford GT GT3,baseline
Steering Wheel Angle,Yaw Rate
229.015686,1.555362
227.999451,1.548721
227.010681,1.544605
226.021896,1.540298
225.005646,1.535488
224.016876,1.530620
223.000626,1.525636
222.011841,1.520097
221.023071,1.513241
220.006836,1.503186
219.018051,1.499044
218.001816,1.491612
217.013016,1.482859
216.024261,1.478454
215.007996,1.471160
214.019226,1.464081
213.002960,1.456945
212.014175,1.450030
211.025421,1.443210
210.009140,1.436123
209.020386,1.429168
208.004135,1.422175
207.015366,1.415292
206.026566,1.408377
205.010300,1.401295
204.021530,1.394411
203.005295,1.387051
202.016510,1.379012
201.000275,1.370304
200.011475,1.363284
199.022705,1.356410
198.006454,1.349328
197.017670,1.343974
196.001419,1.337116
195.012619,1.330262
194.023849,1.323132
193.007599,1.315931
192.018814,1.308774
191.002563,1.302501
190.013794,1.295230
189.024994,1.288375
188.008728,1.281144
187.019974,1.274209
186.003708,1.267597
185.014938,1.260578
184.026154,1.253759
183.009888,1.246643
182.021133,1.240019
181.004852,1.232712
180.016098,1.226602
178.999817,1.219097
178.011047,1.211991
177.022247,1.205847
176.005981,1.198332
175.017227,1.191537
174.000961,1.184392
173.012192,1.177643
172.023392,1.170814
171.007111,1.163582
170.018356,1.156727
169.002075,1.149788
168.013321,1.143439
167.024506,1.136565
166.008270,1.129293
165.019485,1.122459
164.003220,1.115796
163.014450,1.108740
162.025650,1.101778
161.009415,1.094804
160.020615,1.087730
159.004333,1.080720
158.015564,1.074026
157.026764,1.067095
156.010544,1.060320
155.021729,1.053498
154.005478,1.046466
153.016708,1.039401
152.000443,1.033002
151.011673,1.025807
150.022858,1.018738
149.006622,1.012017
148.017822,1.005122
147.001556,0.998085
146.012772,0.991580
145.023972,0.984278
144.007736,0.977859
143.018936,0.970692
142.002655,0.963524
141.013901,0.956990
140.025085,0.950044
139.008850,0.943351
138.020050,0.936163
137.003769,0.929566
136.014999,0.922558
135.026199,0.915503
134.009964,0.908367
133.021164,0.901733
132.004913,0.894613
131.016113,0.888241
130.027283,0.881502
129.011078,0.874086
128.022263,0.867715
127.006020,0.860413
126.017204,0.853446
125.000938,0.846354
124.012169,0.839653
123.023369,0.833005
122.007118,0.826018
121.018311,0.819077
120.002029,0.812223
119.013283,0.805184
118.024460,0.798822
117.008224,0.791589
116.019402,0.784522
115.003166,0.777518
114.014351,0.770769
113.025566,0.764259
112.009323,0.757266
111.020508,0.750151
110.004265,0.743632
109.015457,0.736585
108.026642,0.729576
107.010399,0.722872
106.021584,0.715911
105.005371,0.709088
104.016556,0.702193
103.027771,0.695084
102.011497,0.688280
101.022690,0.681395
100.006439,0.674421
99.017632,0.667574
98.001389,0.660870
97.012573,0.653638
96.023758,0.646877
95.007515,0.639977
94.018700,0.633375
93.002457,0.626111
92.013649,0.619345
91.024887,0.612701
90.008591,0.605469
89.019775,0.598771
88.003563,0.591688
87.014717,0.585342
86.025963,0.578137
85.009674,0.571552
84.020859,0.564252
83.004631,0.557721
82.015800,0.550984
81.027039,0.543849
80.010742,0.536680
79.021935,0.530227
78.005684,0.523076
77.016876,0.516167
76.000633,0.509241
75.011818,0.502678
74.023056,0.495620
73.006760,0.488546
72.017944,0.482110
71.001701,0.474748
70.012894,0.468228
69.024109,0.461188
68.007835,0.454418
67.018997,0.447373
66.002754,0.440645
65.013939,0.433643
64.025177,0.427175
63.008881,0.419752
62.020069,0.413178
61.003826,0.406009
60.015011,0.399240
59.026226,0.392719
58.009926,0.385413
57.021172,0.378856
56.004875,0.371617
55.016060,0.365059
54.027275,0.358171
53.011005,0.351192
52.022217,0.344338
51.005924,0.337090
50.017109,0.330668
49.000866,0.323578
48.012054,0.316609
47.023270,0.310127
46.006969,0.302867
45.018211,0.296471
44.001915,0.289062
43.013073,0.282659
42.024315,0.275522
41.008018,0.268686
40.019230,0.261683
39.002964,0.255047
38.014122,0.247914
37.025364,0.241042
36.009068,0.234587
35.020279,0.227305
34.003983,0.220368
33.015167,0.213880
32.026382,0.206695
31.010088,0.199799
30.021326,0.192872
29.005032,0.186213
28.016247,0.179332
27.027433,0.172637
26.011137,0.165471
25.022348,0.158894
24.006052,0.151718
23.017294,0.144987
22.000998,0.137933
21.012157,0.131181
20.023371,0.124381
19.007101,0.117299
18.018314,0.110790
17.002018,0.104506
16.013233,0.098444
15.024419,0.092318
14.008123,0.086091
13.019336,0.080057
12.003040,0.073762
11.014254,0.067685
10.025441,0.061653
9.009144,0.055354
8.020358,0.049313
7.004062,0.043125
6.015275,0.037079
5.026462,0.030921
4.010166,0.024670
3.021353,0.018591
2.005083,0.012353
1.016323,0.006279
0.000000,0.001938
-0.988760,0.006007
-1.977626,0.012074
-2.993896,0.018336
-3.982709,0.024474
-4.998979,0.030642
-5.987792,0.036739
-6.976604,0.042845
-7.992875,0.048974
-8.981688,0.055115
-9.997957,0.061378
-10.986771,0.067382
-11.975583,0.073531
-12.991853,0.079753
-13.980665,0.085855
-14.996989,0.092045
-15.985749,0.098184
-16.974613,0.104220
-17.990831,0.110526
-18.979698,0.117493
-19.995966,0.124561
-20.984779,0.131121
-21.973593,0.138130
-22.989862,0.145120
-23.978676,0.151848
-24.994999,0.159061
-25.983759,0.165644
-27.000082,0.172640
-27.988842,0.179545
-28.977654,0.186100
-29.993923,0.193234
-30.982737,0.199846
-31.999060,0.207036
-32.987873,0.213583
-33.976685,0.220591
-34.992954,0.227758
-35.981770,0.234164
-36.998093,0.241501
-37.986855,0.247994
-38.975719,0.255131
-39.991932,0.262104
-40.980801,0.268542
-41.997017,0.275895
-42.985882,0.282662
-43.974697,0.289188
-44.990967,0.296336
-45.979778,0.303146
-46.996048,0.310031
-47.984913,0.317044
-48.973728,0.323464
-49.989998,0.330808
-50.978813,0.337376
-51.995083,0.344517
-52.983894,0.351254
-54.000217,0.358283
-54.989029,0.364784
-55.977844,0.371952
-56.994110,0.378982
-57.982929,0.385533
-58.999199,0.392695
-59.988010,0.399487
-60.976871,0.406174
-61.993145,0.413245
-62.981956,0.419984
-63.998226,0.427093
-64.987038,0.433831
-65.975906,0.440585
-66.992180,0.447446
-67.980995,0.454631
-68.997253,0.461228
-69.986069,0.468327
-70.974884,0.474914
-71.991211,0.482163
-72.980019,0.489061
-73.996292,0.495557
-74.985161,0.502637
-75.973915,0.509619
-76.990234,0.516168
-77.979050,0.523249
-78.995323,0.530272
-79.984192,0.537217
-81.000404,0.544082
-81.989273,0.550514
-82.978142,0.557660
-83.994354,0.564349
-84.983215,0.571405
-85.999489,0.578578
-86.988304,0.585046
-87.977112,0.591967
-88.993439,0.598966
-89.982254,0.605672
-90.998520,0.612943
-91.987381,0.619780
-92.976151,0.626153
-93.992470,0.633447
-94.981339,0.640415
-95.997551,0.646964
-96.986420,0.654040
-97.975182,0.660682
-98.991501,0.667624
-99.980316,0.674656
-100.996635,0.681616
-101.985451,0.688586
-103.001717,0.695636
-103.990585,0.702399
-104.979347,0.709023
-105.995674,0.716221
-106.984535,0.722730
-108.000801,0.729952
-108.989616,0.736321
-109.978432,0.743497
-110.994759,0.750567
-111.983620,0.757419
-112.999840,0.764070
-113.988701,0.771274
-114.977516,0.777579
-115.993790,0.785012
-116.982597,0.791801
-117.998917,0.798815
-118.987793,0.805486
-119.976540,0.812425
-120.992874,0.819432
-121.981682,0.826156
-122.998009,0.833465
-123.986816,0.839715
-124.975624,0.846690
-125.991959,0.853890
-126.980713,0.860670
-127.997040,0.867208
-128.985855,0.874443
-130.002182,0.881565
-130.991043,0.888385
-131.979797,0.895132
-132.996124,0.902184
-133.984924,0.908455
-135.001266,0.915777
-135.990128,0.922771
-136.978897,0.929637
-137.995209,0.936461
-138.984009,0.943181
-140.000351,0.950457
-140.989212,0.957287
-141.977966,0.963813
-142.994293,0.971141
-143.983093,0.977364
-144.999435,0.984706
-145.988190,0.991589
-146.977051,0.998331
-147.993378,1.005361
-148.982193,1.012134
-149.998520,1.019341
-150.987274,1.026008
-151.976135,1.033089
-152.992462,1.039719
-153.981277,1.046570
-154.997604,1.053830
-155.986404,1.060604
-157.002731,1.067596
-157.991592,1.074362
-158.980362,1.081239
-159.996674,1.088160
-160.985504,1.095178
-162.001816,1.102167
-162.990631,1.108721
-163.979446,1.115882
-164.995819,1.122168
-165.984589,1.129207
-167.000900,1.136606
-167.989716,1.143140
-168.978577,1.150256
-169.994904,1.157296
-170.983719,1.164161
-172.000046,1.171039
-172.988800,1.178171
-173.977661,1.184458
-174.993927,1.191611
-175.982803,1.198703
-176.999130,1.205440
-177.987946,1.212529
-178.976807,1.219439
-179.993011,1.226344
-180.981888,1.233253
-181.998260,1.240300
-182.987030,1.247258
-184.003342,1.253625
-184.992157,1.260682
-185.981033,1.267912
-186.997345,1.274205
-187.986160,1.281519
-189.002487,1.288901
-189.991287,1.295559
-190.980164,1.302532
-191.996368,1.309291
-192.985306,1.316325
-194.001617,1.323499
-194.990387,1.330272
-195.979248,1.337165
-196.995514,1.344042
-197.984390,1.350612
-199.000702,1.357735
-199.989532,1.364987
-200.978394,1.371368
-201.994644,1.378846
-202.983521,1.385427
-203.999786,1.392391
-204.988647,1.399701
-206.004990,1.406023
-206.993790,1.413233
-207.982666,1.420410
-208.998932,1.426937
-209.987793,1.434010
-211.004120,1.441108
-211.992920,1.448087
-212.981796,1.454429
-213.998062,1.461949
-214.986923,1.468999
-216.003265,1.476139
-216.992065,1.483049
-217.980942,1.489922
-218.997208,1.496571
-219.986069,1.503430
-221.002350,1.510466
-221.991211,1.517624
-222.980072,1.524587
-223.996338,1.531356
-224.985199,1.538051
-226.001480,1.545422
-226.990341,1.551836
-227.979218,1.558575
-228.995483,1.566545
