2,Ford GT GTE,baseline
Steering Wheel Angle,Yaw Rate
257.003571,1.542831
256.014801,1.536840
254.998566,1.530975
254.009781,1.527114
253.021011,1.522908
252.004791,1.518209
251.015961,1.513953
249.999741,1.509209
249.010956,1.504509
248.022217,1.499715
247.005966,1.494583
246.017166,1.489400
245.000916,1.483758
244.012177,1.477791
243.023422,1.471606
242.007141,1.465325
241.018341,1.459138
240.002121,1.452888
239.013351,1.446709
238.024597,1.440497
237.008316,1.434199
236.019547,1.427991
235.003296,1.421162
234.014542,1.414288
233.025772,1.406968
232.009491,1.399263
231.020752,1.391702
230.004471,1.384073
229.015686,1.378233
227.999451,1.372059
227.010681,1.366105
226.021896,1.360835
225.005646,1.356106
224.016876,1.351399
223.000626,1.345503
222.011841,1.339439
221.023071,1.333394
220.006836,1.326627
219.018051,1.319568
218.001816,1.313465
217.013016,1.307921
216.024261,1.301366
215.007996,1.295753
214.019226,1.289582
213.002960,1.283413
212.014175,1.277210
211.025421,1.271241
210.009140,1.264628
209.020386,1.259086
208.004135,1.252412
207.015366,1.246822
206.026566,1.240521
205.010300,1.234309
204.021530,1.228006
203.005295,1.221815
202.016510,1.215738
201.000275,1.209977
200.011475,1.203393
199.022705,1.197513
198.006454,1.191328
197.017670,1.185258
196.001419,1.178671
195.012619,1.172619
194.023849,1.167244
193.007599,1.160436
192.018814,1.154817
191.002563,1.148199
190.013794,1.141974
189.024994,1.136029
188.008728,1.130209
187.019974,1.123930
186.003708,1.117877
185.014938,1.111773
184.026154,1.105221
183.009888,1.099594
182.021133,1.093187
181.004852,1.087247
180.016098,1.081125
178.999817,1.075076
178.011047,1.068290
177.022247,1.062926
176.005981,1.056324
175.017227,1.050300
174.000961,1.044532
173.012192,1.037903
172.023392,1.032408
171.007111,1.026238
170.018356,1.019944
169.002075,1.013703
168.013321,1.007775
167.024506,1.001510
166.008270,0.995377
165.019485,0.989568
164.003220,0.982936
163.014450,0.977053
162.025650,0.971029
161.009415,0.965000
160.020615,0.958664
159.004333,0.952634
158.015564,0.946483
157.026764,0.940844
156.010544,0.934131
155.021729,0.928364
154.005478,0.921933
153.016708,0.916214
152.000443,0.909385
151.011673,0.903890
150.022858,0.897689
149.006622,0.891225
148.017822,0.885487
147.001556,0.879071
146.012772,0.872999
145.023972,0.866641
144.007736,0.860529
143.018936,0.854774
142.002655,0.848568
141.013901,0.842457
140.025085,0.836696
139.008850,0.830203
138.020050,0.824159
137.003769,0.818288
136.014999,0.811597
135.026199,0.806148
134.009964,0.799714
133.021164,0.793524
132.004913,0.787290
131.016113,0.781797
130.027283,0.775414
129.011078,0.769132
128.022263,0.762941
127.006020,0.757057
126.017204,0.750729
125.000938,0.744694
124.012169,0.738673
123.023369,0.732650
122.007118,0.726544
121.018311,0.720096
120.002029,0.713850
119.013283,0.707889
118.024460,0.701925
117.008224,0.695621
116.019402,0.689872
115.003166,0.683607
114.014351,0.677174
113.025566,0.671422
112.009323,0.665059
111.020508,0.658942
110.004265,0.652898
109.015457,0.646756
108.026642,0.640878
107.010399,0.634347
106.021584,0.628443
105.005371,0.622466
104.016556,0.616340
103.027771,0.609991
102.011497,0.603964
101.022690,0.597637
100.006439,0.591568
99.017632,0.585817
98.001389,0.579806
97.012573,0.573441
96.023758,0.567294
95.007515,0.561005
94.018700,0.555010
93.002457,0.549049
92.013649,0.542761
91.024887,0.536724
90.008591,0.530447
89.019775,0.524338
88.003563,0.518224
87.014717,0.512228
86.025963,0.506238
85.009674,0.500007
84.020859,0.493583
83.004631,0.487624
82.015800,0.481637
81.027039,0.475402
80.010742,0.469397
79.021935,0.463190
78.005684,0.457352
77.016876,0.451077
76.000633,0.444538
75.011818,0.439046
74.023056,0.432590
73.006760,0.426356
72.017944,0.420608
71.001701,0.414338
70.012894,0.408344
69.024109,0.402225
68.007835,0.395745
67.018997,0.390115
66.002754,0.383412
65.013939,0.377708
64.025177,0.371668
63.008881,0.365419
62.020069,0.359445
61.003826,0.352997
60.015011,0.347291
59.026226,0.340990
58.009926,0.334621
57.021172,0.328844
56.004875,0.322501
55.016060,0.316452
54.027275,0.310604
53.011005,0.304389
52.022217,0.297897
51.005924,0.292189
50.017109,0.285717
49.000866,0.279627
48.012054,0.273844
47.023270,0.267502
46.006969,0.261239
45.018211,0.255714
44.001915,0.248910
43.013073,0.243214
42.024315,0.236995
41.008018,0.231013
40.019230,0.224795
39.002964,0.218585
38.014122,0.212528
37.025364,0.206753
36.009068,0.200400
35.020279,0.194298
34.003983,0.188390
33.015167,0.182105
32.026382,0.176075
31.010088,0.169809
30.021326,0.163886
29.005032,0.157646
28.016247,0.151847
27.027433,0.145708
26.011137,0.139422
25.022348,0.133381
24.006052,0.126994
23.017294,0.120935
22.000998,0.114756
21.012157,0.108789
20.023371,0.102809
19.007101,0.096431
18.018314,0.090489
17.002018,0.084174
16.013233,0.078305
15.024419,0.072291
14.008123,0.067103
13.019336,0.062424
12.003040,0.057546
11.014254,0.052810
10.025441,0.048092
9.009144,0.043203
8.020358,0.038436
7.004062,0.033618
6.015275,0.028844
5.026462,0.024155
4.010166,0.019284
3.021353,0.014576
2.005083,0.009665
1.016323,0.004966
0.000000,0.001635
-0.988760,0.004650
-1.977626,0.009438
-2.993896,0.014262
-3.982709,0.018860
-4.998979,0.023854
-5.987792,0.028555
-6.976604,0.033239
-7.992875,0.038214
-8.981688,0.042875
-9.997957,0.047775
-10.986771,0.052511
-11.975583,0.057182
-12.991853,0.062108
-13.980665,0.066853
-14.996989,0.072631
-15.985749,0.078862
-16.974613,0.085050
-17.990831,0.091371
-18.979698,0.097401
-19.995966,0.103650
-20.984779,0.109401
-21.973593,0.115238
-22.989862,0.121979
-23.978676,0.127788
-24.994999,0.133909
-25.983759,0.139905
-27.000082,0.146360
-27.988842,0.152335
-28.977654,0.158313
-29.993923,0.164360
-30.982737,0.170576
-31.999060,0.176737
-32.987873,0.182947
-33.976685,0.189113
-34.992954,0.194904
-35.981770,0.201265
-36.998093,0.207169
-37.986855,0.213103
-38.975719,0.219359
-39.991932,0.225759
-40.980801,0.231526
-41.997017,0.237979
-42.985882,0.243943
-43.974697,0.250227
-44.990967,0.256255
-45.979778,0.262071
-46.996048,0.268327
-47.984913,0.274523
-48.973728,0.280424
-49.989998,0.286755
-50.978813,0.292582
-51.995083,0.299161
