2,Ford Mustang Class A,charlotte_2018_2019_roval
Steering Wheel Angle,Yaw Rate
359.011444,2.869157
357.995178,2.860163
357.006439,2.859939
356.017670,2.815228
355.001465,2.788802
354.012695,2.783013
352.996490,2.781145
352.007721,2.778587
351.018951,2.776376
350.002716,2.773685
349.013947,2.770561
347.997711,2.766131
347.008942,2.760042
346.020203,2.753385
345.003998,2.780301
344.015228,2.800337
342.998962,2.795728
342.010223,2.788312
341.021454,2.779357
340.005219,2.767715
339.016449,2.754556
338.000214,2.739823
337.011475,2.724643
336.022736,2.708977
335.006500,2.698140
334.017700,2.689919
333.001465,2.681469
332.012726,2.673242
330.996490,2.672332
330.007721,2.670016
329.018951,2.667061
328.002747,2.659232
327.013977,2.652036
325.997711,2.641696
325.008972,2.627918
324.020203,2.619268
323.003998,2.615887
322.015228,2.606440
320.998962,2.598462
320.010193,2.590481
319.021454,2.582571
318.005219,2.574082
317.016479,2.565884
316.000183,2.557069
315.011414,2.549340
314.022675,2.541278
313.006470,2.533439
312.017700,2.525295
311.001404,2.517416
310.012665,2.509562
309.023926,2.501691
308.007690,2.492947
307.018921,2.484692
306.002686,2.476507
305.013916,2.468701
303.997681,2.460061
303.008911,2.452482
302.020142,2.443266
301.003906,2.436485
300.015137,2.428553
298.998901,2.419377
298.010132,2.410744
297.021332,2.404294
296.005127,2.395584
295.016357,2.387425
294.000153,2.379063
293.011322,2.371255
292.022583,2.364001
291.006378,2.355292
290.017578,2.348027
289.001343,2.339227
288.012573,2.331006
287.023834,2.323752
286.007568,2.315037
285.018768,2.307241
284.002563,2.297853
283.013824,2.291488
281.997528,2.282938
281.008789,2.275395
280.020020,2.266826
279.003784,2.258613
278.014984,2.250815
276.998779,2.241753
276.010010,2.235074
275.021179,2.226148
274.005005,2.218472
273.016235,2.210537
271.999969,2.201976
271.011169,2.194153
270.022430,2.186655
269.006195,2.178286
268.017395,2.170486
267.001190,2.162264
266.012421,2.154061
265.023651,2.146216
264.007385,2.138208
263.018616,2.130188
262.002350,2.121969
261.013611,2.113199
260.024841,2.106213
259.008575,2.097739
258.019806,2.090132
257.003571,2.081289
256.014801,2.074443
254.998566,2.065007
254.009781,2.058470
253.021011,2.049551
252.004791,2.042217
251.015961,2.033670
249.999741,2.026084
249.010956,2.017792
248.022217,2.010178
247.005966,2.001247
246.017166,1.993516
245.000916,1.986040
244.012177,1.976955
243.023422,1.970540
242.007141,1.961522
241.018341,1.954072
240.002121,1.946058
239.013351,1.937686
238.024597,1.930086
237.008316,1.921814
236.019547,1.913674
235.003296,1.905951
234.014542,1.898054
233.025772,1.889898
232.009491,1.881890
231.020752,1.873777
230.004471,1.866010
229.015686,1.857826
227.999451,1.850222
227.010681,1.841692
226.021896,1.834691
225.005646,1.826190
224.016876,1.818453
223.000626,1.809790
222.011841,1.802382
221.023071,1.794343
220.006836,1.785837
219.018051,1.778399
218.001816,1.770381
217.013016,1.762118
216.024261,1.755005
215.007996,1.746234
214.019226,1.738784
213.002960,1.730852
212.014175,1.722910
211.025421,1.714757
210.009140,1.707003
209.020386,1.698484
208.004135,1.690578
207.015366,1.682789
206.026566,1.674820
205.010300,1.666659
204.021530,1.658553
203.005295,1.650495
202.016510,1.642651
201.000275,1.635160
200.011475,1.626659
199.022705,1.618846
198.006454,1.610534
197.017670,1.602711
196.001419,1.595111
195.012619,1.587164
194.023849,1.579175
