2,Ford Mustang Class B,centripetal
Steering Wheel Angle,Yaw Rate
430.009583,2.873262
428.993378,2.866299
428.004639,2.869488
427.015869,2.770902
425.999664,2.797716
425.010895,2.797171
423.994690,2.796713
423.005920,2.823418
422.017181,2.818393
421.000977,2.816365
420.012207,2.815123
418.996002,2.787231
418.007233,2.785356
417.018494,2.778555
416.002289,2.771996
415.013519,2.766574
413.997314,2.760731
413.008545,2.777285
412.019775,2.810155
411.003571,2.809076
410.014801,2.803348
408.998596,2.796462
408.009827,2.788770
406.993622,2.778246
406.004883,2.766074
405.016113,2.735199
403.999908,2.726808
403.011139,2.718740
401.994934,2.711259
401.006165,2.705464
400.017426,2.707254
399.001190,2.706758
398.012421,2.705494
396.996216,2.698791
396.007446,2.691643
395.018738,2.684912
394.002472,2.670669
393.013733,2.663274
391.997498,2.660297
391.008759,2.652711
390.020020,2.644534
389.003754,2.638451
388.015015,2.631195
386.998810,2.624007
386.010040,2.618952
384.993805,2.610566
384.005035,2.604507
383.016296,2.596915
382.000092,2.590618
381.011322,2.583544
379.995087,2.576358
379.006317,2.568176
378.017578,2.563266
377.001373,2.555636
376.012604,2.548713
374.996338,2.541904
374.007629,2.533840
373.018890,2.528634
372.002625,2.521124
371.013855,2.514508
369.997650,2.506152
369.008911,2.500720
368.020142,2.493272
367.003906,2.485946
366.015137,2.481011
364.998932,2.473017
364.010193,2.466186
363.021423,2.459651
362.005157,2.451643
361.016418,2.446814
360.000214,2.439509
359.011444,2.432662
357.995178,2.425481
357.006439,2.418180
356.017670,2.410239
355.001465,2.405326
354.012695,2.396622
352.996490,2.390969
352.007721,2.383242
351.018951,2.378224
350.002716,2.369461
349.013947,2.363252
347.997711,2.355399
347.008942,2.350269
346.020203,2.342389
345.003998,2.336459
344.015228,2.328641
342.998962,2.322696
342.010223,2.313435
341.021454,2.309732
340.005219,2.301926
339.016449,2.294057
338.000214,2.289063
337.011475,2.280854
336.022736,2.275293
335.006500,2.267498
334.017700,2.261472
333.001465,2.253898
332.012726,2.247666
330.996490,2.239533
330.007721,2.234066
329.018951,2.226143
328.002747,2.220658
327.013977,2.212559
325.997711,2.206803
325.008972,2.199722
324.020203,2.192230
323.003998,2.184986
322.015228,2.180202
320.998962,2.170858
320.010193,2.166757
319.021454,2.159919
318.005219,2.152799
317.016479,2.145919
316.000183,2.139255
315.011414,2.132322
314.022675,2.125381
313.006470,2.117234
312.017700,2.112728
311.001404,2.104160
310.012665,2.098852
309.023926,2.091330
308.007690,2.084574
307.018921,2.077994
306.002686,2.070652
305.013916,2.064763
303.997681,2.056117
303.008911,2.050996
302.020142,2.043556
301.003906,2.037235
300.015137,2.028903
298.998901,2.024269
298.010132,2.017193
297.021332,2.010348
296.005127,2.002984
295.016357,1.996689
294.000153,1.988269
293.011322,1.984065
292.022583,1.977138
291.006378,1.969981
290.017578,1.963093
289.001343,1.955842
288.012573,1.948045
287.023834,1.943069
286.007568,1.934707
285.018768,1.929641
284.002563,1.921052
283.013824,1.916408
281.997528,1.909257
281.008789,1.902136
280.020020,1.895431
279.003784,1.889119
278.014984,1.882105
276.998779,1.875346
276.010010,1.867637
275.021179,1.863102
274.005005,1.855123
273.016235,1.848831
271.999969,1.841160
271.011169,1.835588
270.022430,1.827685
269.006195,1.822333
268.017395,1.813196
267.001190,1.808341
266.012421,1.801995
265.023651,1.794010
264.007385,1.788553
263.018616,1.780626
262.002350,1.774566
261.013611,1.767785
260.024841,1.761636
259.008575,1.754658
258.019806,1.747844
257.003571,1.741259
256.014801,1.734668
254.998566,1.727761
254.009781,1.721655
253.021011,1.713664
252.004791,1.708436
251.015961,1.700518
249.999741,1.694837
249.010956,1.686942
248.022217,1.680263
247.005966,1.673514
246.017166,1.667027
245.000916,1.660754
244.012177,1.652874
243.023422,1.647936
242.007141,1.639843
241.018341,1.634438
240.002121,1.626558
239.013351,1.620410
238.024597,1.614152
237.008316,1.606323
236.019547,1.598909
235.003296,1.593945
234.014542,1.587660
233.025772,1.579377
232.009491,1.573929
231.020752,1.565800
230.004471,1.560854
229.015686,1.552808
227.999451,1.545896
227.010681,1.540333
226.021896,1.533469
225.005646,1.526239
224.016876,1.520747
223.000626,1.512916
222.011841,1.505844
221.023071,1.501089
220.006836,1.493087
219.018051,1.486731
218.001816,1.479533
217.013016,1.473751
216.024261,1.466355
215.007996,1.460053
214.019226,1.453506
213.002960,1.445913
212.014175,1.440697
211.025421,1.433526
210.009140,1.426826
209.020386,1.420560
208.004135,1.412724
207.015366,1.405798
206.026566,1.400987
205.010300,1.393647
204.021530,1.387094
203.005295,1.379497
202.016510,1.372576
201.000275,1.366607
200.011475,1.359483
199.022705,1.353518
198.006454,1.346396
197.017670,1.340304
196.001419,1.332803
195.012619,1.326744
194.023849,1.319795
193.007599,1.313683
192.018814,1.307221
191.002563,1.299001
190.013794,1.293469
189.024994,1.286798
188.008728,1.280022
187.019974,1.273693
186.003708,1.266469
185.014938,1.260189
184.026154,1.253375
183.009888,1.247690
182.021133,1.239752
181.004852,1.234383
180.016098,1.226716
178.999817,1.219531
178.011047,1.214804
177.022247,1.207298
176.005981,1.200573
175.017227,1.194182
174.000961,1.186455
173.012192,1.180513
172.023392,1.174012
171.007111,1.167213
170.018356,1.160203
169.002075,1.154651
168.013321,1.146354
167.024506,1.141665
166.008270,1.134246
165.019485,1.127079
164.003220,1.121495
163.014450,1.113575
162.025650,1.108239
161.009415,1.100809
160.020615,1.093602
159.004333,1.088646
158.015564,1.081026
157.026764,1.075539
156.010544,1.068007
155.021729,1.061607
154.005478,1.055060
153.016708,1.048338
152.000443,1.041599
151.011673,1.034658
150.022858,1.027947
149.006622,1.022027
148.017822,1.014785
147.001556,1.008690
146.012772,1.000488
145.023972,0.995032
144.007736,0.989606
143.018936,0.980575
142.002655,0.975173
141.013901,0.969561
140.025085,0.962357
139.008850,0.955807
138.020050,0.948220
137.003769,0.941969
136.014999,0.936833
135.026199,0.929251
134.009964,0.922038
133.021164,0.916590
132.004913,0.908856
131.016113,0.903040
130.027283,0.895832
129.011078,0.888773
128.022263,0.883899
127.006020,0.875533
126.017204,0.869964
125.000938,0.863434
124.012169,0.856806
123.023369,0.850203
122.007118,0.842980
121.018311,0.836334
120.002029,0.830968
119.013283,0.823003
118.024460,0.817777
117.008224,0.809442
116.019402,0.803409
115.003166,0.797590
114.014351,0.791169
113.025566,0.783843
112.009323,0.777969
111.020508,0.770563
110.004265,0.764220
109.015457,0.757703
108.026642,0.750578
107.010399,0.744821
106.021584,0.737405
105.005371,0.731928
104.016556,0.724311
103.027771,0.719207
102.011497,0.711188
101.022690,0.704456
100.006439,0.699136
99.017632,0.691923
98.001389,0.684478
97.012573,0.678980
96.023758,0.672885
95.007515,0.665090
94.018700,0.659140
93.002457,0.652370
92.013649,0.645348
91.024887,0.639102
90.008591,0.632039
89.019775,0.626583
88.003563,0.618203
87.014717,0.612570
86.025963,0.607156
85.009674,0.600065
84.020859,0.592927
83.004631,0.585805
82.015800,0.579707
81.027039,0.573415
80.010742,0.566166
79.021935,0.560047
78.005684,0.554304
77.016876,0.545787
76.000633,0.540355
75.011818,0.534354
74.023056,0.526262
73.006760,0.520457
72.017944,0.514788
71.001701,0.507606
70.012894,0.500492
69.024109,0.494891
68.007835,0.486708
67.018997,0.481989
66.002754,0.474085
65.013939,0.468126
64.025177,0.460997
63.008881,0.455274
62.020069,0.447868
61.003826,0.441138
60.015011,0.435857
59.026226,0.427810
58.009926,0.422426
57.021172,0.416435
56.004875,0.408939
55.016060,0.401088
54.027275,0.395621
53.011005,0.390088
52.022217,0.382039
51.005924,0.375437
50.017109,0.369442
49.000866,0.363344
48.012054,0.357107
47.023270,0.349059
46.006969,0.342213
45.018211,0.335960
44.001915,0.330280
43.013073,0.324165
42.024315,0.316749
41.008018,0.309919
40.019230,0.303230
39.002964,0.297062
38.014122,0.290346
37.025364,0.283695
36.009068,0.276956
35.020279,0.270418
34.003983,0.263505
33.015167,0.256677
