2,Ford Mustang Class B,watkinsglen
Steering Wheel Angle,Yaw Rate
435.997009,2.822073
435.008270,2.814719
433.992065,2.815622
433.003296,2.815313
432.014557,2.712979
430.998322,2.742385
430.009583,2.739179
428.993378,2.738276
428.004639,2.737580
427.015869,2.736464
425.999664,2.735029
425.010895,2.733195
423.994690,2.730063
423.005920,2.725435
422.017181,2.719921
421.000977,2.766505
420.012207,2.772842
418.996002,2.771822
418.007233,2.765837
417.018494,2.760257
416.002289,2.753294
415.013519,2.744000
413.997314,2.726601
413.008545,2.694632
412.019775,2.687448
411.003571,2.680537
410.014801,2.673764
408.998596,2.674890
408.009827,2.674062
406.993622,2.673281
406.004883,2.671074
405.016113,2.664486
403.999908,2.657239
403.011139,2.650863
401.994934,2.638223
401.006165,2.628972
400.017426,2.622210
399.001190,2.620136
398.012421,2.612010
396.996216,2.605989
396.007446,2.598763
395.018738,2.592552
394.002472,2.585812
393.013733,2.578548
391.997498,2.571898
391.008759,2.566053
390.020020,2.558995
389.003754,2.551949
388.015015,2.545646
386.998810,2.538475
386.010040,2.532484
384.993805,2.524888
384.005035,2.518747
383.016296,2.512638
382.000092,2.505297
381.011322,2.499431
379.995087,2.492055
379.006317,2.485450
378.017578,2.478933
377.001373,2.472120
376.012604,2.465062
374.996338,2.459118
374.007629,2.452812
373.018890,2.445690
372.002625,2.438799
371.013855,2.432196
369.997650,2.425645
369.008911,2.419757
368.020142,2.412122
367.003906,2.406631
366.015137,2.398967
364.998932,2.392575
364.010193,2.385787
363.021423,2.379892
362.005157,2.372681
361.016418,2.366369
360.000214,2.359467
359.011444,2.352871
357.995178,2.345396
357.006439,2.340145
356.017670,2.332715
355.001465,2.326864
354.012695,2.319973
352.996490,2.313792
352.007721,2.306817
351.018951,2.299752
350.002716,2.293719
349.013947,2.286945
347.997711,2.279521
347.008942,2.273061
346.020203,2.266425
345.003998,2.259743
344.015228,2.253933
342.998962,2.246882
342.010223,2.240001
341.021454,2.233954
340.005219,2.226479
339.016449,2.221232
338.000214,2.213451
337.011475,2.207308
336.022736,2.201051
335.006500,2.193584
334.017700,2.187711
333.001465,2.180389
332.012726,2.173500
330.996490,2.167758
330.007721,2.160871
329.018951,2.154027
328.002747,2.147348
