2,Ford Mustang FR500S,baseline
Steering Wheel Angle,Yaw Rate
504.456482,2.793923
504.262238,2.787491
504.066956,2.785614
503.884125,2.771840
503.711792,2.694259
502.885010,2.694793
501.402527,2.687377
499.931671,2.688736
498.547668,2.689988
497.172943,2.691293
495.881531,2.693195
494.625061,2.692362
493.335205,2.689478
492.109528,2.785913
490.838959,2.783833
489.604980,2.790250
488.323242,2.780620
487.047546,2.761176
485.735596,2.744853
484.352295,2.728055
482.975159,2.711472
481.543884,2.705377
480.150635,2.695357
478.758148,2.686571
477.334137,2.682314
475.981201,2.682693
474.611786,2.676983
473.284546,2.667223
471.946747,2.651658
470.561646,2.643856
469.229919,2.639328
467.866394,2.635751
466.532318,2.635852
465.194153,2.630290
463.827850,2.617234
462.497925,2.598128
461.129089,2.582992
459.800171,2.575449
458.479980,2.579244
457.129913,2.581617
455.811707,2.578496
454.450653,2.564746
453.126221,2.546665
451.771027,2.531022
450.458649,2.522040
449.150146,2.522183
447.807220,2.526699
446.497894,2.525445
445.149414,2.512245
443.839417,2.495728
442.533600,2.479427
441.194672,2.468405
439.895630,2.466330
438.562347,2.472022
437.264740,2.472819
435.969482,2.462504
434.634613,2.442713
433.335419,2.425861
432.004822,2.415188
430.718048,2.415247
429.435944,2.420715
428.113739,2.418665
426.823578,2.406734
425.498016,2.390478
424.213654,2.373974
422.896912,2.363369
421.620331,2.362713
420.345734,2.368016
419.033661,2.367280
417.755035,2.355538
416.443878,2.337479
415.169159,2.321122
413.897156,2.310894
412.594208,2.313159
411.331085,2.320020
410.031921,2.316303
408.765472,2.301338
407.496124,2.287167
406.196533,2.270645
404.936157,2.259834
403.644989,2.262123
402.390869,2.268283
401.135010,2.265110
399.843109,2.252550
398.587921,2.234121
397.299011,2.216787
396.047119,2.210773
394.800171,2.214552
393.524048,2.218471
392.278412,2.212499
390.994446,2.199827
389.747559,2.183404
388.469421,2.167136
387.230438,2.161078
385.995209,2.163052
384.724915,2.166592
383.487122,2.162588
382.216339,2.148976
380.980438,2.130311
379.746307,2.116601
378.481842,2.111534
377.256622,2.116962
375.997925,2.119034
374.769562,2.112570
373.540680,2.095978
372.280426,2.078911
371.057251,2.066914
369.804565,2.063742
368.587402,2.070200
367.370178,2.072134
366.117859,2.060939
364.898834,2.042909
363.648590,2.026206
362.435364,2.018348
361.226624,2.020155
359.985962,2.025447
358.775787,2.022212
357.531372,2.010484
356.324432,1.994366
355.085388,1.976873
353.877930,1.968576
352.677002,1.972363
351.449371,1.969663
350.247040,1.963861
349.010590,1.964393
347.816925,1.959186
346.621216,1.941260
345.386475,1.930305
344.195068,1.923537
342.971985,1.908452
341.776581,1.901867
340.588074,1.905415
339.371948,1.902109
338.182587,1.897624
336.960266,1.897258
335.779022,1.890382
334.595947,1.872313
333.374420,1.860708
332.194733,1.854914
330.984589,1.841189
329.801941,1.833819
328.625793,1.838975
327.423248,1.837264
326.247040,1.829944
325.036469,1.827801
323.866730,1.820680
322.662018,1.803417
321.485870,1.792092
320.318207,1.785999
319.121460,1.774509
317.951721,1.768284
316.754608,1.772632
315.595520,1.771622
314.431183,1.764106
313.232910,1.760319
312.073853,1.752404
310.882263,1.734353
309.719971,1.722677
308.563873,1.717526
307.378113,1.707562
306.219757,1.702475
305.034027,1.708515
303.886261,1.707527
302.733978,1.697568
301.548340,1.693494
300.401062,1.685796
299.221008,1.667791
298.069427,1.656278
296.892212,1.651531
295.750000,1.641866
294.605530,1.641063
293.431152,1.647213
292.293579,1.644478
291.121002,1.632041
289.977325,1.621882
288.838745,1.612503
287.670624,1.595630
286.533173,1.587672
285.367645,1.591332
284.236359,1.595446
283.103027,1.590192
281.937164,1.578256
280.805542,1.564043
279.645355,1.549715
278.515656,1.543715
277.389069,1.547112
276.232574,1.550676
275.107056,1.546528
273.950134,1.531605
272.824951,1.515488
271.702637,1.503845
270.551025,1.502260
269.431671,1.506983
268.281281,1.507881
267.162140,1.499069
266.012817,1.480815
264.895477,1.466448
263.780487,1.460406
262.636597,1.463646
261.523895,1.467861
260.380127,1.462075
259.267273,1.447150
258.156281,1.429954
257.016205,1.420805
255.908783,1.421925
254.771210,1.426754
253.664490,1.424988
252.558090,1.412991
251.422043,1.394632
250.318222,1.382601
249.185455,1.381822
248.084427,1.388497
246.983887,1.387137
245.852432,1.374697
244.752350,1.359318
243.623703,1.345173
242.527466,1.342421
241.432251,1.347429
240.306702,1.348836
239.211594,1.339668
238.086777,1.322406
236.993912,1.308521
235.872513,1.304994
234.782608,1.310117
233.693192,1.310903
232.573425,1.300906
231.484039,1.285261
230.366257,1.270634
229.280746,1.267401
228.196609,1.271889
227.081833,1.273215
225.997467,1.266147
224.883804,1.250979
223.801407,1.235435
222.720749,1.228726
221.611267,1.231670
220.532242,1.234988
219.423218,1.229369
218.344498,1.215547
217.267151,1.199134
216.161835,1.191486
215.086777,1.191745
213.982666,1.194968
212.909286,1.193064
211.836044,1.182511
210.733475,1.165301
209.662308,1.154001
208.563004,1.154000
207.494049,1.158416
206.395309,1.156040
205.326355,1.145259
204.258926,1.130061
203.162994,1.117465
202.097916,1.115896
201.003693,1.121342
199.939743,1.119202
198.876053,1.108273
197.783249,1.091748
196.721298,1.080986
195.631409,1.081784
194.571976,1.084825
193.512222,1.082831
192.423203,1.073149
191.364914,1.059218
190.278458,1.046082
189.222015,1.042625
188.166504,1.047937
187.082062,1.046476
186.027298,1.036355
184.943802,1.020172
183.890808,1.009273
182.809845,1.008975
181.758759,1.012703
180.707657,1.010364
179.627731,1.000102
178.578033,0.985286
177.500397,0.974541
176.452606,0.972764
175.405289,0.977635
174.329224,0.973824
173.282898,0.961942
172.208481,0.946927
171.163651,0.937344
170.119827,0.941599
169.047745,0.942854
168.004852,0.937357
166.933304,0.925197
165.891724,0.911125
164.851196,0.903839
163.782410,0.907142
162.742859,0.908145
161.674835,0.900355
160.636307,0.886573
159.598495,0.873711
158.532928,0.869968
157.496750,0.873791
156.432266,0.872355
155.396744,0.864480
154.333008,0.849102
153.299072,0.837933
152.265976,0.837347
151.204742,0.839709
150.172241,0.838139
149.111649,0.828167
148.080414,0.814392
147.050095,0.803749
145.991608,0.801172
144.962311,0.806312
143.905106,0.800518
142.876694,0.791508
141.848557,0.776999
140.792999,0.768909
139.766754,0.768669
138.712326,0.770802
137.686661,0.767263
136.661362,0.756179
135.608551,0.742536
134.584763,0.734239
133.532944,0.733989
132.510056,0.737729
131.487823,0.730127
130.437485,0.720632
129.415848,0.706313
128.366821,0.701669
127.346764,0.696082
126.298370,0.691257
125.279007,0.695977
124.260422,0.688983
123.213768,0.683127
122.195465,0.675784
121.149857,0.665956
120.133156,0.655030
119.116386,0.645452
118.072327,0.647588
117.057129,0.645241
116.013763,0.641733
114.998840,0.640927
