2,Ford Mustang GT3,baseline
Steering Wheel Angle,Yaw Rate
217.013016,1.394766
216.024261,1.388667
215.007996,1.382223
214.019226,1.376848
213.002960,1.371028
212.014175,1.365392
211.025421,1.359621
210.009140,1.353715
209.020386,1.347857
208.004135,1.341767
207.015366,1.335767
206.026566,1.329593
205.010300,1.322945
204.021530,1.316531
203.005295,1.309839
202.016510,1.303344
201.000275,1.296712
200.011475,1.290300
199.022705,1.283795
198.006454,1.277144
197.017670,1.270744
196.001419,1.264030
195.012619,1.257707
194.023849,1.251274
193.007599,1.244676
192.018814,1.238266
191.002563,1.231712
190.013794,1.225278
189.024994,1.218849
188.008728,1.212269
187.019974,1.205826
186.003708,1.199222
185.014938,1.192835
184.026154,1.186413
183.009888,1.179794
182.021133,1.173390
181.004852,1.166732
180.016098,1.160366
178.999817,1.153783
178.011047,1.147330
177.022247,1.140885
176.005981,1.134333
175.017227,1.127911
174.000961,1.121360
173.012192,1.114902
172.023392,1.108470
171.007111,1.101875
170.018356,1.095433
169.002075,1.088807
168.013321,1.082458
167.024506,1.076038
166.008270,1.069452
165.019485,1.062987
164.003220,1.056386
163.014450,1.049997
162.025650,1.043615
161.009415,1.036990
160.020615,1.030574
159.004333,1.023981
158.015564,1.017557
157.026764,1.011131
156.010544,1.004586
155.021729,0.998127
154.005478,0.991586
153.016708,0.985117
152.000443,0.978553
151.011673,0.972103
150.022858,0.965703
149.006622,0.959139
148.017822,0.952740
147.001556,0.946133
146.012772,0.939776
145.023972,0.933346
144.007736,0.926745
143.018936,0.920319
142.002655,0.913726
141.013901,0.907288
140.025085,0.900904
139.008850,0.894343
138.020050,0.887846
137.003769,0.881319
136.014999,0.874907
135.026199,0.868427
134.009964,0.861949
133.021164,0.855486
132.004913,0.848915
131.016113,0.842539
130.027283,0.836137
129.011078,0.829509
128.022263,0.823138
127.006020,0.816543
126.017204,0.810091
125.000938,0.803536
124.012169,0.797155
123.023369,0.790744
122.007118,0.784149
121.018311,0.777751
120.002029,0.771136
119.013283,0.764762
118.024460,0.758315
117.008224,0.751733
116.019402,0.745347
115.003166,0.738746
114.014351,0.732327
113.025566,0.725922
112.009323,0.719379
111.020508,0.712946
110.004265,0.706388
109.015457,0.699957
108.026642,0.693523
107.010399,0.686960
106.021584,0.680518
105.005371,0.674012
104.016556,0.667582
103.027771,0.661167
102.011497,0.654588
101.022690,0.648150
100.006439,0.641587
99.017632,0.635194
98.001389,0.628560
97.012573,0.622215
96.023758,0.615840
95.007515,0.609194
94.018700,0.602813
93.002457,0.596241
92.013649,0.589796
91.024887,0.583419
90.008591,0.576858
89.019775,0.570408
88.003563,0.563898
87.014717,0.557418
86.025963,0.550997
85.009674,0.544439
84.020859,0.538034
83.004631,0.531481
82.015800,0.525068
81.027039,0.518700
80.010742,0.512155
79.021935,0.505696
78.005684,0.499162
77.016876,0.492672
76.000633,0.486169
75.011818,0.479795
74.023056,0.473368
73.006760,0.466754
72.017944,0.460399
71.001701,0.453807
70.012894,0.447413
69.024109,0.441019
68.007835,0.434418
67.018997,0.428063
66.002754,0.421470
65.013939,0.415096
64.025177,0.408689
63.008881,0.402132
62.020069,0.395772
61.003826,0.389077
60.015011,0.382723
59.026226,0.376348
58.009926,0.369759
57.021172,0.363362
56.004875,0.356790
55.016060,0.350466
54.027275,0.344010
53.011005,0.337455
52.022217,0.331091
51.005924,0.324499
50.017109,0.318095
49.000866,0.311527
48.012054,0.305160
47.023270,0.298775
46.006969,0.292158
45.018211,0.285758
44.001915,0.279222
43.013073,0.272781
42.024315,0.266406
41.008018,0.259867
40.019230,0.253447
39.002964,0.246913
38.014122,0.240476
37.025364,0.234137
36.009068,0.227583
35.020279,0.221149
34.003983,0.214576
33.015167,0.208204
32.026382,0.201815
31.010088,0.195213
30.021326,0.188847
29.005032,0.182252
28.016247,0.175863
27.027433,0.169496
26.011137,0.162909
25.022348,0.156484
24.006052,0.149968
23.017294,0.143549
22.000998,0.136998
21.012157,0.130581
20.023371,0.124203
19.007101,0.117627
18.018314,0.111249
17.002018,0.104675
16.013233,0.098261
15.024419,0.091887
14.008123,0.085329
13.019336,0.078952
12.003040,0.072381
11.014254,0.065952
10.025441,0.059597
9.009144,0.053035
8.020358,0.046649
7.004062,0.040056
6.015275,0.033638
5.026462,0.027372
4.010166,0.021804
3.021353,0.016536
2.005083,0.011032
1.016323,0.005664
0.000000,0.001510
-0.988760,0.005164
-1.977626,0.010525
-2.993896,0.016027
-3.982709,0.021345
-4.998979,0.026833
-5.987792,0.032997
-6.976604,0.039298
-7.992875,0.045843
-8.981688,0.052304
-9.997957,0.058843
-10.986771,0.065247
-11.975583,0.071645
-12.991853,0.078205
-13.980665,0.084593
-14.996989,0.091164
-15.985749,0.097579
-16.974613,0.103960
-17.990831,0.110512
-18.979698,0.116934
-19.995966,0.123467
-20.984779,0.129886
-21.973593,0.136244
-22.989862,0.142796
-23.978676,0.149242
-24.994999,0.155773
-25.983759,0.162212
-27.000082,0.168738
-27.988842,0.175185
-28.977654,0.181546
-29.993923,0.188131
-30.982737,0.194533
-31.999060,0.201073
-32.987873,0.207448
-33.976685,0.213858
-34.992954,0.220431
-35.981770,0.226813
-36.998093,0.233444
-37.986855,0.239817
-38.975719,0.246190
-39.991932,0.252809
-40.980801,0.259171
-41.997017,0.265728
-42.985882,0.272127
-43.974697,0.278515
-44.990967,0.285101
-45.979778,0.291504
-46.996048,0.298057
-47.984913,0.304442
-48.973728,0.310824
-49.989998,0.317430
-50.978813,0.323817
-51.995083,0.330420
-52.983894,0.336747
-54.000217,0.343363
-54.989029,0.349733
-55.977844,0.356199
-56.994110,0.362707
-57.982929,0.369152
-58.999199,0.375703
-59.988010,0.382056
-60.976871,0.388463
-61.993145,0.395071
-62.981956,0.401421
-63.998226,0.408025
-64.987038,0.414445
-65.975906,0.420829
-66.992180,0.427427
-67.980995,0.433830
-68.997253,0.440383
-69.986069,0.446798
-70.974884,0.453217
-71.991211,0.459789
-72.980019,0.466165
-73.996292,0.472741
-74.985161,0.479147
-75.973915,0.485516
-76.990234,0.492017
-77.979050,0.498588
-78.995323,0.505050
-79.984192,0.511528
-81.000404,0.518045
-81.989273,0.524460
-82.978142,0.530870
-83.994354,0.537477
-84.983215,0.543852
-85.999489,0.550466
-86.988304,0.556853
-87.977112,0.563201
-88.993439,0.569825
-89.982254,0.576222
-90.998520,0.582793
-91.987381,0.589149
-92.976151,0.595592
-93.992470,0.602179
-94.981339,0.608628
-95.997551,0.615153
-96.986420,0.621554
-97.975182,0.627973
-98.991501,0.634550
-99.980316,0.640994
-100.996635,0.647528
-101.985451,0.653949
-103.001717,0.660521
-103.990585,0.666942
-104.979347,0.673348
-105.995674,0.679930
-106.984535,0.686321
-108.000801,0.692937
-108.989616,0.699340
-109.978432,0.705738
-110.994759,0.712337
-111.983620,0.718724
-112.999840,0.725329
-113.988701,0.731731
-114.977516,0.738132
-115.993790,0.744693
-116.982597,0.751125
-117.998917,0.757727
-118.987793,0.764107
-119.976540,0.770543
-120.992874,0.777118
-121.981682,0.783491
-122.998009,0.790157
-123.986816,0.796504
-124.975624,0.802890
-125.991959,0.809531
-126.980713,0.815968
-127.997040,0.822541
-128.985855,0.828871
-130.002182,0.835544
-130.991043,0.841958
-131.979797,0.848306
-132.996124,0.854954
-133.984924,0.861363
-135.001266,0.867892
-135.990128,0.874356
-136.978897,0.880776
-137.995209,0.887439
-138.984009,0.893278
-140.000351,0.899601
-140.989212,0.904493
-141.977966,0.912096
-142.994293,0.917889
-143.983093,0.924713
-144.999435,0.931356
-145.988190,0.937413
-146.977051,0.943165
-147.993378,0.947260
-148.982193,0.954574
-149.998520,0.960737
-150.987274,0.967206
-151.976135,0.972578
-152.992462,0.979146
-153.981277,0.986627
-154.997604,0.991946
-155.986404,0.999331
-157.002731,1.003949
-157.991592,1.009462
-158.980362,1.015308
-159.996674,1.020872
-160.985504,1.026350
-162.001816,1.031461
-162.990631,1.035916
-163.979446,1.041488
-164.995819,1.047223
-165.984589,1.053473
-167.000900,1.059809
-167.989716,1.065899
-168.978577,1.072140
-169.994904,1.078497
-170.983719,1.084614
-172.000046,1.091030
-172.988800,1.097194
-173.977661,1.103310
-174.993927,1.109714
-175.982803,1.115841
-176.999130,1.122172
-177.987946,1.128364
-178.976807,1.134532
-179.993011,1.140814
-180.981888,1.147059
-181.998260,1.153282
-182.987030,1.160168
-184.003342,1.167517
-184.992157,1.171984
-185.981033,1.178192
-186.997345,1.185897
-187.986160,1.191348
-189.002487,1.197881
-189.991287,1.204807
-190.980164,1.209315
-191.996368,1.215652
-192.985306,1.221823
-194.001617,1.228133
-194.990387,1.234333
-195.979248,1.240455
-196.995514,1.246805
-197.984390,1.252947
-199.000702,1.259288
-199.989532,1.265436
-200.978394,1.271575
-201.994644,1.277870
-202.983521,1.284031
-203.999786,1.290329
-204.988647,1.296450
-206.004990,1.302834
-206.993790,1.308969
-207.982666,1.315127
-208.998932,1.321440
-209.987793,1.327580
-211.004120,1.333925
-211.992920,1.340114
-212.981796,1.347806
-213.998062,1.352566
-214.986923,1.358693
-216.003265,1.364848
-216.992065,1.371060
