2,Formula Renault 3.5,baseline
Steering Wheel Angle,Yaw Rate
291.006378,1.718517
290.017578,1.713181
289.001343,1.708507
288.012573,1.704013
287.023834,1.699228
286.007568,1.693988
285.018768,1.688653
284.002563,1.682814
283.013824,1.676779
281.997528,1.670561
281.008789,1.664447
280.020020,1.658415
279.003784,1.652212
278.014984,1.646179
276.998779,1.639973
276.010010,1.633893
275.021179,1.627904
274.005005,1.621713
273.016235,1.615614
271.999969,1.609228
271.011169,1.602684
270.022430,1.595763
269.006195,1.589230
268.017395,1.583025
267.001190,1.576965
266.012421,1.571291
265.023651,1.566217
264.007385,1.560178
263.018616,1.554256
262.002350,1.547406
261.013611,1.541751
260.024841,1.536786
259.008575,1.528939
258.019806,1.523319
257.003571,1.518063
256.014801,1.511138
254.998566,1.505469
254.009781,1.499384
253.021011,1.493928
252.004791,1.486837
251.015961,1.481939
249.999741,1.475347
249.010956,1.468968
248.022217,1.463137
247.005966,1.457429
246.017166,1.451137
245.000916,1.446146
244.012177,1.438580
243.023422,1.433487
242.007141,1.426994
241.018341,1.421451
240.002121,1.415735
239.013351,1.408843
238.024597,1.403824
237.008316,1.396654
236.019547,1.391445
235.003296,1.385016
234.014542,1.379166
233.025772,1.372977
232.009491,1.367786
231.020752,1.360834
230.004471,1.355357
229.015686,1.348787
227.999451,1.343167
227.010681,1.336514
226.021896,1.331225
225.005646,1.325392
224.016876,1.319292
223.000626,1.313107
222.011841,1.307169
221.023071,1.301795
220.006836,1.294764
219.018051,1.289118
218.001816,1.283636
217.013016,1.277680
216.024261,1.271133
215.007996,1.265584
214.019226,1.259134
213.002960,1.253537
212.014175,1.247073
211.025421,1.241564
210.009140,1.235839
209.020386,1.229277
208.004135,1.223685
207.015366,1.217482
206.026566,1.211405
205.010300,1.205332
204.021530,1.200010
203.005295,1.193725
202.016510,1.188189
201.000275,1.181475
200.011475,1.176181
199.022705,1.169745
198.006454,1.164529
197.017670,1.157523
196.001419,1.152105
195.012619,1.145846
194.023849,1.140009
193.007599,1.134548
192.018814,1.128038
191.002563,1.122280
190.013794,1.116521
189.024994,1.110666
188.008728,1.103991
187.019974,1.098507
186.003708,1.092629
185.014938,1.086167
184.026154,1.080665
183.009888,1.074524
182.021133,1.068685
181.004852,1.063295
180.016098,1.056676
178.999817,1.050925
178.011047,1.044887
177.022247,1.039070
176.005981,1.033549
175.017227,1.026622
174.000961,1.021537
173.012192,1.015314
172.023392,1.009102
171.007111,1.003250
170.018356,0.997586
169.002075,0.991684
168.013321,0.985269
167.024506,0.980102
166.008270,0.973969
165.019485,0.967836
164.003220,0.961907
163.014450,0.956130
162.025650,0.949904
161.009415,0.943728
160.020615,0.938492
159.004333,0.931927
158.015564,0.926642
157.026764,0.920490
156.010544,0.914052
155.021729,0.908785
154.005478,0.902090
153.016708,0.896805
152.000443,0.891054
151.011673,0.884540
150.022858,0.879131
149.006622,0.872635
148.017822,0.866778
147.001556,0.861193
146.012772,0.855419
145.023972,0.849156
144.007736,0.843361
143.018936,0.837696
142.002655,0.831320
141.013901,0.825765
140.025085,0.820103
139.008850,0.813614
138.020050,0.807949
137.003769,0.802225
136.014999,0.795848
135.026199,0.790413
134.009964,0.784084
133.021164,0.778688
132.004913,0.772390
131.016113,0.766194
130.027283,0.760847
129.011078,0.754689
128.022263,0.748971
127.006020,0.742712
126.017204,0.736668
125.000938,0.730883
124.012169,0.725373
123.023369,0.719240
122.007118,0.713505
121.018311,0.707670
120.002029,0.701364
119.013283,0.695729
118.024460,0.690222
117.008224,0.683759
116.019402,0.678054
115.003166,0.672108
114.014351,0.666309
113.025566,0.660208
112.009323,0.654312
111.020508,0.648654
110.004265,0.642733
109.015457,0.636604
108.026642,0.630794
107.010399,0.625135
106.021584,0.618764
105.005371,0.613155
104.016556,0.607338
103.027771,0.601229
102.011497,0.595547
101.022690,0.589922
100.006439,0.583393
99.017632,0.577944
98.001389,0.571744
97.012573,0.565994
96.023758,0.560083
95.007515,0.554362
94.018700,0.548051
93.002457,0.542336
92.013649,0.536596
91.024887,0.531061
90.008591,0.524595
89.019775,0.518845
88.003563,0.513365
87.014717,0.506907
86.025963,0.501598
85.009674,0.495298
84.020859,0.489490
83.004631,0.483446
82.015800,0.477984
81.027039,0.471788
80.010742,0.465968
79.021935,0.459882
78.005684,0.454453
77.016876,0.448113
76.000633,0.442355
75.011818,0.436763
74.023056,0.430748
73.006760,0.424560
72.017944,0.419000
71.001701,0.412900
70.012894,0.407000
69.024109,0.401352
68.007835,0.395352
67.018997,0.389643
66.002754,0.383600
65.013939,0.377663
64.025177,0.371741
63.008881,0.366233
62.020069,0.360246
61.003826,0.354082
60.015011,0.348389
59.026226,0.342835
58.009926,0.336637
57.021172,0.330913
56.004875,0.324704
55.016060,0.318803
54.027275,0.313215
53.011005,0.307374
52.022217,0.301364
51.005924,0.295385
