2,Formula Vee,baseline
Steering Wheel Angle,Yaw Rate
192.018814,2.524739
191.002563,2.510156
190.013794,2.497266
189.024994,2.484187
188.008728,2.470990
187.019974,2.459396
186.003708,2.445934
185.014938,2.433057
184.026154,2.419727
183.009888,2.406003
182.021133,2.393106
181.004852,2.379064
180.016098,2.365915
178.999817,2.351972
178.011047,2.338578
177.022247,2.325298
176.005981,2.311690
175.017227,2.298440
174.000961,2.285191
173.012192,2.271892
172.023392,2.258748
171.007111,2.245193
170.018356,2.232071
169.002075,2.218574
168.013321,2.205329
167.024506,2.192513
166.008270,2.179425
165.019485,2.166213
164.003220,2.153264
163.014450,2.139810
162.025650,2.126778
161.009415,2.113103
160.020615,2.099867
159.004333,2.086110
158.015564,2.072830
157.026764,2.059461
156.010544,2.045820
155.021729,2.032723
154.005478,2.019359
153.016708,2.006045
152.000443,1.992631
151.011673,1.979640
150.022858,1.966391
149.006622,1.952934
148.017822,1.939951
147.001556,1.926354
146.012772,1.913255
145.023972,1.900393
144.007736,1.886632
143.018936,1.873861
142.002655,1.860055
141.013901,1.847407
140.025085,1.834324
139.008850,1.820747
138.020050,1.807934
137.003769,1.794210
136.014999,1.781383
135.026199,1.768189
134.009964,1.754828
133.021164,1.741796
132.004913,1.728425
131.016113,1.715335
130.027283,1.702487
129.011078,1.689006
128.022263,1.676003
127.006020,1.662758
126.017204,1.649680
125.000938,1.636564
124.012169,1.623803
123.023369,1.610672
122.007118,1.597319
121.018311,1.583974
120.002029,1.570166
119.013283,1.557220
118.024460,1.544102
117.008224,1.530654
116.019402,1.517565
115.003166,1.504056
114.014351,1.491154
113.025566,1.478143
112.009323,1.464644
111.020508,1.451802
110.004265,1.438591
109.015457,1.425481
108.026642,1.412511
107.010399,1.399162
106.021584,1.386177
105.005371,1.372876
104.016556,1.359976
103.027771,1.347035
102.011497,1.333561
101.022690,1.320850
100.006439,1.307587
99.017632,1.294735
98.001389,1.281326
97.012573,1.268466
96.023758,1.255463
95.007515,1.242226
94.018700,1.229223
93.002457,1.215941
92.013649,1.202623
91.024887,1.189642
90.008591,1.176116
89.019775,1.162958
88.003563,1.149374
87.014717,1.136595
86.025963,1.123590
85.009674,1.110103
84.020859,1.097142
83.004631,1.083956
82.015800,1.070999
81.027039,1.058042
80.010742,1.044731
79.021935,1.031698
78.005684,1.018545
77.016876,1.005621
76.000633,0.992280
75.011818,0.979581
74.023056,0.966669
73.006760,0.953305
72.017944,0.940418
71.001701,0.927173
70.012894,0.914338
69.024109,0.901569
68.007835,0.888243
67.018997,0.875267
66.002754,0.861952
65.013939,0.849212
64.025177,0.836032
63.008881,0.822805
62.020069,0.809779
61.003826,0.796419
60.015011,0.783480
59.026226,0.770429
58.009926,0.757110
57.021172,0.744066
56.004875,0.730640
55.016060,0.717724
54.027275,0.704615
53.011005,0.691287
52.022217,0.678498
51.005924,0.665107
50.017109,0.652004
49.000866,0.638795
48.012054,0.625939
47.023270,0.613052
46.006969,0.599825
45.018211,0.587074
44.001915,0.573765
43.013073,0.560907
42.024315,0.548188
41.008018,0.534810
40.019230,0.522105
39.002964,0.508871
38.014122,0.495868
37.025364,0.482909
36.009068,0.469395
35.020279,0.456553
34.003983,0.443129
33.015167,0.430102
32.026382,0.417120
31.010088,0.403775
30.021326,0.390902
29.005032,0.377412
28.016247,0.364600
27.027433,0.351622
26.011137,0.338352
25.022348,0.325632
24.006052,0.312333
23.017294,0.299400
22.000998,0.286162
21.012157,0.273281
20.023371,0.260603
19.007101,0.247230
18.018314,0.234223
17.002018,0.221225
16.013233,0.208210
15.024419,0.195413
14.008123,0.182256
13.019336,0.169337
12.003040,0.155943
11.014254,0.143150
10.025441,0.130181
9.009144,0.116727
8.020358,0.103855
7.004062,0.090465
6.015275,0.077496
5.026462,0.064579
4.010166,0.051219
3.021353,0.038259
2.005083,0.024823
1.016323,0.011962
0.000000,0.002651
-0.988760,0.012986
-1.977626,0.025965
-2.993896,0.039308
-3.982709,0.052154
-4.998979,0.065424
-5.987792,0.078358
-6.976604,0.091404
-7.992875,0.104701
-8.981688,0.117783
-9.997957,0.131372
-10.986771,0.144047
-11.975583,0.157005
-12.991853,0.170342
-13.980665,0.183110
-14.996989,0.196497
-15.985749,0.209357
-16.974613,0.222163
-17.990831,0.235598
-18.979698,0.248302
-19.995966,0.261598
-20.984779,0.274377
-21.973593,0.287202
-22.989862,0.300360
-23.978676,0.313122
-24.994999,0.326493
