2,Gen 4 Chevrolet Impala,roadamerica
Steering Wheel Angle,Yaw Rate
435.997009,2.991052
435.008270,2.983661
433.992065,2.985916
433.003296,2.987220
432.014557,2.864800
430.998322,2.879215
430.009583,2.877371
428.993378,2.879848
428.004639,2.880874
427.015869,2.881270
425.999664,2.879171
425.010895,2.910796
423.994690,2.978681
423.005920,2.970005
422.017181,2.962676
421.000977,2.948576
420.012207,2.933742
418.996002,2.917180
418.007233,2.900342
417.018494,2.887651
416.002289,2.881090
415.013519,2.873635
413.997314,2.865846
413.008545,2.867983
412.019775,2.868188
411.003571,2.861157
410.014801,2.853374
408.998596,2.839666
408.009827,2.836860
406.993622,2.827631
406.004883,2.823378
405.016113,2.815437
403.999908,2.808116
403.011139,2.801666
401.994934,2.793535
401.006165,2.787134
400.017426,2.780187
399.001190,2.772609
398.012421,2.765994
396.996216,2.757532
396.007446,2.751812
395.018738,2.744007
394.002472,2.736901
393.013733,2.729891
391.997498,2.721343
391.008759,2.715727
390.020020,2.707344
389.003754,2.698865
388.015015,2.694561
386.998810,2.687009
386.010040,2.680225
384.993805,2.672663
384.005035,2.665049
383.016296,2.659392
382.000092,2.650468
381.011322,2.643379
379.995087,2.636355
379.006317,2.630000
378.017578,2.622374
377.001373,2.615657
376.012604,2.608982
374.996338,2.601141
374.007629,2.594180
373.018890,2.587144
372.002625,2.579612
371.013855,2.573707
369.997650,2.565466
369.008911,2.558845
368.020142,2.550792
367.003906,2.542981
366.015137,2.537964
364.998932,2.529971
364.010193,2.522916
363.021423,2.515900
362.005157,2.507977
361.016418,2.500946
360.000214,2.493696
359.011444,2.488012
357.995178,2.478796
357.006439,2.473354
356.017670,2.466244
355.001465,2.457985
354.012695,2.452356
352.996490,2.443730
352.007721,2.438025
351.018951,2.430354
350.002716,2.423756
349.013947,2.416373
347.997711,2.409681
347.008942,2.401676
346.020203,2.394718
345.003998,2.388088
344.015228,2.380967
342.998962,2.372850
342.010223,2.366537
341.021454,2.357489
340.005219,2.353296
339.016449,2.345879
338.000214,2.337855
337.011475,2.330976
336.022736,2.324252
335.006500,2.315651
334.017700,2.310502
333.001465,2.302569
332.012726,2.296329
330.996490,2.288418
330.007721,2.281711
329.018951,2.274735
328.002747,2.268020
327.013977,2.260694
325.997711,2.252736
325.008972,2.247039
324.020203,2.239531
323.003998,2.231422
322.015228,2.225152
320.998962,2.216142
320.010193,2.212070
319.021454,2.203830
318.005219,2.197424
317.016479,2.189484
316.000183,2.182775
315.011414,2.176038
314.022675,2.168913
313.006470,2.162139
312.017700,2.154725
311.001404,2.148009
310.012665,2.139670
309.023926,2.133795
308.007690,2.123932
307.018921,2.120134
