2,Gen 4 Ford Taurus,watkinsglen
Steering Wheel Angle,Yaw Rate
363.016418,2.871783
362.000214,2.862967
361.011444,2.861659
359.995178,2.859750
359.006439,2.807651
358.017670,2.758116
357.001465,2.764407
356.012695,2.761456
354.996490,2.758672
354.007721,2.756488
353.018951,2.753240
352.002716,2.831756
351.013947,2.824255
349.997711,2.817349
349.008942,2.809423
348.020203,2.796400
347.003998,2.781706
346.015228,2.767147
344.998962,2.751447
344.010223,2.737211
343.021454,2.729526
342.005219,2.720822
341.016449,2.712355
340.000214,2.710549
339.011475,2.708209
338.022736,2.702727
337.006500,2.694882
336.017700,2.685678
335.001465,2.671839
334.012726,2.665329
332.996490,2.657838
332.007721,2.650384
331.018951,2.642135
330.002747,2.635113
329.013977,2.626433
327.997711,2.617522
327.008972,2.609259
326.020203,2.601969
325.003998,2.593174
324.015228,2.585890
322.998962,2.577256
322.010193,2.568869
321.021454,2.560267
320.005219,2.552757
319.016479,2.543677
318.000183,2.536270
317.011414,2.528660
316.022675,2.519769
315.006470,2.511898
314.017700,2.503771
313.001404,2.494872
312.012665,2.487251
311.023926,2.479000
310.007690,2.470424
309.018921,2.462742
308.002686,2.454293
307.013916,2.446811
305.997681,2.437189
305.008911,2.429943
304.020142,2.421199
303.003906,2.413646
302.015137,2.405622
300.998901,2.397062
300.010132,2.389410
299.021332,2.380965
298.005127,2.372675
297.016357,2.363488
296.000153,2.356691
295.011322,2.348587
294.022583,2.340601
293.006378,2.332216
292.017578,2.323418
291.001343,2.316422
290.012573,2.306821
289.023834,2.300439
288.007568,2.292168
287.018768,2.283699
286.002563,2.275304
285.013824,2.267874
283.997528,2.259106
283.008789,2.251399
282.020020,2.243077
281.003784,2.234971
280.014984,2.227142
278.998779,2.218220
278.010010,2.210598
277.021179,2.201548
276.005005,2.194641
275.016235,2.185985
273.999969,2.177825
273.011169,2.170250
272.022430,2.161710
271.006195,2.153520
270.017395,2.146594
269.001190,2.137637
268.012421,2.129981
267.023651,2.122523
266.007385,2.113884
265.018616,2.106168
264.002350,2.097241
263.013611,2.089593
262.024841,2.082031
261.008575,2.073151
260.019806,2.065427
259.003571,2.057230
258.014801,2.048814
256.998566,2.041507
256.009766,2.032488
255.021011,2.024702
254.004791,2.017274
253.015961,2.007957
251.999741,2.000675
251.010956,1.992438
250.022217,1.984859
249.005966,1.976635
248.017166,1.968941
247.000916,1.960492
246.012177,1.953138
245.023422,1.944729
244.007141,1.936796
243.018341,1.928399
242.002121,1.920458
241.013351,1.912451
240.024597,1.904778
239.008316,1.894187
238.019547,1.888349
237.003296,1.880763
236.014542,1.871518
235.025772,1.865484
234.009491,1.856330
233.020752,1.848532
232.004471,1.840536
231.015686,1.832609
229.999451,1.823984
229.010681,1.817050
228.021896,1.807600
227.005646,1.800228
226.016876,1.792185
225.000626,1.784339
224.011841,1.776080
223.023071,1.768401
222.006836,1.760276
221.018051,1.752463
220.001816,1.745041
219.013016,1.735588
218.024261,1.728637
217.007996,1.719564
216.019226,1.712802
215.002960,1.704257
214.014175,1.697052
213.025421,1.688763
212.009140,1.680715
211.020386,1.673070
210.004135,1.664933
209.015366,1.656715
208.026566,1.649287
207.010300,1.640931
206.021530,1.633004
205.005295,1.624458
204.016510,1.616655
203.000275,1.609128
202.011475,1.600960
201.022705,1.593660
200.006454,1.585191
199.017670,1.576874
198.001419,1.569386
197.012619,1.561296
196.023849,1.553550
195.007599,1.545207
194.018814,1.536940
193.002563,1.530085
192.013794,1.521345
191.024994,1.513869
190.008728,1.506149
189.019974,1.496798
188.003708,1.489901
187.014938,1.482138
186.026154,1.474059
185.009888,1.465920
184.021133,1.458254
183.004852,1.450161
182.016098,1.442399
180.999817,1.433392
180.011047,1.426099
179.022247,1.417717
178.005981,1.410906
177.017227,1.402070
176.000961,1.394673
175.012192,1.386520
174.023392,1.379049
173.007111,1.370691
172.018356,1.362834
171.002075,1.355355
170.013321,1.347235
169.024506,1.339166
168.008270,1.331280
167.019485,1.321787
166.003220,1.314713
165.014450,1.308140
164.025650,1.299811
163.009415,1.291387
162.020615,1.284027
161.004333,1.276000
160.015564,1.267059
159.026764,1.260098
158.010544,1.251664
157.021729,1.244628
156.005478,1.235656
155.016708,1.228464
154.000443,1.220297
153.011673,1.212880
