2,HPD ARX-01c,baseline
Steering Wheel Angle,Yaw Rate
322.015228,2.097274
320.998962,2.090740
320.010193,2.085554
319.021454,2.080484
318.005219,2.075160
317.016479,2.069737
316.000183,2.063934
315.011414,2.057780
314.022675,2.051100
313.006470,2.044298
312.017700,2.037689
311.001404,2.030429
310.012665,2.022665
309.023926,2.014916
308.007690,2.008439
307.018921,2.001686
306.002686,1.995621
305.013916,1.989210
303.997681,1.982560
303.008911,1.975130
302.020142,1.968639
301.003906,1.962547
300.015137,1.955208
298.998901,1.948613
298.010132,1.942553
297.021332,1.935216
296.005127,1.928919
295.016357,1.921945
294.000153,1.915177
293.011322,1.908561
292.022583,1.901797
291.006378,1.895273
290.017578,1.888600
289.001343,1.882428
288.012573,1.875376
287.023834,1.868600
286.007568,1.861838
285.018768,1.855526
284.002563,1.848623
283.013824,1.842025
281.997528,1.835336
281.008789,1.828619
280.020020,1.822107
279.003784,1.815301
278.014984,1.808693
276.998779,1.802236
276.010010,1.795592
275.021179,1.788920
274.005005,1.782225
273.016235,1.775467
271.999969,1.769055
271.011169,1.762212
270.022430,1.756062
269.006195,1.748862
268.017395,1.742664
267.001190,1.735845
266.012421,1.729813
265.023651,1.722482
264.007385,1.715846
263.018616,1.709446
262.002350,1.703156
261.013611,1.695995
260.024841,1.689562
259.008575,1.682829
258.019806,1.676179
257.003571,1.669799
256.014801,1.663042
254.998566,1.656167
254.009781,1.649868
253.021011,1.643079
252.004791,1.636380
251.015961,1.630447
249.999741,1.623177
249.010956,1.616651
248.022217,1.610214
247.005966,1.603482
246.017166,1.597028
245.000916,1.590266
244.012177,1.583884
243.023422,1.577161
242.007141,1.570538
241.018341,1.563962
240.002121,1.557150
239.013351,1.550878
238.024597,1.544085
237.008316,1.537626
236.019547,1.531008
235.003296,1.524211
234.014542,1.517831
233.025772,1.511125
232.009491,1.504439
231.020752,1.497887
230.004471,1.491711
229.015686,1.484671
227.999451,1.478075
227.010681,1.471615
226.021896,1.465022
225.005646,1.458346
224.016876,1.451736
223.000626,1.445329
222.011841,1.438546
221.023071,1.432452
220.006836,1.425390
219.018051,1.418929
218.001816,1.412156
217.013016,1.405772
216.024261,1.399220
215.007996,1.392684
214.019226,1.386183
213.002960,1.379460
212.014175,1.373106
211.025421,1.366632
210.009140,1.359892
209.020386,1.353582
208.004135,1.346763
207.015366,1.340008
206.026566,1.333523
205.010300,1.327019
204.021530,1.320468
203.005295,1.313758
202.016510,1.307320
201.000275,1.300504
200.011475,1.294113
199.022705,1.288025
198.006454,1.281099
197.017670,1.274541
196.001419,1.267996
195.012619,1.261219
194.023849,1.254892
193.007599,1.248198
192.018814,1.241693
191.002563,1.235153
190.013794,1.228448
189.024994,1.222123
188.008728,1.215449
187.019974,1.209041
186.003708,1.202268
185.014938,1.196126
184.026154,1.189516
183.009888,1.182711
182.021133,1.176318
181.004852,1.169838
180.016098,1.163265
178.999817,1.156688
178.011047,1.150264
177.022247,1.143727
176.005981,1.136842
175.017227,1.130740
174.000961,1.123786
173.012192,1.117566
172.023392,1.110827
171.007111,1.104528
170.018356,1.097739
169.002075,1.091260
168.013321,1.084607
167.024506,1.078192
166.008270,1.071644
165.019485,1.065003
164.003220,1.058544
163.014450,1.052143
162.025650,1.045671
161.009415,1.038864
160.020615,1.032508
159.004333,1.025840
158.015564,1.019557
157.026764,1.012799
156.010544,1.006455
155.021729,1.000005
154.005478,0.993060
153.016708,0.986952
152.000443,0.980234
151.011673,0.973566
150.022858,0.967240
149.006622,0.960509
148.017822,0.954308
147.001556,0.947452
146.012772,0.940974
145.023972,0.934489
144.007736,0.927788
143.018936,0.921360
142.002655,0.914729
141.013901,0.908349
140.025085,0.901801
139.008850,0.895216
138.020050,0.888769
137.003769,0.882082
136.014999,0.875679
135.026199,0.869157
134.009964,0.862579
133.021164,0.856089
132.004913,0.849478
131.016113,0.843199
130.027283,0.836576
129.011078,0.829901
128.022263,0.823491
127.006020,0.816795
126.017204,0.810367
125.000938,0.803979
124.012169,0.797369
123.023369,0.790866
122.007118,0.784262
121.018311,0.777752
120.002029,0.771250
119.013283,0.764644
118.024460,0.758252
117.008224,0.751705
116.019402,0.745215
115.003166,0.738809
114.014351,0.732152
113.025566,0.725700
112.009323,0.719164
111.020508,0.712837
110.004265,0.706077
109.015457,0.699490
108.026642,0.693200
107.010399,0.686646
106.021584,0.680063
105.005371,0.673426
104.016556,0.667277
103.027771,0.660455
102.011497,0.653956
101.022690,0.647664
100.006439,0.640916
99.017632,0.634680
98.001389,0.627856
97.012573,0.621329
96.023758,0.614991
95.007515,0.608493
94.018700,0.601955
93.002457,0.595293
92.013649,0.588877
91.024887,0.582605
90.008591,0.576064
89.019775,0.569411
88.003563,0.562875
87.014717,0.556561
86.025963,0.549988
85.009674,0.543585
84.020859,0.537148
83.004631,0.530376
82.015800,0.523879
81.027039,0.517632
80.010742,0.510841
79.021935,0.504453
78.005684,0.497931
77.016876,0.491728
76.000633,0.484798
75.011818,0.478508
74.023056,0.472089
73.006760,0.465454
72.017944,0.459018
71.001701,0.452406
70.012894,0.446041
69.024109,0.439511
68.007835,0.433040
67.018997,0.426611
66.002754,0.420025
65.013939,0.413532
64.025177,0.407127
63.008881,0.400501
62.020069,0.394146
61.003826,0.387428
60.015011,0.381040
59.026226,0.374579
58.009926,0.368088
57.021172,0.361547
56.004875,0.355203
55.016060,0.348649
54.027275,0.342183
53.011005,0.335470
52.022217,0.329235
51.005924,0.322498
50.017109,0.316221
49.000866,0.309588
48.012054,0.303104
47.023270,0.296675
46.006969,0.290229
45.018211,0.283851
