2,Holden Commodore 2014,baseline
Steering Wheel Angle,Yaw Rate
189.024994,1.507157
188.008728,1.498836
187.019974,1.491949
186.003708,1.482991
185.014938,1.469714
184.026154,1.459047
183.009888,1.450880
182.021133,1.441420
181.004852,1.431241
180.016098,1.422776
178.999817,1.414191
178.011047,1.404635
177.022247,1.395636
176.005981,1.386379
175.017227,1.377266
174.000961,1.368021
173.012192,1.359150
172.023392,1.349869
171.007111,1.340279
170.018356,1.331628
169.002075,1.322490
168.013321,1.313614
167.024506,1.304506
166.008270,1.295297
165.019485,1.286166
164.003220,1.277117
163.014450,1.268316
162.025650,1.259119
161.009415,1.249625
160.020615,1.241239
159.004333,1.232431
158.015564,1.223432
157.026764,1.214136
156.010544,1.204885
155.021729,1.196107
154.005478,1.186970
153.016708,1.178471
152.000443,1.169794
151.011673,1.160429
150.022858,1.151241
149.006622,1.142472
148.017822,1.133932
147.001556,1.124492
146.012772,1.115792
145.023972,1.106994
144.007736,1.098335
143.018936,1.088883
142.002655,1.079608
141.013901,1.069759
140.025085,1.061062
139.008850,1.052207
138.020050,1.044401
137.003769,1.035521
136.014999,1.026161
135.026199,1.017390
134.009964,1.008501
133.021164,0.999573
132.004913,0.990932
131.016113,0.981528
130.027283,0.973101
129.011078,0.964400
128.022263,0.955779
127.006020,0.947752
126.017204,0.939547
125.000938,0.929641
124.012169,0.921370
123.023369,0.912734
122.007118,0.903236
121.018311,0.894336
120.002029,0.885280
119.013283,0.876948
118.024460,0.868921
117.008224,0.860807
116.019402,0.851711
115.003166,0.843312
114.014351,0.834500
113.025566,0.825903
112.009323,0.817644
111.020508,0.809104
110.004265,0.801147
109.015457,0.792279
108.026642,0.784474
107.010399,0.775473
106.021584,0.768208
105.005371,0.758945
104.016556,0.750738
103.027771,0.742676
102.011497,0.734207
101.022690,0.725798
100.006439,0.717366
99.017632,0.709367
98.001389,0.701896
97.012573,0.693230
96.023758,0.685143
95.007515,0.675621
94.018700,0.668904
93.002457,0.661673
92.013649,0.654563
91.024887,0.647572
90.008591,0.640209
89.019775,0.633063
88.003563,0.625753
87.014717,0.618717
86.025963,0.611550
85.009674,0.604151
84.020859,0.597107
83.004631,0.589846
82.015800,0.582660
81.027039,0.575573
80.010742,0.568274
79.021935,0.561262
78.005684,0.553923
77.016876,0.546742
76.000633,0.539448
75.011818,0.532274
74.023056,0.525180
73.006760,0.517958
72.017944,0.510930
71.001701,0.503613
70.012894,0.496496
69.024109,0.489368
68.007835,0.482075
67.018997,0.474931
66.002754,0.467611
65.013939,0.460539
64.025177,0.453471
63.008881,0.446221
62.020069,0.439106
61.003826,0.431823
60.015011,0.424697
59.026226,0.417555
58.009926,0.410348
57.021172,0.403312
56.004875,0.395972
55.016060,0.388967
54.027275,0.381885
53.011005,0.374568
52.022217,0.367486
51.005924,0.360189
50.017109,0.353182
49.000866,0.345906
48.012054,0.338813
47.023270,0.331812
46.006969,0.324962
45.018211,0.317585
44.001915,0.310225
43.013073,0.303133
42.024315,0.296073
41.008018,0.288836
40.019230,0.281813
39.002964,0.274589
38.014122,0.267536
37.025364,0.260484
36.009068,0.253220
35.020279,0.246212
34.003983,0.238939
33.015167,0.231991
32.026382,0.224905
31.010088,0.217677
30.021326,0.210685
29.005032,0.203421
28.016247,0.196392
