2,Honda Civic Type R TCR,baseline
Steering Wheel Angle,Yaw Rate
318.005219,1.952411
317.016479,1.945528
316.000183,1.940540
315.011414,1.939431
314.022675,1.937607
313.006470,1.935415
312.017700,1.933359
311.001404,1.931193
310.012665,1.929073
309.023926,1.926788
308.007690,1.924273
307.018921,1.921728
306.002686,1.918633
305.013916,1.912261
303.997681,1.905753
303.008911,1.899362
302.020142,1.892924
301.003906,1.884632
300.015137,1.874169
298.998901,1.863342
298.010132,1.852708
297.021332,1.844179
296.005127,1.837208
295.016357,1.830909
294.000153,1.824426
293.011322,1.822967
292.022583,1.819287
291.006378,1.812232
290.017578,1.805615
289.001343,1.798406
288.012573,1.792570
287.023834,1.786556
286.007568,1.780022
285.018768,1.773805
284.002563,1.767539
283.013824,1.760152
281.997528,1.754597
281.008789,1.748933
280.020020,1.741929
279.003784,1.736264
278.014984,1.729905
276.998779,1.723093
276.010010,1.715219
275.021179,1.711461
274.005005,1.703961
273.016235,1.696856
271.999969,1.692280
271.011169,1.685457
270.022430,1.677745
269.006195,1.673877
268.017395,1.666534
267.001190,1.659087
266.012421,1.655070
265.023651,1.648138
264.007385,1.640950
263.018616,1.634815
262.002350,1.629826
261.013611,1.621861
260.024841,1.617749
259.008575,1.609553
258.019806,1.604782
257.003571,1.598229
256.014801,1.591206
254.998566,1.585663
254.009781,1.579277
253.021011,1.572650
252.004791,1.564583
251.015961,1.560798
249.999741,1.553525
249.010956,1.546149
248.022217,1.542055
247.005966,1.534760
246.017166,1.527382
245.000916,1.523111
244.012177,1.515577
243.023422,1.508637
242.007141,1.504478
241.018341,1.496982
240.002121,1.490024
239.013351,1.484280
238.024597,1.478981
237.008316,1.470602
236.019547,1.466285
235.003296,1.459123
234.014542,1.452651
233.025772,1.447499
232.009491,1.440367
231.020752,1.433102
230.004471,1.428859
229.015686,1.421773
227.999451,1.413713
227.010681,1.409651
226.021896,1.402702
225.005646,1.395398
224.016876,1.391249
223.000626,1.383772
222.011841,1.376831
221.023071,1.371510
220.006836,1.365276
219.018051,1.357468
218.001816,1.352881
217.013016,1.346026
216.024261,1.338859
215.007996,1.334276
214.019226,1.326325
213.002960,1.320301
212.014175,1.315080
211.025421,1.308664
210.009140,1.300801
209.020386,1.296384
208.004135,1.289405
207.015366,1.282283
206.026566,1.277623
205.010300,1.269549
204.021530,1.264333
203.005295,1.257732
202.016510,1.251921
201.000275,1.246102
200.011475,1.238809
199.022705,1.233477
198.006454,1.226992
197.017670,1.220065
196.001419,1.212828
195.012619,1.208674
194.023849,1.201039
193.007599,1.195607
192.018814,1.188768
191.002563,1.183017
190.013794,1.175822
189.024994,1.170338
188.008728,1.163256
187.019974,1.157657
186.003708,1.151235
185.014938,1.144996
184.026154,1.137557
183.009888,1.132850
182.021133,1.124543
181.004852,1.120417
180.016098,1.113361
178.999817,1.106565
178.011047,1.100415
177.022247,1.094934
176.005981,1.087381
175.017227,1.082089
174.000961,1.074553
173.012192,1.069520
172.023392,1.062129
171.007111,1.056916
170.018356,1.049409
169.002075,1.044249
168.013321,1.036732
167.024506,1.031973
166.008270,1.024209
165.019485,1.019160
164.003220,1.011499
163.014450,1.006478
162.025650,0.998926
161.009415,0.994252
160.020615,0.986171
159.004333,0.981351
158.015564,0.973154
157.026764,0.968496
156.010544,0.961697
155.021729,0.954933
154.005478,0.949411
153.016708,0.942758
152.000443,0.937385
151.011673,0.930850
150.022858,0.923353
