2,Indy Pro 2000 PM-18,baseline
Steering Wheel Angle,Yaw Rate
192.018814,1.874747
191.002563,1.863701
190.013794,1.856035
189.024994,1.847848
188.008728,1.839051
187.019974,1.830605
186.003708,1.821455
185.014938,1.812190
184.026154,1.802339
183.009888,1.792275
182.021133,1.782616
181.004852,1.772422
180.016098,1.761774
178.999817,1.750594
178.011047,1.739533
177.022247,1.730097
176.005981,1.719920
175.017227,1.710051
174.000961,1.701489
173.012192,1.691717
172.023392,1.681113
171.007111,1.671143
170.018356,1.662051
169.002075,1.651684
168.013321,1.642091
167.024506,1.631839
166.008270,1.621897
165.019485,1.612445
164.003220,1.601496
163.014450,1.592505
162.025650,1.582368
161.009415,1.572218
160.020615,1.562693
159.004333,1.553751
158.015564,1.542940
157.026764,1.533693
156.010544,1.523350
155.021729,1.514304
154.005478,1.503094
153.016708,1.494158
152.000443,1.483738
151.011673,1.473516
150.022858,1.464028
149.006622,1.454554
148.017822,1.444061
147.001556,1.434978
146.012772,1.425272
145.023972,1.414684
144.007736,1.405322
143.018936,1.395252
142.002655,1.385332
141.013901,1.376029
140.025085,1.365447
139.008850,1.356164
138.020050,1.345857
137.003769,1.335647
136.014999,1.326766
135.026199,1.316776
134.009964,1.306800
133.021164,1.296858
132.004913,1.287679
131.016113,1.277382
130.027283,1.267283
129.011078,1.257121
128.022263,1.247820
127.006020,1.238252
126.017204,1.228279
125.000938,1.218131
124.012169,1.208701
123.023369,1.198958
122.007118,1.188389
121.018311,1.179480
120.002029,1.168971
119.013283,1.159012
118.024460,1.149680
117.008224,1.139856
116.019402,1.129936
115.003166,1.119861
114.014351,1.110560
113.025566,1.100879
112.009323,1.090684
111.020508,1.081023
110.004265,1.071059
109.015457,1.061560
108.026642,1.051474
107.010399,1.041834
106.021584,1.032375
105.005371,1.022224
104.016556,1.012353
103.027771,1.002679
102.011497,0.992341
101.022690,0.983141
100.006439,0.973412
99.017632,0.963041
98.001389,0.953693
97.012573,0.943831
96.023758,0.933892
95.007515,0.924324
94.018700,0.914157
93.002457,0.904740
92.013649,0.895147
91.024887,0.885065
90.008591,0.875339
89.019775,0.865520
88.003563,0.855784
87.014717,0.845880
86.025963,0.836139
85.009674,0.826208
84.020859,0.816498
83.004631,0.806435
82.015800,0.796951
81.027039,0.787347
80.010742,0.777602
79.021935,0.768013
78.005684,0.757782
77.016876,0.747935
76.000633,0.738090
75.011818,0.728530
74.023056,0.718592
73.006760,0.708945
72.017944,0.699283
71.001701,0.688942
70.012894,0.679766
69.024109,0.669939
68.007835,0.660073
67.018997,0.650155
66.002754,0.640156
65.013939,0.630605
64.025177,0.620924
63.008881,0.611243
62.020069,0.601586
61.003826,0.591328
60.015011,0.581714
59.026226,0.571769
58.009926,0.562145
57.021172,0.552397
56.004875,0.542643
55.016060,0.532948
54.027275,0.523186
53.011005,0.513389
52.022217,0.503405
51.005924,0.493331
50.017109,0.483689
49.000866,0.473814
48.012054,0.464701
47.023270,0.454677
46.006969,0.444862
45.018211,0.434995
44.001915,0.425369
43.013073,0.415275
42.024315,0.405673
41.008018,0.396030
40.019230,0.386251
39.002964,0.376320
38.014122,0.366645
37.025364,0.356787
36.009068,0.347269
35.020279,0.337260
34.003983,0.327805
33.015167,0.317709
32.026382,0.308347
31.010088,0.298160
30.021326,0.288452
