2,Kia Optima,baseline
Steering Wheel Angle,Yaw Rate
289.001343,1.830626
288.012573,1.824656
287.023834,1.817537
286.007568,1.808513
285.018768,1.800938
284.002563,1.794026
283.013824,1.787643
281.997528,1.780762
281.008789,1.774129
280.020020,1.767652
279.003784,1.761680
278.014984,1.755610
276.998779,1.749082
276.010010,1.742995
275.021179,1.736971
274.005005,1.730818
273.016235,1.724657
271.999969,1.718169
271.011169,1.711374
270.022430,1.704462
269.006195,1.698365
268.017395,1.692676
267.001190,1.685344
266.012421,1.678129
265.023651,1.672694
264.007385,1.667158
263.018616,1.660073
262.002350,1.652326
261.013611,1.646519
260.024841,1.641363
259.008575,1.634466
258.019806,1.626791
257.003571,1.620484
256.014801,1.615516
254.998566,1.608975
254.009781,1.601299
253.021011,1.594651
252.004791,1.589456
251.015961,1.583666
249.999741,1.575891
249.010956,1.568949
248.022217,1.563584
247.005966,1.557694
246.017166,1.550801
245.000916,1.543487
244.012177,1.537618
243.023422,1.532014
242.007141,1.525378
241.018341,1.518279
240.002121,1.511684
239.013351,1.506159
238.024597,1.500022
237.008316,1.492996
236.019547,1.486175
235.003296,1.480048
234.014542,1.474443
233.025772,1.467904
232.009491,1.460682
231.020752,1.454357
230.004471,1.448536
229.015686,1.442488
227.999451,1.435340
227.010681,1.428507
226.021896,1.422947
225.005646,1.417083
224.016876,1.410360
223.000626,1.402910
222.011841,1.396922
221.023071,1.391627
220.006836,1.384886
219.018051,1.377736
218.001816,1.371221
217.013016,1.365903
216.024261,1.359762
215.007996,1.352316
214.019226,1.345791
213.002960,1.340102
212.014175,1.334278
211.025421,1.327311
210.009140,1.320299
209.020386,1.314590
208.004135,1.308729
207.015366,1.302127
206.026566,1.295314
205.010300,1.289031
204.021530,1.283256
203.005295,1.276928
202.016510,1.270175
201.000275,1.263513
200.011475,1.257645
199.022705,1.251815
198.006454,1.245087
197.017670,1.238390
196.001419,1.232002
195.012619,1.226389
194.023849,1.220174
193.007599,1.213125
192.018814,1.206643
191.002563,1.200869
190.013794,1.194934
189.024994,1.188064
188.008728,1.181228
187.019974,1.175610
186.003708,1.169633
185.014938,1.162890
184.026154,1.155919
183.009888,1.149965
182.021133,1.144519
181.004852,1.137720
180.016098,1.130776
178.999817,1.124527
178.011047,1.119066
177.022247,1.112605
176.005981,1.105363
175.017227,1.099344
174.000961,1.093547
173.012192,1.087381
172.023392,1.080510
171.007111,1.073940
170.018356,1.068313
169.002075,1.062052
168.013321,1.055337
167.024506,1.048811
166.008270,1.042765
165.019485,1.036813
164.003220,1.030207
163.014450,1.023644
162.025650,1.017502
161.009415,1.011367
160.020615,1.005139
159.004333,0.998892
158.015564,0.992096
157.026764,0.986027
156.010544,0.979824
155.021729,0.973467
154.005478,0.966779
153.016708,0.960567
152.000443,0.954483
151.011673,0.948278
150.022858,0.941605
149.006622,0.935136
148.017822,0.929179
147.001556,0.922955
146.012772,0.916387
145.023972,0.909911
144.007736,0.903782
143.018936,0.897909
142.002655,0.891172
141.013901,0.884625
140.025085,0.878648
139.008850,0.872518
138.020050,0.866072
137.003769,0.859331
136.014999,0.853289
135.026199,0.847378
134.009964,0.840776
133.021164,0.834282
132.004913,0.827897
131.016113,0.822013
130.027283,0.815694
129.011078,0.808981
128.022263,0.802765
127.006020,0.796592
126.017204,0.790393
125.000938,0.783783
124.012169,0.777550
123.023369,0.771519
122.007118,0.765114
121.018311,0.758703
120.002029,0.752228
119.013283,0.746177
118.024460,0.740030
117.008224,0.733454
116.019402,0.727268
115.003166,0.720914
114.014351,0.714723
113.025566,0.708441
112.009323,0.701966
111.020508,0.695781
110.004265,0.689402
109.015457,0.683153
108.026642,0.676966
107.010399,0.670529
106.021584,0.664325
105.005371,0.657943
104.016556,0.651694
103.027771,0.645492
102.011497,0.639076
101.022690,0.632833
100.006439,0.626483
99.017632,0.620344
98.001389,0.613829
97.012573,0.607597
96.023758,0.601466
95.007515,0.595074
94.018700,0.588780
93.002457,0.582336
92.013649,0.576316
91.024887,0.570033
90.008591,0.563526
89.019775,0.557377
88.003563,0.551065
87.014717,0.544795
86.025963,0.538520
85.009674,0.532137
84.020859,0.526080
83.004631,0.519601
82.015800,0.513312
81.027039,0.507123
80.010742,0.500802
79.021935,0.494537
78.005684,0.487941
77.016876,0.481929
76.000633,0.475611
75.011818,0.469330
74.023056,0.463018
73.006760,0.456766
72.017944,0.450737
71.001701,0.444073
70.012894,0.437846
69.024109,0.431863
68.007835,0.425505
67.018997,0.419150
66.002754,0.412672
65.013939,0.406732
64.025177,0.400549
63.008881,0.393817
62.020069,0.387640
61.003826,0.381588
60.015011,0.375382
59.026226,0.368806
58.009926,0.362610
57.021172,0.356595
56.004875,0.350164
55.016060,0.343687
54.027275,0.337655
53.011005,0.331476
52.022217,0.325065
51.005924,0.318499
50.017109,0.312541
49.000866,0.306212
48.012054,0.299852
47.023270,0.293555
46.006969,0.287394
45.018211,0.281120
44.001915,0.274588
43.013073,0.268475
42.024315,0.262521
41.008018,0.255879
40.019230,0.249511
39.002964,0.243422
38.014122,0.237327
37.025364,0.230711
36.009068,0.224312
35.020279,0.218579
34.003983,0.212136
33.015167,0.205484
32.026382,0.199329
31.010088,0.193456
30.021326,0.187078
29.005032,0.180256
28.016247,0.174375
27.027433,0.168537
26.011137,0.161738
25.022348,0.155331
24.006052,0.149318
23.017294,0.143351
22.000998,0.136406
21.012157,0.130208
20.023371,0.124578
19.007101,0.118031
18.018314,0.111292
17.002018,0.105235
16.013233,0.099448
15.024419,0.092914
14.008123,0.086178
13.019336,0.080492
12.003040,0.074220
11.014254,0.067445
10.025441,0.061395
9.009144,0.055514
8.020358,0.049093
7.004062,0.042128
6.015275,0.036428
5.026462,0.030570
4.010166,0.023650
3.021353,0.017255
2.005083,0.011550
1.016323,0.005319
0.000000,0.001054
-0.988760,0.006847
-1.977626,0.013510
-2.993896,0.019634
-3.982709,0.025363
-4.998979,0.032343
-5.987792,0.038820
-6.976604,0.044440
-7.992875,0.050684
-8.981688,0.057443
-9.997957,0.063767
-10.986771,0.069353
-11.975583,0.075831
-12.991853,0.082784
-13.980665,0.088526
-14.996989,0.094567
-15.985749,0.101255
-16.974613,0.107650
-17.990831,0.113505
-18.979698,0.119632
-19.995966,0.126570
-20.984779,0.132681
-21.973593,0.138339
-22.989862,0.144994
-23.978676,0.151549
-24.994999,0.157614
-25.983759,0.163552
-27.000082,0.170384
-27.988842,0.176656
-28.977654,0.182441
-29.993923,0.188838
-30.982737,0.195433
-31.999060,0.201725
