2,Lamborghini Huracan GT3 EVO,baseline
Steering Wheel Angle,Yaw Rate
305.013916,1.776528
303.997681,1.772903
303.008911,1.768292
302.020142,1.762824
301.003906,1.758083
300.015137,1.753723
298.998901,1.748995
298.010132,1.744280
297.021332,1.739515
296.005127,1.734441
295.016357,1.729565
294.000153,1.724390
293.011322,1.719351
292.022583,1.714279
291.006378,1.708850
290.017578,1.703668
289.001343,1.698218
288.012573,1.692896
287.023834,1.687497
286.007568,1.681889
285.018768,1.676415
284.002563,1.670152
283.013824,1.663712
281.997528,1.657304
281.008789,1.650958
280.020020,1.644743
279.003784,1.637474
278.014984,1.630598
276.998779,1.623553
276.010010,1.616817
275.021179,1.610067
274.005005,1.603202
273.016235,1.597561
271.999969,1.591636
271.011169,1.585964
270.022430,1.580120
269.006195,1.575111
268.017395,1.570058
267.001190,1.564181
266.012421,1.558068
265.023651,1.552115
264.007385,1.545739
263.018616,1.540121
262.002350,1.533535
261.013611,1.527975
260.024841,1.522209
259.008575,1.516013
258.019806,1.510261
257.003571,1.504131
256.014801,1.498337
254.998566,1.492430
254.009781,1.486337
253.021011,1.480350
252.004791,1.474345
251.015961,1.468281
249.999741,1.462727
249.010956,1.457135
248.022217,1.450576
247.005966,1.444839
246.017166,1.439228
245.000916,1.433220
244.012177,1.427397
243.023422,1.420941
242.007141,1.415426
241.018341,1.409708
240.002121,1.402899
239.013351,1.397387
238.024597,1.392394
237.008316,1.386682
236.019547,1.380335
235.003296,1.374059
234.014542,1.368251
233.025772,1.362326
232.009491,1.356390
231.020752,1.350140
230.004471,1.344052
229.015686,1.338173
227.999451,1.332140
227.010681,1.326438
226.021896,1.320867
225.005646,1.314752
224.016876,1.309085
223.000626,1.303164
222.011841,1.297002
221.023071,1.290946
220.006836,1.285094
219.018051,1.279348
218.001816,1.273499
217.013016,1.267510
216.024261,1.261223
215.007996,1.255565
214.019226,1.249511
213.002960,1.244651
212.014175,1.238902
211.025421,1.232612
210.009140,1.226143
209.020386,1.220117
208.004135,1.214209
207.015366,1.208290
206.026566,1.202288
205.010300,1.196123
204.021530,1.190621
203.005295,1.184766
202.016510,1.178478
201.000275,1.172704
200.011475,1.167790
199.022705,1.162163
198.006454,1.155773
197.017670,1.149550
196.001419,1.143545
195.012619,1.137794
194.023849,1.131870
193.007599,1.125819
192.018814,1.119950
191.002563,1.113814
190.013794,1.108018
189.024994,1.102098
188.008728,1.096172
187.019974,1.090420
186.003708,1.083934
185.014938,1.078275
184.026154,1.072587
183.009888,1.066053
182.021133,1.061141
181.004852,1.055237
180.016098,1.049278
178.999817,1.043098
178.011047,1.037294
177.022247,1.031392
176.005981,1.025162
175.017227,1.019073
174.000961,1.013662
173.012192,1.007954
172.023392,1.001595
171.007111,0.995858
170.018356,0.989938
169.002075,0.983892
168.013321,0.978170
167.024506,0.972295
166.008270,0.966188
165.019485,0.960459
164.003220,0.954438
163.014450,0.948602
162.025650,0.942681
161.009415,0.936520
160.020615,0.930875
159.004333,0.925062
158.015564,0.919321
157.026764,0.913615
156.010544,0.907501
155.021729,0.901686
154.005478,0.895644
153.016708,0.889732
152.000443,0.883748
151.011673,0.878040
150.022858,0.872393
149.006622,0.866417
148.017822,0.860950
147.001556,0.854664
146.012772,0.848869
145.023972,0.842877
144.007736,0.836882
143.018936,0.830961
142.002655,0.825173
141.013901,0.819275
140.025085,0.813501
139.008850,0.807646
138.020050,0.801793
137.003769,0.795919
136.014999,0.789327
135.026199,0.784225
134.009964,0.778780
133.021164,0.773020
132.004913,0.766775
131.016113,0.760512
130.027283,0.754484
129.011078,0.748405
128.022263,0.742499
127.006020,0.736750
126.017204,0.730943
125.000938,0.725651
124.012169,0.720014
123.023369,0.714040
122.007118,0.707601
121.018311,0.701585
120.002029,0.695588
119.013283,0.689642
118.024460,0.683738
117.008224,0.677376
116.019402,0.671906
115.003166,0.665913
114.014351,0.659974
113.025566,0.654399
112.009323,0.648683
111.020508,0.643377
110.004265,0.637336
109.015457,0.631288
108.026642,0.624597
107.010399,0.618769
106.021584,0.613721
105.005371,0.607909
104.016556,0.602292
103.027771,0.595437
102.011497,0.589211
101.022690,0.584135
100.006439,0.578337
99.017632,0.572914
98.001389,0.566707
97.012573,0.560734
96.023758,0.554547
95.007515,0.548546
94.018700,0.542473
93.002457,0.536261
92.013649,0.530523
91.024887,0.524747
90.008591,0.519003
89.019775,0.513396
88.003563,0.507621
87.014717,0.502133
86.025963,0.496514
85.009674,0.490388
84.020859,0.484396
83.004631,0.478203
82.015800,0.472054
81.027039,0.466217
80.010742,0.460055
79.021935,0.454007
78.005684,0.447959
77.016876,0.442189
76.000633,0.436191
75.011818,0.430352
74.023056,0.424734
73.006760,0.418791
72.017944,0.413817
71.001701,0.407844
70.012894,0.401980
69.024109,0.395680
