2,Late Model Stock,baseline
Steering Wheel Angle,Yaw Rate
175.017227,1.070700
174.000961,1.063819
173.012192,1.057683
172.023392,1.051309
171.007111,1.047030
170.018356,1.042714
169.002075,1.031027
168.013321,1.022857
167.024506,1.015385
166.008270,1.009275
165.019485,1.002106
164.003220,0.994929
163.014450,0.986138
162.025650,0.979488
161.009415,0.971807
160.020615,0.964676
159.004333,0.955250
158.015564,0.950120
157.026764,0.940169
156.010544,0.932867
155.021729,0.925855
154.005478,0.916468
153.016708,0.908245
152.000443,0.900683
151.011673,0.893711
150.022858,0.886569
149.006622,0.879664
148.017822,0.873521
147.001556,0.866132
146.012772,0.860242
145.023972,0.853613
144.007736,0.846940
143.018936,0.841752
142.002655,0.833737
141.013901,0.828776
140.025085,0.823254
139.008850,0.815762
138.020050,0.809017
137.003769,0.803655
136.014999,0.797216
135.026199,0.790707
134.009964,0.783153
133.021164,0.777866
132.004913,0.771976
131.016113,0.765917
130.027283,0.759078
129.011078,0.752742
128.022263,0.747055
127.006020,0.739433
126.017204,0.734180
125.000938,0.727720
124.012169,0.722418
123.023369,0.714321
122.007118,0.709531
121.018311,0.702356
120.002029,0.697245
119.013283,0.690947
118.024460,0.684425
117.008224,0.677717
116.019402,0.672462
115.003166,0.666467
114.014351,0.660734
113.025566,0.653809
112.009323,0.648367
111.020508,0.642154
110.004265,0.636125
109.015457,0.630693
108.026642,0.624534
107.010399,0.618357
106.021584,0.613417
105.005371,0.606631
104.016556,0.601476
103.027771,0.595233
102.011497,0.589176
101.022690,0.584842
100.006439,0.574435
99.017632,0.566231
98.001389,0.560016
97.012573,0.553897
96.023758,0.546598
95.007515,0.541093
94.018700,0.534935
93.002457,0.526626
92.013649,0.521942
91.024887,0.515674
90.008591,0.508768
89.019775,0.504078
88.003563,0.498885
87.014717,0.493148
86.025963,0.487776
85.009674,0.482019
84.020859,0.477341
83.004631,0.471861
82.015800,0.466496
81.027039,0.462144
80.010742,0.456597
79.021935,0.451048
78.005684,0.445995
77.016876,0.441360
76.000633,0.436614
75.011818,0.432429
74.023056,0.427791
73.006760,0.423345
72.017944,0.418875
71.001701,0.414207
70.012894,0.409867
69.024109,0.405430
68.007835,0.400765
67.018997,0.396496
66.002754,0.391729
65.013939,0.387327
64.025177,0.382977
63.008881,0.378354
62.020069,0.373794
61.003826,0.369232
60.015011,0.364927
59.026226,0.360182
58.009926,0.355762
57.021172,0.351414
56.004875,0.346631
55.016060,0.342211
54.027275,0.337795
53.011005,0.333214
52.022217,0.328879
51.005924,0.324086
50.017109,0.319640
49.000866,0.315078
48.012054,0.310597
47.023270,0.306091
46.006969,0.301609
45.018211,0.296971
44.001915,0.292512
43.013073,0.288035
42.024315,0.283495
41.008018,0.279000
40.019230,0.274495
39.002964,0.269788
38.014122,0.265471
37.025364,0.260860
36.009068,0.256283
35.020279,0.251838
34.003983,0.247311
33.015167,0.242638
32.026382,0.238282
31.010088,0.233509
30.021326,0.228983
29.005032,0.224551
28.016247,0.220204
27.027433,0.215497
26.011137,0.210848
25.022348,0.206576
24.006052,0.201775
23.017294,0.197443
22.000998,0.192788
21.012157,0.188388
20.023371,0.183689
19.007101,0.179272
18.018314,0.174731
17.002018,0.170147
16.013233,0.165653
15.024419,0.161097
14.008123,0.156566
13.019336,0.152122
12.003040,0.147379
11.014254,0.143058
10.025441,0.138519
9.009144,0.133864
8.020358,0.129382
7.004062,0.124816
6.015275,0.120330
5.026462,0.115789
4.010166,0.111357
3.021353,0.106617
2.005083,0.102104
1.016323,0.097840
0.000000,0.092870
-0.988760,0.087663
-1.977626,0.081611
-2.993896,0.075552
-3.982709,0.070705
-4.998979,0.065056
-5.987792,0.059277
-6.976604,0.054620
-7.992875,0.048644
-8.981688,0.042738
-9.997957,0.037876
-10.986771,0.032431
-11.975583,0.025896
-12.991853,0.020922
-13.980665,0.014586
-14.996989,0.009160
-15.985749,0.003603
-16.974613,0.002003
-17.990831,0.007969
-18.979698,0.012931
-19.995966,0.018395
-20.984779,0.023663
-21.973593,0.029674
-22.989862,0.033940
-23.978676,0.044870
-24.994999,0.045332
-25.983759,0.055276
-27.000082,0.060513
-27.988842,0.065401
-28.977654,0.070444
-29.993923,0.075270
-30.982737,0.080352
-31.999060,0.085316
-32.987873,0.090346
-33.976685,0.095202
-34.992954,0.100357
-35.981770,0.105328
-36.998093,0.110582
-37.986855,0.115644
-38.975719,0.122191
-39.991932,0.128261
-40.980801,0.133377
-41.997017,0.141214
-42.985882,0.149069
-43.974697,0.155038
-44.990967,0.163430
-45.979778,0.168798
-46.996048,0.176154
-47.984913,0.183065
-48.973728,0.188874
-49.989998,0.195833
-50.978813,0.202797
-51.995083,0.209202
-52.983894,0.215783
-54.000217,0.222585
-54.989029,0.228343
-55.977844,0.235338
-56.994110,0.241911
-57.982929,0.249191
-58.999199,0.254241
-59.988010,0.262208
-60.976871,0.267955
-61.993145,0.275419
-62.981956,0.281530
-63.998226,0.288498
-64.987038,0.295084
-65.975906,0.301370
-66.992180,0.308659
-67.980995,0.315094
-68.997253,0.321727
-69.986069,0.328967
-70.974884,0.335146
-71.991211,0.342510
-72.980019,0.349115
-73.996292,0.355874
-74.985161,0.363010
-75.973915,0.370108
-76.990234,0.375775
-77.979050,0.384092
-78.995323,0.391143
-79.984192,0.396229
-81.000404,0.404766
-81.989273,0.411991
-82.978142,0.417505
-83.994354,0.425510
-84.983215,0.432870
-85.999489,0.439251
-86.988304,0.446642
-87.977112,0.453515
-88.993439,0.459273
-89.982254,0.467784
-90.998520,0.475603
-91.987381,0.481027
-92.976151,0.488152
-93.992470,0.495505
-94.981339,0.501939
-95.997551,0.510310
-96.986420,0.517890
-97.975182,0.523968
-98.991501,0.532045
-99.980316,0.539384
-100.996635,0.544989
-101.985451,0.551306
-103.001717,0.560243
-103.990585,0.567179
